[00:00:06.511 --> 00:00:07.611]  It's game time.
[00:00:07.611 --> 00:00:11.092]  Tuesday, October 6th, the year 2020.
[00:00:11.092 --> 00:00:16.513]  27 days out and Trump has taken on the COVID fear machine like never before.
[00:00:16.513 --> 00:00:17.773]  We salute him.
[00:00:17.773 --> 00:00:22.014]  But first, Joe Biden is drooling over little girls in public.
[00:00:22.014 --> 00:00:24.195]  Can't wait until they're 18.
[00:00:24.195 --> 00:00:26.796]  That ties into John Bowne's new report.
[00:00:26.796 --> 00:00:28.036]  Pedophiles want to rule you.
[00:00:30.049 --> 00:00:32.473]  The good news is, for me, I'm here.
[00:00:32.473 --> 00:00:36.299]  The bad news for you is, I'm coming back.
[00:00:36.299 --> 00:00:38.141]  I'm coming back.
[00:00:38.141 --> 00:00:40.064]  And I want to see these beautiful young ladies.
[00:00:40.064 --> 00:00:42.368]  I want to see them dancing when they're four years old or two.
[00:00:43.786 --> 00:00:45.027]  Oh, it's great to see you.
[00:00:45.027 --> 00:00:45.848]  So thank you.
[00:00:45.848 --> 00:00:50.911]  I've just been attacked by people claiming they're the Q leaders when I know I'm the real deal.
[00:00:50.911 --> 00:01:00.359]  So I've explained the danger of saying our whole movement of nationalism and populism and Barry Goldwater and Ronald Reagan and Donald Trump and Alex Jones is them.
[00:01:00.359 --> 00:01:06.603]  And warning of the extremist threat.
[00:01:06.603 --> 00:01:08.124]  It's danger to the party.
[00:01:14.489 --> 00:01:14.869]  I am not.
[00:01:14.869 --> 00:01:17.030]  You haven't kept this audience fit.
[00:01:17.030 --> 00:01:17.650]  It's your job.
[00:01:17.650 --> 00:01:20.250]  Now look!
[00:01:20.250 --> 00:01:22.411]  The governor hasn't had a chance to talk.
[00:01:22.411 --> 00:01:32.273]  He's been up here ten minutes and he hasn't had a chance to talk for about four minutes.
[00:01:32.273 --> 00:01:39.435]  Some of you don't like to hear it, ladies and gentlemen, but it's the truth.
[00:01:39.435 --> 00:01:42.796]  I would remind you that extremism
[00:01:44.396 --> 00:01:47.633]  In the defense of liberty is no vice.
[00:01:51.135 --> 00:01:53.015]  QAnon first surfaced back in 2017.
[00:01:53.015 --> 00:02:02.558]  Now it maintains that President Trump is leading a war against liberal elites who, according to QAnon, are running a global sex trafficking network, including some very famous people.
[00:02:02.558 --> 00:02:03.978]  Now there is zero evidence, zero,
[00:02:20.322 --> 00:02:21.763]  That any of this is true.
[00:02:21.763 --> 00:02:32.888]  We are told Epstein, hanging on to life and soon to suffer cardiac arrest on the way to the hospital, was wheeled out of New York City's Metropolitan Correctional Center around 7.30 a.m.
[00:02:32.888 --> 00:02:48.956]  just a day after co-conspirators had been revealed in 2015 court documents and 2016 depositions where Virginia Jeffrey, who told the Mail on Sunday that Epstein loaned her out to the high-profile people and claimed that she had to report back with
[00:02:49.116 --> 00:02:51.738]  Details relating to blackmail.
[00:02:51.738 --> 00:03:05.871]  Giffrey also revealed how Epstein's Madame Ghislaine Maxwell pimped Giffrey out to powerful names for erotic massages and sex, which included modeling agent Jean-Luc Brunel and wealthy financer Glenn Dubin.
[00:03:05.871 --> 00:03:14.018]  Nine people have been arrested in Thailand, Australia, and the U.S., and 50 children were rescued after an investigation into an international pedophile ring.
[00:03:15.197 --> 00:03:21.584]  Brazilian police claim to have arrested more than a hundred people who are accused of being part of a massive pedophile ring.
[00:03:21.584 --> 00:03:27.990]  The nationwide operation saw people held in 24 of the country's 26 states and in the capital, Brasilia.
[00:03:27.990 --> 00:03:32.195]  Elijah Wood's shocking allegations against the entertainment industry.
[00:03:32.635 --> 00:03:40.103]  In a new interview with the Sunday Times, the former child star alleges that pedophilia has been a real issue in Hollywood.
[00:03:40.103 --> 00:03:46.690]  He tells the publication, quote, there are a lot of vipers in this industry, people who only have their own interests in mind.
[00:03:46.690 --> 00:03:52.036]  What bums me about these situations is that the victims can't speak as loudly as the people in power.
[00:03:52.176 --> 00:03:58.579]  And the LA County Sheriff and other law enforcement leaders just revealing details of an operation carried out last week.
[00:03:58.579 --> 00:04:03.121]  It was a statewide, coordinated crackdown on human traffickers.
[00:04:03.121 --> 00:04:07.383]  The specific one-week operation resulting in more than 500 arrests.
[00:04:07.383 --> 00:04:10.084]  You've all heard money laundering, drug dealing.
[00:04:10.084 --> 00:04:12.085]  Art is the secret currency of the elites.
[00:04:13.015 --> 00:04:13.075]  The
[00:04:29.316 --> 00:04:30.298]  That's all this is.
