[00:00:15.168 --> 00:00:17.171]  Uh, Bill Clinton.
[00:00:17.171 --> 00:00:17.932]  Nice guy.
[00:00:17.932 --> 00:00:24.323]  Uh, got a lot of problems coming up in my opinion with the famous island with Jeffrey Epstein.
[00:00:24.323 --> 00:00:25.125]  A lot of problems.
[00:00:25.555 --> 00:00:26.595]  You think it was over the line?
[00:00:26.595 --> 00:00:28.996]  I don't know because I don't know her, but it was nasty.
[00:00:28.996 --> 00:00:31.776]  You raised the question of Jeffrey Epstein in your remarks in the Q&A.
[00:00:31.776 --> 00:00:33.457]  Well, I think he's got a problem.
[00:00:33.457 --> 00:00:34.937]  I don't think the problem will be.
[00:00:34.937 --> 00:00:37.838]  I don't know, but that island was really a cesspool.
[00:00:37.838 --> 00:00:38.858]  There's no question about it.
[00:00:38.858 --> 00:00:40.778]  Just ask Prince Andrew.
[00:00:40.778 --> 00:00:42.039]  He'll tell you about it.
[00:00:42.039 --> 00:00:44.779]  The island was an absolute cesspool.
[00:00:44.779 --> 00:00:48.240]  The island was an absolute cesspool.
[00:00:48.240 --> 00:00:51.301]  And now, with the judge ordering this data dump of
[00:00:53.115 --> 00:00:59.600]  Suppressed FBI documents and Epstein-Giselain-Maxwell documents.
[00:00:59.600 --> 00:01:19.437]  We learned that Mueller and the Clintons and all of them were involved suppressing information about themselves and how they were running these child molesting blackmail rings that was being managed by the Clinton-Obama era FBI at the top.
[00:01:20.561 --> 00:01:40.041]  And we also in the documents learned that they tried to have the FBI implicate Donald John Trump because, as we've told you years ago, he was a confidential informant to the FBI in Palm Beach saying that the word is Epstein is engaged in criminal activity with underage girls.
[00:01:41.442 --> 00:01:44.123]  Everybody knows Donald Trump doesn't like little girls.
[00:01:44.123 --> 00:01:48.026]  Donald Trump likes intimidating bombshell females.
[00:01:48.026 --> 00:01:51.107]  Powerful type A females.
[00:01:51.107 --> 00:01:54.429]  I've never been, since I was an adult, intimidated by women.
[00:01:54.429 --> 00:01:55.890]  Not intimidated by men.
[00:01:55.890 --> 00:01:59.512]  But I have met Melania Trump just once and I was intimidated.
[00:01:59.512 --> 00:02:02.914]  Talk about Wonder Woman.
[00:02:02.914 --> 00:02:06.236]  That's the type of powerful man that wants a powerful woman.
[00:02:07.392 --> 00:02:09.193]  And so, I'm the same way.
[00:02:09.193 --> 00:02:14.016]  I mean, like Sir Mix-a-Lot says, I like a big, juicy, you know, the whole nine yards.
[00:02:14.016 --> 00:02:16.957]  I would never be attracted to a little girl, because I'm empowered.
[00:02:16.957 --> 00:02:18.958]  I want a powerful woman.
[00:02:18.958 --> 00:02:22.921]  But these pedophiles, they want to suck the energy off these little girls, little boys.
[00:02:22.921 --> 00:02:23.901]  They want to be creepy.
[00:02:26.348 --> 00:02:27.930]  Weinstein's really gross.
[00:02:27.930 --> 00:02:35.359]  He likes to have underage girls, like, clean, reportedly, like, skin growths under his belly, and he has a vagina as well, reportedly.
[00:02:35.359 --> 00:02:37.702]  He's, he's, uh, he's a hermaphrodite.
[00:02:37.702 --> 00:02:39.825]  I mean, can you imagine all of this?
[00:02:39.825 --> 00:02:41.607]  He, like, makes, like, 15-year-old girls.
[00:02:43.818 --> 00:02:50.300]  I mean, it's all about humiliation.
[00:02:50.300 --> 00:02:52.902]  I'm sorry to tell you all that, folks, but I think you really need to know.
[00:02:52.902 --> 00:02:55.203]  And it's the same thing with Jeffrey Epstein.
[00:02:55.203 --> 00:02:59.985]  He has sexually deformed genitals.
[00:02:59.985 --> 00:03:03.686]  You don't get in the globalist club unless you're really screwed up.
[00:03:03.686 --> 00:03:04.587]  They're fallen.
[00:03:04.587 --> 00:03:05.487]  They're diseased.
[00:03:05.487 --> 00:03:07.508]  They're inbred globalists.
[00:03:07.508 --> 00:03:09.729]  And that's why they don't like those of us that aren't.
[00:03:09.729 --> 00:03:11.930]  Why they want to make us twisted and fallen and ugly like them.
[00:03:13.305 --> 00:03:15.325]  Get the British Royalty all inbred as well.
[00:03:15.325 --> 00:03:25.307]  So it's all a bunch of inbred, hunchbacked demons who get all the power because they want the power, because they don't have the power.
[00:03:25.307 --> 00:03:27.468]  So now it's all coming out.
[00:03:27.468 --> 00:03:30.128]  Oh, another little surprise way before October.
[00:03:30.128 --> 00:03:33.069]  And I really like how Trump's attacking now.
[00:03:33.069 --> 00:03:35.409]  Don't wait until October.
[00:03:35.409 --> 00:03:38.490]  Attack, launch everything now.
[00:03:38.490 --> 00:03:39.410]  And then launch even more.
[00:03:40.779 --> 00:03:51.304]  Because there's such a treasure trove, you could release bombshells every 30 seconds from now until the election and not burn down the deep state quick enough.
[00:03:51.304 --> 00:04:03.231]  And there is just so much, and so these New World Order types that think that they are going to burn down the country and destroy it and hand it over to the Chi-Coms, you've got another thing coming.
