[00:00:11.947 --> 00:00:13.348]  Sorry folks, park's closed.
[00:00:13.808 --> 00:00:17.470]  We were here a week ago and this water entrance was closed.
[00:00:17.510 --> 00:00:18.651]  There were no cars here.
[00:00:19.311 --> 00:00:24.154]  But here we are a week later and it's open and hundreds of people are enjoying the Austin Greenbelt.
[00:00:24.755 --> 00:00:26.996]  And that's what this exercise of freedom is about.
[00:00:27.416 --> 00:00:31.438]  All over the world they're closing outdoor facilities under the COVID hoax.
[00:00:31.719 --> 00:00:35.561]  We're here because in Australia and in Spain and in Canada
[00:00:36.241 --> 00:00:40.722]  And in Austin, and in California, they're trying to keep the beaches and the parks closed.
[00:00:41.303 --> 00:00:46.124]  And humanity is saying, no, we will not bow down to you!
[00:00:46.604 --> 00:00:48.245]  We will go outside!
[00:00:48.405 --> 00:00:54.847]  We will enjoy God's creation!
[00:00:55.007 --> 00:01:03.229]  We are here to exercise our First Amendment, and our right to travel, and our right to use the public amenities.
[00:01:07.911 --> 00:01:20.758]  Ladies and gentlemen, we are here because the United Nations, on record, launched the COVID hoax and counts all the regular pneumonia and flus that do kill people as it does scare everyone.
[00:01:21.078 --> 00:01:32.665]  But we are here in defiance of this evil and we are here saying humanity knows we're under attack and we're taking the planet back from the global earth!
[00:01:34.807 --> 00:01:39.130]  This is a quarter-mile hike down, quarter-mile up so you get plenty of water.
[00:01:39.170 --> 00:01:46.656]  We're out here exercising, heart-free speech, and I salute and thank you all for being here!
[00:01:46.676 --> 00:01:47.296]  Let's go!
[00:01:47.376 --> 00:01:54.762]  Holy crap!
[00:01:55.062 --> 00:02:01.487]  Get that shit up!
[00:02:01.647 --> 00:02:02.488]  Get that shit up!
[00:02:28.324 --> 00:02:30.734]  No matter what, we just have to maintain America.
[00:02:30.775 --> 00:02:32.080]  In Jesus' name, America!
[00:02:40.436 --> 00:02:41.417]  This is what it's all about.
[00:02:41.457 --> 00:02:42.718]  Humanity just being humans.
[00:02:42.918 --> 00:02:44.760]  They want to end humans as we know it.
[00:02:44.820 --> 00:02:46.382]  They want to genetically program everybody.
[00:02:46.422 --> 00:02:50.545]  And they want us out of nature, in our houses, on VR, under their control.
[00:02:50.786 --> 00:02:56.831]  And these folks are here as the tip of the spear for all of humanity, saying we're keeping the human planet open.
[00:02:57.151 --> 00:02:58.513]  We're not the post-gun world!
[00:03:03.180 --> 00:03:07.261]  Next Saturday, Martin Springs, the Freeside's crystal clear.
[00:03:07.581 --> 00:03:08.801]  It's only a 100-yard walk.
[00:03:09.381 --> 00:03:10.302]  I'm gonna be out there.
[00:03:10.322 --> 00:03:11.882]  I don't care what the city says.
[00:03:12.182 --> 00:03:14.022]  I'm gonna pay for a professional food truck.
[00:03:20.024 --> 00:03:20.984]  Here's to freedom!
[00:03:21.024 --> 00:03:27.285]  And here's to all of you out here, and defiance to the tyrant!
[00:03:27.665 --> 00:03:30.646]  I salute you all!
[00:03:32.708 --> 00:03:36.169]  Mordello, especially Al, did not pay for this ad, even though we're using their theme music.
[00:03:36.209 --> 00:03:37.450]  You guys are badass, don't thank me!
[00:03:37.470 --> 00:03:39.051]  Great job kicking ass, man!
[00:03:39.071 --> 00:03:41.532]  We've been playing that music a lot longer than they've had it for their ad.
[00:03:42.592 --> 00:03:44.053]  So I said throw it on there at the end as a joke.
[00:03:45.313 --> 00:03:53.577]  You know, I thought to go to that part of the park, because that's where they denied my wife and myself and others, but I wasn't thinking, hey, it's 105 degrees, and it's a good walk down to it.
[00:03:53.757 --> 00:03:55.277]  Barton Springs, it's a 100-yard walk.
[00:03:55.758 --> 00:03:59.479]  So everybody said it was a great success, but I apologize to the few people that collapsed from heat exhaustion.
[00:04:00.280 --> 00:04:01.060]  But they were warned.
[00:04:01.380 --> 00:04:03.201]  But it was still a big success.
[00:04:03.241 --> 00:04:13.169]  The police admit that they've opened all the parks up because it's illegal for little contact tracers to set up at the entrance to parks and say you can't come into them until you give them your information.
[00:04:13.589 --> 00:04:15.391]  They're training you ahead of the forced inoculation.
[00:04:16.512 --> 00:04:22.476]  And the global Chinese credit score, which they now admit is official and that COVID-19 is the excuse for it.
[00:04:22.656 --> 00:04:24.418]  Of course, we told you all this six months ago.
[00:04:26.089 --> 00:04:27.410]  But now it's official.
[00:04:27.430 --> 00:04:31.594]  Yeah, it was the official Rockefeller and Carnegie and Bill and Melinda Gates documents.
[00:04:31.614 --> 00:04:34.717]  They were planning this, but now they're actually doing it.
[00:04:34.877 --> 00:04:38.060]  So it should be easier to defeat now that these criminals are out in the open.
[00:04:38.860 --> 00:04:39.561]  So much today.
[00:04:39.621 --> 00:04:43.945]  Roger Stone's got big exclusive political 2020 news at the bottom of the hour.
[00:04:44.465 --> 00:04:47.468]  And he also was really good friends with Robert Trump and
[00:04:48.911 --> 00:04:50.431]  Again, we'll have exclusive details of that.
[00:04:50.451 --> 00:04:52.652]  He, of course, passed just yesterday.
[00:04:53.232 --> 00:04:57.233]  And so much more is coming up on this live Sunday edition.
[00:05:00.534 --> 00:05:06.935]  78 days, 78 days from the election that the Democrats and the globalists would not have.
[00:05:07.615 --> 00:05:14.317]  So they're trying to put the nation into civil war and financial collapse under the COVID smokescreen.
[00:05:15.219 --> 00:05:20.042]  Thank you again so much for joining us on this August 16th Sunday live transmission.
[00:05:21.102 --> 00:05:23.624]  Roger Stone is going to be joining us.
[00:05:23.664 --> 00:05:25.385]  He was really good friends with Trump's brother.
[00:05:26.345 --> 00:05:32.487]  Robert Trump, who passed just over the weekend, and the media has been saying it's an unknown cause of death.
[00:05:32.507 --> 00:05:35.747]  For those that know the family, the cause of death is very well known.
[00:05:36.508 --> 00:05:38.988]  And he had a heart condition for 40 years.
[00:05:39.068 --> 00:05:40.529]  They said he could die at any time from it.
[00:05:41.009 --> 00:05:42.729]  He was routinely hospitalized over it.
[00:05:42.749 --> 00:05:49.151]  It's why he did not choose to be in super competitive business like his brother, though he's much like him, because his heart could not take it.
[00:05:49.631 --> 00:05:55.493]  So the younger brother dead at 71 years of age, and Trump had just gone to see him in the hospital Friday.
[00:05:55.953 --> 00:06:03.875]  There were so many false alarms that he was not there when his brother passed, but that's exclusive information about the family.
[00:06:03.895 --> 00:06:04.796]  They're very, very private.
[00:06:05.256 --> 00:06:09.177]  There's of course been huge celebrations online saying the wrong Trump died.
[00:06:09.197 --> 00:06:12.678]  They've had so-called Christian leaders come out and say that
[00:06:13.956 --> 00:06:15.116]  God took the wrong Trump.
[00:06:15.136 --> 00:06:17.897]  This is just truly sickening, evil behavior.
[00:06:17.917 --> 00:06:22.818]  But Roger Stone will have some details on his friend, Robert Trump, and eulogize him at the bottom of the hour.
[00:06:22.838 --> 00:06:25.599]  And then get into the big 2020 election news.
[00:06:25.639 --> 00:06:27.539]  We're glad to have Roger with Clemency.
[00:06:30.140 --> 00:06:35.601]  Still in the game for 2020 to give us his expert analysis on what's coming next and how to counter the NWO.
[00:06:35.641 --> 00:06:39.562]  So that is coming up, ladies and gentlemen, at the bottom of the hour.
[00:06:41.229 --> 00:06:47.373]  I was starting the show on Friday, and I had been trying to get Millie Weaver on for a week.
[00:06:47.393 --> 00:06:50.334]  She kept saying, I'm going to have Shadowgate's documentary done.
[00:06:51.415 --> 00:06:55.437]  They're contractors, they do whatever they want, they produce whatever they want, so I didn't really know what the film was about.
[00:06:55.777 --> 00:06:57.298]  I'd seen the trailer, it sounded interesting.
[00:06:57.859 --> 00:07:02.581]  She wanted to come on last week, and then this week, but kept saying, well, give me another day or so.
[00:07:04.242 --> 00:07:09.405]  And so Friday, I'm talking to her about finally getting her on, and when is she going to upload it, and where is she going to put it out?
[00:07:12.298 --> 00:07:14.759]  I'm lifting weights because there's a little gym here in the office.
[00:07:15.439 --> 00:07:19.261]  At like 8.30 in the morning, I get done, come over and start doing the preparations for the show.
[00:07:19.281 --> 00:07:30.026]  Right before I go live, they go, Millie Weaver has been arrested with her husband and Gavin, her husband's brother, at their house in Ohio.
[00:07:31.226 --> 00:07:36.329]  And so I see the video, we air it, and immediately people start saying, oh, it's fake.
[00:07:37.159 --> 00:07:40.343]  Because the cops first say they're just there for Gavin, then they say they're there for Millie as well.
[00:07:41.104 --> 00:07:42.266]  Well, it wasn't fake, folks.
[00:07:42.306 --> 00:07:43.267]  It's now in the newspaper.
[00:07:43.327 --> 00:07:45.851]  It's now in the local Cincinnati newspaper.
[00:07:45.911 --> 00:07:51.078]  It's now National News, InfoWars reporter, InfoWars contractor, contributor arrested.
[00:07:52.200 --> 00:07:53.642]  So, that's real.
[00:07:55.293 --> 00:07:58.234]  And it was not being done as a stunt because her film was coming out.
[00:07:58.294 --> 00:07:59.154]  We're not selling it.
[00:07:59.294 --> 00:07:59.854]  It's hers.
[00:08:00.014 --> 00:08:00.574]  It's free.
[00:08:00.954 --> 00:08:01.714]  It's something they did.
[00:08:01.754 --> 00:08:02.875]  They put a lot of films out.
[00:08:03.815 --> 00:08:07.316]  And so now all the fake conspiracy theories are to the side.
[00:08:07.736 --> 00:08:08.576]  She was really arrested.
[00:08:09.156 --> 00:08:11.536]  And her crews had a chance to talk to her in jail.
[00:08:12.717 --> 00:08:14.317]  We've had the details of that relayed.
[00:08:14.537 --> 00:08:18.218]  And so we have one of the people that helped her make the film, one of her good friends.
[00:08:19.352 --> 00:08:24.335]  Joining us, coming up about 15 minutes into the next hour to talk about that.
[00:08:24.976 --> 00:08:27.898]  And the big question is, was she arrested in relation to the film?
[00:08:29.258 --> 00:08:36.023]  Well, her mother has put out a statement, I guess on Facebook, saying that she'd moved there during the COVID lockdown from California three months ago.
[00:08:36.043 --> 00:08:42.287]  And they had some kind of altercation, a cell phone got broken, but she doesn't want charges pressed.
[00:08:43.748 --> 00:08:48.551]  And she doesn't know why three months after she filed this police report, when they had a fracas,
[00:08:50.080 --> 00:08:53.923]  A family fracas, why they've now been charged with all these felonies and things.
[00:08:54.003 --> 00:08:59.188]  So, and it's her name on the arrest warrant and all the rest of it as the victim.
[00:08:59.748 --> 00:09:05.934]  So it's confirmed that this is over a broken cell phone and her mother being thrown out of the house.
[00:09:08.570 --> 00:09:12.234]  And I mean, who hadn't had, especially when you're growing up and older, your parents moved in with you.
[00:09:12.274 --> 00:09:13.876]  I can imagine there'd probably be some practices.
[00:09:13.896 --> 00:09:17.280]  And I get along with my mom and dad, but they would probably not want me living with them.
[00:09:17.980 --> 00:09:19.382]  So that's part of this COVID pressure.
[00:09:19.422 --> 00:09:23.086]  So how is this, how is she still in jail with a sealed indictment over all this?
[00:09:23.707 --> 00:09:26.890]  So we'll figure all that out in the days to come.
[00:09:27.911 --> 00:09:29.333]  Here's the bad news, ladies and gentlemen.
[00:09:31.678 --> 00:09:34.059]  Why wasn't I given anything in the mail?
[00:09:34.420 --> 00:09:36.001]  Guys, go ahead and turn that audio off for me, thanks.
[00:09:36.221 --> 00:09:36.861]  Appreciate that.
[00:09:37.221 --> 00:09:38.082]  I'm sorry, I was getting a feed.
[00:09:38.102 --> 00:09:40.443]  I don't know if the radio listeners could hear it, but I was getting a feed.
[00:09:40.603 --> 00:09:42.324]  So, here's the question.
[00:09:46.867 --> 00:09:53.350]  Was she arrested for anything to do with the film Shadowgate?
[00:09:54.131 --> 00:09:55.852]  And I think the answer is probably not.
[00:09:57.731 --> 00:10:03.133]  But that is what is going to end up always being thought about this because of the timing and the coincidence.
[00:10:03.213 --> 00:10:06.915]  And so if they were trying to suppress this film, it had the opposite effect.
[00:10:07.275 --> 00:10:10.937]  Last time I checked, it had 1.5 million views on one version on YouTube.
[00:10:13.052 --> 00:10:16.937]  Right at 600,000 views at Band.Video, where it's posted for free.
[00:10:17.277 --> 00:10:19.319]  And a bunch of other versions with hundreds of thousands of views.
[00:10:20.020 --> 00:10:23.224]  So, um, I finally had a chance to watch it.
[00:10:23.264 --> 00:10:24.706]  Didn't have a chance to watch it until Friday night.
[00:10:25.206 --> 00:10:27.549]  So there I was covering all this, not knowing really what was in the film.
[00:10:28.470 --> 00:10:29.991]  People thought I was distancing myself from it, too.
[00:10:30.011 --> 00:10:34.834]  They're like, well, Jones is saying he doesn't know what's in it because, you know, she's a contractor, does whatever she wants.
[00:10:34.874 --> 00:10:37.976]  Well, I literally didn't know the contents of the film because I've not seen it.
[00:10:38.297 --> 00:10:40.618]  I was waiting to see it to get her on and talk about it.
[00:10:42.139 --> 00:10:47.423]  And overall, I mean, I think it covers real government things that go on and some of the way the propaganda systems operate.
[00:10:48.343 --> 00:10:50.964]  But I know Roger Stone gave me a call this morning because he's in it.
[00:10:51.524 --> 00:10:56.145]  And he's like, I never met General Jones and Paul Manafort.
[00:10:56.165 --> 00:10:57.566]  I haven't worked with him in over 20 plus years.
[00:10:57.586 --> 00:10:58.206]  He's my friend.
[00:10:58.246 --> 00:11:02.868]  And he said, Roger Stone's not involved running the secret internet control police.
[00:11:02.928 --> 00:11:05.148]  I can assure you he's a target of the deep state.
[00:11:05.188 --> 00:11:08.369]  But that's what one of the people interviewed said.
[00:11:09.490 --> 00:11:12.991]  I had the fella in here because he came to town, I guess, for the release of this.
