[00:00:00.169 --> 00:00:04.630]  They were the ones that lied from A to Z about everything about coronavirus.
[00:00:05.050 --> 00:00:06.170]  They lied about the death toll.
[00:00:06.210 --> 00:00:07.651]  They lied about how they were doing the testing.
[00:00:08.091 --> 00:00:10.631]  They lied and counted people that died of gunshot wounds and car wrecks.
[00:00:11.631 --> 00:00:23.974]  And the same frauds that then own the patents on the very vaccines they're trying to force us to take with incredible conflicts of interest come out now and tell us that the whole world is collapsing in a planetary reset
[00:00:24.847 --> 00:00:31.672]  Not because they created all this fiat currency, not because they stole trillions of dollars, not because they created this huge bubble, but because of coronavirus.
[00:00:32.173 --> 00:00:41.680]  And I said six months ago, and so did our reporter Greg Reese, we'll play his report in a moment, that this was part of the great global reset that Deimos and others have been calling for.
[00:00:42.020 --> 00:00:44.362]  That way the establishment doesn't get the blame.
[00:00:44.650 --> 00:00:44.870]  Absolutely.
[00:01:05.814 --> 00:01:11.659]  With a police state and a surveillance tech grid with the contact tracers over the organized collapse.
[00:01:12.039 --> 00:01:17.264]  And so the people would accept having a permanent loss in their standard of living to lower their carbon.
[00:01:17.744 --> 00:01:19.185]  Well, now they've come out and admitted that.
[00:01:19.686 --> 00:01:24.149]  Michelle Obama has said COVID is going to help us re-engineer the world and redistribute wealth.
[00:01:24.450 --> 00:01:27.552]  And CNN and the New York Times have said, this is good for the earth.
[00:01:27.752 --> 00:01:29.074]  It's lowering our carbon footprint.
[00:01:29.534 --> 00:01:33.157]  But the richest people in the world are leftist and communist and socialist.
[00:01:34.073 --> 00:01:43.761]  Fly around in jumbo jets and make millions of dollars a year because communism is set up by the elites to enslave and domesticate those at the bottom every single time.
[00:01:44.121 --> 00:01:47.123]  It's a way to con people back into serfdom and back into slavery.
[00:01:47.684 --> 00:02:02.115]  So the worldwide collapse that we are accelerating into right now has been 100% engineered and authored and implemented by the globalists to bring in world government, to put the United Nations, WHO in charge,
[00:02:02.782 --> 00:02:05.104]  And now we see videos all over Europe and all over the U.S.
[00:02:05.144 --> 00:02:12.308]  and the U.K., Australia, where there'll be a woman not wearing a mask in a store, and people walk up and say, you can't be here without a mask, the W.H.O.
[00:02:12.348 --> 00:02:12.669]  says.
[00:02:13.609 --> 00:02:17.092]  And the woman's like, but local law says if I have asthma or something, I don't have to wear it.
[00:02:17.112 --> 00:02:18.513]  He says, I don't care, the U.N.
[00:02:18.553 --> 00:02:19.833]  says, get out of here.
[00:02:20.534 --> 00:02:31.081]  So you wake up and you're under the United Nations, and it brings in the cashless society, they're refusing cash everywhere, and it allows them to surveil us and track us and control us with the Clinton Global Initiative,
[00:02:31.480 --> 00:02:41.368]  Running the worldwide tracking program that the taxpayer money by the billions is then forked over to them to make money while they track and trace and control our lives.
[00:02:42.769 --> 00:02:47.072]  Big tech was always set up to destroy the freedom of the web and to consolidate power and to censor.
[00:02:47.572 --> 00:03:00.142]  And now that they've silenced almost everyone off the internet, they're moving forward now to silence hundreds of prominent doctors, virologists, epidemiologists, and other scientists that are exposing that the entire COVID-19 story is a lie.
[00:03:00.936 --> 00:03:05.019]  And now they're talking about arresting people that question Fauci and the United Nations.
[00:03:05.479 --> 00:03:09.442]  We've gone off the edge of the cliff into high-tech modern tyranny.
[00:03:09.942 --> 00:03:11.904]  And only being honest about it is going to stop it.
[00:03:12.564 --> 00:03:20.630]  Now the United States is seeing food prices massively spike because if there's a positive at a farm of COVID-19, they shut it down for a few weeks.
[00:03:20.770 --> 00:03:23.412]  If there's a positive at a warehouse, they shut it down for a few weeks.
[00:03:23.772 --> 00:03:26.594]  Even if people are asymptomatic in almost every case and not sick.
[00:03:27.114 --> 00:03:29.016]  China's been open for business the entire time.
[00:03:29.476 --> 00:03:31.317]  Only the United States is still locked down.
[00:03:31.698 --> 00:03:36.101]  Only the United States is told we're the bad guys because we've done a hundred times the testing of anybody else.
[00:03:36.661 --> 00:03:39.143]  And the tests again are almost all false positive.
[00:03:39.403 --> 00:03:40.303]  They were designed to be.
[00:03:40.664 --> 00:03:49.309]  This was cooked up in modern globalist warfare circles to bring down the nation state and bring down America and punish us for electing President Trump.
[00:03:49.750 --> 00:03:52.892]  And President Trump has dropped the ball stopping the coordinated racketeering
[00:03:53.092 --> 00:03:56.774]  We are under an existential threat to destroy our very existence.
