[00:00:00.289 --> 00:00:05.432]  From the front lines of the information war, it's Alex Jones.
[00:00:09.234 --> 00:00:19.820]  And we are live on this Monday, February 3rd edition of the show, the man, the myth, the meme, the legend, Alex Jones himself will be coming up at the bottom of the next hour.
[00:00:20.361 --> 00:00:25.724]  But before that, we have an absolute plethora of news items to run through here today.
[00:00:26.858 --> 00:00:31.960]  Of course, we had the Super Bowl last night, the biggest TV broadcast in America for the year, as far as I know.
[00:00:32.480 --> 00:00:35.481]  And once again, it was a carnival of degeneracy.
[00:00:35.981 --> 00:00:37.021]  We're going to get into that.
[00:00:37.101 --> 00:00:45.424]  Specifically, the Halftime Show, and of course, the commercials, which were woke beyond belief, and that's putting it sympathetically.
[00:00:45.964 --> 00:00:47.244]  We've got headlines like this.
[00:00:47.304 --> 00:00:52.886]  CNN's Anna Navarro says, Super Bowl Halftime Show proves need for unlimited third world immigration.
[00:00:53.553 --> 00:01:07.699]  Because they had performances by Jennifer Lopez and Shakira, who performed songs almost exclusively written by white people, white Americans, so that proves the need for unlimited mass immigration, according to Ana Navarro.
[00:01:08.899 --> 00:01:12.861]  Super Bowl 2020 middle-aged strippers lip-sync tunes in Spanish.
[00:01:13.141 --> 00:01:20.164]  Yes, this is coming from the same corporate media industrial complex, in this case the NFL and Pepsi company.
[00:01:21.249 --> 00:01:30.036]  Which will get up and virtue signal all day about, you know, respecting women's role in the workplace, the Me Too movement, etc, etc.
[00:01:31.017 --> 00:01:43.407]  And then they'll have their performers get up on stage and twerk and stick out their tongs and do strip club pole dancers for the impressionable viewing intake of, in many cases, teenage girls.
[00:01:43.467 --> 00:01:45.209]  I've made this point over and over again.
[00:01:45.229 --> 00:01:47.110]  So we're going to get into that.
[00:01:47.130 --> 00:01:48.992]  We have headline here out of National File.
[00:01:49.955 --> 00:01:53.679]  Super Bowl halftime show featured pole dancing strip club mimicry.
[00:01:54.740 --> 00:01:55.561]  We're going to get into that.
[00:01:55.581 --> 00:02:06.893]  We're going to get into the latest with the coronavirus and we're going to get into the latest terrorist attack, Islamic terrorist attack in London, which seems like it's every month at this point.
[00:02:07.907 --> 00:02:19.793]  Yet again, a terrorist who was imprisoned for a period of three years and four months, despite a litany of terror offences, once again released early out on the streets.
[00:02:20.293 --> 00:02:26.376]  And it was only thankfully, again, to the quick response of anti-terror police that he was shot dead.
[00:02:26.396 --> 00:02:30.778]  A lot of people on Twitter, again, not happy that terrorists are being shot dead on the streets.
[00:02:31.707 --> 00:02:35.689]  But again, he was released halfway through his sentence.
[00:02:36.329 --> 00:02:41.111]  ISIS is now claiming credibility, claiming ownership of that terrorist attack.
[00:02:41.972 --> 00:02:57.980]  So we're going to get into exactly what the attacker, Sudesh Aman, did to deserve that prison sentence, why Islamic radicalization in prisons in the UK is a massive problem and nothing is being done to stop it, and why these terrorists are being released early.
[00:02:58.620 --> 00:03:00.921]  But again, the coronavirus continues to spread.
[00:03:02.505 --> 00:03:07.389]  17,000 confirmed cases now, 361 people dead.
[00:03:08.030 --> 00:03:12.114]  Of course, those are the official numbers being put out by the Chinese government.
[00:03:13.175 --> 00:03:19.541]  Many observers, credible observers, have said that many of these cases are being diagnosed as pneumonia.
[00:03:19.561 --> 00:03:23.204]  They're not being officially recorded as coronavirus cases.
[00:03:23.785 --> 00:03:25.767]  And the real numbers are being hidden.
[00:03:26.812 --> 00:03:39.519]  But if you talk about that, if you talk about the real cause of the coronavirus, if you speculate in any way, even while citing some of these same experts, you may get banned entirely off of social media over the weekend.
[00:03:40.139 --> 00:03:50.825]  Zero Hedge, which is one of the biggest, you could call it alternative media websites, but it's mainly a financial website, banned by Twitter.
[00:03:51.785 --> 00:03:55.047]  The circumstances behind the ban remain murky.
[00:03:55.706 --> 00:04:12.862]  BuzzFeed put out a hit piece, obviously once again abusing their position to lobby for their competition to be banned, claiming that Zero Hedge was banned by Twitter for doxing a, I think it was a virologist, who they accused of potentially being the source of the coronavirus.
[00:04:13.442 --> 00:04:17.406]  Turns out that that information was publicly available all along.
[00:04:17.486 --> 00:04:18.647]  It was not a doxing.
[00:04:19.208 --> 00:04:21.490]  But then the alternative explanation
[00:04:22.082 --> 00:04:35.151]  And this was the one that Twitter put out, or at least Reuters is reporting they did, that Zero Hedge was banned for platform manipulation policy, which means putting out, quote, disinformation.
[00:04:35.551 --> 00:04:36.932]  What is disinformation?
[00:04:37.412 --> 00:04:42.155]  Any information with which they, the establishment media, do not agree.
[00:04:42.235 --> 00:04:47.579]  So we've reached a new level of censorship where it's actually not harassment, not bullying, but
[00:04:48.456 --> 00:04:51.759]  Facts that they don't like that can now get you banned on social media.
[00:04:51.799 --> 00:04:53.000]  Don't go away, we'll be back.
[00:04:54.381 --> 00:05:00.587]  So we had yet another Islamic terrorist attack on the streets of London yesterday in broad daylight.
[00:05:01.548 --> 00:05:03.610]  Thankfully nobody died, at least not yet.
[00:05:03.690 --> 00:05:09.515]  Two people stabbed, another person injured as a result of the terrorists being shot and some glass shattering.
[00:05:10.365 --> 00:05:12.808]  The attacker has been named as Sudesh Aman.
[00:05:12.848 --> 00:05:14.830]  This is a headline out of BBC News.
[00:05:15.431 --> 00:05:29.847]  Sudesh Aman, who was the Streatham attacker, Streatham being the location in South London where this attack took place, says Sudesh Aman, the 20-year-old responsible for the attack in Streatham, South London on Sunday, pleaded guilty in November 2018
[00:05:31.184 --> 00:05:38.491]  To six charges of possessing documents containing terrorist information and seven of disseminating terrorist publications.
[00:05:38.551 --> 00:05:39.351]  Remember that date?
[00:05:39.812 --> 00:05:40.472]  November 2018.
[00:05:40.893 --> 00:05:48.279]  Yet he was out free on the streets a few days ago, unable to carry out this attack.
[00:05:48.659 --> 00:05:52.223]  Despite planning to carry out an attack before he was even in prison.
[00:05:53.083 --> 00:05:57.107]  Says three of the terrorist manuals the man admitted owning were about knife fighting.
[00:05:57.961 --> 00:06:03.045]  Of course, that was the weapon he used to attempt to kill the innocent people on the streets of Streatham.
[00:06:03.785 --> 00:06:08.529]  In fact, much of our man's fascination with conducting an attack was said to be focused on using a knife.
[00:06:09.628 --> 00:06:16.954]  He was jailed at the Old Bailey the following month for three years and four months and he was smiling while he was sentenced.
[00:06:17.535 --> 00:06:28.364]  He was released from HMP Belmarsh, which we're going to get on to talking about here in a second, on 23rd of January after serving just half of his sentence in custody.
[00:06:28.965 --> 00:06:33.408]  So we're talking less than two weeks later, he has the time to plan the attack.
[00:06:33.448 --> 00:06:35.250]  He's out on the streets carrying out the attack.
[00:06:36.218 --> 00:06:39.340]  He was under a curfew and had to wear a GPS tag.
[00:06:39.720 --> 00:06:44.363]  Coupled with exclusion zones such as ports and airports, he had to surrender his passport.
[00:06:45.184 --> 00:06:55.411]  So, presumably because he had this GPS tag, that's why the anti-terror police were following him around in the hours before this attack.
[00:06:55.451 --> 00:07:00.094]  That's presumably what happened given how swift they were in arriving on the scene.
[00:07:00.114 --> 00:07:03.196]  I think it was almost within minutes to shoot him dead.
[00:07:04.446 --> 00:07:11.068]  Now getting into some of these posts that a man put up on social media before he was jailed and then released early.
[00:07:11.849 --> 00:07:20.592]  The posts included a photo showing an image of a knife along with two firearms and a shahada flag along with the Arabic words armed and ready April 3rd.
[00:07:20.632 --> 00:07:23.713]  So he was planning some kind of attack back in 2018.
[00:07:25.274 --> 00:07:31.796]  He also featured a video of a pro-gay rights speaker who frequented Speaker's Corner in Hyde Park in London.
[00:07:32.483 --> 00:07:36.206]  And called on others to, quote, unite together to attack one another.
[00:07:36.306 --> 00:07:38.848]  He will be there this Sunday at Hyde Park.
[00:07:39.528 --> 00:07:46.313]  He's directly inciting violence against an individual, calling on people to violently attack someone for their free speech.
[00:07:47.554 --> 00:07:54.599]  Detectives also discovered that the student was using a WhatsApp group, exposing young members of his family to violent terrorist material.
[00:07:54.639 --> 00:07:58.222]  So he was already trying to radicalize members of his own family,
[00:07:58.948 --> 00:08:06.731]  Before he even went to prison, HMP Belmarsh, which is notorious for radicalizing Islamic terrorists.
