[00:00:00.130 --> 00:00:00.394]  Shut up.
[00:00:05.737 --> 00:00:09.119]  I listened to Joe talking about a transition.
[00:00:09.119 --> 00:00:11.160]  There's been no transition from when I won.
[00:00:11.160 --> 00:00:12.600]  I won that election.
[00:00:12.600 --> 00:00:21.004]  And if you look at crooked Hillary Clinton, if you look at all of the different people, there was no transition because they came after me trying to do a coup.
[00:00:21.004 --> 00:00:23.546]  They came after me spying on my campaign.
[00:00:23.546 --> 00:00:26.367]  They started from the day I won and even before I won.
[00:00:26.367 --> 00:00:29.168]  From the day I came down the escalator with our first lady.
[00:00:29.168 --> 00:00:30.989]  They were a disaster.
[00:00:30.989 --> 00:00:32.770]  They were a disgrace to our country.
[00:00:32.770 --> 00:00:33.890]  And we've caught them.
[00:00:33.890 --> 00:00:34.731]  We've caught them all.
[00:00:35.031 --> 00:00:36.292]  We've got it all on tape.
[00:00:36.292 --> 00:00:37.012]  We've caught them all.
[00:00:37.012 --> 00:00:40.594]  And by the way, you gave the idea for the Logan Act against General Flynn.
[00:00:40.594 --> 00:00:45.676]  You better take a look at that, because we caught you in a sense, and President Obama was sitting in the office.
[00:00:45.676 --> 00:00:49.138]  He knew about it too, so don't tell me about a free transition.
[00:00:49.138 --> 00:00:51.880]  As far as the ballots are concerned, it's a disaster.
[00:00:52.680 --> 00:00:55.762]  A solicited ballot, okay?
[00:00:55.762 --> 00:00:57.363]  Solicited is okay.
[00:00:57.363 --> 00:00:58.144]  You're soliciting.
[00:00:58.144 --> 00:00:58.844]  You're asking.
[00:00:58.844 --> 00:00:59.665]  They send it back.
[00:00:59.665 --> 00:01:00.965]  You send it back.
[00:01:00.965 --> 00:01:01.946]  I did that.
[00:01:01.946 --> 00:01:06.049]  If you have an unsolicited, they're sending millions of ballots all over the country.
[00:01:06.049 --> 00:01:07.129]  There's fraud.
[00:01:07.129 --> 00:01:08.630]  They found them in creeks.
[00:01:08.630 --> 00:01:10.211]  They found some with the name Trump.
[00:01:10.211 --> 00:01:14.214]  Just happened to have the name Trump just the other day in a waste paper basket.
[00:01:14.214 --> 00:01:15.815]  They're being sent all over the place.
[00:01:16.175 --> 00:01:18.377]  They sent two in a Democrat area.
[00:01:18.377 --> 00:01:19.878]  They sent out a thousand ballots.
[00:01:19.878 --> 00:01:21.399]  Everybody got two ballots.
[00:01:21.399 --> 00:01:23.960]  This is going to be a fraud like you've never seen.
[00:01:23.960 --> 00:01:25.801]  The other thing, it's nice.
[00:01:25.801 --> 00:01:29.244]  On November 3rd, you're watching and you see who won the election.
[00:01:29.244 --> 00:01:33.146]  And I think we're going to do well because people are really happy with the job we've done.
[00:01:33.146 --> 00:01:33.707]  But you know what?
[00:01:34.147 --> 00:01:34.767]  We won't know.
[00:01:34.767 --> 00:01:38.648]  We might not know for months, because these ballots are going to be all over.
[00:01:38.648 --> 00:01:40.349]  Take a look at what happened in Manhattan.
[00:01:40.349 --> 00:01:42.449]  Take a look at what happened in New Jersey.
[00:01:42.449 --> 00:01:45.130]  Take a look at what happened in Virginia and other places.
[00:01:45.130 --> 00:01:48.071]  They're not losing 2%, 1%, which, by the way, is too much.
[00:01:48.071 --> 00:01:50.051]  An election could be won or lost with that.
[00:01:50.051 --> 00:01:52.572]  They're losing 30 and 40%.
[00:01:52.572 --> 00:01:55.213]  It's a fraud, and it's a shame.
[00:01:55.213 --> 00:01:59.814]  And can you imagine where they say, you have to have your ballot in by November 10th.
[00:02:00.876 --> 00:02:01.877]  November 10th.
[00:02:01.877 --> 00:02:07.383]  That means that's seven days after the election, in theory, should have been announced.
[00:02:07.383 --> 00:02:09.145]  We have major states with that.
[00:02:09.145 --> 00:02:12.909]  All run by Democrats.
[00:02:12.909 --> 00:02:16.753]  President Trump, you're going to be able to continue.
[00:02:16.753 --> 00:02:20.937]  You have been charging for months that mail-in balloting is going to be a disaster.
[00:02:20.937 --> 00:02:21.458]  You say it's
[00:02:22.319 --> 00:02:24.320]  That it's going to lead to fraud.
[00:02:24.320 --> 00:02:31.546]  But in 2018, in the last midterm election, 31 million people voted mail-in voting.
[00:02:31.546 --> 00:02:37.691]  That was a quarter, more than a quarter of all the voters that year cast their ballots by mail.
[00:02:37.691 --> 00:02:43.455]  Now that millions of mail-in ballots have gone out, what are you going to do about it?
[00:02:43.455 --> 00:02:47.939]  And are you counting on the Supreme Court, including a Justice Barrett,
[00:02:48.499 --> 00:02:49.519]  To settle any disputes?
[00:03:06.445 --> 00:03:07.225]  Invalidated
[00:03:24.872 --> 00:03:32.258]  You either do, Chris, a solicited ballot, where you're sending it in, they're sending it back, and you're sending... They have mailmen with lots of it.
[00:03:32.258 --> 00:03:33.339]  Did you see what's going on?
[00:03:33.339 --> 00:03:34.640]  Take a look at West Virginia.
[00:03:34.640 --> 00:03:36.441]  Mailmen selling the ballots.
[00:03:36.441 --> 00:03:37.542]  They're being sold.
[00:03:37.542 --> 00:03:39.264]  They're being dumped in rivers.
[00:03:39.264 --> 00:03:41.265]  This is a horrible thing for our country.
[00:03:41.265 --> 00:03:43.307]  There is no... This is not... There is no evidence of that.
[00:03:43.307 --> 00:03:45.289]  This is not going to end well.
[00:03:45.289 --> 00:03:46.009]  There is no evidence of that.
[00:03:46.009 --> 00:03:46.109]  Okay.
[00:03:46.109 --> 00:03:47.210]  This is not going to end well.
[00:03:47.210 --> 00:03:51.113]  Vice President Biden... Five states have had mail-in ballots for the last...
[00:03:51.934 --> 00:03:55.396]  Decade or more, five, including two Republican states.
[00:03:55.396 --> 00:04:10.623]  Will you urge your supporters to stay calm during this extended period, not to engage in any civil unrest, and will you pledge tonight that you will not declare victory until the election has been independently certified?
[00:04:11.263 --> 00:04:12.444]  President Trump, you go first.
[00:04:12.444 --> 00:04:18.929]  I'm urging my supporters to go into the polls and watch very carefully, because that's what has to happen.
[00:04:18.929 --> 00:04:20.831]  I am urging them to do it.
[00:04:20.831 --> 00:04:22.812]  As you know, today there was a big problem.
[00:04:22.812 --> 00:04:24.794]  In Philadelphia, they went in to watch.
[00:04:24.794 --> 00:04:26.395]  They were called poll watchers.
[00:04:26.395 --> 00:04:28.317]  A very safe, very nice thing.
[00:04:28.317 --> 00:04:29.398]  They were thrown out.
[00:04:29.398 --> 00:04:30.859]  They weren't allowed to watch.
[00:04:30.859 --> 00:04:31.399]  You know why?
[00:04:31.399 --> 00:04:33.761]  Because bad things happen in Philadelphia.
[00:04:33.761 --> 00:04:34.882]  Bad things.
[00:04:34.882 --> 00:04:37.724]  And I am urging, I am urging my people.
[00:04:37.724 --> 00:04:39.206]  I hope it's going to be a fair election.
[00:04:39.206 --> 00:04:40.987]  If it's a fair election, well, I am
[00:04:41.627 --> 00:04:43.508]  President Trump knocked it out of the park.
[00:04:43.508 --> 00:04:45.569]  A lot of people are saying he did a terrible job.
[00:04:45.569 --> 00:04:48.030]  No, he did an incredible job.
[00:04:48.030 --> 00:04:53.112]  Folks that sit there and Monday morning quarterback things have never been in the arena.
[00:04:53.112 --> 00:04:59.115]  Stay with us.
[00:04:59.115 --> 00:05:08.599]  And perhaps, most cruelly of all, if Donald Trump has his way, the complications from COVID-19, which are well beyond
[00:05:10.596 --> 00:05:33.204]  Right after Joe Biden made that statement that more than 60% of America has died from COVID-19, when it's not even 200,000 in reality, he went on to say 6 million have lung scarring and heart damage.
[00:05:33.204 --> 00:05:34.285]  It's all made up.
[00:05:34.285 --> 00:05:35.105]  But you know where he got it?
[00:05:35.105 --> 00:05:38.266]  The mainstream media that continues to actually say things like that.
[00:05:38.266 --> 00:05:39.367]  They said that 4%
[00:05:40.247 --> 00:05:43.130]  The President of America would be dead already.
[00:05:43.130 --> 00:05:48.176]  Of course it's .0000 and then add a number because the numbers vary.
[00:05:48.176 --> 00:05:52.762]  It's a real virus just like people being struck by lightning is real.
[00:05:52.762 --> 00:05:57.748]  But to shut down society over lightning strikes is hysteria and is mind control.
[00:06:15.640 --> 00:06:17.861]  Well, I am not a cheerleader for President Trump.
[00:06:17.861 --> 00:06:19.042]  I am not a cult member.
[00:06:19.042 --> 00:06:24.324]  I don't just agree with his performance because I want to be positive.
[00:06:24.324 --> 00:06:27.446]  I think overall, Trump got an A-minus yesterday.
[00:06:27.446 --> 00:06:38.912]  And that's an A-minus in the debate up against Chris Wallace and Joe Biden, who were both double-teaming him and interrupting him and lying.
[00:06:38.912 --> 00:06:43.534]  And Wallace fact-checking Trump in live time, which is debating him.
[00:06:44.782 --> 00:06:55.887]  Unprecedented, even from four years ago, where they had multiple moderators ganging up on President Trump with Hillary there like a devilish hyena cackling.
