[00:00:04.153 --> 00:00:06.554]  Waging War on Corruption.
[00:00:06.554 --> 00:00:10.416]  It's Alex Jones.
[00:00:10.416 --> 00:00:20.540]  We are live.
[00:00:20.540 --> 00:00:23.321]  We are broadcasting worldwide.
[00:00:23.321 --> 00:00:31.804]  There is an incredibly important article up on Infowars.com of absolute biblical proportions.
[00:00:31.804 --> 00:00:33.685]  A creator of bioweapons act
[00:00:34.380 --> 00:00:38.723]  He says coronavirus is a biological warfare weapon.
[00:00:38.723 --> 00:00:43.047]  And that's, of course, Dr. Francis Boyle, who authored the U.S.
[00:00:43.047 --> 00:00:44.968]  Bioweapons Convention.
[00:00:44.968 --> 00:00:49.792]  He's going to come on tomorrow and give us his exclusive second big interview.
[00:00:49.792 --> 00:00:51.713]  He's teaching class right now.
[00:00:51.713 --> 00:00:53.975]  We're going to be breaking all of this down.
[00:00:53.975 --> 00:00:59.519]  Now, you already have the big Indian Scientific Technical Institute that does this, that maps viruses.
[00:01:00.845 --> 00:01:06.208]  Scanning it saying it's got the original HIV delivery system welded into it.
[00:01:06.208 --> 00:01:08.630]  Not HIV!
[00:01:08.630 --> 00:01:22.779]  No, ladies and gentlemen, the delivery system of HIV and a lot of other things welded into it and they have found the gene remnants that is always there when they insert a gene.
[00:01:22.779 --> 00:01:28.262]  There is a fingerprint or basically the shell casing is really how it's described.
[00:01:29.200 --> 00:01:41.024]  So they know with these electron microscopes and these systems they've got that can get down to the size of genes, but it leaves a trace like everything in this universe.
[00:01:41.024 --> 00:01:47.886]  It leaves footprints that don't just disappear, but that are there in time.
[00:01:47.886 --> 00:01:54.928]  And so then you saw the media go, oh, Infowars and Mike Adams specifically, you know, Media Matters and Vice.
[00:01:56.218 --> 00:02:01.724]  They're hyping all this up, saying it could be man-made, saying, oh, look at this.
[00:02:01.724 --> 00:02:05.268]  But then it, of course, turns out that's what all the evidence shows.
[00:02:05.268 --> 00:02:10.954]  We're just reporting on things days and weeks before the media ever even gets around to it.
[00:02:10.954 --> 00:02:15.919]  Then the media would spin it, saying that we were saying that it was HIV.
[00:02:15.919 --> 00:02:16.760]  We never said that.
[00:02:17.589 --> 00:02:18.890]  Or that we just made it up.
[00:02:18.890 --> 00:02:21.412]  No, this was a major technical institute that came out.
[00:02:21.412 --> 00:02:22.573]  They didn't retract it.
[00:02:22.573 --> 00:02:26.076]  They just pulled it though under World Health Organization pressure.
[00:02:26.076 --> 00:02:28.498]  So I've been really focusing on this.
[00:02:28.498 --> 00:02:30.720]  I was supposed to be on a vacation.
[00:02:30.720 --> 00:02:33.102]  I haven't had one really over a year.
[00:02:33.102 --> 00:02:34.663]  I've canceled four of them with my wife.
[00:02:35.347 --> 00:02:39.589]  Yeah, but I've been working the whole time here, and I'm going to come back to Austin, so everybody just needs to know that.
[00:02:39.589 --> 00:02:42.391]  And we've got Owen Schroer coming up.
[00:02:42.391 --> 00:02:47.853]  He's going to be riding shotgun here, so if there's any Skype problems, Mike Adams is going to be hosting.
[00:02:47.853 --> 00:02:53.116]  And I'm going to give him much of the floor in this hour to kind of tie together, because he is an engineer.
[00:02:53.636 --> 00:02:59.177]  And also runs a big chemical biological testing facility and has a lot of people that he's talking to.
[00:02:59.177 --> 00:03:08.259]  And there's a lot of top virologists and scientists, not just Dr. Francis Boyle, coming out and saying, this is a bioweapon that the Chinese probably stole from Canada.
[00:03:08.259 --> 00:03:10.360]  We know they did steal it out of Canada.
[00:03:10.360 --> 00:03:14.241]  They were weaponizing it and it got loose.
