[00:00:02.631 --> 00:00:03.233]  We're good.
[00:00:15.186 --> 00:00:18.528]  It is Monday, April 13th, the year is 2020.
[00:00:18.528 --> 00:00:24.292]  We are living in the most incredibly treacherous and dangerous time the world has ever seen.
[00:00:24.292 --> 00:00:32.177]  This is 21st century war between Globalist and their Chi-Com collaborators against the free world.
[00:00:32.177 --> 00:00:44.326]  Ladies and gentlemen, we are about to premiere a three-minute report that details that China and the Communist Party that runs it has now fired a warning shot against their deep state collaborators as Trump
[00:00:45.648 --> 00:00:47.533]  And patriots in our government.
[00:00:47.533 --> 00:00:50.883]  And the American people close in on their operations.
[00:00:50.883 --> 00:00:51.606]  Here is the report.
[00:00:53.470 --> 00:01:06.856]  In the intelligence community, a limited hangout is the deliberate revelation of some information about malfeasance to try to confuse and or prevent discovery of other information.
[00:01:06.856 --> 00:01:19.642]  In a recent Daily Mail article, the Communist Chinese admit, after four years of denial, that the COVID-19 virus resulted from work being done in the Wuhan Institute of Virology.
[00:01:20.382 --> 00:01:22.523]  ...and was paid for by the U.S.
[00:01:22.523 --> 00:01:30.628]  National Institute of Health, run by none other than Anthony Fauci during the Obama administration.
[00:01:30.628 --> 00:01:49.320]  In the article, the CCP admits to harvesting their bats from a single cave in Yunnan, China, thereby vindicating the work of Indian researchers who scanned its genome and found evidence that COVID-19 is a man-made hybrid, also known as a chimera virus.
[00:01:50.280 --> 00:02:04.879]  Controversy sparked in 2015 over the creation of a chimeric SARS-like virus at the University of North Carolina and a moratorium was enacted to end gain-of-function research in the United States.
[00:02:06.160 --> 00:02:13.826]  Gain-of-function research involves genetically increasing the transmissibility of deadly pathogens.
[00:02:13.826 --> 00:02:26.416]  Immediately following this moratorium, the Obama administration and the National Institute of Health under Dr. Anthony Fauci outsourced the work to the Wuhan Virology Lab in China.
[00:02:27.276 --> 00:02:39.662]  The NIH awarded $3.7 million in research grants to the Wuhan Institute of Virology for gain-of-function coronavirus experimentation on bats.
[00:02:39.662 --> 00:02:52.328]  The Wuhan Institute lists the NIH as a partner, as well as the University of Alabama, the University of North Texas, Harvard University, and the National Wildlife Federation.
[00:02:53.348 --> 00:03:02.490]  The CCP still claims that it was an accident, suggesting that the innocent bat experiments may have gotten out of control.
[00:03:02.490 --> 00:03:13.212]  But the admission is that COVID-19 came from the Wuhan Laboratory, and it was paid for and directed by Anthony Fauci and the NIH.
[00:03:13.212 --> 00:03:21.454]  The very same Fauci who is now suggesting extended lockdowns and mandatory vaccinations in the United States.
[00:03:23.169 --> 00:03:38.260]  As the world increasingly blames China for the COVID-19 virus, the CCP has fired a not-so-subtle warning shot across the bow of their American deep state accomplices.
[00:03:38.260 --> 00:03:46.506]  A massive war with China could potentially make all talk of deep state corruption vanish.
[00:03:46.506 --> 00:03:49.148]  Reporting for InfoWars.com, this is Greg Reese.
[00:03:52.145 --> 00:04:01.991]  As I said before they cranked this up, I said the impeachment against Trump will fail, the removal will fail, but they're going to launch something big, probably a bio-attack or a physical war.
[00:04:01.991 --> 00:04:14.919]  It got almost no attention Saturday and Sunday when warships and fighter planes flew over Taiwan, and China officially said, in fact reprint me that article please, that they are preparing for military action against Taiwan.
[00:04:14.919 --> 00:04:17.421]  We are now in a new world war.
[00:04:17.421 --> 00:04:20.643]  It's economic, and it's with collaborators in our media and our government.
[00:04:21.457 --> 00:04:22.638]  I am beyond angry now.
[00:04:22.638 --> 00:04:30.721]  I am so disgusted that they're doing this, they're trying it, and it's so reckless, and it will lead to war.
[00:04:30.721 --> 00:04:34.603]  Mark my words, we're at war with China.
[00:04:34.603 --> 00:04:37.905]  I wouldn't be surprised if we don't launch nuclear attacks within months.
[00:04:39.031 --> 00:04:40.652]  Or they launch attacks on us.
[00:04:40.652 --> 00:04:42.013]  It's on, folks.
[00:04:42.013 --> 00:04:44.814]  And the left, like the Washington Post said, G.G.
[00:04:44.814 --> 00:04:46.155]  Ping needs to destroy Trump.
[00:04:46.155 --> 00:04:47.376]  That's the headline.
[00:04:47.376 --> 00:04:51.098]  No, it will be you who are destroyed.
[00:04:51.098 --> 00:04:53.359]  America is now fighting for its life.
[00:04:53.359 --> 00:04:57.121]  But we will win.
[00:04:57.121 --> 00:05:04.405]  I'm not going to sit here and waste your time or my time and rattle off the successes and full wars ahead.
[00:05:04.405 --> 00:05:07.727]  If you're paying attention, you know we've done together.
[00:05:07.727 --> 00:05:08.488]  But I'll tell you this.
[00:05:10.017 --> 00:05:17.702]  The technocrats are really upping their game, and they are trying to destroy all independent forms of media.
[00:05:17.702 --> 00:05:20.083]  They're trying to shudder and silence the human resistance.
