[00:00:08.916 --> 00:00:11.279]  No, he's corrupt.
[00:00:11.279 --> 00:00:12.561]  And they found the laptop.
[00:00:12.561 --> 00:00:13.442]  You know what they call that?
[00:00:13.442 --> 00:00:16.065]  The laptop from hell.
[00:00:16.065 --> 00:00:18.588]  That is a laptop.
[00:00:18.588 --> 00:00:20.070]  That's a laptop from hell.
[00:00:20.070 --> 00:00:21.672]  Let's see what happens with it.
[00:00:21.672 --> 00:00:24.496]  Let's see what happens with it.
[00:00:24.496 --> 00:00:26.398]  So a giant trove of emails.
[00:00:27.597 --> 00:00:40.822]  Show Hunter Biden making deals, setting up meetings with his father, Joe, and using the office of the vice president for a for-profit cash machine.
[00:00:40.822 --> 00:00:41.482]  That's what it is.
[00:00:41.482 --> 00:00:43.723]  This guy's a vacuum cleaner.
[00:00:43.723 --> 00:00:45.664]  He follows his father around and takes
[00:00:46.812 --> 00:00:51.457]  Millions, hundreds of millions and billions of dollars out of these countries.
[00:00:51.457 --> 00:00:53.459]  I mean, that is so dishonest.
[00:00:53.459 --> 00:00:55.020]  That's so crooked.
[00:00:55.020 --> 00:00:55.361]  He is.
[00:00:55.361 --> 00:00:58.924]  I call him the human vacuum cleaner.
[00:00:58.924 --> 00:00:59.165]  Right.
[00:00:59.165 --> 00:01:01.207]  You know, those things on television.
[00:01:01.207 --> 00:01:03.149]  He's better than any one of them.
[00:01:03.149 --> 00:01:05.872]  Joe Biden said he knew nothing.
[00:01:05.872 --> 00:01:07.994]  But he lied because they have this.
[00:01:07.994 --> 00:01:09.896]  I'm telling you, this laptop is a disaster.
[00:01:11.255 --> 00:01:15.358]  From the lakes of Minnesota To the hills of Tennessee Across the plains of Texas From sea to shining sea
[00:01:41.215 --> 00:01:48.198]  Ladies and gentlemen, the magnitude, the stakes of what this country and the planet faces are so insane.
[00:02:07.438 --> 00:02:17.004]  That any student of history will tell you that this is one of the greatest moments that we're in in the history of our planet, and the forces of evil know that.
[00:02:17.004 --> 00:02:23.508]  The only problem is the forces of good really don't understand how much trouble we're really in.
[00:02:23.508 --> 00:02:32.513]  Now, everywhere Trump goes, despite the COVID hysteria and the overblown Chicken Little behavior, he gets between 20 and 50,000 people showing up.
[00:02:35.103 --> 00:02:37.244]  And I watched the videos all over the country.
[00:02:37.244 --> 00:02:44.726]  Joe Biden can't get 10 people to official big campaign events in major battleground states.
