[00:00:00.289 --> 00:00:08.032]  From the front lines of the information war, it's Alex Jones.
[00:00:09.632 --> 00:00:14.654]  To say that there is an information overload is an understatement.
[00:00:15.995 --> 00:00:19.816]  Yesterday a memo was released that's been confirmed to be real.
[00:00:20.636 --> 00:00:25.298]  It was a communique to the Iraqi Parliament and President saying
[00:00:28.140 --> 00:00:30.902]  Trump wants to pull the troops out and so does the Pentagon.
[00:00:31.783 --> 00:00:34.585]  Now I knew when I saw the document it was real because I've seen a lot of them.
[00:00:35.645 --> 00:00:49.735]  But I also knew because the Iraqi president had said two days before that he had received the communications from Trump and the Pentagon saying they were ready to pull out.
[00:00:49.775 --> 00:00:52.297]  That's been Trump's public policy that he wants that.
[00:00:53.298 --> 00:00:56.100]  There are forces behind the scenes that don't want that.
[00:00:57.537 --> 00:01:06.301]  Well, then we heard, oh, it's not a real memo, but later the head of the army said, no, it is a real memo, but it was not a final draft.
[00:01:06.521 --> 00:01:10.843]  So, folks, stuff like that isn't accidentally released.
[00:01:12.664 --> 00:01:14.805]  As the Pentagon said that it was an honest mistake.
[00:01:14.865 --> 00:01:17.966]  No, this is part of something a lot bigger.
[00:01:20.652 --> 00:01:25.594]  And it ties in to the Iranian government listing their targets.
[00:01:25.874 --> 00:01:27.755]  They said they'd list their targets of 35.
[00:01:28.375 --> 00:01:29.575]  They want you to attack.
[00:01:30.196 --> 00:01:31.396]  They want the left to attack.
[00:01:31.856 --> 00:01:33.157]  They said they're with the American people.
[00:01:33.177 --> 00:01:37.758]  They're now joining the anti-Trump movement, along with CNN, saying attack Trump's private properties.
[00:01:38.939 --> 00:01:40.520]  Attack him, attack his family.
[00:01:40.800 --> 00:01:41.460]  Unbelievable.
[00:01:41.940 --> 00:01:43.981]  That's all coming up.
[00:01:44.061 --> 00:01:46.762]  But the biggest news of the day is an exclusive.
[00:01:48.769 --> 00:01:55.815]  We'll tell you all about it when we come back after this break, but all this talk of killing Trump can give the deep state the cover to assassinate the president.
[00:01:56.803 --> 00:01:57.163]  Warning.
[00:01:57.924 --> 00:02:01.447]  The stage is set for Trump's assassination.
[00:02:02.107 --> 00:02:07.752]  Could the deep state use threats from Iran to complete their coup against President Trump?
[00:02:07.812 --> 00:02:12.356]  You take on the intelligence community, they have six ways from Sunday at getting back at you.
[00:02:12.376 --> 00:02:13.577]  Government's gonna kill this guy.
[00:02:13.797 --> 00:02:19.942]  The establishment might have finally set the stage for the perfect false flag to bury the president.
[00:02:20.763 --> 00:02:21.724]  Here's the scenario.
[00:02:22.004 --> 00:02:32.775]  We all know the evil Democrats would love to orchestrate a JFK-style coup to get rid of Trump, but fear the repercussions would mean another civil war in America.
[00:02:32.995 --> 00:02:40.222]  Normally, the criminal elite would not be opposed to civil war as long as they were able to maintain order out of chaos.
[00:02:40.322 --> 00:02:44.387]  However, the assassination of Trump would not work in their favor.
[00:02:44.688 --> 00:02:54.401]  American patriots on the streets and within the military would rise up and destroy the Democratic Party and their brainwashed supporters with a vengeance.
[00:02:56.303 --> 00:02:59.628]  Enter the enemy within, the neocons.
[00:03:00.469 --> 00:03:11.203]  The recent decision to authorize a US airstrike that barbecued Iran's top general Qasem Soleimani was a bold and justified response to a
[00:03:11.203 --> 00:03:14.265]  Welcome to Iran's terrorist campaign throughout the Middle East.
[00:03:14.485 --> 00:03:27.395]  Nobody mourns the death of Soleimani, may he rot in hell, but the action could very well set the course for a much larger conflict in the Middle East and might have sealed the fate for President Trump here at home.
[00:03:27.695 --> 00:03:33.619]  Now, both sides of the establishment, left and right, have the opportunity they've been waiting for.
[00:03:33.699 --> 00:03:37.842]  The ultimate false flag attack to strike down our president.
[00:03:39.013 --> 00:03:47.921]  Because now, if Trump gets assassinated, the American people will no longer suspect the criminal cartel operating the Deep State.
[00:03:48.222 --> 00:03:54.588]  Instead, they will blame the murder on Iran, and the American media will fully support that narrative.
[00:03:54.808 --> 00:04:01.935]  This will ultimately prevent civil war and divert the people's anger away from the treasonous Democrats.
[00:04:02.535 --> 00:04:13.483]  The death of Trump would mean no indictments against Democratic leaders, Hollywood celebrities, wealthy elites like George Soros, and criminal operatives within the mainstream media.
[00:04:13.783 --> 00:04:25.251]  The establishment would regain total control of the White House, the American people would be duped into another war, and the military-industrial complex would once again be satisfied.
[00:04:25.771 --> 00:04:28.593]  Now, am I saying this is absolutely going to happen?
[00:04:28.973 --> 00:04:29.253]  No.
[00:04:29.593 --> 00:04:31.374]  This is not a prediction.
[00:04:31.394 --> 00:04:32.995]  This is a warning.
[00:04:33.495 --> 00:04:35.176]  Trump better watch his ass.
[00:04:38.158 --> 00:04:38.778]  Spread the video.
[00:04:38.818 --> 00:04:39.879]  It's a VanDot video.
[00:04:41.580 --> 00:04:45.442]  It is Tuesday, January 7th, 2020.
[00:04:45.482 --> 00:04:54.547]  I'm your host, Alex Jones, here in defiance of globalist tyranny, by your sufferance, by your support.
[00:04:58.807 --> 00:05:08.735]  2020 was promised to be a very tumultuous year of big events, and it's not disappointing so far.
[00:05:08.815 --> 00:05:21.206]  The old Chinese proverb of may you live in interesting times, a double-edged sword, a two-sided coin.
[00:05:22.447 --> 00:05:24.329]  There's an old Russian saying,
[00:05:25.518 --> 00:05:27.980]  Ronald Reagan picked up and popularized here in the U.S.
[00:05:28.861 --> 00:05:30.782]  and that's trust but verify.
