[00:00:15.504 --> 00:00:16.284]  InfoWars.
[00:00:16.625 --> 00:00:17.525]  Tomorrow's news.
[00:00:17.805 --> 00:00:18.245]  Today.
[00:00:20.406 --> 00:00:22.187]  Well, let's jump right into it.
[00:00:22.307 --> 00:00:24.048]  It's Sunday, June 28th, the year is 2020.
[00:00:24.088 --> 00:00:29.291]  We are 127 days out from this incredibly important historic election.
[00:00:44.366 --> 00:00:50.170]  The news sites are Infowars.com and Newswars.com.
[00:00:51.711 --> 00:01:03.578]  And we are going to be opening the phones up in the second hour to discuss whatever issue or news report or story you would like to particularly get into.
[00:01:04.399 --> 00:01:09.842]  But again, thank you so much for joining us on this Sunday, June 28th, 2020 transmission with 127 days out from the election.
[00:01:13.726 --> 00:01:14.826]  Obviously the quickening's here.
[00:01:14.966 --> 00:01:16.527]  There's more news every time to cover.
[00:01:17.027 --> 00:01:19.588]  I think the best way for me to do this is just read you some headlines.
[00:01:20.068 --> 00:01:22.769]  Trump tweets video with white power chant, then deletes it.
[00:01:23.989 --> 00:01:31.092]  And it's a bunch of old white people in Florida yelling at other old white people, calling them Nazis and fascists and all this.
[00:01:31.132 --> 00:01:33.413]  And a guy jokes and says, yeah, white power back.
[00:01:34.193 --> 00:01:36.153]  And they go, oh my God, Trump, it's white power.
[00:01:36.173 --> 00:01:40.695]  In like a 10 minute video, there's a few seconds of him saying that as a joke back.
[00:01:42.952 --> 00:01:47.994]  Why is Sacha Baron Cohen able to run around and say, throw Jews down wells and kill black people?
[00:01:48.614 --> 00:01:49.995]  People go, oh, well, that's just a joke.
[00:01:50.875 --> 00:01:57.658]  But when it's an old white dude in Florida responding to someone calling him a Nazi, and they go, yeah, Heil Hitler, back, it's obviously a joke.
[00:01:57.698 --> 00:02:03.560]  But speaking of Sacha Baron Cohen, he's been caught in a giant Jussie Smollett false flag.
[00:02:03.820 --> 00:02:05.681]  And because he got caught red-handed doing it,
[00:02:07.472 --> 00:02:11.674]  The media is defending it and lying about it, but you want to know about being sued.
[00:02:11.734 --> 00:02:15.715]  You want to talk about criminal activity, civil and criminal.
[00:02:16.315 --> 00:02:17.236]  Cohen has done it.
[00:02:17.296 --> 00:02:18.956]  We talked to Oath Keepers that was there.
[00:02:19.497 --> 00:02:20.537]  We talked to the organizers.
[00:02:20.557 --> 00:02:21.477]  We've got them on tomorrow.
[00:02:21.858 --> 00:02:23.778]  Could have had them on today, but I want to be able to give them more time.
[00:02:23.838 --> 00:02:24.719]  It's only a two-hour show.
[00:02:24.759 --> 00:02:27.000]  The weekday show, 11 to 3 is four hours.
[00:02:28.800 --> 00:02:32.562]  They had armed men take over
[00:02:33.576 --> 00:02:35.277]  And start screaming racist stuff.
[00:02:35.697 --> 00:02:46.140]  They had armed men there premeditatedly so that the people couldn't stop him when he started doing all of his anti-semitic and anti-Asian stuff.
[00:02:47.680 --> 00:02:49.981]  This guy is a monster criminal.
[00:02:50.681 --> 00:02:57.463]  And you notice he went on the ADL last November and said, ban Alex Jones, arrest the big tech heads that don't serve him.
[00:02:58.304 --> 00:03:00.144]  And he went on to say, end free speech in America.
[00:03:00.544 --> 00:03:02.025]  Oh, but now that he got caught,
[00:03:02.850 --> 00:03:05.412]  Taking over this event and hijacking it criminally.
[00:03:05.932 --> 00:03:09.254]  Oh, the media's like, oh, you can't take a joke.
[00:03:10.675 --> 00:03:12.657]  This is unbelievable.
[00:03:12.697 --> 00:03:15.018]  He took over with armed men.
[00:03:17.480 --> 00:03:19.141]  He had police there on the payroll.
[00:03:19.461 --> 00:03:20.702]  He had an ambulance.
[00:03:23.564 --> 00:03:24.264]  They totally
[00:03:25.342 --> 00:03:34.609]  They hijacked through criminal fraud and took over a Reopen America event and now they're calling it a right-wing extremist militia event.
[00:03:35.389 --> 00:03:38.071]  Nothing against the militia, it's the Constitution, but they're misrepresenting.
[00:03:39.012 --> 00:03:46.518]  You talk about criminal conspiracy and this evil Count Dracula look-alike wants to suck out our free speech.
[00:03:46.958 --> 00:03:49.260]  Damn you to hell, Sacha Baron Cohen!
[00:03:49.720 --> 00:03:50.721]  You're not even an American.
[00:03:52.090 --> 00:04:04.194]  But you come over here and you use our First Amendment to try to set people up while you call for getting rid of it, and then you hide behind it when you're caught in criminal activity dressed up in a hayseed outfit.
[00:04:04.215 --> 00:04:06.835]  Remember back when Rand Paul was running for the Senate?
[00:04:08.136 --> 00:04:16.779]  And they caught people dressed up in overalls and with literal hayseeds in their mouth saying, I don't like blacks, I don't like Mexicans.
[00:04:17.439 --> 00:04:20.581]  And it turned out the guy was on the main campaign board
[00:04:21.826 --> 00:04:23.146]  of the guy running against Rand Paul.
[00:04:24.867 --> 00:04:26.207]  These people are sick.
[00:04:27.668 --> 00:04:33.069]  And they've woken up a lot of folks with this latest Bubba Smollett NASCAR situation.
[00:04:33.809 --> 00:04:35.730]  As it turns out, every one of those damn stalls had that.
[00:04:35.770 --> 00:04:36.510]  It wasn't a noose.
[00:04:36.570 --> 00:04:37.270]  A noose closes.
[00:04:37.530 --> 00:04:38.271]  This wasn't a noose.
[00:04:38.771 --> 00:04:41.752]  Everybody's gone in their garage, and most people have the very same rope.
[00:04:41.772 --> 00:04:43.032]  They're like, whoa.
[00:04:44.692 --> 00:04:45.833]  In fact, one of our crew members
[00:04:47.776 --> 00:04:55.838]  His dad is black and it totally woke him up about all this because he's a mechanic and his garage hangs the same damn rope.
[00:04:55.878 --> 00:04:57.358]  He's not putting another for the KKK.
[00:04:57.859 --> 00:05:02.840]  This is out of control brainwashing in an attempt to make us all kill each other.
[00:05:03.380 --> 00:05:05.981]  We're going to hit so many angles today, so many facets.
[00:05:06.061 --> 00:05:08.021]  It's one hell of a transmission.
[00:05:08.041 --> 00:05:10.902]  The only reason we're still on air about all the attacks is because of you.
[00:05:11.442 --> 00:05:12.602]  So don't call up thanking me.
[00:05:12.662 --> 00:05:13.683]  I want to thank you.
[00:05:14.183 --> 00:05:14.603]  Stay with us.
[00:05:14.623 --> 00:05:15.143]  We'll be right back.
[00:05:29.734 --> 00:05:31.614]  It's Sunday, June 28th.
[00:05:31.654 --> 00:05:32.555]  The year is 2020.
[00:05:32.675 --> 00:05:38.957]  I'm your host, Alex Jones.
[00:05:38.977 --> 00:05:40.878]  We are 127 days out from the election.
[00:05:41.458 --> 00:05:44.639]  I'm gonna have open phones in the second hour tonight.
[00:05:44.659 --> 00:05:46.480]  We're here every Sunday for the last 15 years.
[00:05:47.521 --> 00:05:48.381]  Hardly we've spent that long.
[00:05:48.401 --> 00:05:49.501]  4 to 6 p.m.
[00:05:50.062 --> 00:05:50.742]  And weekdays.
[00:05:51.442 --> 00:05:52.302]  I've been on for 24 years.
