[00:00:07.261 --> 00:00:09.222]  Yippee-I-Yay!
[00:00:09.222 --> 00:00:15.704]  Yippee-I-Oh!
[00:00:15.704 --> 00:00:32.249]  Ghost riders in the sky An old cowpoke went riding out one dark and windy day Upon a ridge he rested as he went along his way
[00:00:35.151 --> 00:00:36.091]  Welcome, it is March 30th.
[00:00:52.805 --> 00:00:53.946]  2020 on this Monday edition.
[00:00:53.946 --> 00:00:56.447]  I am your host, Alex Jones.
[00:00:56.447 --> 00:00:59.549]  We're going to be here the next four hours, live.
[00:00:59.549 --> 00:01:02.710]  And then the war room's coming up with Owen Schroyer.
[00:01:02.710 --> 00:01:06.332]  We have Mike Adams next hour.
[00:01:06.332 --> 00:01:08.993]  We have John Mark in the third hour.
[00:01:08.993 --> 00:01:10.574]  Robert Barnes in studio.
[00:01:10.574 --> 00:01:12.655]  I'll be co-hosting with him in the fourth hour.
[00:01:12.655 --> 00:01:13.716]  We're going to make a big announcement.
[00:01:14.456 --> 00:01:22.059]  During the fourth hour here today about a new show we're going to have live that'll be network commercial free.
[00:01:22.059 --> 00:01:23.299]  We're not going to have any of our ads.
[00:01:23.299 --> 00:01:29.362]  We'll have ads start in the middle of the hour for TV and radio stations, their ads, about seven minutes or so.
[00:01:30.442 --> 00:01:40.128]  And we're launching that tonight live, teleprompter-free, talking point-free with Robert Barnes, who's going to be here for the next month hosting that show.
[00:01:40.128 --> 00:01:43.950]  I'll get into more of that coming up in the fourth hour when he's here with us.
[00:01:43.950 --> 00:01:53.436]  We're gonna have a lot of other guests on the show and we're gonna take a lot of calls on the show because you will have an hour and 45 minutes of airtime
[00:01:57.051 --> 00:02:00.614]  In the two hours every night, so that everybody gets a chance to call in.
[00:02:00.614 --> 00:02:08.060]  We get to have a lot of guests, play a lot of clips, and get Barnes' really interesting take and perspective on all of that.
[00:02:08.060 --> 00:02:10.903]  But we're going to have other perspectives like Mike Adams, and I have to tell you,
[00:02:12.406 --> 00:02:17.109]  Looking at the numbers we have, if you have to go with those, Mike Adams has been dead on.
[00:02:17.109 --> 00:02:20.852]  And so some people have said that there's a rift there, and there's not.
[00:02:20.852 --> 00:02:28.638]  We don't get talking points like CNN or Fox News or MSNBC and then kind of go with the party line.
[00:02:28.638 --> 00:02:31.440]  Fox has less talking points than, say, CNN or MSNBC.
[00:02:31.440 --> 00:02:34.322]  We really are trying to figure out what's going on here.
[00:02:34.322 --> 00:02:36.604]  And that's why we've been breaking most of the big news.
[00:02:37.657 --> 00:02:40.299]  That's why we've been weeks or months ahead of everybody else.
[00:02:40.299 --> 00:02:42.781]  It's because we're looking at every angle.
[00:02:42.781 --> 00:02:45.203]  We're actually calling the shots here.
[00:02:45.203 --> 00:02:49.286]  Myself, the other hosts, the researchers, the producers, the callers, the guests.
[00:02:49.286 --> 00:02:51.787]  We're not pre-screening people and saying, what's your view?
[00:02:51.787 --> 00:02:57.291]  We want guests on that push a view that it's the end of the world or push a view that it's a total hoax.
[00:02:57.291 --> 00:03:00.374]  No, we're having a college debate here.
[00:03:00.374 --> 00:03:05.778]  That's really where the term college comes from is a large debate of the scholars and the experts and then
[00:03:07.071 --> 00:03:21.721]  Others would come and hear what the philosophers, and the scientists, and the researchers, and the architects, and the occultists, we go back to ancient Greece, or ancient Egypt, were talking about in the town square.
[00:03:21.721 --> 00:03:24.243]  And so this is the town square.
[00:03:24.243 --> 00:03:33.009]  We talk about science, and mathematics, and farming, and defense, and nationalism, and globalism, and Satanism, and Christianity, and Islam.
[00:03:33.009 --> 00:03:35.591]  We just have a giant open debate here.
[00:03:36.638 --> 00:03:42.841]  Now, I have come to an understanding of exactly what's going on with the coronavirus.
[00:03:42.841 --> 00:03:44.522]  I know it's happening.
[00:03:44.522 --> 00:03:49.404]  I had a huge brainstorm Saturday and Sunday with thousands of data points coming together.
[00:03:49.404 --> 00:03:59.148]  And then I tried to condense it live on air as a gestalt instead of taking a year to write a book about it.
[00:03:59.148 --> 00:04:00.109]  And yesterday,
[00:04:02.515 --> 00:04:04.436]  I just couldn't do it.
[00:04:04.436 --> 00:04:10.100]  I'll be honest with you, because there's so many subtleties, so many angles, so many points.
[00:04:10.100 --> 00:04:11.341]  I tried this morning.
[00:04:11.341 --> 00:04:12.622]  I got up at 4 a.m.
[00:04:12.622 --> 00:04:16.584]  I spent two hours trying to write notes to get through all the angles.
[00:04:16.584 --> 00:04:23.389]  And as soon as I went through one angle, there'd be other angles backing up what I know, the knowledge well.
[00:04:23.389 --> 00:04:26.591]  So I can go through each point and prove it.
[00:04:26.591 --> 00:04:27.332]  But then that would take 20 hours.
[00:04:30.808 --> 00:04:35.352]  So when we come back, I'm going to do my best to just cover the big breaking news.
[00:04:35.352 --> 00:04:48.464]  And then at the bottom of the hour, I will give you my absolute best breakdown of what is behind this, what's currently happening, and what's coming.
[00:04:48.464 --> 00:04:55.350]  You do not want to miss this Monday, original, live, uncensored, unfiltered, People's Pro-Human Transmission.
[00:04:55.350 --> 00:04:56.031]  I'm Alex Jones.
[00:04:58.988 --> 00:05:05.991]  Every week, every day, every hour, every minute, every second, right now is critical.
[00:05:05.991 --> 00:05:09.613]  History is happening right in front of us, and we can't be spectators.
[00:05:09.613 --> 00:05:14.455]  We've got to be men and women in the arena, regardless of race, color, creed, age, sexual preference.
[00:05:14.455 --> 00:05:15.495]  It doesn't matter.
[00:05:15.495 --> 00:05:21.038]  The globalists with the chi-coms and others are openly trying to plunge our economy and start a new depression.
[00:05:21.038 --> 00:05:27.761]  China, who hyped up this virus, is now back to work and ramping up their economy, while ours is going into a free-fall spiral.
[00:05:28.041 --> 00:05:36.146]  And Trump's desperately trying to restart it and create confidence in the globalist corporate media that was worshipping China just a month or so ago.
[00:05:36.146 --> 00:05:40.789]  And their response is saying Trump is terrible because they want America to fail.
[00:05:40.789 --> 00:05:42.170]  They want you to fail.
[00:05:42.170 --> 00:05:43.591]  But you can expose them.
[00:05:43.591 --> 00:05:44.612]  You can speak out.
[00:05:44.612 --> 00:05:51.956]  You can share the articles and videos and reports at InfoWars and Bandot Video that expose them and the globalists will go down.
[00:05:51.956 --> 00:05:54.178]  It's already blowing up in their face right now.
[00:05:54.178 --> 00:05:57.020]  So press the attack on the InfoWars and defeat the NWO.
[00:06:09.955 --> 00:06:14.858]  Defending the Republic from enemies foreign and domestic.
[00:06:14.858 --> 00:06:16.819]  It's Alex Jones.
[00:06:16.819 --> 00:06:22.922]  We are, my friends, on an island in space.
[00:06:40.157 --> 00:06:41.838]  On the island without pain.
[00:06:41.838 --> 00:06:47.841]  On the island without name.
[00:06:47.841 --> 00:06:51.042]  Many miles away from home.
[00:06:51.042 --> 00:06:56.465]  You don't think we really originated on this planet, do you?
[00:06:56.465 --> 00:07:01.627]  Of all the memories, the establishment doesn't want you to access those memories.
[00:07:01.627 --> 00:07:03.648]  Those race memories.
[00:07:03.648 --> 00:07:06.089]  Those human race memories.
[00:07:06.089 --> 00:07:07.750]  Because when you remember who you are,
[00:07:08.891 --> 00:07:10.753]  And how great you are.
[00:07:10.753 --> 00:07:13.915]  Their attempts to enslave you will end.
[00:07:13.915 --> 00:07:26.826]  Like vapor and phantoms at dawn.
[00:07:26.826 --> 00:07:29.628]  Two words.
[00:07:29.628 --> 00:07:33.631]  I've solved the coronavirus mystery.
[00:07:33.631 --> 00:07:38.335]  And it's just as we first thought in the beginning when we were openly speculating.
[00:07:40.083 --> 00:07:44.487]  It is a horrible virus.
[00:07:44.487 --> 00:07:45.328]  It is man-made.
[00:07:45.328 --> 00:07:53.855]  It is a soft kill weapon.
[00:07:53.855 --> 00:07:57.178]  Two words, soft kill.
[00:07:57.178 --> 00:08:00.801]  Silent weapons for quiet wars.
[00:08:02.714 --> 00:08:06.037]  And I will break it down at the bottom of the hour, exactly what we're facing.
