[00:00:00.209 --> 00:00:01.549]  It was all pre-planned.
[00:00:01.589 --> 00:00:02.850]  It was all organized.
[00:00:02.870 --> 00:00:08.931]  It was all done in lockstep with precision from the United Nations.
[00:00:10.071 --> 00:00:25.554]  And now at least 10 blue states that we know of premeditatedly sent pneumonia, flu, and supposed COVID-19 patients in to nursing homes and into hospitals to murder everyone.
[00:00:27.267 --> 00:00:30.828]  And you've got another nurse going public and talking about what they witnessed.
[00:00:32.229 --> 00:00:36.231]  And how somebody would come in, panic attacking, you name it, 37 years old.
[00:00:36.991 --> 00:00:38.011]  Doesn't have anything wrong with them.
[00:00:38.232 --> 00:00:39.432]  Oh, we'll take care of you, bro.
[00:00:42.013 --> 00:00:43.394]  You talk about moths to flame.
[00:00:44.614 --> 00:00:46.335]  Have a little bit of anxiety locked up in your house?
[00:00:49.022 --> 00:00:50.763]  You test negative, put it positive.
[00:00:51.343 --> 00:00:51.683]  Kill it.
[00:00:51.743 --> 00:00:52.463]  Let's get the cash.
[00:00:54.084 --> 00:00:55.564]  And turn up the power.
[00:00:55.844 --> 00:00:57.685]  Oh, the WHO, they're our boss now.
[00:00:57.945 --> 00:01:01.086]  The UN says have it at a level 30% higher than we ever do.
[00:01:01.186 --> 00:01:01.666]  Intubation.
[00:01:02.026 --> 00:01:03.387]  Well, with COVID, you do it.
[00:01:06.588 --> 00:01:11.430]  From the front lines of the information war, it's Alex Jones.
[00:01:15.211 --> 00:01:17.872]  We are live, my friends, broadcasting worldwide.
[00:01:19.139 --> 00:01:25.061]  On this live June 11th, 2020, Thursday transmission.
[00:01:26.181 --> 00:01:31.803]  And this broadcast is a major benchmark, a major signpost on where we are.
[00:01:32.543 --> 00:01:38.825]  This particular broadcast and all the things that have come together marks a new level.
[00:01:39.918 --> 00:01:50.984]  Of the globalist criminal operation unraveling in front of our eyes and them like degenerate gamblers or cornered rats doubling down every time.
[00:01:54.426 --> 00:01:59.128]  The level of total AI censorship and control off the charts.
[00:02:01.669 --> 00:02:08.173]  Parents groups criticizing pedophile story time at their school banned on Facebook for just even criticizing it.
[00:02:09.773 --> 00:02:17.235]  The military brass turning against the president publicly, signaling that they'll support a coup.
[00:02:18.895 --> 00:02:31.819]  An actual warlord, now in control of a large part of Seattle, beating people up on the nose to enforce his new police department's edicts.
[00:02:33.689 --> 00:02:36.110]  And Antifa saying it's a wonderful new benchmark.
[00:02:36.571 --> 00:02:39.032]  You cannot make this stuff up.
[00:02:39.132 --> 00:02:43.514]  And then, John Rappaport yesterday played some clips.
[00:02:43.534 --> 00:02:46.476]  We posted a video that's undoubtedly going to get banned on YouTube.
[00:02:47.716 --> 00:02:53.039]  To ban.video, New York undercover nurse confirms COVID-19 criminal hoax.
[00:02:53.739 --> 00:02:59.202]  She's in the epicenter of the epicenter of the epicenter of where the main deaths are.
[00:02:59.222 --> 00:03:02.504]  And she says, the people didn't have COVID and they were putting
[00:03:04.639 --> 00:03:10.764]  Ventilators on the people and killing them to jack up the numbers, and she has the video.
[00:03:12.765 --> 00:03:15.507]  She's going to be on Tucker Carlson tonight, I'll just tell you that.
[00:03:16.888 --> 00:03:27.376]  That's what InfoWars serves as, is that incubator to do the research, find the intel, the listeners send it to us, we put it out to millions, and then it ends up on Limbaugh and Tucker, and that's why
[00:03:28.683 --> 00:03:48.930]  Media Matters hates us so much in all ways as you're pointing that out, but it's the audience that's getting the word out and supporting us to have a platform like Bandot Video so that all these nurses and doctors and people coming out exposing the COVID hoax have a shot and have a chance to be able to respond to all this evil.
[00:03:48.950 --> 00:03:53.252]  So I have a list of five videos from the video that's at Bandot Video.
[00:03:54.599 --> 00:04:01.782]  That you should really share to expose these criminals that we're gonna be playing when we come back at the start of the next segment.
[00:04:03.923 --> 00:04:07.765]  But again, it's New York undercover nurse confirms COVID-19 criminal hoax.
[00:04:07.825 --> 00:04:10.887]  Let me explain this in very calm words.
[00:04:12.407 --> 00:04:19.691]  COVID-19 is not just a criminal hoax to lock down the economy and transfer power to the globalists and their medical tyranny.
[00:04:21.707 --> 00:04:31.934]  Over half the people that died in the United States were in nursing homes where they took people with pneumonia or the flu and put them in there saying they had COVID-19 knowing it would kill people.
[00:04:35.396 --> 00:04:38.178]  Just like walking up to somebody and shooting them in the head with a shotgun.
[00:04:39.895 --> 00:04:46.580]  And the doctors told them don't do this and it turns out at least 10 Democrat states did it and are still doing it.
[00:04:46.980 --> 00:04:50.543]  These people are next level cold-blooded killers.
[00:04:50.863 --> 00:04:52.044]  They know what they're doing.
[00:04:52.084 --> 00:04:59.149]  I've had nightmares about this particular issue because they're not just aborting babies or keeping babies alive and selling their organs.
[00:04:59.529 --> 00:05:02.971]  They premeditatedly knew they weren't going to have any death counts.
[00:05:04.031 --> 00:05:09.815]  And so they sent people that had the flu or pneumonia to nursing homes.
[00:05:12.336 --> 00:05:12.877]  Young people.
[00:05:14.678 --> 00:05:15.578]  To infect.
[00:05:15.639 --> 00:05:18.240]  And I remember hearing that four months ago in Italy.
[00:05:18.580 --> 00:05:25.585]  Nurses came out and said they're sending people that have tested positive supposedly or have other respiratory problems here to the nursing homes.
[00:05:26.125 --> 00:05:27.186]  They want dead people.
[00:05:27.606 --> 00:05:28.487]  This is on purpose.
[00:05:29.367 --> 00:05:31.249]  She said they're using people as incubators.
[00:05:32.150 --> 00:05:32.671]  To spread it.
[00:05:32.851 --> 00:05:33.432]  And they did.
[00:05:34.153 --> 00:05:35.455]  This was all planned, folks.
[00:05:35.475 --> 00:05:38.981]  This is so eugenics next level.
[00:05:40.443 --> 00:05:41.725]  And the House of Cards is coming down.
[00:05:41.745 --> 00:05:42.627]  We'll be back in 60 seconds.
[00:05:45.801 --> 00:06:05.360]  144, 144 earth rotations until the most historic election in world history, a referendum on nationalism, the free market and the renaissance and Christendom versus the technocracy in the post-human nightmare world of the New World Order.
[00:06:06.417 --> 00:06:09.338]  Ladies and gentlemen, it is Thursday, June 11th.
[00:06:09.418 --> 00:06:09.958]  The year is 2020.
[00:06:10.419 --> 00:06:18.622]  I am your host, Alex Jones, with my intrepid crew, here only because of your support and God's blessings.
[00:06:19.062 --> 00:06:22.743]  You are the info war, and I salute you, and I thank you.
[00:06:25.724 --> 00:06:30.746]  Okay, I've said this a hundred times, this is so true, and I'm going to say it again today.
[00:06:30.766 --> 00:06:31.947]  The only way to start the broadcast.
[00:06:33.973 --> 00:06:40.014]  I've been on there 26 years, and the first 5, 6, 7 years I never said, this is the biggest show I've ever done, this is the craziest.
[00:06:40.054 --> 00:06:45.335]  And then about 20 years ago, maybe once or twice every couple years, I'd say this is the biggest thing we've ever done.
[00:06:46.256 --> 00:06:47.676]  This is the craziest time in world history.
[00:06:48.056 --> 00:06:52.157]  But now as the quickening accelerates, I'm seeing it every month, and every week, now every day.
[00:06:53.017 --> 00:07:03.119]  But what's happening, and the confluence of insanity, and world government, and Mark of the Beef, and just pedophiles coming out in the open, war, rumors of war,
[00:07:05.561 --> 00:07:13.147]  All of this is just off the charts insane and it's going to get more insane every week, every day, every month going out from here.
[00:07:14.768 --> 00:07:16.149]  So now's the time to get right with God.
[00:07:21.853 --> 00:07:31.540]  I almost don't want to tell you what's coming up today because it's all so important because I don't want to take away from the first big thing we're going to cover that is the biggest enchilada ever.
[00:07:33.652 --> 00:07:44.215]  It's so seismic, it's so huge, and I feel guilty that I have not done more on this.
[00:07:44.315 --> 00:07:46.876]  And when you hear me cover it, you'll go, you talk about it constantly.
[00:07:46.916 --> 00:07:58.099]  Yeah, but this is such an over-the-top, cult-level exercise of power over us that if people don't hang for this, and I mean hang,
[00:08:03.063 --> 00:08:04.044]  Then the blood's on our hands.
[00:08:05.085 --> 00:08:08.068]  Because it is a pissing in our face event.
[00:08:09.810 --> 00:08:15.636]  And it's not about being pushed around and then, oh, you get mad so you gotta do something because you're not gonna push me around.
[00:08:15.996 --> 00:08:23.764]  It's about what comes next if we put up with this.
[00:08:28.100 --> 00:08:34.041]  There have been hundreds of medical doctors, hundreds, that have come out in Europe, the United States, Canada, the U.S.
[00:08:35.742 --> 00:08:55.847]  Hundreds of nurses, prestigious university scientists, the head of the Rockefeller Hospital, the Cedars-Sinai clinic owners, have all come out and said, we're having the normal amount of deaths from seasonal flu and pneumonia.
[00:08:57.170 --> 00:08:59.791]  And they're just putting all those in the COVID column and these tests are fake.
[00:09:00.371 --> 00:09:03.632]  And Bill Gates is testing, the main testing factory's been shut down as a fraud.
[00:09:05.073 --> 00:09:05.913]  That's been confirmed.
[00:09:08.394 --> 00:09:09.655]  But still, the hoax goes forward.
[00:09:11.255 --> 00:09:24.140]  And now, another nurse at the epicenter of the epicenter of the supposed
[00:09:26.823 --> 00:09:29.925]  COVID-19 outbreak, shot video of it all.
[00:09:30.726 --> 00:09:40.572]  In the computers, and in the operatories, and in the beds, in the rooms, showing total premeditated criminal fraud.
[00:09:41.353 --> 00:09:44.035]  Not just saying people had COVID that didn't.
[00:09:44.055 --> 00:09:44.996]  She has all the tests.
[00:09:45.936 --> 00:09:48.038]  They test them three times, and they'd say, we don't care.
[00:09:48.338 --> 00:09:51.820]  Put COVID in, and then they'd run a tube down their throat.
[00:09:53.121 --> 00:09:54.362]  These are people that are healthy.
[00:09:57.463 --> 00:09:59.464]  And destroy their lungs and kill them.
[00:10:05.165 --> 00:10:07.306]  They've turned the hospitals into execution centers.
[00:10:08.286 --> 00:10:22.970]  You know, I've asked David Knight, who's a great guy, I've asked, I've asked, I've asked them all to go back to the old interviews from like five years ago, and to get those nurses back on, or we'll open the phones up and, you know, have nurses contact us again and we'll vet who they are and then have them on the air as whistleblowers, or they can go public.
[00:10:24.271 --> 00:10:25.391]  They can stay private or go public.
[00:10:26.946 --> 00:10:31.171]  You understand when they give preemies vaccines, about half the time they end up dying.
[00:10:31.912 --> 00:10:32.793]  When they're little preemies.
[00:10:33.514 --> 00:10:36.457]  And they started this about 10 years ago under bioethics.
[00:10:36.858 --> 00:10:37.518]  New policies.
[00:10:38.880 --> 00:10:39.541]  Just a policy.
[00:10:40.222 --> 00:10:42.004]  And they give them the shots and it kills them!
[00:10:44.540 --> 00:10:52.301]  And so they go, oh, we're going to save them, and they bring in ventilators to intubate the babies, and the doctors go, oh no, the hospital board says don't do that.
[00:10:52.701 --> 00:11:00.423]  They're killing them because they want to set a precedent to have nurses that are involved in murder to build a corps of killers.
[00:11:02.443 --> 00:11:04.463]  So I'm going to cover all this at the start of the next segment.
[00:11:04.763 --> 00:11:10.224]  I think the best thing to do is just play it from the beginning of the undercover report that's at man.video.
[00:11:10.244 --> 00:11:13.465]  We'll put it back on screen, and then I'll play some actual clips from it.
[00:11:15.114 --> 00:11:17.417]  Do you understand it's not just her?
[00:11:17.637 --> 00:11:19.339]  We know the whole track record.
[00:11:19.399 --> 00:11:22.122]  We know that doctors said don't send patients
[00:11:25.811 --> 00:11:31.512]  Who have tested positive for COVID-19, but are asymptomatic, to make them quarantine in a nursing home.
[00:11:31.813 --> 00:11:36.114]  That's insane, because if they have a normal pneumonia or flu, still, it'll kill people.
[00:11:36.694 --> 00:11:44.116]  And they did it to get the death numbers up, and half of their 110,000 dead is people in nursing homes!
[00:11:44.836 --> 00:11:46.296]  Premeditated!
[00:11:46.496 --> 00:11:52.458]  And now we've got a nurse shot video of all of it, inside the supposed epicenter of the epicenter!
[00:11:53.298 --> 00:12:07.441]  Red fricking handed man, and I know the globalists are evil But to watch them externalize their method and to get it down into the medical core To all over the US they have hospitals where they keep babies alive.
[00:12:08.122 --> 00:12:08.682]  The mother goes.
[00:12:08.742 --> 00:12:09.002]  Okay.
[00:12:09.022 --> 00:12:09.482]  I want the baby.
[00:12:09.522 --> 00:12:20.925]  They go fine We're gonna decide to terminate it and then they keep it alive while they get orders for the organs sometimes a month and Then they kill it and cut its goodies out.
[00:12:21.765 --> 00:12:22.185]  Holy
[00:12:23.752 --> 00:12:24.152]  Hell!
[00:12:27.094 --> 00:12:29.595]  We're not gonna get as bad as Nazi Germany.
[00:12:29.636 --> 00:12:31.437]  We're already past it, folks.
[00:12:31.517 --> 00:12:32.437]  It's just all hidden.
[00:12:34.018 --> 00:12:47.546]  And the globalists have committed crimes so ultra-massive, they think that they're going to get away with it because no one will be able to admit that it's so horrible and it's so evil and it's so over-the-top that it'll just become something we do!
[00:12:51.348 --> 00:12:52.009]  Like abortion?
[00:12:53.243 --> 00:12:53.804]  Or any of it.
[00:12:56.187 --> 00:12:57.990]  So it's all coming up, ladies and gentlemen.
[00:12:58.971 --> 00:13:02.516]  And then, yeah, then we've got Seattle now.
[00:13:03.217 --> 00:13:09.185]  A large part of the city is controlled by a self-described African warlord.
[00:13:11.360 --> 00:13:13.641]  And it's being endorsed by the left as a wonderful new thing.
[00:13:14.021 --> 00:13:15.961]  And there's videos of him running around.
[00:13:15.981 --> 00:13:18.682]  Can we go to his YouTube channel and show folks this guy?
[00:13:19.362 --> 00:13:25.643]  Running around, beating people up, calling himself and his armed goons the police department.
[00:13:30.484 --> 00:13:38.426]  I mean, this is just the absolute self-destructive complete mental illness of the left.
[00:13:39.960 --> 00:13:47.323]  They create a total and complete collapsed society and call it liberation.
[00:13:50.964 --> 00:13:58.346]  And the Antifa says that they control this sector of the city and they've appointed a black dictator over themselves.
[00:14:00.687 --> 00:14:05.309]  And then he explains how he's gonna quote, shoot everyone.
[00:14:10.407 --> 00:14:12.288]  I mean, this is joke level, ladies and gentlemen.
[00:14:12.788 --> 00:14:14.069]  And this is not satire.
[00:14:14.149 --> 00:14:15.129]  This is not fake.
[00:14:15.849 --> 00:14:16.790]  This guy's real.
[00:14:16.830 --> 00:14:17.550]  I went and looked it up.
[00:14:18.430 --> 00:14:19.431]  And this is the left's guy.
[00:14:23.112 --> 00:14:28.775]  He says he's this Robin Hood guy that's gonna kill the mayor and kill everybody and redistribute the money in his rap songs.
[00:14:28.815 --> 00:14:37.038]  But then, in the real world, he catches some Antifa guy tagging, and he says that's not authorized, so he beats him up and steals his phone.
[00:14:38.624 --> 00:14:38.884]  As far as
[00:15:03.883 --> 00:15:08.524]  And we analyze the whole enchilada here on air and that's why we're the most banned broadcast in the world.
[00:15:08.564 --> 00:15:12.506]  But we're glad that Tucker's leading the way now in mainstream news exposing this fraud.
[00:15:12.786 --> 00:15:15.947]  He's gonna have this nurse whistleblower that shot all the video on tonight.
[00:15:16.027 --> 00:15:18.607]  This is beyond bombshell.
[00:15:18.647 --> 00:15:22.208]  This should sink the whole New World Order if we expose it.
[00:15:22.749 --> 00:15:25.009]  But Fauci and Gates orchestrated the whole thing.
[00:15:25.229 --> 00:15:26.830]  They are mass serial killers.
[00:15:28.170 --> 00:15:30.711]  For a criminal conspiracy to succeed,
[00:15:32.051 --> 00:15:47.635]  It must have the people involved either completely in league with the operation or compartmentalized, carrying out their task, believing that they're building something completely different than what they're actually constructing.
[00:15:49.091 --> 00:15:51.411]  I have reverse engineered the globalist operation.
[00:15:52.252 --> 00:15:53.112]  It's not been hard.
[00:15:53.292 --> 00:15:54.472]  Most of it's out in the open.
[00:15:55.212 --> 00:16:02.394]  It is so evil that I'm getting chills right now, and every hair on my body is standing up.
[00:16:03.514 --> 00:16:07.094]  And my mind tells me, pull my sword and go to work.
[00:16:09.715 --> 00:16:11.355]  We're going to do it with information, aren't we?
[00:16:14.256 --> 00:16:15.536]  But you are under attack!
[00:16:17.759 --> 00:16:19.581]  Stop denying it!
[00:16:21.623 --> 00:16:22.844]  But here's where they're going to fail.
[00:16:24.245 --> 00:16:30.311]  Imagine what big tech has done in the last five months of the COVID hoax, shutting down any debate about it.
[00:16:30.712 --> 00:16:35.456]  And Bill Gates putting out fake hydroxychloroquine studies saying it kills you and doesn't help you.
[00:16:37.098 --> 00:16:42.083]  And Fauci putting out fake studies about other drugs that actually hurt you when they knew hydroxychloroquine
[00:16:44.059 --> 00:16:52.067]  For any major pneumonia or serious other viral problem that it's usually zinc deficiency and that if you take it with zinc it's almost a hundred percent.
[00:16:52.267 --> 00:16:55.170]  They tried to keep that from you and use fake studies.
[00:16:56.031 --> 00:16:57.653]  And then you add it to everything else.
[00:16:57.693 --> 00:17:03.079]  The fake tests they put out that gave false positives in almost every case to again create hysteria.
[00:17:04.639 --> 00:17:07.560]  Then have hospitals follow the UN policy.
[00:17:07.900 --> 00:17:08.740]  The UN?
[00:17:09.660 --> 00:17:11.701]  Usually this hospital does this, this one does that.
