[00:00:21.673 --> 00:00:23.833]  Waging war on corruption.
[00:00:24.333 --> 00:00:29.195]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:29.235 --> 00:00:35.336]  Yeah, there's a storm on the loose, sirens in my head.
[00:00:35.636 --> 00:00:38.257]  Wrapped up inside and the star circuits are dead.
[00:00:38.917 --> 00:00:40.138]  Two days ago, U.S.
[00:00:40.218 --> 00:00:57.172]  Air Force Secretary Deborah Lee James told Sputnik regarding the 50 to 70 B61 tactical gravity nuclear bombs stored at Incirlik Air Base in Turkey, we do have nuclear weapons and those nuclear weapons are safe and secure and we are confident in that.
[00:00:57.392 --> 00:01:09.677]  Now, Debka is reporting, the United States has begun secretly evacuating the tactical nuclear weapons it had stockpiled at the southern Turkish airbase of Incirlik and is transporting them to U.S.
[00:01:09.737 --> 00:01:10.897]  bases in Romania.
[00:01:11.177 --> 00:01:15.859]  Is this a reaction to the failed coup or is there a larger strategy at play here?
[00:01:16.119 --> 00:01:20.881]  As this reaction finally comes after the worst foreign policy administration in U.S.
[00:01:20.921 --> 00:01:21.341]  history
[00:01:21.661 --> 00:01:34.085]  Remained quiet as power was cut to the Incirlik Air Base and was put on lockdown while hordes of Turkish protesters gathered outside the base over the purported CIA link to the recent coup attempt.
[00:01:34.345 --> 00:01:38.526]  A link that winds its way back to Fethullah Gulen and his movement.
[00:01:38.706 --> 00:01:53.114]  The same Gulen who is protected by the Obama administration and maintains a charter school empire in the United States that has angered labor unions while siphoning money from the American taxpayers through those charter schools to fund his movement.
[00:01:53.274 --> 00:02:04.820]  The results of the failed coup in Ankara, Turkey that claimed 294 lives and saw thousands arrested has awarded President Erdogan unlimited dictatorial control over his country.
[00:02:04.940 --> 00:02:19.013]  The New York Times reported Turkey said on Wednesday that it would empty its prisons of tens of thousands of criminals to make room for the wave of journalists, teachers, lawyers and judges rounded up in connection with last month's failed coup.
[00:02:19.333 --> 00:02:25.199]  Numerous sources are now confirming that the Incirlik nukes are being moved to the Devesolu Air Base in Romania.
[00:02:25.399 --> 00:02:34.207]  Meanwhile, 2,000 NATO troops have conducted airborne training operations in Poland, while Obama pledged 1,000 extra troops to Poland.
[00:02:34.448 --> 00:02:43.136]  Russian President Vladimir Putin is urging Erdogan to pick a side as the proxy situation in Ukraine, funded by the United States,
[00:02:43.576 --> 00:02:52.299]  We've invested over $5 billion to assist Ukraine in these and other goals that will ensure a secure and prosperous and democratic Ukraine.
[00:02:52.619 --> 00:03:00.722]  Is it possible that the majority of the civilian casualties that you're talking about were actually civilian casualties?
[00:03:01.682 --> 00:03:10.228]  That were the victims of the Ukrainian army and the oligarch that financed one third of their army at one point.
[00:03:10.308 --> 00:03:11.048]  Is that possible?
[00:03:11.649 --> 00:03:18.654]  If I could say two things first, I think it's highly unlikely on the basis of the reports that we've received from the United Nations and from the OSCE.
[00:03:19.594 --> 00:03:22.716]  Second, I want to underscore again why this conflict started.
[00:03:22.916 --> 00:03:27.099]  It started because Russia moved troops and weapons and so forth.
[00:03:27.239 --> 00:03:34.524]  Just so you know, Madam Secretary, the Russians would suggest it started when there was a violent overthrow of an elected government.
[00:03:34.904 --> 00:03:38.788]  Right, I don't make it a point of listening to President Putin's claims as a general rule.
[00:03:38.828 --> 00:03:39.488]  I don't find them credible.
[00:03:39.508 --> 00:03:47.515]  Well, I think if you are our representative, you should pay attention to everybody's claims, and you should refute them, if they can be refuted, rather than dismissing them.
[00:03:47.756 --> 00:03:57.084]  And quarterbacked by George Soros, an escalation now forcing Putin's hand as 40,000 Russian troops are now sitting on the Ukraine's eastern border.
[00:03:57.384 --> 00:04:04.106]  Our media and government should be working to de-escalate this nuclear powder keg with rational reporting and diplomacy.
[00:04:04.266 --> 00:04:16.830]  However, Obama golfs, Hillary thumbs her nose at Putin, and George Soros sways public opinion to lead the world to the razor's edge of World War III, just in time to hijack the U.S.
[00:04:16.970 --> 00:04:18.210]  presidential election.
[00:04:18.390 --> 00:04:20.411]  John Bowne for Infowars.com.
[00:04:22.588 --> 00:04:23.628]  Powerful report.
[00:04:23.708 --> 00:04:27.250]  If you want to share it, it's posted on InfoWars.com.
[00:04:27.290 --> 00:04:30.131]  World War III ramps up in time to hijack the election.
[00:04:31.372 --> 00:04:34.173]  We've had nuclear weapons now for 65, almost 70 years.
[00:04:34.193 --> 00:04:45.198]  We haven't had a nuclear war yet, so a lot of people think it's impossible, even though most top analysts say that it's more probable now than ever and is basically unsurvivable for the human race.
[00:04:47.577 --> 00:04:54.121]  But we've got generations of people that have not been in a major war that kills tens of millions of people, so they think they're immune from it.
[00:04:54.781 --> 00:04:59.563]  World War II killed more than 65 million people.
[00:05:00.844 --> 00:05:03.145]  But Americans think it can't happen here.
[00:05:03.846 --> 00:05:05.567]  Big broadcast lined up today.
[00:05:05.587 --> 00:05:06.927]  Strap yourselves in.
[00:05:06.947 --> 00:05:08.108]  I'm Alex Jones.
[00:05:12.492 --> 00:05:15.633]  You said in a speech today you're afraid this election is going to be rigged.
[00:05:15.993 --> 00:05:17.733]  I've been hearing about it for a long time.
[00:05:17.873 --> 00:05:20.674]  I hope the Republicans get out there and watch very closely.
