[00:00:05.264 --> 00:00:07.305]  Careful what you wish.
[00:00:07.305 --> 00:00:09.006]  I'm just kidding.
[00:00:09.006 --> 00:00:13.847]  If you are receiving this transmission, you are the resistance.
[00:00:13.847 --> 00:00:18.769]  From the front lines of the Information War, it's Alex Jones.
[00:00:20.046 --> 00:00:21.667]  It's Monday, the 9th day of May 2016.
[00:00:21.667 --> 00:00:23.588]  I'm your host Alex Jones.
[00:00:23.588 --> 00:00:26.389]  Big broadcast obviously lined up today.
[00:00:26.389 --> 00:00:28.890]  Roger Stone called me breathless last night.
[00:00:28.890 --> 00:00:48.019]  He has talked to two different high-level sources and confirmed that Paul Ryan and Reince Priebus and the establishment are still planning to not just try to steal the nomination or scuttle it at the RNC event coming up in Cleveland, but they're also planning to take all the money.
[00:00:49.773 --> 00:00:51.033]  This is amazing.
[00:00:51.033 --> 00:00:57.575]  And to not win, but to scuttle it for Hillary, which they openly are bragging about, this is all coming up today.
[00:00:57.575 --> 00:01:01.096]  John Kerry calling for a borderless world, saying it's coming.
[00:01:01.096 --> 00:01:03.637]  The EU saying stay in or you'll have World War III.
[00:01:03.637 --> 00:01:06.578]  But right now, let's go to this important report from John Bowne.
[00:01:06.578 --> 00:01:14.741]  Heiko Maas, the German Federal Minister of Justice, got an earful of the voice of the German people while speaking at a May Day celebration.
[00:01:14.741 --> 00:01:18.642]  The German people chant, you leftist rat and traitor.
[00:01:21.806 --> 00:01:24.589]  Moss says, no, we're here to stay.
[00:01:24.589 --> 00:01:25.631]  We aren't going anywhere.
[00:01:27.370 --> 00:01:31.812]  The chants of TRAITOR and GET OUT become stronger and louder.
[00:01:31.812 --> 00:01:41.517]  But Moss fires back, threatening, we will also take care of the interests of those people shouting TRAITOR right now without even knowing what's happening to them.
[00:01:41.517 --> 00:01:45.258]  The chants continue as Moss says, shout all you want.
[00:01:45.258 --> 00:01:48.140]  The longer you shout, the longer I shall stand here.
[00:01:48.140 --> 00:01:52.222]  Finally, he leaves the podium as they chant TRAITOR, GET OUT.
[00:01:57.714 --> 00:02:00.262]  Leaving the Germans to chant, we are the people.
[00:02:03.220 --> 00:02:07.983]  Heiko Maas, yet another arrogant globalist tool from the Merkel regime.
[00:02:07.983 --> 00:02:13.186]  The same man that introduced the 2015 law known as Data Stolen Goods.
[00:02:13.186 --> 00:02:23.573]  A law described by Berlin District Court Judge Ulf Boehmeyer as an anti-whistleblower law intended to deal a mighty blow to democracy and freedom of speech.
[00:02:23.573 --> 00:02:28.316]  Where in Germany, xenophobia and racism is now a punishable crime.
[00:02:28.536 --> 00:02:33.241]  Furthermore, MAS is now calling for a legal ban on sexist advertisements.
[00:02:33.241 --> 00:02:45.873]  Germany, well known for its liberal attitude towards adult entertainment, is now being forced to scale back its culture in order to appease the wishes of the growing Muslim refugee population exploding within Germany.
[00:02:45.873 --> 00:02:52.459]  Meanwhile, the German people are being held captive by the ungrateful foreign invaders and their own treasonous government.
[00:02:52.639 --> 00:02:54.280]  We're good to go.
[00:03:16.499 --> 00:03:31.044]  William F. Jasper of The New American writes, The migration tsunami that swamped Europe with 1.5 million refugees in 2015 is roaring back with a tidal wave that may be double the size of last year's deluge.
[00:03:31.044 --> 00:03:45.770]  In fact, most citizens of the European Union countries appear to be unaware that their unelected and unaccountable rulers at the European Commission, in their own European Economic Forecast report issued last fall, announced precisely that.
[00:03:45.990 --> 00:03:54.497]  That is, they projected with apparent acceptance and approval that 3 million refugee migrants would arrive in Europe in 2016.
[00:03:54.497 --> 00:03:55.677]  Time is running out.
[00:03:55.677 --> 00:03:59.400]  The globalists have all but achieved their soft invasion of Europe.
[00:03:59.400 --> 00:04:04.244]  And that planned gridlock of civilization is heading in your general direction.
[00:04:04.244 --> 00:04:14.672]  As I speak, thousands of unvetted refugees are filing into small towns across the United States via what will be known later as a broken vetting process.
[00:04:15.012 --> 00:04:20.514]  A process that should have taken two years has now been reduced to a few pointless months.
[00:04:20.514 --> 00:04:24.836]  It's Obama's turn, and he aims to match Merkel's numbers.
