[00:00:20.222 --> 00:00:22.344]  Welcome to the InfoWars Nightly News.
[00:00:22.424 --> 00:00:23.705]  I'm your host, Jakari Jackson.
[00:00:24.065 --> 00:00:27.808]  It is June 10th, 2016, and here's a look at our top stories.
[00:00:33.678 --> 00:00:39.563]  Americans have no right to carry concealed handguns outside of their homes.
[00:00:40.043 --> 00:00:49.070]  This, according to the United States Court of Appeals for the Ninth Circuit, which has ruled in favor of California's good cause requirement.
[00:00:49.510 --> 00:00:52.473]  Which means the end of the Second Amendment.
[00:00:52.973 --> 00:00:55.015]  My cold, dead hands!
[00:00:57.193 --> 00:01:04.295]  Then, the city of Cleveland wants to ban Trump supporters outside of the Republican National Committee.
[00:01:04.675 --> 00:01:09.536]  A move that even the liberal ACLU says is unconstitutional.
[00:01:10.077 --> 00:01:21.640]  Plus, more from Bilderberg 2016, where water cannons are being prepared by Dresden police in case protesters get out of control.
[00:01:21.660 --> 00:01:25.981]  All that plus much more, up next on the Info Wars Nightly News.
[00:01:30.213 --> 00:01:37.699]  Buckley, tell us about Alexa Pure Breeze, discounted over 25% off as an introductory promotion.
[00:01:37.899 --> 00:01:39.060]  It's the Alexa Pure Breeze.
[00:01:39.180 --> 00:01:42.983]  It's an energy efficient HEPA ion cluster air purification system.
[00:01:43.363 --> 00:01:45.805]  It has a four stage purification process.
[00:01:45.945 --> 00:01:49.228]  It has a HEPA filter, three filters, and a carbon activated filters.
[00:01:49.488 --> 00:01:58.971]  And the most amazing thing about it is that it has this patented ion cluster technology that kills airborne microbes with a final byproduct of clean water, not ozone.
[00:01:58.991 --> 00:02:10.674]  Because there's a lot of units out there that do that, that will sterilize the air, that will take out toxins and microbes, but you always come back into the room and you have that ozone smell, and as a matter of fact, if you leave a room sealed and you have one of those running... Toxin!
[00:02:10.854 --> 00:02:12.435]  It is toxic and it's kind of dangerous.
[00:02:12.675 --> 00:02:14.336]  So this is non-toxic.
[00:02:14.496 --> 00:02:15.577]  It's a beautiful unit.
[00:02:15.877 --> 00:02:16.717]  It really looks good.
[00:02:16.757 --> 00:02:18.679]  I mean, it will look beautiful in your house in a corner.
[00:02:18.919 --> 00:02:22.521]  The Alexa Pure Breeze, which operates as a fan.
[00:02:22.621 --> 00:02:23.501]  It's super quiet.
[00:02:23.641 --> 00:02:24.462]  It cleans the air.
[00:02:24.982 --> 00:02:27.624]  Every major room in your house really should have one of these.
[00:02:28.004 --> 00:02:41.113]  The cheapest equivalent unit costs $259.95 and there are other units that are up to $899 to $1,000 to do exactly what this unit does but they're not as quiet because this one has a silent mode which runs at 16 decibels.
[00:02:41.533 --> 00:02:46.636]  One thing that I encourage everybody to do is go and just look up online the toxicity of being inside all the time.
[00:02:46.876 --> 00:02:50.039]  In this current age, we're inside the vast majority of the time.
[00:02:50.279 --> 00:02:52.020]  Hardly do we ever get outside in the sun.
[00:02:52.040 --> 00:02:55.282]  We're usually out inside doing something in our office or at home.
[00:02:55.643 --> 00:02:56.744]  Great job, Alexa Pure.
[00:02:56.965 --> 00:03:00.110]  Infowarsstore.com, Infowarslife.com for all the nitroceuticals.
[00:03:02.366 --> 00:03:06.809]  Well, here's another reason why you can't trust anybody when they say the science is settled.
[00:03:07.149 --> 00:03:12.052]  I mean, first of all, scientists obviously got it wrong by telling us all these years that there's only two genders.
[00:03:12.412 --> 00:03:14.894]  Clearly, according to Facebook, there's more than 40.
[00:03:15.514 --> 00:03:16.615]  But here's another instance.
[00:03:17.175 --> 00:03:23.639]  There's a scientific paper that was conducted in 2013 linking conservatives with psychoticism.
[00:03:23.779 --> 00:03:26.360]  And of course, when this came out, it was heavily
[00:03:27.321 --> 00:03:28.162]  We're good to go.
[00:03:47.054 --> 00:03:52.577]  So here the paper was claiming that social liberals, they were linked with social desirability.
[00:03:52.657 --> 00:03:54.398]  Conservatives are authoritarian.
[00:03:55.459 --> 00:04:08.566]  The researchers had expected that conservatives were more likely to exhibit traits of psychoticism, which they defined as uncooperative, hostile, troublesome, and socially withdrawn, as well as manipulative.
[00:04:08.987 --> 00:04:10.808]  And so their initial findings reported
[00:04:11.328 --> 00:04:11.508]  I'm
[00:04:29.504 --> 00:04:39.076]  It turns out three years later the authors of the paper had to issue a correction because it turns out they mixed up the data in the codebook.
[00:04:39.256 --> 00:04:47.587]  The data that they were using between their codebook and what they were using in their original codebook was switched around and in fact these results were the exact
[00:04:47.987 --> 00:04:48.528]  Opposite.
[00:04:48.968 --> 00:04:56.433]  The study found that liberals were more associated with being uncooperative, hostile, troublesome, socially withdrawn and manipulative.
[00:04:56.834 --> 00:05:01.197]  And it was actually the conservatives who were more socially desirable.
[00:05:01.797 --> 00:05:08.082]  Now, when contacted by the Washington Free Beacon, the authors of the paper said it was just a minor error.
[00:05:08.442 --> 00:05:09.483]  In fact, it's the exact opposite.
[00:05:21.479 --> 00:05:29.922]  And as Leanne pointed out in that report, if you need evidence that liberals are the true psychos, all you have to do is go out to these rallies, whether it's pro this or anti that.
[00:05:30.382 --> 00:05:37.084]  I've been to countless rallies, whether it's abortion rallies or anti-Trump rallies or whatever else.
[00:05:37.524 --> 00:05:42.425]  It's these liberals, a lot of them college students, communists, socialists or whatever.
[00:05:42.785 --> 00:05:51.148]  They come out there, they're yelling at old people, trying to shove old men in the streets, smashing eggs into girls' faces, burning flags, throwing barricades at cops.
[00:05:51.468 --> 00:05:55.489]  Throwing rocks at each other, that's the true psycho behavior.
[00:05:55.889 --> 00:06:03.890]  But as you talk about how they want to say that conservatives are the ones with mental illness, they also bring this up when it comes to firearms in the Second Amendment.
[00:06:04.291 --> 00:06:16.713]  And oftentimes when they talk about the Second Amendment, I hear this argument, if you own a firearm, you're responsible for the deaths of the kids who die in school shootings, or you're responsible for the latest liquor store robbery or bank robbery.
[00:06:17.173 --> 00:06:18.694]  And to that I say, I was like, do you drink?
[00:06:18.714 --> 00:06:22.678]  And they say, yeah, I have a glass of wine or a bottle of beer when I'm watching the game.
[00:06:22.718 --> 00:06:26.802]  I'm like, okay, with that same mentality that you just placed on me, I don't drink.
[00:06:26.882 --> 00:06:32.307]  So it's easy for me to pull out all the crime statistics when it comes to alcohol and try to ban something I don't participate in.
[00:06:32.627 --> 00:06:39.473]  So I say, okay, drinker, the fact that you have a bottle of wine or six pack of beer makes you responsible for the next drunk driving incident.
[00:06:39.733 --> 00:06:41.115]  They said, no, you can't do that.
[00:06:41.435 --> 00:06:42.496]  I'm a responsible drinker.
[00:06:42.556 --> 00:06:45.960]  I have a bottle of wine with dinner, or I have a beer while I'm watching the game.
[00:06:46.340 --> 00:06:48.042]  I didn't go out there and drunk drive and kill somebody.
[00:06:48.062 --> 00:06:49.023]  I'm like, oh, you didn't?
[00:06:49.344 --> 00:06:56.331]  So my shotgun that sits in my closet hasn't killed anybody, so how am I responsible, using your logic, if you're not responsible for your activities?
[00:06:56.652 --> 00:06:59.234]  And this is the type of liberal logic that they put out there.
[00:06:59.795 --> 00:07:05.499]  Because they don't participate in the act of firearm ownership, everybody else is collectively guilty.
[00:07:05.879 --> 00:07:16.386]  Even though if something was to happen, if somebody kicked in their door at 3 o'clock in the morning, they're not going to call the ambulance, they're not going to call the fireman, they're going to call the police officer.
[00:07:16.526 --> 00:07:16.726]  Why?
[00:07:16.786 --> 00:07:19.928]  Because the police officer shows up with a gun.
[00:07:20.249 --> 00:07:23.471]  That's why I have a shotgun in my closet, but let's say you're out in public.
[00:07:23.951 --> 00:07:25.453]  You don't have some big shotgun on you.
[00:07:25.853 --> 00:07:28.796]  You have to have a concealed carry permit if you choose to do so.
[00:07:29.157 --> 00:07:39.228]  I'm not running a campaign to put a firearm in every waistband in America, but I do believe if you are applying by your state and local laws and they say you can have a firearm, I have no issue with that.
[00:07:39.548 --> 00:07:40.329]  But now we see this.
[00:07:40.629 --> 00:07:41.510]  The 9th Circuit.
[00:07:42.011 --> 00:07:45.554]  Americans have no right to concealed carry a gun outside of the home.
[00:07:46.195 --> 00:07:49.462]  And this is the United States Court of Appeals for the Ninth Circuit.
[00:07:49.803 --> 00:07:57.318]  It's ruling in favor of California's good cause requirement, saying the Second Amendment does not protect the right to carry a concealed gun in public.
[00:07:58.243 --> 00:08:00.464]  Now, this is the issue with this law.
[00:08:00.504 --> 00:08:02.224]  They say that you need a good cause.
[00:08:02.264 --> 00:08:11.107]  A good cause meaning if you have a documented stalker or a rapist or somebody who's after you, they consider that to be a good cause because you may be attacked that day.
[00:08:11.527 --> 00:08:12.728]  But let me put it to you like this.
[00:08:13.128 --> 00:08:18.990]  If you have a spare tire in your car, you don't just put it in the days you think you may get a flat tire, right?
[00:08:19.290 --> 00:08:25.572]  You may occasionally take it out if you have to move or you need some additional space in your vehicle, but most of the times you leave it there, you forget about
[00:08:26.052 --> 00:08:27.653]  Forget about it and it's there if you need it.
[00:08:27.933 --> 00:08:30.275]  The same thing if you choose to carry a firearm.
[00:08:30.575 --> 00:08:35.639]  You don't know the day you're gonna be attacked or raped or mugged or whatever else somebody tries to shove you into a van.
[00:08:35.979 --> 00:08:39.241]  That's why you have the option to carry it on you at all times.
[00:08:39.882 --> 00:08:41.703]  And that's really what it's about.
[00:08:41.723 --> 00:08:42.464]  It's not about
[00:08:43.044 --> 00:08:48.587]  Haunting is not about protecting your house at three in the morning while those are included in that.
[00:08:48.687 --> 00:08:50.408]  It's the Second Amendment as a whole.
[00:08:50.708 --> 00:08:58.353]  You have the right to defend yourself and your loved ones, especially for people who live out in rural communities and they don't have the cops to be there all the time.
[00:08:58.373 --> 00:09:06.638]  Let's say you're out somewhere out deep in the sticks doing whatever your business is and somebody tries to rob you, you know, someone take the cops, you know, 45 minutes to come and get you.
[00:09:06.658 --> 00:09:10.440]  You know, some of these very small police offices and sheriff's departments,
[00:09:10.740 --> 00:09:13.481]  Only have a handful of officers and it's a very large county.
[00:09:13.741 --> 00:09:15.421]  You need the ability to defend yourself.
[00:09:15.741 --> 00:09:20.302]  That's why I strongly disagree with this Ninth Circuit Court of Appeals.
[00:09:20.823 --> 00:09:24.143]  Hopefully this will be overturned and it won't go too much further than what it is.
[00:09:24.223 --> 00:09:30.465]  But to say that you need to present evidence to them that you are in danger, that's ridiculous.
[00:09:30.925 --> 00:09:37.107]  That's like saying we only need a lifeguard on Saturday or Sunday because those are the only days we suspect some kid may drown in the pool.
[00:09:37.167 --> 00:09:40.687]  You know, you need the lifeguard every single day because you never know who's going to be there.
[00:09:41.008 --> 00:09:44.689]  But that's enough on that and we'll definitely have an eye on this as things continue.
[00:09:45.149 --> 00:09:49.570]  Now, one thing that has the eye of the nation is the case of the Stanford rapist.
[00:09:49.910 --> 00:09:54.111]  Now, for you guys who may not have heard about this, I'm sure it's just a very small number,
[00:09:54.671 --> 00:10:06.559]  Somebody's been convicted of raping an unconscious woman outside a fraternity house, and then he lied to the judge and told him that he had little experience partying prior to his arrival on campus, and...
[00:10:07.648 --> 00:10:12.030]  It's not, my point with this article isn't so much was his sentence too light or too heavy.
[00:10:12.150 --> 00:10:15.872]  I think with the condition they said with good behavior, he could be out in three months.
[00:10:15.952 --> 00:10:19.273]  Personally, I think that is very, very, very laxed, very light.
[00:10:20.174 --> 00:10:24.636]  But really the point I want to make with this is the lack of accountability.
[00:10:24.756 --> 00:10:30.498]  Once again, as we talk about a lot of these college students, a lot of these leftists, and once again, I'm not knocking all college students.
[00:10:31.179 --> 00:10:34.060]  There's very liberal logic there and a lot of people will grow out of that.
[00:10:34.480 --> 00:10:40.906]  But in the meantime, this guy is saying it's party culture that caused him to rape this unfortunate young lady.
[00:10:41.146 --> 00:10:48.192]  And it's this lack of accountability, just like I referenced earlier, whether it's people going out and rioting or doing other type of things.
[00:10:48.672 --> 00:10:50.254]  I'm mad at person X.
[00:10:50.974 --> 00:11:00.699]  So I'm going to go out here and do something negative that has nothing to do with person X. I go to a school where people are partying and I feel like raping this girl so that's what I'm going to do.
[00:11:00.759 --> 00:11:03.300]  This is what this guy had the logic to do.
[00:11:03.641 --> 00:11:04.721]  It's completely ridiculous.
[00:11:04.741 --> 00:11:09.384]  The guy needs to be held accountable for his actions and you can't just blame society for everything else.
[00:11:11.244 --> 00:11:13.686]  I just don't know how somebody justifies this.
[00:11:14.326 --> 00:11:21.192]  Even if he just wanted to get out of jail, I don't know how he could go in front of a stand in front of this girl's family and say these words out loud.
[00:11:21.232 --> 00:11:24.094]  It's completely ridiculous and hopefully this...
[00:11:25.097 --> 00:11:36.308]  We'll bring somewhat of a bellwether where we start to talk about these things and take these things a little more serious because there have been numerous examples of people who did serious crimes or similar crimes that got much stiffer penalties.
[00:11:36.328 --> 00:11:42.534]  You can find examples of non-violent drug offenders who got much stiffer penalties than what this guy did.
