[00:00:19.878 --> 00:00:20.699]  Good evening, everyone.
[00:00:20.739 --> 00:00:22.622]  Welcome to the InfoWars Nightly News.
[00:00:22.722 --> 00:00:23.584]  I'm Darren McBrain.
[00:00:23.624 --> 00:00:26.649]  It is Wednesday, November 16th, 2016.
[00:00:27.610 --> 00:00:28.892]  Here's a quick look at what's coming up.
[00:00:33.715 --> 00:00:37.376]  Can you tell the difference between real racism and fake racism?
[00:00:37.716 --> 00:00:39.417]  It's not just the fake mainstream news.
[00:00:39.577 --> 00:00:43.018]  It's also comedy shows that are using ridicule as a weapon.
[00:00:43.618 --> 00:00:54.202]  Explain the millions and millions of people who do not watch this show who actually like what they hear from Donald Trump and aren't taking messages and orders from us in the media, but they listen to what he says for themselves and vote for him.
[00:00:54.222 --> 00:00:55.022]  How do you explain that?
[00:00:55.142 --> 00:00:59.443]  Well, there are a lot of people who are racist!
[00:00:59.463 --> 00:01:01.124]  Saul Alinsky would be so proud.
[00:01:01.984 --> 00:01:05.347]  And, can you tell the difference between real citizens and fake citizens?
[00:01:05.607 --> 00:01:08.049]  How about real and fake law enforcement?
[00:01:08.309 --> 00:01:14.434]  Denver joins the sanctuary cities that say they will not enforce immigration laws against foreigners here illegally.
[00:01:14.454 --> 00:01:16.156]  You know, illegal aliens.
[00:01:16.576 --> 00:01:22.681]  Then, the left applauds as social media begins censoring speech for anyone they label alt-right.
[00:01:23.121 --> 00:01:25.924]  All that and more on tonight's InfoWars Nightly News.
[00:01:37.765 --> 00:01:40.487]  There is an information warfare happening right now.
[00:01:41.368 --> 00:01:42.809]  It's a fight for our minds.
[00:01:43.470 --> 00:01:45.411]  And InfoWars.com is on the front lines.
[00:01:45.731 --> 00:01:49.935]  Download our free multimedia app at InfoWars.com forward slash app.
[00:01:50.075 --> 00:01:53.438]  It's free, it's on Droid, it's on Apple, you name it.
[00:01:53.518 --> 00:01:55.079]  InfoWars.com forward slash app.
[00:01:59.665 --> 00:02:01.387]  Electrify your day with Secret 12.
[00:02:01.967 --> 00:02:03.308]  It's like lightning in a bottle.
[00:02:03.549 --> 00:02:07.072]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:02:07.432 --> 00:02:15.179]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:02:15.379 --> 00:02:20.204]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:02:20.344 --> 00:02:25.829]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:02:26.169 --> 00:02:33.695]  Secret 12 by InfoWarsLife is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:02:33.935 --> 00:02:38.398]  It pairs two forms of vitamin B12 into one explosive formula.
[00:02:38.659 --> 00:02:44.403]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[00:02:44.523 --> 00:02:47.485]  But it also assists with many other functions of the body.
[00:02:47.685 --> 00:02:50.968]  Electrify your mind and body and take your health to the next level.
[00:02:51.248 --> 00:02:54.471]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:02:55.112 --> 00:02:56.728]  That's infowarslife.com
[00:03:04.815 --> 00:03:13.759]  If you watch late night comedy on television, chances are you've seen Donald Trump and his supporters portrayed as racist.
[00:03:14.199 --> 00:03:16.920]  Now, most of us know that that simply isn't true.
[00:03:17.020 --> 00:03:22.422]  Trump supporters come in all walks of life, and Donald Trump himself is not a racist.
[00:03:22.822 --> 00:03:24.083]  No, he is far from it.
[00:03:24.523 --> 00:03:29.825]  But the mainstream media and the Hollywood elite want you to live in the land of make-believe.
[00:03:30.325 --> 00:03:37.849]  And I put together a quick video compilation of the real life racism that is rapidly spreading throughout the country right now.
[00:03:38.350 --> 00:03:44.313]  And I compare it to fictional, manufactured, and imaginary racism.
[00:03:44.473 --> 00:03:45.814]  Can you spot the difference?
[00:03:46.254 --> 00:03:46.935]  Let's take a look.
[00:03:47.835 --> 00:03:51.737]  The media's been saying some pretty negative things about Donald Trump.
[00:03:52.478 --> 00:03:54.579]  But what are real Americans saying?
[00:03:54.779 --> 00:03:55.760]  Why do I support Trump?
[00:03:56.627 --> 00:03:57.207]  Three words.
[00:03:57.868 --> 00:03:59.868]  Good at business.
[00:04:01.089 --> 00:04:02.850]  True, he is a racist.
[00:04:03.190 --> 00:04:07.792]  But for some of us, just being a racist, it isn't enough.
[00:04:07.812 --> 00:04:08.892]  I don't know what it is.
[00:04:09.252 --> 00:04:10.213]  I just like the guy.
[00:04:12.694 --> 00:04:21.138]  Don't just say that Trump is a racist, bigoted, sexist, totalitarian, and ignore all the bad parts in his platform.
[00:04:21.278 --> 00:04:22.718]  I don't know though.
[00:04:22.778 --> 00:04:23.619]  Eres tan malo.
[00:04:29.684 --> 00:04:31.165]  Does he have any chance eating the rice?
[00:04:31.185 --> 00:04:31.926]  Yeah, I'm sure.
[00:04:32.526 --> 00:04:33.066]  You think so?
[00:04:33.246 --> 00:04:35.308]  There's enough racists in this country for him to get elected?
[00:04:35.348 --> 00:04:36.869]  Yeah, that's a shame.
[00:04:36.909 --> 00:04:37.669]  You voted Trump!
[00:04:37.849 --> 00:04:39.010]  You voted Trump!
[00:04:39.050 --> 00:04:39.971]  Yeah!
[00:04:40.291 --> 00:04:43.873]  What do you say to the people who dragged a poor white guy out of a car and beat him?
[00:04:43.953 --> 00:04:46.435]  Oh my goodness, poor white people, please stop.
[00:04:46.455 --> 00:04:47.576]  Don't vote Trump!
[00:04:47.596 --> 00:04:48.476]  Don't vote Trump!
[00:04:49.577 --> 00:04:51.258]  We have to fight back.
[00:04:51.578 --> 00:04:53.600]  There will be casualties on both sides.
[00:04:54.040 --> 00:04:57.562]  There will be because people have to die to make a change in this world.
[00:05:07.408 --> 00:05:10.610]  He's going to take our economy from here to here.
[00:05:12.768 --> 00:05:23.661]  How do you explain the millions and millions of people who do not watch this show, who actually like what they hear from Donald Trump, and aren't taking messages and orders from us and the media, but they listen to what he says for themselves and vote for him?
[00:05:23.681 --> 00:05:24.462]  How do you explain that?
[00:05:24.602 --> 00:05:28.686]  Well, there are a lot of people who are racist!
[00:05:29.007 --> 00:05:29.647]  Oh my God!
[00:05:37.168 --> 00:05:41.249]  This girl comes up to me and she said, do you hate Mexicans?
[00:05:41.469 --> 00:05:42.470]  And I was like, no.
[00:05:42.610 --> 00:05:44.190]  And she said, you support Trump.
[00:05:44.390 --> 00:05:45.251]  You hate Mexicans.
[00:05:45.591 --> 00:05:52.953]  After the election, I was going around consoling people.
[00:05:52.973 --> 00:05:54.734]  I said, guys, look on the bright side.
[00:05:54.794 --> 00:05:55.254]  Look at this.
[00:05:55.934 --> 00:05:58.816]  I was telling everybody, it's gonna be okay.
[00:05:59.316 --> 00:06:00.276]  It's gonna be okay.
[00:06:00.316 --> 00:06:10.461]  I was like, I am certain this is not the first time we've elected a racist, sexist, homophobic president.
[00:06:10.501 --> 00:06:11.802]  He ain't the first one.
[00:06:12.622 --> 00:06:15.144]  He's just the first confirmed one.
[00:06:15.544 --> 00:06:16.064]  That's it.
[00:06:16.104 --> 00:06:18.305]  F*** you motherf***ers.
[00:06:18.545 --> 00:06:19.246]  F*** all y'all.
[00:06:19.846 --> 00:06:20.827]  F*** all y'all.
[00:06:20.847 --> 00:06:21.387]  That's right.
[00:06:22.705 --> 00:06:24.366]  You, you, yes.
[00:06:24.586 --> 00:06:27.247]  You, you, you, you, you.
