[00:00:20.236 --> 00:00:22.118]  Welcome to the Info Wars Nightly News.
[00:00:22.178 --> 00:00:26.201]  It is Tuesday, October 11th, 2016, and I'm Leigh Ann McAdoo.
[00:00:26.261 --> 00:00:27.462]  Here is what's coming up tonight.
[00:00:30.685 --> 00:00:33.767]  Tonight, the enemy within.
[00:00:34.368 --> 00:00:46.138]  Evidence begins to surface that the infamous tape of Donald Trump's locker room talk about women was actually leaked by the GOP establishment to sabotage Trump.
[00:00:47.304 --> 00:00:56.830]  Meanwhile, even Bill O'Reilly admits that the top media organizations have been ordered to destroy Donald Trump's presidential campaign.
[00:00:57.171 --> 00:01:05.236]  Then, the Clinton News Network wants you to believe that Bill Clinton's sexual abuses are a conspiracy theory.
[00:01:05.456 --> 00:01:10.540]  Plus, the email exchange that Hillary Clinton does not want you to see.
[00:01:10.900 --> 00:01:16.884]  The latest data dump from WikiLeaks reveals more incriminating activity from Crooked Hillary.
[00:01:20.248 --> 00:01:24.293]  All that plus much more up next on the InfoWars Nightly News!
[00:01:30.382 --> 00:01:33.024]  Look, I'm not going to sit here and say, see, I told you so.
[00:01:33.284 --> 00:01:36.306]  That communist Chinese style net censorship is coming to the web.
[00:01:36.326 --> 00:01:37.427]  Because it's already here.
[00:01:37.827 --> 00:01:38.467]  It's being announced.
[00:01:38.828 --> 00:01:42.290]  The way you keep the internet open and free is you get involved more than ever.
[00:01:42.770 --> 00:01:44.051]  You don't let them break your will.
[00:01:44.692 --> 00:01:56.760]  Go to infowars.com forward slash app and download an app that took us over a year to develop that we're going to be expanding on the next few months with free video and audio and podcast feeds and breaking news and alerts and so much more.
[00:01:57.040 --> 00:01:59.982]  Don't sit by and let the internet and free speech be stolen from you.
[00:02:00.502 --> 00:02:04.444]  Take action!
[00:02:04.824 --> 00:02:06.705]  I train two, three times a day.
[00:02:07.506 --> 00:02:11.808]  They're brutal, agonizing, painful training sessions.
[00:02:16.730 --> 00:02:18.191]  I have to have the edge over my opponents.
[00:02:19.031 --> 00:02:24.094]  I believe that in Forest Products, Super Male Vitality, you know, that gives me the edge.
[00:02:26.035 --> 00:02:27.056]  Well, you have to know where you break.
[00:02:27.416 --> 00:02:30.740]  You know, ultimately, like, you don't push yourself to know where that breaking point is.
[00:02:30.960 --> 00:02:33.422]  You're always going to be falling short of what your potential is.
[00:02:33.923 --> 00:02:39.609]  So it's really just about finding how far you can go.
[00:02:56.613 --> 00:02:57.879]  There's a lot of different things out there.
[00:02:58.984 --> 00:02:59.888]  I only use the best.
[00:03:02.438 --> 00:03:11.244]  The latest data dump from Wikileaks is showing us there is an inordinate amount of collusion at every single level to get Hillary Clinton elected as president.
[00:03:11.664 --> 00:03:17.788]  But what we're also finding out is it's not just about getting Hillary Clinton elected, it's also about taking out Donald Trump.
[00:03:17.828 --> 00:03:23.272]  That even means ruining his entire brand, his career from here on out if he is an elected president.
[00:03:23.752 --> 00:03:30.637]  Now people are talking about that infamous Trump tape saying was it actually leaked by Paul Ryan's top advisor.
