[00:00:19.622 --> 00:00:21.504]  Welcome to the Info Wars Nightly News.
[00:00:21.544 --> 00:00:25.207]  It is Friday, May 20th, 2016 and I'm Leanne McAdoo.
[00:00:25.407 --> 00:00:26.328]  Here's what's coming up tonight.
[00:00:32.623 --> 00:00:38.887]  A lot of my fantasies actually revolve around little girls who are in some way more powerful than I am.
[00:00:39.348 --> 00:00:45.852]  Eventually my attraction became, you know, overwhelming to the point I had to go relieve myself in the bathroom.
[00:01:02.585 --> 00:01:03.045]  Where you at?
[00:01:03.065 --> 00:01:06.229]  Give me the job right now!
[00:01:06.309 --> 00:01:08.231]  Give me the job right now!
[00:01:08.431 --> 00:01:10.173]  I have a news furniture company.
[00:01:10.373 --> 00:01:13.035]  I create furniture refinishing jobs.
[00:01:13.115 --> 00:01:14.177]  I have movers.
[00:01:14.337 --> 00:01:16.199]  I have assistant movers.
[00:01:16.359 --> 00:01:18.801]  I have people that do work for me.
[00:01:18.861 --> 00:01:21.524]  Why are you trying to move furniture around?
[00:02:10.433 --> 00:02:16.755]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:02:17.115 --> 00:02:18.575]  I believe our research is conclusive.
[00:02:18.615 --> 00:02:19.976]  This is the best iodine out there.
[00:02:20.256 --> 00:02:21.376]  And I know this for a fact.
[00:02:21.916 --> 00:02:26.697]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:02:26.817 --> 00:02:30.558]  For a limited time, experience the ancient power of Survival Shield X2.
[00:02:31.299 --> 00:02:32.759]  I believe our research is conclusive.
[00:02:32.799 --> 00:02:34.139]  This is the best iodine out there.
[00:02:34.179 --> 00:02:36.300]  Take advantage of this at InfoWarsLife.com.
[00:03:02.537 --> 00:03:13.244]  Well, if any of you Second Amendment enthusiasts were wondering where Trump stands on the gun issue, the NRA made it pretty clear today after they endorsed Donald Trump for president.
[00:03:13.724 --> 00:03:18.508]  This was Chris Cox, the executive director of the NRA's Institute for Legislative Action.
[00:03:18.608 --> 00:03:21.830]  He made this endorsement today saying, now is the time to unite.
[00:03:22.350 --> 00:03:26.173]  If your preferred candidate dropped out of the race, it's time to get over it.
[00:03:26.953 --> 00:03:31.156]  And Donald Trump came out and said, you know what, the Second Amendment is under a threat like never before.
[00:03:31.636 --> 00:03:36.759]  And he called crooked Hillary Clinton the most anti-gun candidate ever to run for office.
[00:03:37.280 --> 00:03:42.243]  And as he said before, she wants to abolish the Second Amendment and take your guns away.
[00:03:42.603 --> 00:03:49.265]  Which she has made incredibly clear time and time again, so you can bet that it is never Hillary.
[00:03:49.705 --> 00:03:58.368]  Now Trump has also come out in true Trumpian fashion, responding to Clinton's claims that he is not qualified to be president.
[00:03:58.928 --> 00:04:11.155]  So he said, the fact that Hillary thinks the temporary Muslim ban, which she calls the Muslim ban, promotes terrorism, proves Bernie Sanders was correct when he said that she is not qualified to be president.
[00:04:11.515 --> 00:04:20.701]  You can look at the carnage all over the world, including the World Trade Center, San Bernardino, Paris, the USS Cole, Brussels, and an unlimited number of other places.
[00:04:21.121 --> 00:04:26.864]  She and our totally ignorant president won't even use the term radical Islamic terrorism.
[00:04:27.425 --> 00:04:27.985]  And by the way,
[00:04:28.425 --> 00:04:30.786]  Ask Hillary, who blew up the plane last night?
[00:04:31.387 --> 00:04:33.608]  Another terrible but preventable tragedy.
[00:04:34.068 --> 00:04:36.189]  And so here again, this is what people love about Trump.
[00:04:36.229 --> 00:04:41.512]  He's not afraid to speak out, even though everyone's going to say, oh, he hates Muslims and he's not being politically correct.
[00:04:42.272 --> 00:04:42.913]  We get it.
[00:04:43.253 --> 00:04:45.354]  You're not allowed to speak out.
[00:04:45.434 --> 00:04:47.075]  Hashtag not all Muslims.
[00:04:47.635 --> 00:04:57.100]  And this is actually another astounding claim coming from the Eagles of Death Metal singer, who of course was at the Bataclan when it was attacked there in Paris.
[00:04:57.660 --> 00:05:08.206]  He is saying in a new interview that he actually saw with his own eyes in real time Muslims celebrating in the street during the attack.
[00:05:08.726 --> 00:05:14.169]  So he says as he stepped out of the building he saw them in the streets dancing, celebrating during the attack.
[00:05:14.210 --> 00:05:16.231]  He says there must have been some coordination.
[00:05:16.571 --> 00:05:18.112]  How did they know what was going on?
[00:05:19.152 --> 00:05:26.658]  He reminds everyone that a day after at the stadium, Muslims actually booed the moment of silence, and we barely heard about that in the press.
[00:05:27.019 --> 00:05:35.746]  And he also reiterated his claims that the Muslim security guards who were working at the Bataclan Theater on the night of the attack were complicit in the massacre.
[00:05:36.386 --> 00:05:41.951]  He points out how during the shooting, he went outside and the backstage door was propped open.
[00:05:42.351 --> 00:05:43.172]  How did that happen?
[00:05:43.872 --> 00:05:47.394]  And he also talks about two girls that he believes were involved.
[00:05:47.735 --> 00:05:50.557]  He said that they were at the venue, then they vanished before the shooting.
[00:05:51.137 --> 00:05:52.778]  They were in traditional Muslim garb.
[00:05:53.318 --> 00:05:56.200]  And, of course, they got caught a few days later.
[00:05:56.561 --> 00:06:03.425]  And all of this is really interesting because he was forced to apologize when he talked about his experience that night a few months ago.
[00:06:03.485 --> 00:06:07.148]  He was forced to apologize and say, you know, I was just having PTSD.
[00:06:07.868 --> 00:06:09.630]  How could I have known or made those claims?
[00:06:09.990 --> 00:06:17.336]  But now he's doubling down and saying this is what I experienced that night, this is exactly what I saw, and don't gaslight me bro!
[00:06:17.696 --> 00:06:25.963]  Well now French festivals have cancelled the Eagles of Death Metal over the remarks that he has made because you're not allowed
[00:06:26.443 --> 00:06:30.386]  You can't, you know, facts over feelings are, that's not the name of the game today.
