[00:00:18.817 --> 00:00:19.797]  You want answers?
[00:00:20.398 --> 00:00:21.398]  Well, so does he.
[00:00:21.698 --> 00:00:29.761]  Live, from the Infowars.com studios, it's Alex Jones.
[00:01:11.519 --> 00:01:18.227]  The momentum of the slippery slope to demolish our inherent rights protected by the First Amendment is picking up speed.
[00:01:18.488 --> 00:01:29.120]  Back in January of 2014, federal prosecutors threw the book at author and documentary filmmaker Dinesh D'Souza for exaggerated campaign finance law violations.
[00:01:29.361 --> 00:01:30.182]  In September of 2014,
[00:01:31.243 --> 00:01:40.825]  D'Souza was sentenced to five years probation, eight months in a halfway house, a $30,000 fine, community service, and mandatory therapy.
[00:01:41.085 --> 00:01:48.106]  Even the liberal Harvard Law professor, Alan Dershowitz, said the felony sentencing smacked of selective prosecution.
[00:01:48.386 --> 00:01:48.866]  Why?
[00:01:49.186 --> 00:01:57.388]  It just so happened that D'Souza had made a highly successful documentary criticizing President Barack Obama.
[00:01:57.708 --> 00:02:04.231]  Unfortunately, D'Souza's admission of guilt set the precedent for a newfound attack on the First Amendment.
[00:02:04.491 --> 00:02:07.592]  The liberals had tasted blood, and they wanted more.
[00:02:08.292 --> 00:02:21.218]  Matt Drudge had warned in 2015 that plans to take down conservative, i.e., right-wing, i.e., alternative media were gathering steam in the back rooms of Washington, D.C.
[00:02:21.678 --> 00:02:23.759]  They're getting ready for these decisions to come.
[00:02:23.799 --> 00:02:25.441]  You thought Obamacare was shocking.
[00:02:25.821 --> 00:02:27.622]  You thought some of these other decisions were shocking.
[00:02:27.682 --> 00:02:38.449]  Wait until these copyright laws work their way up and the Supreme Court decides you cannot have a website with news headlines linking across the board.
[00:02:39.010 --> 00:02:40.451]  Then that will end for me.
[00:02:40.711 --> 00:02:41.051]  Fine.
[00:02:41.111 --> 00:02:42.332]  I've had a hell of a run.
