[00:00:04.574 --> 00:00:17.868]  Intruder alert!
[00:00:17.868 --> 00:00:21.832]  If you are receiving this transmission, you are the resistance.
[00:00:21.832 --> 00:00:27.698]  These people are coming for everybody!
[00:00:31.460 --> 00:00:36.089]  I purposely today did not wear a sports jacket and dress shirt.
[00:00:36.089 --> 00:00:43.102]  I purposely today did about one-tenth the prep I normally do for the broadcast.
[00:00:47.125 --> 00:00:58.152]  And that's because I don't normally actually come in here and purpose to do anything but stream of consciousness and to tell the truth and to have our guest on and look at what's happening in the world.
[00:00:58.152 --> 00:01:13.462]  But I tend to sit here at home and when I get into the office for hours, poring over news clips, video clips, articles, guest information, and kind of get lost in just trying to categorize it all and then cover it.
[00:01:14.409 --> 00:01:17.791]  Every day in the broadcast, and 60-70% of what I wanted to cover I didn't get to.
[00:01:17.791 --> 00:01:21.733]  A lot of it was most important information.
[00:01:21.733 --> 00:01:34.800]  And it's almost like trying to gather it all together, and then order it in my mind, is the reason I'm actually not getting to a lot of it on air, I kind of realize.
[00:01:34.800 --> 00:01:40.404]  I was sitting back this morning, reading a Paul Watson article on InfoWars.com,
[00:01:42.205 --> 00:01:55.911]  Where the State Department spokesman comes out and basically threatens Russia and says, if you don't get out of Syria, you're going to have terror attacks in your own country.
[00:01:55.911 --> 00:01:58.913]  Now, you have to understand, the West did create these groups.
[00:01:58.913 --> 00:02:00.854]  They did give them a safe haven.
[00:02:00.854 --> 00:02:03.335]  And Paul Watson rightly says it's a threat to Russia.
[00:02:03.335 --> 00:02:04.716]  In fact, he did that in his article.
[00:02:04.716 --> 00:02:06.116]  We can go back three years ago.
[00:02:06.116 --> 00:02:09.298]  The ambassador to the UN, Bandar Bush,
[00:02:10.913 --> 00:02:31.398]  That's his nickname, Prince Sultan Bandar, threatened at the UN, the Russian Foreign Minister, Lavrov, and this was on Russian TV, but it also came out in Saudi Arabian News, and said, we're going to attack you with our Jihad armies that are encircling you if you don't back off.
[00:02:31.398 --> 00:02:36.259]  Saudi's threatened Russia with Olympic Terrace attacks unless it abandons Syrian support.
[00:02:36.259 --> 00:02:36.439]  That's 2013.
[00:02:39.093 --> 00:02:42.474]  You can actually go watch the reports about it.
[00:02:42.474 --> 00:02:47.877]  So that's an Infowars.com story, but it links through to RT and other TV breakdowns of it.
[00:02:47.877 --> 00:02:49.057]  So this is just more of the same.
[00:02:49.057 --> 00:02:52.138]  You're seeing the recklessness.
[00:02:52.138 --> 00:03:00.782]  I mean, this is so reckless and so dangerous that it's surreal.
[00:03:00.782 --> 00:03:03.043]  And then it gets even more surreal.
[00:03:03.043 --> 00:03:08.765]  I was sitting there this morning looking out over the Texas Hill Country.
[00:03:11.425 --> 00:03:18.931]  And I was thinking about history and what's happened in human culture, and I was thinking, why am I so concerned?
[00:03:18.931 --> 00:03:20.993]  And I said, it's clear these people are megalomaniacs.
[00:03:20.993 --> 00:03:24.476]  They're insane.
[00:03:24.476 --> 00:03:26.197]  And they haven't learned from history.
[00:03:26.197 --> 00:03:38.568]  And then I was thinking, why am I so troubled by them going on MSNBC and CNN and putting my picture up there with Putin's, with Trump's, and saying that we're, quote, Russian agents and we get our orders from Putin and he's our godfather.
[00:03:40.657 --> 00:03:42.037]  Because I was thinking, it's ridiculous.
[00:03:42.037 --> 00:03:43.378]  It's made up.
[00:03:43.378 --> 00:03:44.618]  It's not true.
[00:03:44.618 --> 00:03:49.440]  That's just another sovereign nation trying to get out from under globalism, just like the Brexit.
[00:03:49.440 --> 00:03:53.321]  They don't say we're British agents because we're modeling what we're doing after the Brexit.
[00:03:53.321 --> 00:03:55.102]  They're modeling what they did off of 1776.
[00:03:55.102 --> 00:03:56.883]  Nigel Farage has said that.
[00:03:56.883 --> 00:04:02.525]  We're imitating common sense, you know, like the French kicking the Nazis out at the end of World War II with the help of the U.S.
[00:04:02.525 --> 00:04:03.025]  and the Allies.
[00:04:06.530 --> 00:04:07.290]  And then it clicked.
[00:04:07.290 --> 00:04:09.452]  I mean, I already knew this, but it clicked.
[00:04:09.452 --> 00:04:13.013]  It's like, oh my gosh, they really are going to have a war with Russia.
[00:04:13.013 --> 00:04:16.195]  And anyone that doesn't go along with the war is a Russian agent.
[00:04:16.195 --> 00:04:22.578]  Because none of this makes sense, and it's comical, unless you know you're going for broke, and you don't care.
[00:04:22.578 --> 00:04:25.340]  And that's why the elite are all buying bunkers and leaving the United States.
[00:04:28.632 --> 00:04:32.073]  And it may not be this year or next year, but it's what Joel Skousen talks about.
[00:04:32.073 --> 00:04:41.216]  World War III with the Russians is set in the next four to five years, and the globalists want to entice the Russians to attack in a first strike.
[00:04:41.216 --> 00:04:42.517]  Oh, man.
[00:04:42.517 --> 00:04:44.797]  I mean, I'm sure of it.
[00:04:44.797 --> 00:04:50.559]  It hit me like that train that went off the tracks in Yonkers, killing three people and injuring over 100.
[00:04:50.559 --> 00:04:52.940]  I mean, it was like, boom!
[00:04:52.940 --> 00:04:55.581]  That's why they're going to start a war with Russia.
[00:04:56.661 --> 00:05:00.990]  And then if you don't want to have a war, and all the gun confiscation that comes with it, they're gonna arrest you.
[00:05:02.814 --> 00:05:08.497]  Joe Biggs here with InfoWars.com, and this is an email from Family Gino.
[00:05:08.497 --> 00:05:15.179]  I took down my rebel flag, which you can't buy on eBay anymore, and peeled the NRA sticker off my rear car window.
[00:05:15.179 --> 00:05:19.841]  I disconnected my home alarm system and quit the candy-ass neighborhood watch.
[00:05:19.841 --> 00:05:24.023]  I bought two Pakistani flags and put one at each corner of the front yard.
[00:05:24.023 --> 00:05:29.366]  Then I purchased the black flag of ISIS, which you can buy on eBay, and ran it up the flagpole.
[00:05:29.366 --> 00:05:30.326]  Now the local police
[00:05:30.546 --> 00:05:37.432]  Sheriff, FBI, CIA, NSA, Homeland Security, and other agencies are all watching my house 24-7.
[00:05:37.432 --> 00:05:43.317]  I've never felt safer, and I'm saving $69.95 a month that ADT used to charge me.
[00:05:43.317 --> 00:05:46.940]  Plus, I bought burkas for my wife and I to wear when we shop or travel.
[00:05:46.940 --> 00:05:49.843]  Everyone moves out of the way and security can't pat us down?
[00:05:49.843 --> 00:05:53.706]  If they say I'm a male wearing a burka, I just say, I'm feeling like a woman today.
[00:05:53.706 --> 00:05:54.447]  Hot damn!
[00:05:54.447 --> 00:05:55.368]  Safe at last!
[00:05:55.368 --> 00:05:56.329]  Ain't America great?
[00:05:56.989 --> 00:05:59.971]  You can find more reports like this at Infowars.com.
[00:05:59.971 --> 00:06:00.931]  This is Joe Biggs.
[00:06:20.262 --> 00:06:22.163]  And I really wanted to do a good job on the interview.
[00:06:22.163 --> 00:06:23.984]  I got my bottle of Brain Force right there.
[00:06:23.984 --> 00:06:25.044]  I popped two of them.
[00:06:25.044 --> 00:06:27.325]  And about 20 minutes later, it's like, bing!
[00:06:27.325 --> 00:06:29.126]  Everything just kind of clears up.
[00:06:29.126 --> 00:06:30.786]  It's got four and a half stars.
[00:06:30.786 --> 00:06:32.107]  People really love it.
[00:06:32.107 --> 00:06:32.707]  Read about it.
[00:06:32.707 --> 00:06:36.549]  Find out why third-party nutraceutical sites give it such high praise.
[00:06:36.549 --> 00:06:41.831]  Because it really does have the best organic-based systems that will blow your socks off.
[00:06:42.011 --> 00:06:46.054]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[00:06:46.054 --> 00:06:52.199]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[00:06:52.199 --> 00:06:58.104]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:07:02.621 --> 00:07:06.584]  Secret 12, InfoWarsLife's Vitamin B12 formulation.
[00:07:06.584 --> 00:07:12.889]  Most forms of Vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[00:07:12.889 --> 00:07:20.174]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[00:07:20.174 --> 00:07:28.981]  InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[00:07:29.281 --> 00:07:35.464]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[00:07:35.464 --> 00:07:40.286]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:07:40.286 --> 00:07:43.868]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:07:43.868 --> 00:07:45.769]  No needles, no injections.
[00:07:45.769 --> 00:07:47.430]  Don't take my word for it.
[00:07:47.430 --> 00:07:48.611]  Try it for yourself.
[00:07:48.611 --> 00:07:50.932]  Discover the secret, Secret 12.
[00:07:50.932 --> 00:07:55.414]  Secure your revolutionary Secret 12 formula right now at Infowarslife.com or
[00:07:55.854 --> 00:07:56.715]  Or call 888-253-3139.
[00:07:56.715 --> 00:07:57.735]  InfoWarsLife Secret 12.
