[00:00:04.676 --> 00:00:05.897]  It's October 30th, 2016.
[00:00:05.897 --> 00:00:15.768]  We're going to be here live for the next two hours with some of the biggest breaking news ever concerning this Republic, not just what's happening to Hillary Clinton.
[00:00:15.768 --> 00:00:18.992]  We've got the inside scoop from every angle.
[00:00:18.992 --> 00:00:21.335]  It's all coming up right after this special report.
[00:00:22.151 --> 00:00:40.109]  FBI Director James Comey, in a surprising letter to Congress, laid out the vague details of the possibility of a re-opening of an FBI investigation into newly discovered Clinton emails from Hillary Clinton's national security-threatening personal email server, DeMocle.
[00:00:40.109 --> 00:00:45.995]  The letter, addressed to a swath of congressional chairmen, read, in previous congressional testimony,
[00:00:46.175 --> 00:00:54.439]  I refer to the fact that the Federal Bureau of Investigation had completed its investigation of former Secretary Clinton's personal email server.
[00:00:54.439 --> 00:00:59.642]  Due to recent developments, I am writing to supplement my previous testimony.
[00:00:59.642 --> 00:01:01.703]  In connection with an unrelated case,
[00:01:01.903 --> 00:01:08.107]  The FBI has learned of the existence of emails that appear to be pertinent to the investigation.
[00:01:08.107 --> 00:01:24.598]  I am writing to inform you that the investigative team briefed me on this yesterday and I agreed that the FBI should take appropriate investigative steps designed to allow investigators to review these emails to determine whether they contain classified information.
[00:01:24.878 --> 00:01:29.081]  As well as to assess their importance to our investigation.
[00:01:29.081 --> 00:01:43.569]  Although the FBI cannot yet assess whether or not this material may be significant and I cannot predict how long it will take us to complete this additional work, I believe it is important to update your committee about our efforts in light of my previous testimony.
[00:01:43.929 --> 00:01:56.373]  FBI Director James Comey stated, Republican Congressman Jason Chaffetz, who led an oversight committee effort to pursue perjury charges against Hillary, immediately tweeted about the FBI's announcement.
[00:01:56.373 --> 00:02:05.036]  It read, FBI Director just informed me the FBI has learned of the existence of emails that appear to be pertinent to the investigation.
[00:02:05.036 --> 00:02:06.677]  Case reopened.
[00:02:06.677 --> 00:02:10.338]  The campaign trail was thrown into chaos by the news.
[00:02:10.338 --> 00:02:11.979]  When there's news of the FBI's
[00:02:12.907 --> 00:02:17.111]  Investigation when it just happened a little while ago.
[00:02:17.111 --> 00:02:20.053]  They said, Mr. Trump, I think they'd understand.
[00:02:20.053 --> 00:02:23.256]  We could skip your speech in New Hampshire.
[00:02:23.256 --> 00:02:24.377]  This is so big.
[00:02:24.377 --> 00:02:31.923]  I said, I don't have the courage to skip the speech in New Hampshire.
[00:02:31.923 --> 00:02:32.884]  Believe me, I don't.
[00:02:34.477 --> 00:02:46.831]  I think whatever is going on here sets up a first term that is going to be a really raucous one filled with more investigations, maybe impeachment proceedings.
[00:02:46.831 --> 00:02:49.835]  You've got to believe somebody's going to want to do that.
[00:02:49.835 --> 00:02:50.335]  Right, Robert?
[00:02:50.856 --> 00:02:57.301]  Well, it's actually already been articulated and signaled by House Oversight Committee Chairman Jason Chaffetz, a Republican of Utah.
[00:02:57.301 --> 00:03:01.184]  He's talking about ramping up GOP investigations in the new year.
[00:03:01.184 --> 00:03:02.946]  Should Secretary Clinton win?
[00:03:02.946 --> 00:03:08.290]  And we don't know if these emails pertain to her time while she was at the State Department.
[00:03:08.290 --> 00:03:11.473]  We just don't have any more information at this time.
[00:03:11.473 --> 00:03:12.354]  Okay, really?
[00:03:12.354 --> 00:03:15.336]  So you're just mystified by this whole thing?
[00:03:15.336 --> 00:03:16.757]  Because they were mystified, but we're...
[00:03:18.551 --> 00:03:19.453]  We're unaware.
[00:03:19.453 --> 00:03:23.537]  And Hillary, as expected, went on business as usual.
[00:03:23.537 --> 00:03:32.027]  When you question the very institutions of our democracy going back to the founding of our country,
[00:03:33.368 --> 00:03:36.710]  You are attacking democracy.
[00:03:36.710 --> 00:03:43.455]  Now, we have seen Donald Trump attack so many different kinds of Americans.
[00:03:43.455 --> 00:03:49.439]  We cannot just blow off what he's saying because he still is saying it.
[00:03:49.439 --> 00:03:58.265]  He's standing up in front of large crowds and you can see how he's egging them on, talking about rigged elections.
[00:03:59.185 --> 00:04:05.416]  Talking about how we should just cancel the election and make him president?
[00:04:05.416 --> 00:04:06.658]  Right, yeah.
[00:04:08.163 --> 00:04:11.445]  Well, we've got to be vigilant about this.
[00:04:11.445 --> 00:04:25.593]  This is not something to be made light of because there have been too many times in world history where somebody gets elected and then that's the last election that is held.
[00:04:25.593 --> 00:04:30.796]  So we have to not only stand up for whoever our candidates are, we have to stand up
[00:04:31.716 --> 00:04:36.397]  For the process of electing them because that's how we lead ourselves.
[00:04:36.397 --> 00:04:39.198]  That's how we make decisions together.
[00:04:39.198 --> 00:04:50.241]  Hillary's campaign has been nothing short of a parade of corruption and bottomless scandals morphing into her platform as she runs for the highest office in the land.
[00:04:50.241 --> 00:04:57.363]  At what point do the American people become an accessory to Hillary's crimes by simply voting for her?
[00:04:57.363 --> 00:04:59.284]  John Bowne for Infowars.com
[00:05:01.571 --> 00:05:04.773]  A clean, toxic-free body is the foundation of true health.
[00:05:04.773 --> 00:05:07.114]  Deep Cleanze by InfoWarsLife.com.
[00:05:07.114 --> 00:05:14.138]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:05:14.138 --> 00:05:19.461]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:05:19.461 --> 00:05:28.506]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others, Deep Cleanze doesn't hold back.
[00:05:28.866 --> 00:05:37.754]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:05:37.754 --> 00:05:44.840]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary SpiteGX herbal processing technique.
[00:05:44.840 --> 00:05:50.225]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you at the best
[00:05:50.505 --> 00:05:56.130]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[00:05:56.130 --> 00:05:58.072]  That's Infowarslife.com or call 888-253-3139.
[00:06:12.595 --> 00:06:16.436]  It's Sunday, October 30th, 2016.
[00:06:16.436 --> 00:06:21.977]  We are now only eight days out from the most important election in modern world history.
[00:06:21.977 --> 00:06:27.018]  You're listening to the Alex Jones Show!
[00:06:27.018 --> 00:06:31.059]  That's right, if you count election day, it's nine days.
[00:06:31.059 --> 00:06:37.841]  We are less than ten days out, bottom line, from knowing who the new president of the United States is.
[00:06:37.841 --> 00:06:38.121]  Maybe.
[00:06:39.130 --> 00:06:45.652]  Because with this race so close, according to mainstream media, and all these different cooked polls, looks like it's going to be contested.
[00:06:45.652 --> 00:06:53.815]  And Antonin Scalia, who was the tiebreaker so that George W. Bush got into office in 2000, he is dead.
[00:06:53.815 --> 00:06:58.797]  And we've got lots of talk the day before he died in the Podesta emails about wet work.
[00:06:58.797 --> 00:07:01.238]  That means assassination.
[00:07:01.238 --> 00:07:03.499]  Isn't it a very interesting time to be alive, obviously?
[00:07:03.499 --> 00:07:03.939]  We have the
[00:07:05.655 --> 00:07:11.338]  Have the Justice Department, the AG, Loretta Lynch, declaring the Fifth Amendment.
[00:07:11.338 --> 00:07:13.820]  That's hardly gotten any attention.
[00:07:13.820 --> 00:07:18.723]  Declaring that she won't talk about certain things because it would self-incriminate her.
[00:07:18.723 --> 00:07:23.185]  You shouldn't have an Attorney General who's taken the Fifth to Congress.
[00:07:23.185 --> 00:07:27.248]  That's always a big sign that your country is in deep, deep trouble.
[00:07:27.248 --> 00:07:28.228]  We've got that.
[00:07:28.228 --> 00:07:31.310]  Obviously, we've got the huge investigation into Hillary.
[00:07:31.310 --> 00:07:32.011]  I have talked to
[00:07:33.379 --> 00:07:34.640]  A lot of people.
[00:07:34.640 --> 00:07:43.608]  I made a lot of phone calls to a lot of smart folks in the federal government, outside of the federal government, people that have sources even higher level than I do.
