[00:00:20.185 --> 00:00:22.006]  Welcome to the Info Wars Nightly News.
[00:00:22.046 --> 00:00:25.949]  It is Friday, October 28th, 2016, and I'm Leanne McAdoo.
[00:00:26.009 --> 00:00:26.990]  Here's what's coming up tonight.
[00:00:30.112 --> 00:00:37.218]  Tonight, the FBI has announced they will reopen an investigation into the Hillary Clinton email scandal.
[00:00:37.618 --> 00:00:44.303]  Then, more votes in multiple states are being reported to have switched from Donald Trump to Hillary Clinton.
[00:00:45.224 --> 00:00:45.664]  And this.
[00:00:47.791 --> 00:00:56.154]  A stunning defeat of the federal government in the Oregon Bundy standoff, as federal marshals have been caught physically attacking the victorious defense attorney.
[00:00:56.174 --> 00:00:59.776]  So I just turned to them and I said, guys, show me what papers you have.
[00:01:00.156 --> 00:01:07.739]  And the next thing I know, they surrounded me, they took a hold of me, and they were talking about how I was resisting arrest.
[00:01:07.879 --> 00:01:15.182]  Also, will the Democrats and their hearsay mafia be invoking violent attacks if Donald Trump wins the presidency?
[00:01:20.326 --> 00:01:23.210]  All that and more on the InfoWars Nightly News.
[00:01:30.402 --> 00:01:33.024]  Look, I'm not going to sit here and say, see, I told you so.
[00:01:33.284 --> 00:01:36.306]  That communist Chinese style net censorship is coming to the web.
[00:01:36.326 --> 00:01:37.427]  Because it's already here.
[00:01:37.827 --> 00:01:38.467]  It's being announced.
[00:01:38.828 --> 00:01:42.290]  The way you keep the internet open and free is you get involved more than ever.
[00:01:42.770 --> 00:01:44.051]  You don't let them break your will.
[00:01:44.692 --> 00:01:56.760]  Go to infowars.com forward slash app and download an app that took us over a year to develop that we're going to be expanding on the next few months with free video and audio and podcast feeds and breaking news and alerts and so much more.
[00:01:57.040 --> 00:01:59.982]  Don't sit by and let the internet and free speech be stolen from you.
[00:02:00.502 --> 00:02:04.444]  Take action!
[00:02:04.824 --> 00:02:06.705]  I train two, three times a day.
[00:02:07.506 --> 00:02:11.808]  They're brutal, agonizing, painful training sessions.
[00:02:16.730 --> 00:02:18.191]  I have to have the edge over my opponents.
[00:02:19.031 --> 00:02:24.094]  I believe that in Forest Products, Super Male Vitality, you know, that gives me the edge.
[00:02:26.035 --> 00:02:27.056]  Well, you have to know where you break.
[00:02:27.416 --> 00:02:30.740]  You know, ultimately, like, you don't push yourself to know where that breaking point is.
[00:02:30.960 --> 00:02:33.422]  You're always going to be falling short of what your potential is.
[00:02:33.923 --> 00:02:39.609]  So it's really just about finding how far you can go.
[00:02:56.613 --> 00:02:57.894]  There's a lot of different things out there.
[00:02:58.975 --> 00:02:59.936]  I only use the best.
[00:03:04.339 --> 00:03:08.262]  The FBI has just sent a letter to Congress.
[00:03:08.523 --> 00:03:17.570]  They have discovered new emails pertaining to the former Secretary of State Hillary Clinton's investigation.
[00:03:18.630 --> 00:03:30.217]  They are reopening the case into her criminal and illegal conduct that threatens the security of the United States of America.
