[00:00:00.370 --> 00:00:03.884]  And your support is helping us defend liberty worldwide.
[00:00:26.377 --> 00:00:30.600]  Ladies and gentlemen, we are live, we are broadcasting worldwide today.
[00:00:31.341 --> 00:00:32.501]  I'm your host, Alex Jones.
[00:00:32.521 --> 00:00:41.888]  I have a very special report I want to air first off, straight up, on this Wednesday, the sixth day already of April 2016 transmission by John Bowne.
[00:00:42.268 --> 00:00:43.509]  His reports are so important.
[00:00:43.669 --> 00:00:48.473]  ISIS Supreme Commander Hillary Clinton lectures America on ISIS.
[00:00:48.953 --> 00:00:54.057]  Obviously, they put the full power of the Republican Party and the Democratic Party in the establishment.
[00:00:55.017 --> 00:01:01.060]  In a huge way against Donald Trump and he lost to Ted Cruz in Wisconsin.
[00:01:01.440 --> 00:01:02.741]  They're trying to create a meme now.
[00:01:02.781 --> 00:01:05.603]  This is the fall of Donald Trump and the fall of populism.
[00:01:05.623 --> 00:01:11.586]  We've got Roger Stone joining us for the second hour today to break down what's really happening and a lot more.
[00:01:12.426 --> 00:01:20.290]  But first the John Bowne report and then we'll get into incredible over-the-top political correctness at a new level.
[00:01:20.330 --> 00:01:21.011]  So get ready for that.
[00:01:22.674 --> 00:01:24.158]  They've created ISIS.
[00:01:24.519 --> 00:01:27.145]  Hillary Clinton created ISIS with Obama.
[00:01:28.732 --> 00:01:31.813]  He is becoming ISIS's best recruiter.
[00:01:32.293 --> 00:01:41.957]  They are going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.
[00:01:42.137 --> 00:01:57.122]  Hillary Clinton would have us all forget about the failed regime changes she oversaw in Egypt and Libya that led up to the staged rollout of Benghazi, as an actual Marine sergeant pointed out to Bill Clinton on the campaign trail back in February.
[00:01:57.242 --> 00:02:01.125]  Eight years active duty service, two tours direct.
[00:02:01.145 --> 00:02:04.408]  Between the 31, I had seven that were killed, six wouldn't be on their terms.
[00:02:05.069 --> 00:02:08.291]  And I have met with many of these Gold Star parents and families, so I've seen them.
[00:02:10.513 --> 00:02:11.994]  I've seen them mourn.
[00:02:12.174 --> 00:02:17.179]  And the thing is that we had four lives in Benghazi that were killed and your wife tried to cover it up.
[00:02:18.659 --> 00:02:29.221]  Benghazi, now commonly known as a bungled covert operation, nothing less than a CIA arms transfer of Qaddafi's pilfered arsenal to ISIS.
[00:02:29.421 --> 00:02:36.403]  Hillary's accusations of Trump now being somehow responsible for ISIS are on their face laughable.
[00:02:36.963 --> 00:02:46.865]  The way Donald Trump talks about terrorism and his, you know, very insulting language toward Muslims is making him the recruiting sergeant for ISIS.
[00:02:47.305 --> 00:02:53.130]  In January of this year, Soros dropped $8 million to boost Hillary's sluggish campaign.
[00:02:53.370 --> 00:03:02.798]  While we are all overwhelmed and diverted by the ISIS chaos, the New World Order bankers extend their tentacles into their customers' bank accounts worldwide.
