[00:00:00.210 --> 00:00:01.639]  The Alex Jones Show.
[00:00:11.997 --> 00:00:16.181]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:16.841 --> 00:00:17.642]  You want answers?
[00:00:18.423 --> 00:00:19.303]  Well, so does he.
[00:00:19.964 --> 00:00:23.607]  He's Alex Jones on the GCN Radio Network.
[00:00:24.168 --> 00:00:28.231]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.277 --> 00:00:44.518]  Get ready, ladies and gentlemen.
[00:00:45.179 --> 00:00:51.485]  This is going to be another incredibly important Global Transmission, jam-packed with guests, analysis, you name it.
[00:00:51.505 --> 00:00:53.126]  We're going to be here for the next four hours.
[00:00:53.547 --> 00:00:58.051]  Paul Joseph Watson will honcho and quarterback the fourth hour today.
[00:00:58.672 --> 00:01:03.636]  We have a very special group of in-studio guests as well, I'll tell you about in the next segment.
[00:01:04.377 --> 00:01:07.260]  This is another information overload, but I must cover it all.
[00:01:08.499 --> 00:01:13.222]  The situation in the Middle East and North Africa has been destabilized by design.
[00:01:13.242 --> 00:01:27.911]  We predicted exactly what would now begin to unfold five years ago with the destabilization program that began in Libya and the staged Arab Spring run by MI6, the CIA, Mossad, and other major Western governments and NATO.
[00:01:29.085 --> 00:01:35.751]  Now the destabilization is intensifying, but not going exactly how they had wanted it to go.
[00:01:36.451 --> 00:01:47.941]  And the Russians basically have moved tactical nuclear weapons, obviously, up to their borders and into Syria, and are basically telegraphing that they're prepared to use them.
[00:01:48.681 --> 00:01:52.184]  But that's only after the Saudis announced, OK, we have nukes.
[00:01:52.664 --> 00:01:56.227]  OK, we're going to send in a multi-hundred-thousand-person army into Syria.
[00:01:57.307 --> 00:02:00.211]  And you better not fight us, Assad, or we'll use nukes on you.
[00:02:00.251 --> 00:02:07.782]  So the whole situation is hurdling towards crisis, but this just broke, just broke 30 minutes ago.
[00:02:08.503 --> 00:02:13.770]  As I was shooting a live Facebook mentions warning of this, this is from Reuters.
[00:02:14.901 --> 00:02:29.733]  It's also in the Associated Press, and we will see if this holds, but U.S.-Russia, U.S.-Russia reach deal on ceasefire in Syria to begin February 27th, or in about five days.
[00:02:30.714 --> 00:02:31.975]  So we're going to be going over that.
[00:02:32.375 --> 00:02:38.400]  Also, now we're hearing that we have to reinvade Libya to kick out
[00:02:39.708 --> 00:02:59.669]  The Al Qaeda that Hillary and Obama put in charge and I said when they did it I said watch in a few years they'll be saying we have to reinvade to kick them out but it won't be to actually kick them out it'll be to fight anybody fighting them and if you actually read closely they're not bombing Benghazi, Al Qaeda's home base in North Africa really their global command base now even more than Syria
[00:03:00.691 --> 00:03:04.078]  And they're going to actually go after the opposition, which is what they're doing.
[00:03:04.118 --> 00:03:09.829]  So the attack on Al-Qaeda is actually to protect them.
[00:03:10.726 --> 00:03:14.588]  And it'll even come out like it has in Iraq and Syria, if that's the case.
[00:03:15.188 --> 00:03:16.429]  It'll just be in the back of the newspaper.
[00:03:17.229 --> 00:03:21.872]  But this is how truly sickening the controllers are using the fog of war.
[00:03:22.312 --> 00:03:22.952]  That's coming up.
[00:03:23.593 --> 00:03:28.915]  Donald Trump has turbocharged to the lead with 60-plus delegates.
[00:03:28.955 --> 00:03:31.817]  His closest rival only has eight delegates.
[00:03:32.779 --> 00:03:33.620]  That's Ted Cruz.
[00:03:34.262 --> 00:03:41.133]  And Hillary, despite being down in polls, has now stolen Nevada as she stole New Hampshire and as she stole Iowa.
[00:03:41.273 --> 00:03:43.897]  And I mean, she stole the first two openly.
[00:03:45.013 --> 00:03:49.416]  And she lost by 20 points in New Hampshire, but got the delegates, most of the delegates.
[00:03:50.297 --> 00:03:52.538]  So that's how that works, and they're now in the New York Times.
[00:03:52.998 --> 00:03:54.019]  Why, they just broke it.
[00:03:54.039 --> 00:04:00.443]  The New York Times is so cutting edge, give them a Pulitzer right now, that the superdelegates don't matter.
[00:04:02.425 --> 00:04:07.308]  The election doesn't matter because the superdelegates will do what the party tells them, and they're all going for Hillary.
[00:04:07.648 --> 00:04:10.430]  So Bernie could win a landslide, he's gonna lose the nomination.
[00:04:10.970 --> 00:04:14.433]  My gosh, I just learned that from the New York Times this morning.
[00:04:15.728 --> 00:04:16.769]  We broke it down years ago.
[00:04:16.809 --> 00:04:17.710]  We broke it down this year.
[00:04:17.750 --> 00:04:18.771]  We predicted it would happen.
[00:04:18.811 --> 00:04:19.531]  It's now happening.
[00:04:19.831 --> 00:04:27.738]  And our own Richard Reeves will be popping in at 12 noon for about 15 minutes from Nevada ahead of the Republican caucus tomorrow.
[00:04:28.358 --> 00:04:33.383]  And then we also, of course, are going to be covering things right through Super Tuesday on March 1st.
[00:04:34.403 --> 00:04:36.325]  So we are in the field on that front.
[00:04:36.785 --> 00:04:40.528]  I've not even begun to scratch the surface of the New York Times again.
[00:04:42.623 --> 00:04:45.686]  Has a big announcement that the sun is yellow in color.
[00:04:47.167 --> 00:04:48.688]  Oh, no, it's even more stupid than that.
[00:04:49.809 --> 00:04:54.293]  Scientists ponder the prospect of contagious cancer.
[00:04:54.754 --> 00:04:55.594]  It's viral?
[00:04:55.654 --> 00:04:57.015]  Well, that's the main... What?
[00:05:00.018 --> 00:05:01.459]  Oh, and it's weaponized?
[00:05:01.659 --> 00:05:02.800]  Government made it?
[00:05:02.961 --> 00:05:03.101]  What?
[00:05:06.058 --> 00:05:08.100]  Jeb Bush is out of the presidential race.
[00:05:08.360 --> 00:05:19.108]  The former Florida governor has dropped out of the 2016 White House race after losing the South Carolina primary badly to billionaire Donald Trump, who secured a strong victory with nearly a third of the vote.
[00:05:19.388 --> 00:05:24.012]  Bush formally launched his campaign back in June, about six months after he announced he would run for top office.
[00:05:24.312 --> 00:05:30.916]  He was supported by the Right to Rise Political Action Committee, which had raised in excess of $100 million for his campaign launch.
[00:05:31.156 --> 00:05:42.383]  But no amount of money could save Bush, a dorky candidate who at one point actually begged the audience to please clap for him after his speech, and was hilariously thrown off the stage at another speech for going over his allotted time.
[00:05:42.503 --> 00:05:47.226]  People are simply tired of establishment candidates who want amnesty for illegals flooding into the country.
[00:05:47.406 --> 00:05:57.890]  It also didn't help that Bush blew off the idea of releasing the missing 28 pages from the 9-11 report, which were classified not because of national security, but because they reveal Saudi Arabia's involvement in the attacks.
[00:05:58.070 --> 00:06:02.451]  For more election news, check out InfoWars.com, PrisonPlanet.TV.
[00:06:02.631 --> 00:06:03.892]  This is Kit Daniels reporting.
[00:06:07.305 --> 00:06:10.708]  Thousands of years ago, there was a basic form of chivalry.
[00:06:11.068 --> 00:06:18.214]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:06:18.814 --> 00:06:27.141]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:06:27.421 --> 00:06:31.444]  But in the 21st century, there are silent weapons for quiet war.
[00:06:31.844 --> 00:06:41.288]  Pathogens added to the food and water, to the lining of plastics that destroy our vitality, turn off our hormones and accelerate our journey towards death.
[00:06:41.668 --> 00:06:44.789]  I personally counter this onslaught with Anthroplex.
[00:06:45.089 --> 00:06:56.114]  Anthroplex is designed with known organic concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[00:06:56.254 --> 00:06:58.877]  Discover why Anthroplex is turning so many heads today.
[00:06:59.117 --> 00:07:02.061]  It's time for us to take our bodies back into our own hands.
[00:07:02.201 --> 00:07:05.165]  And it starts at Infowarslife.com with Anthroplex.
[00:07:05.906 --> 00:07:07.287]  Clean, pure drinking water.
[00:07:07.548 --> 00:07:08.849]  You can't survive without it.
[00:07:09.029 --> 00:07:09.951]  But where do you get it?
[00:07:10.231 --> 00:07:15.978]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:07:16.218 --> 00:07:21.960]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:07:22.120 --> 00:07:38.984]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:07:39.384 --> 00:07:41.506]  Filter capacity up to 5,000 gallons.
[00:07:41.866 --> 00:07:43.047]  Stainless steel construction.
[00:07:43.347 --> 00:07:44.088]  Easy assembly.
[00:07:44.368 --> 00:07:44.989]  Low maintenance.
[00:07:45.289 --> 00:07:47.110]  Replacement filters are simple to install.
[00:07:47.390 --> 00:07:54.516]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:07:54.656 --> 00:07:59.640]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:07:59.860 --> 00:08:02.442]  Go to InfowarsStore.com or call 888-253-3139.
[00:08:06.380 --> 00:08:06.940]  We've got it.
[00:08:06.980 --> 00:08:13.404]  This transmission is coming to you.
[00:08:13.504 --> 00:08:15.565]  Waging war on corruption.
[00:08:17.866 --> 00:08:23.589]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:08:26.570 --> 00:08:34.214]  The Joint Chiefs of Staff last year, this year as well, have come out, you can pull up their statements, and warned that the world is in the most dangerous,
[00:08:36.053 --> 00:08:42.377]  geopolitical season that they've ever seen.
[00:08:43.697 --> 00:08:59.947]  The British Ministry of Defense in 2007, as well as the Pentagon, put out detailed reports that basically mirrored each other, predicting that the world would enter global crisis by 2016 into 2022 because of demographic cliffs and other major issues.
[00:09:01.223 --> 00:09:06.246]  You want to pull up those reports, just type in flash mobs, brain chips, a grim future.
[00:09:06.847 --> 00:09:16.693]  You'll get the London Guardian that leaks and links to the British Ministry of Defence report and then you can also in the same article find the US report.
[00:09:18.574 --> 00:09:23.717]  That's another reason when you tune in, you notice what we cover and warn about just keeps happening.
[00:09:24.278 --> 00:09:27.940]  The social engineers, the big think tanks know full well what's going on.
[00:09:29.431 --> 00:09:32.072]  They just don't normally put it in the newspaper.
[00:09:34.892 --> 00:09:43.594]  But more and more, the establishment media doesn't want to be obsolete or passé, so they are admitting more and more of it.
[00:09:46.915 --> 00:09:52.196]  We had scientists on 16, 17 years ago that microwave radiation from cell phones
[00:09:53.763 --> 00:09:56.084]  Severs the tails, basically, off of sperm.
[00:09:56.825 --> 00:09:57.725]  It vibrates them off.
[00:09:58.425 --> 00:10:01.187]  It's like you take a snake and sit there and shake it, you know, the tail will crack off.
[00:10:02.447 --> 00:10:05.689]  Anybody who's ever tried to catch a snake notices a lot of times the tail snaps off for a lizard.
[00:10:05.929 --> 00:10:06.850]  Same deal with these cells.
