[00:00:13.854 --> 00:00:14.554]  Wow, folks.
[00:00:15.194 --> 00:00:15.554]  Wow.
[00:00:16.375 --> 00:00:17.655]  I am so blown away right now.
[00:00:18.255 --> 00:00:20.416]  Hillary had LeBron James come speak at one of her rallies.
[00:00:20.476 --> 00:00:25.397]  All she got was 700 people that were almost all white, even though they were trying to get black folks to come to it.
[00:00:26.257 --> 00:00:27.597]  And it gets even worse than that.
[00:00:27.717 --> 00:00:31.158]  As you know, she has a Jay-Z concert and 10,000 show up.
[00:00:31.878 --> 00:00:32.478]  I mean, Trump has 20,000, 30,000.
[00:00:32.799 --> 00:00:34.539]  This shows how rigged it is.
[00:00:34.559 --> 00:00:40.620]  We've got incredible news with the FBI coming out and saying, hey, we're not going to go after Hillary on the new emails.
[00:00:40.660 --> 00:00:42.581]  But first, a very powerful John Bowne report.
[00:00:43.681 --> 00:00:57.092]  Marina Abramovich, grandmother of the performance art movement and a modern adherent to ceremonial magic found in Aleister Crowley's religion, Thelema, wrote a very personal email to Tony Podesta, according to WikiLeaks.
[00:00:57.412 --> 00:01:03.057]  It reads, Dear Tony, I am so looking forward to the spirit cooking dinner at my place.
[00:01:03.297 --> 00:01:08.321]  Do you think you will be able to let me know if your brother is joining Tony Podesta?
[00:01:08.581 --> 00:01:21.046]  Regarded as the most powerful lobbyist in Washington, D.C., is a brother to none other than John Podesta, chairman of the Hillary Clinton presidential campaign and counselor to President Obama.
[00:01:21.326 --> 00:01:26.649]  That dinner Abramovich spoke of was nothing less than a thalemic occult ritual.
[00:01:26.909 --> 00:01:36.553]  In spirit cooking, Marina uses pig's blood, which most resembles human blood, as a medium to connect the spirit world with the material world.
[00:01:36.833 --> 00:01:41.155]  The ritual takes place in the kitchen, which is considered to be the heart of the home.
[00:01:41.335 --> 00:01:46.838]  The goal of the ceremony is to convert matter into energy so spirits can feed on it.
[00:01:47.058 --> 00:01:58.084]  Marina derives her inspiration from the popular belief that spirits still need food, even though it is no longer solid but in the form of light, sound, and emotions.
[00:01:58.524 --> 00:02:10.458]  This simple revelation may finally pull back the curtain to the masses on the ugly truth Infowars and others have been desperately trying to tell the masses for years.
[00:02:10.779 --> 00:02:13.622]  The occult is the religion of the elite.
[00:02:13.922 --> 00:02:17.787]  Just research the influence of Lucius Trust in the United Nations.
[00:02:18.067 --> 00:02:20.849]  Or review the 1990 Nebraska U.S.
[00:02:20.929 --> 00:02:30.757]  District Court case between Paul A. Baraki versus Lawrence E. King, exposing a powerful pedophile ring linked to political figures, high-level U.S.
[00:02:30.817 --> 00:02:33.800]  military commanders, and the intelligence establishment.
[00:02:34.020 --> 00:02:37.843]  All of this overseen by Temple of Set founder and retired U.S.
[00:02:37.923 --> 00:02:40.025]  Army Lieutenant Colonel Michael Aquino.
[00:02:40.445 --> 00:02:44.669]  Bill Clinton and Hillary Clinton live in this dark world.
[00:02:45.089 --> 00:03:02.038]  Bill Clinton wrote in his biography that the brief foray into the world of voodoo furthered his fascination with the way different cultures try to make sense of life, nature, and the virtually universal belief that there is a non-physical spirit force at work in the world.
[00:03:02.198 --> 00:03:07.721]  Back in September 16, 2016, Fox News posted a letter from hacker Guccifer.
[00:03:08.041 --> 00:03:15.803]  Claiming the goal of the Guccifer Project failed because he was unable to fully expose the Illuminati, the Council, and their crimes.
[00:03:16.223 --> 00:03:24.185]  He writes, Hillary Rodham Diane Clinton is one of the High Priests, a goddess of this occult, satanic, shadow group.
[00:03:24.526 --> 00:03:29.687]  One must see their evil and profoundly corrupt nature to understand what I am talking about.
[00:03:29.827 --> 00:03:38.574]  Guccifer continues, so I apologize in front of the unknown soldiers who struggle to take this fight against these monsters to a glorious end.
[00:03:38.954 --> 00:03:45.779]  Many of them are risking their lives while doing this behind the computer screens from inside or outside the system.
[00:03:46.200 --> 00:03:56.708]  And now bombshell revelations are surfacing from Anthony Weiner's recovered laptop as the New York Police Department is investigating allegations that Bill Clinton
[00:03:57.128 --> 00:04:02.270]  ...perform sexual acts on underage girls as young as five years old.
[00:04:02.750 --> 00:04:15.814]  In the coming days, right up to the election, Anthony Weiner's laptop will reveal evidence of an international child sex trafficking ring tied to Democratic presidential candidate Hillary Clinton.
[00:04:16.574 --> 00:04:22.536]  She's worked like a demon, as you know, as Secretary of State and as a senator and in the years since.
[00:04:22.796 --> 00:04:24.197]  One thing about Hillary,
[00:04:26.016 --> 00:04:27.818]  Bill is just a good-timing guy.
[00:04:28.879 --> 00:04:32.903]  But Hillary, she's an animal.
[00:04:32.963 --> 00:04:35.886]  Hillary is the one that I promise you.
[00:04:37.248 --> 00:04:38.729]  She pulls the strings.
[00:04:39.370 --> 00:04:41.392]  She pulled them in Arkansas.
[00:04:41.692 --> 00:04:44.976]  She pulled them in the White House when she was there as a First Lady.
[00:04:47.154 --> 00:04:54.199]  And my God, if she gets to be president, what you see out here now is gonna change.
