[00:00:03.959 --> 00:00:06.262]  Wednesday, April 20th, 2016.
[00:00:06.262 --> 00:00:11.569]  You're about to hear some of the most powerful 9-11 inside information ever.
[00:00:11.569 --> 00:00:12.570]  Here's John Bowne's report.
[00:00:21.571 --> 00:00:22.413]  How should the U.S.
[00:00:22.413 --> 00:00:24.796]  respond to such a devastation?
[00:00:24.796 --> 00:00:27.260]  Well, I think they have to respond quickly and effectively.
[00:00:27.260 --> 00:00:34.351]  They have to find out exactly what the cause was, who did it, and they have to go after these people because there is no other choice.
[00:00:39.705 --> 00:00:44.850]  Obviously, the war in Iraq is a big, fat mistake, alright?
[00:00:44.850 --> 00:00:52.678]  It took Jeb Bush, took him five days before his people told him what to say, and he ultimately said it was a mistake.
[00:00:52.678 --> 00:00:57.663]  The war in Iraq, we spent two trillion dollars, thousands of lives, we don't even have it.
[00:00:57.663 --> 00:01:01.347]  Iran is taking over Iraq with the second largest oil reserves in the world.
[00:01:01.647 --> 00:01:03.728]  You've destabilized the Middle East.
[00:01:03.728 --> 00:01:16.271]  On Monday, the Obama administration and the State Department said the release of the papers detailing Saudi involvement in the 9-11 attacks and its support for al-Qaeda would damage U.S.
[00:01:16.271 --> 00:01:20.293]  national security and endanger citizens living abroad.
[00:01:20.293 --> 00:01:28.155]  Both the Obama and Bush administrations have refused to release the papers stored in a guarded vault beneath Washington, D.C.
[00:01:28.155 --> 00:01:31.276]  The FBI has also refused to unseal the documents.
[00:01:31.576 --> 00:01:38.160]  It needs to be classified, former director of the FBI Robert S. Mueller said in a secret meeting.
[00:01:38.160 --> 00:01:43.183]  The White House has threatened to veto legislation that would release the documents.
[00:01:43.183 --> 00:01:50.668]  It's difficult to imagine a scenario where the president would sign it, White House spokesman Josh Earnest told reporters on Monday.
[00:01:51.028 --> 00:01:55.291]  He said the bill would jeopardize international sovereignty and put the U.S.
[00:01:55.291 --> 00:01:57.192]  at a significant risk.
[00:01:57.192 --> 00:02:07.679]  Obama allies on Capitol Hill, including an unnamed Republican senator, have vowed to prevent the Senate from taking up the Justice Against Sponsors of Terrorism Act.
[00:02:07.679 --> 00:02:15.885]  The bill would remove Saudi Arabia's immunity in federal court and allow victims of the 9-11 attacks to sue the kingdom.
[00:02:15.885 --> 00:02:16.905]  Governor Bush, how we doing?
[00:02:16.905 --> 00:02:17.666]  Good, how you doing?
[00:02:18.566 --> 00:02:23.269]  I was wondering, would you be in favor of seeing the 28 pages that have been redacted from the 9-11 Commission report?
[00:02:23.269 --> 00:02:25.390]  Would you be willing to see those released?
[00:02:25.390 --> 00:02:26.251]  Yeah, I'd like to see them.
[00:02:26.251 --> 00:02:27.752]  You got them?
[00:02:27.752 --> 00:02:29.173]  Well, hopefully we can get them.
[00:02:29.173 --> 00:02:36.417]  In order to have the bill move forward, Senate Majority Leader Mitch McConnell would need to file procedural motions.
[00:02:36.417 --> 00:02:39.279]  60 votes are required to have the bill move forward.
[00:02:39.907 --> 00:02:47.676]  After 9-11, it was clear that the Congress was going to be called upon to conduct some form of an inquiry as to what happened.
[00:02:47.676 --> 00:02:55.364]  The decision by the leadership was to combine the intelligence committees of the House and the Senate into a single body.
[00:02:55.364 --> 00:02:58.768]  For the first time in the history of the Congress, that had occurred.
[00:02:59.128 --> 00:03:13.995]  On April 10th, the former chairman of the Senate Select Committee on Intelligence and co-chair of the bipartisan Joint Congressional Inquiry into the 9-11 attacks, Bob Graham, told CBS News he believes Saudi Arabia was behind the attacks.
[00:03:13.995 --> 00:03:17.557]  What I'm trying to tell you is, so what?
[00:03:17.557 --> 00:03:18.858]  We did not invent
[00:03:20.749 --> 00:03:21.710]  Uh, corruption.
[00:03:21.710 --> 00:03:27.433]  Graham said support came from the Saudi government, charities, and rich people in the country.
[00:03:27.433 --> 00:03:36.019]  He said that support was downplayed because of the special relationship between the United States and the Saudi Arabian Kingdom.
[00:03:36.019 --> 00:03:37.800]  The evidence is overwhelming.
[00:03:37.800 --> 00:03:44.905]  For example, here's Donald Rumsfeld chomping at the bit to keep the momentum of the New World Order's tyrannical soft war moving.
[00:03:44.905 --> 00:03:46.946]  We have had an attack in five years.
[00:03:46.946 --> 00:03:48.407]  Hell, they're being beaten.
[00:04:04.531 --> 00:04:06.472]  Building 7 I often hear about.
[00:04:06.472 --> 00:04:07.693]  No plane hit building 7.
[00:04:07.693 --> 00:04:09.194]  Why did building 7 come down?
[00:04:09.194 --> 00:04:10.155]  What do you tell people?
[00:04:10.155 --> 00:04:11.816]  What is building 7?
[00:04:11.816 --> 00:04:12.917]  Building 7.
