[00:00:07.785 --> 00:00:10.406]  Ladies and gentlemen, wow!
[00:00:10.406 --> 00:00:18.451]  It's Tuesday, already the 27th day of December 2016, about to be 2017.
[00:00:18.451 --> 00:00:21.672]  I'm your host Alex Jones.
[00:00:21.672 --> 00:00:26.975]  There is definitely a hot war going on with Russia with the shoot-down of their aircraft and U.S.
[00:00:26.975 --> 00:00:27.615]  diplomats
[00:00:30.600 --> 00:00:35.644]  Having suspicious things happen to them and also Russian ministers having very suspicious things happen to them.
[00:00:35.644 --> 00:00:37.426]  That's all coming up today.
[00:00:37.426 --> 00:00:39.007]  There is just so much to cover.
[00:00:39.007 --> 00:00:44.892]  Obama obviously snuck through a bunch of tyrannical actions over the Christmas holiday.
[00:00:44.892 --> 00:00:46.233]  All this and more is straight ahead.
[00:00:46.233 --> 00:00:49.796]  But first, front and center, a very powerful report.
[00:00:49.796 --> 00:00:51.617]  Obama's immigration apocalypse.
[00:00:52.637 --> 00:01:09.940]  Anas Amri, the jihadist that drove a truck into scores of people in Berlin, leaving 12 dead and injuring dozens, finally faced justice in Milan, Italy as a rookie police officer, took Amri down in a hail of bullets after Amri pulled a gun while being asked for identification.
[00:01:10.120 --> 00:01:16.506]  Omri had been one of the many refugees leaving Tunisia during the Arab Spring in 2011 for European shores.
[00:01:16.506 --> 00:01:22.752]  Tunisia, now seen as a jihadist hotbed, sending more fighters to Syria than any other country.
[00:01:22.752 --> 00:01:28.057]  Omri had been allowed to remain in Europe regardless of the fact that he had spent four years in prison
[00:01:28.357 --> 00:01:35.164]  After being held responsible for burning down a migrant reception center on the Italian island of Lampedusa.
[00:01:35.164 --> 00:01:45.656]  Back in Germany, Angela Merkel continued to ignore the blood on her hands as calls for her to step down echoed throughout Berlin's Washington Square, numbering as high as 10,000 protesters.
[00:01:46.837 --> 00:01:53.463]  Because right now, we still don't know exactly what happened.
[00:01:53.463 --> 00:01:56.466]  We have to presume this is a terrorist attack.
[00:01:56.466 --> 00:02:06.355]  Three suspected jihadists said to be linked to Anis Amri have been arrested in Tunisia, the home country of the supposed Berlin truck attacker.
[00:02:06.895 --> 00:02:17.440]  Described as members of a terrorist cell by Tunisia's Interior Ministry, the trio includes a nephew of Amri who was shot dead by Italian police in Milan on Friday.
[00:02:17.440 --> 00:02:24.943]  It will be very hard to deal with this, to understand this, if we find out that this was committed by someone.
[00:02:25.843 --> 00:02:29.325]  He took refuge in Germany.
[00:02:29.325 --> 00:02:34.868]  And now the world enters the Christmas season on high alert as ISIS releases a list of U.S.
[00:02:34.868 --> 00:02:36.288]  churches to attack.
[00:02:36.288 --> 00:02:38.289]  Record highs surge across the U.S.
[00:02:38.289 --> 00:02:50.656]  border, numbering on the average of 1,574 per day and 820,000 illegal immigrants with felonies and serious misdemeanors walk the streets of the United States.
[00:02:50.656 --> 00:02:55.398]  Urged on by the reckless support of President Obama and the Mexican ambassador,
[00:02:55.698 --> 00:02:59.420]  We are facing a crisis of epic proportions.
[00:02:59.420 --> 00:03:06.843]  More than 65 million people have been driven from their homes, which is more than any time since the Second World War.
[00:03:06.843 --> 00:03:12.786]  Among them are more than 21 million refugees who have fled their countries.
[00:03:12.786 --> 00:03:22.551]  Everything and everyone they've ever known, playing with a suitcase or the clothes on their back, is a crisis of our shared security.
[00:03:23.883 --> 00:03:26.444]  Not because refugees are a threat.
[00:03:26.444 --> 00:03:32.226]  Refugees, most of whom are women and children, are often fleeing war and terrorism.
[00:03:32.226 --> 00:03:34.707]  They are victims.
[00:03:34.707 --> 00:03:41.729]  They're families who want to be safe and to work, be good citizens and contribute to their country.
[00:03:41.729 --> 00:03:47.951]  If we were to turn refugees away simply because of their background or religion or, for example, because they are Muslim,
[00:03:49.096 --> 00:03:58.102]  Then we would be reinforcing terrorist propaganda that nations like my own are somehow opposed to Islam.
[00:03:58.102 --> 00:04:03.545]  It is an ugly lie that must be rejected in all of our countries by upholding the values of pluralism and diversity.
[00:04:03.545 --> 00:04:08.028]  So, I'm wondering how this might affect relationships?
[00:04:08.028 --> 00:04:09.509]  It's an attack on humanity.
