[00:00:10.931 --> 00:00:11.532]  Is the U.S.
[00:00:11.612 --> 00:00:20.880]  involved with any procuring of weapons, transfer of weapons, buying, selling, anyhow transferring weapons to Turkey out of Libya?
[00:00:23.882 --> 00:00:24.603]  To Turkey?
[00:00:26.304 --> 00:00:27.626]  It is a big idea.
[00:00:28.812 --> 00:00:29.833]  A new world order.
[00:00:30.353 --> 00:00:34.016]  How is it that this organization is so well-funded, so organized?
[00:00:34.096 --> 00:00:41.202]  Islamic State-linked militants have gained a stronger foothold in Libya, seizing new economically vital areas of the country.
[00:00:41.502 --> 00:00:49.589]  The leader of ISIS in Libya is none other than Abdel Hakim al-Hajj, and of course he was armed to the teeth by NATO.
[00:00:49.889 --> 00:00:53.790]  In a world in which there is the very real prospect of a new world order.
[00:00:54.050 --> 00:00:58.372]  The Russians say they're negotiating with North Korea to hold joint military exercises.
[00:00:58.572 --> 00:01:03.994]  Kim Jong-un and Vladimir Putin teaming up, creating an ominous alliance against the United States.
[00:01:05.034 --> 00:01:09.955]  Israel's Prime Minister Benjamin Netanyahu is aggressively opposing the nuclear deal that the U.S.
[00:01:09.995 --> 00:01:12.176]  government is negotiating with Iran.
[00:01:12.336 --> 00:01:17.458]  Saudi Arabia is apparently prepared to allow Israeli jets into its airspace to conduct attacks on Iran.
[00:01:18.018 --> 00:01:22.402]  We have an unprecedented opportunity to build a new world order.
[00:01:22.922 --> 00:01:29.047]  I set up a foundation in Ukraine and played an important part in events now.
[00:01:29.247 --> 00:01:33.591]  Ukraine is set to receive the first tranche of an international monetary fund aid package.
[00:01:33.651 --> 00:01:37.935]  We had brokered a deal to transition power in Ukraine.
[00:01:38.395 --> 00:01:40.157]  Vladimir Putin is on the move.
[00:01:42.506 --> 00:01:53.195]  Only when this transformation is complete will we be able to take full measure of the opportunities presented by this new and involving world order.
[00:01:53.555 --> 00:01:55.696]  It's known as the Bilderberg Group.
[00:01:56.377 --> 00:01:58.579]  Could their objective be world domination?
[00:02:17.176 --> 00:02:17.736]  Hi, Mr. Eagle?
[00:02:17.756 --> 00:02:17.897]  Okay.
[00:02:23.881 --> 00:02:24.722]  You want to talk to us?
[00:02:26.703 --> 00:02:26.903]  Really?
[00:02:26.923 --> 00:02:28.044]  You don't want to talk to us at all?
[00:02:28.064 --> 00:02:29.966]  People are concerned the election's going to be rigged.
[00:02:30.026 --> 00:02:32.528]  I guess they're really going to be concerned when they see you turn your back on us.
[00:02:32.908 --> 00:02:35.030]  Yeah.
[00:02:35.290 --> 00:02:36.250]  Well, can I talk to him?
[00:02:36.511 --> 00:02:37.692]  Will anybody here talk to us?
[00:02:38.552 --> 00:02:39.413]  Or do you want to rig this?
[00:02:40.614 --> 00:02:43.096]  Why are you cutting off all these audit trails?
[00:02:44.317 --> 00:02:45.878]  Why are you cutting down the paper audit trails?
[00:02:48.669 --> 00:02:49.270]  Well, there you go.
[00:02:49.290 --> 00:02:51.032]  That should tell you something.
[00:02:51.052 --> 00:02:53.074]  People concerned about elections being rigged?
[00:02:53.474 --> 00:02:57.439]  You've got the Director of Elections here at the Secretary of State office that won't talk to us.
[00:02:57.939 --> 00:03:00.002]  Takes one look at the press and turns around and walks off.
[00:03:05.376 --> 00:03:06.837]  David Knight for Infowars.com.
[00:03:06.877 --> 00:03:11.141]  We're here in Austin, Texas at the Capitol at the Secretary of State office.
[00:03:11.181 --> 00:03:21.629]  We want to ask the Director of Elections why there have been so many orders to countervene the law that would give us an audit trail for electronic voting machines.
[00:03:21.889 --> 00:03:27.837]  We all are concerned about knowing whether or not we're going to have honest elections, the integrity of the elections.
[00:03:28.097 --> 00:03:37.149]  And yet we've seen time and time again that the director here of elections has judged in favor of the vendors rather than in favor of integrity.
[00:03:37.689 --> 00:03:42.932]  If the vendors' machines that he wants to buy don't conform to the election law, they change the election law.
[00:03:42.952 --> 00:03:54.659]  So we want to ask him why he's shutting down paper trails at the different precincts, why they are turning away monitors at the elections, and other issues about electronic voting that many people are concerned about.
[00:03:54.679 --> 00:04:02.263]  It is a nationwide concern, and we're going to ask him what he can tell us to reassure voters that these elections are not rigged.
[00:04:18.624 --> 00:04:19.345]  Hi, Mr. Eagle?
[00:04:20.625 --> 00:04:20.786]  Yeah.
[00:04:21.506 --> 00:04:21.766]  Okay.
[00:04:22.086 --> 00:04:22.927]  You don't want to talk to us?
[00:04:24.908 --> 00:04:25.149]  Really?
[00:04:25.169 --> 00:04:26.249]  You don't want to talk to us at all?
[00:04:26.529 --> 00:04:28.191]  People are concerned the election's going to be rigged.
[00:04:28.251 --> 00:04:30.752]  I guess they're really going to be concerned when they see you turn your back on us.
[00:04:31.153 --> 00:04:33.254]  Yeah.
[00:04:33.514 --> 00:04:34.455]  Well, can I talk to him?
[00:04:34.735 --> 00:04:35.896]  Will anybody here talk to us?
[00:04:36.756 --> 00:04:37.637]  Or do you want to rig this?
[00:04:38.838 --> 00:04:41.300]  Why are you cutting off all these audit trails?
[00:04:42.560 --> 00:04:44.081]  Why are you cutting down the paper audit trails?
[00:04:46.903 --> 00:04:47.464]  Well, there you go.
[00:04:48.297 --> 00:04:49.238]  That should tell you something.
[00:04:49.278 --> 00:04:51.279]  People concerned about elections being rigged?
[00:04:51.679 --> 00:04:55.661]  You've got the Director of Elections here at the Secretary of State Office that won't talk to us.
[00:04:56.162 --> 00:04:58.243]  Takes one look at the press and turns around and walks off.
[00:04:58.883 --> 00:05:00.164]  That should tell you a great deal.
[00:05:00.204 --> 00:05:01.805]  For Infowars.com, I'm David Knight.
[00:05:09.574 --> 00:05:18.839]  They're a real anti-feeling globally right now against this whole idea of a world government, no accountability, and the British led the way on that.
