[00:00:20.151 --> 00:00:22.014]  Welcome to the Info Wars Nightly News.
[00:00:22.074 --> 00:00:25.920]  It is Friday, November 18th, 2016 and I'm Liane McAdoo.
[00:00:26.060 --> 00:00:27.122]  Here's what's coming up tonight.
[00:00:31.704 --> 00:00:44.186]  The mainstream news media's fake news narrative is already beginning to collapse as BlockCast decides to reinstate Infowars.com on their list of top websites.
[00:00:44.607 --> 00:00:53.528]  Then, shocking video of Starbucks employees who refuse to write the name Trump on a cup for a paying customer.
[00:00:53.788 --> 00:00:56.589]  That's the name I want to be heard and seen as today.
[00:00:57.849 --> 00:00:58.710]  And your name was what again?
[00:00:59.150 --> 00:00:59.690]  Ryan.
[00:01:00.231 --> 00:01:03.433]  And you're refusing to do that, is that correct?
[00:01:03.753 --> 00:01:07.195]  And they get so triggered that they actually call the police.
[00:01:07.736 --> 00:01:14.940]  And look what happened to a Fox TV reporter who celebrated Trump's victory on her private Facebook page.
[00:01:15.961 --> 00:01:16.581]  You're fired!
[00:01:19.683 --> 00:01:23.846]  All that plus much more, up next on the InfoWars Nightly News.
[00:01:37.765 --> 00:01:40.487]  There is an information warfare happening right now.
[00:01:41.368 --> 00:01:42.809]  It's a fight for our minds.
[00:01:43.470 --> 00:01:45.411]  And InfoWars.com is on the front lines.
[00:01:45.731 --> 00:01:49.935]  Download our free multimedia app at InfoWars.com forward slash app.
[00:01:50.075 --> 00:01:53.438]  It's free, it's on Droid, it's on Apple, you name it.
[00:01:53.518 --> 00:01:55.079]  InfoWars.com forward slash app.
[00:01:59.665 --> 00:02:01.387]  Electrify your day with Secret 12.
[00:02:01.967 --> 00:02:03.308]  It's like lightning in a bottle.
[00:02:03.549 --> 00:02:07.072]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:02:07.432 --> 00:02:15.179]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:02:15.379 --> 00:02:20.204]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:02:20.344 --> 00:02:25.829]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:02:26.169 --> 00:02:33.695]  Secret 12 by InfoWarsLife is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:02:33.935 --> 00:02:38.398]  It pairs two forms of vitamin B12 into one explosive formula.
[00:02:38.659 --> 00:02:44.403]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[00:02:44.523 --> 00:02:47.485]  But it also assists with many other functions of the body.
[00:02:47.685 --> 00:02:50.968]  Electrify your mind and body and take your health to the next level.
[00:02:51.248 --> 00:02:54.471]  Experience the power of Secret 12 at InfoWarsLife.com.
