[00:00:00.029 --> 00:00:00.090]  You
[00:00:16.260 --> 00:00:20.443]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:21.123 --> 00:00:21.904]  You want answers?
[00:00:22.684 --> 00:00:23.565]  Well, so does he.
[00:00:24.225 --> 00:00:27.848]  He's Alex Jones on the GCN Radio Network.
[00:00:28.428 --> 00:00:32.491]  And now, live from Austin, Texas, Alex Jones.
[00:00:39.597 --> 00:00:40.478]  Simply incredible.
[00:00:40.498 --> 00:00:52.385]  About 15 minutes ago, I got done watching, as I prepared for the broadcast, in the control room, Mitt Romney falling on his sword politically for the Republican establishment.
[00:00:52.425 --> 00:00:53.666]  It was clearly disgusting.
[00:00:54.806 --> 00:00:56.127]  It came off like bad comedy.
[00:00:56.668 --> 00:00:58.929]  Donald Trump is not a good businessman.
[00:00:58.989 --> 00:00:59.910]  He is bad.
[00:01:00.650 --> 00:01:06.634]  He is a fraud, a con artist, a phony, and then gave no evidence.
[00:01:08.715 --> 00:01:10.496]  And they're clearly positioning him to run.
[00:01:13.477 --> 00:01:14.497]  That is disgusting.
[00:01:17.118 --> 00:01:18.358]  Horse race live wire.
[00:01:18.378 --> 00:01:18.859]  Breitbart.
[00:01:18.879 --> 00:01:22.740]  Mitt Romney pledges to hit Trump harder than he ever did Obama.
[00:01:22.820 --> 00:01:23.460]  Absolutely.
[00:01:23.520 --> 00:01:24.381]  The fix is in.
[00:01:25.381 --> 00:01:27.362]  And the Republican establishment is panicking.
[00:01:27.442 --> 00:01:29.002]  Another big story for Breitbart.
[00:01:29.562 --> 00:01:30.603]  It's up on Infowars.com.
[00:01:33.919 --> 00:01:37.820]  We told you about that meeting last Thursday that Politico admitted happened, but was secret.
[00:01:37.940 --> 00:01:39.861]  200 top political donors and Rubio.
[00:01:40.821 --> 00:01:47.064]  And how they were going to appoint the head of Rubio's campaign was going to be the Koch brothers' chief political strategist.
[00:01:47.084 --> 00:01:47.784]  That then happened.
[00:01:48.204 --> 00:01:54.226]  Roger Stone put out the video Friday night, went viral on Drudge to millions of readers and viewers.
[00:01:56.247 --> 00:02:02.729]  Well, it wasn't just Roger Stone that had somebody in the audience in that meeting, a mole for liberty.
[00:02:04.076 --> 00:02:15.708]  It was recorded by a Breitbart operative, and it's them in there, how to steal the election, how to raise the money, how to have a broker convention for Marco Rubio.
[00:02:17.410 --> 00:02:18.190]  It's incredible.
[00:02:18.251 --> 00:02:19.752]  Roger Stone's coming on in the second hour.
[00:02:19.772 --> 00:02:20.833]  We're going to play the tape here.
[00:02:21.494 --> 00:02:23.156]  The article's at InfoWars.com.
[00:02:23.496 --> 00:02:27.200]  DrugReport.com's linked to it, and obviously, where it originates from, Breitbart.com.
[00:02:28.695 --> 00:02:35.017]  Breitbart does more journalistic work with all their divisions, Breitbart Texas, you name it, and their people than...
[00:02:36.069 --> 00:02:47.113]  Really, really, any other media organization out there more and more along with WorldNetDaily, of course, Drudge, aggregating it all and helping, you know, put anti-establishment talking points out there, but really got to commend them.
