[00:00:11.814 --> 00:00:12.714]  June 7th, 2016.
[00:00:13.775 --> 00:00:15.636]  We now take you to Germany with a report.
[00:00:15.676 --> 00:00:16.056]  Stay with us.
[00:00:20.177 --> 00:00:30.721]  There was one Muslim, an Afghan Muslim, and he told me at a rally, yeah, I will cut off your head.
[00:00:36.238 --> 00:00:38.220]  Rob Dew reporting for Infowars.com.
[00:00:38.260 --> 00:00:39.661]  We are in Munich, Germany.
[00:00:39.701 --> 00:00:43.744]  We just landed and we're at the train station here in downtown Munich.
[00:00:44.325 --> 00:00:48.488]  About a 15 minute drive from the airport and as you can see it's a hustle and bustle.
[00:00:48.528 --> 00:00:49.889]  Lots of people coming around here.
[00:00:51.210 --> 00:00:52.151]  What are we here for mainly?
[00:00:52.391 --> 00:00:56.875]  To talk about the migrant crisis that is going on in Europe and how it can spill over to the United States.
[00:00:57.295 --> 00:01:00.438]  Last year there were about 1 million migrants coming into Germany.
[00:01:00.818 --> 00:01:04.081]  Where we're at in Bavaria had the second most highest concentration of migrants.
[00:01:04.521 --> 00:01:06.622]  And they have them in areas all around here.
[00:01:06.923 --> 00:01:09.084]  Right now there's not a high concentration in the train station.
[00:01:09.484 --> 00:01:13.806]  And so far this year with the closing of the borders, there's only been about 200,000 entering in.
[00:01:14.227 --> 00:01:16.168]  But now here's my friend Michael Stutzenberger.
[00:01:16.488 --> 00:01:18.089]  He's with the German Freedom Party.
[00:01:18.649 --> 00:01:20.130]  And so we're going to do a little interview.
[00:01:20.170 --> 00:01:22.752]  I talked with him on email and he agreed to meet with us.
[00:01:22.772 --> 00:01:25.513]  So tell us about your German Freedom Party.
[00:01:25.533 --> 00:01:26.414]  What are you guys all about?
[00:01:27.334 --> 00:01:36.981]  So, we are informing the people about Islam, about the danger of Islam, and we want to have direct democracy.
[00:01:37.001 --> 00:01:41.804]  We want that the people vote for very important decisions.
[00:01:42.584 --> 00:01:49.649]  And yeah, we are very aware of that refugee problem, because you told
[00:01:50.413 --> 00:01:54.258]  It was more than 1 million people coming last year.
[00:01:54.618 --> 00:01:59.323]  This year over 200,000 and this is a big problem for Germany.
[00:01:59.784 --> 00:02:10.096]  And so what kind of strain does that put on your infrastructure in terms of crime, in terms of extra police presence, in terms of them basically feeding off the system?
[00:02:11.152 --> 00:02:23.921]  Yeah, you know, we have a lot of people from Northern Africa and there are many of them who make criminality, there's rape problem, there's stealing, yeah.
[00:02:24.581 --> 00:02:30.625]  And yeah, people start to feel unsecure in their own country.
[00:02:31.066 --> 00:02:32.427]  Women fear, yeah.
[00:02:33.348 --> 00:02:35.310]  And how many would you estimate are
[00:02:54.931 --> 00:02:58.933]  Men say 18 to 50 that are coming in to your country.
[00:02:59.614 --> 00:03:02.695]  So there are a lot of young men coming.
[00:03:03.035 --> 00:03:05.857]  They are between 18 and 25.
[00:03:06.957 --> 00:03:08.678]  Most of them, most of them Muslims.
[00:03:09.239 --> 00:03:11.920]  Not so many women, not so many children.
[00:03:12.480 --> 00:03:17.403]  And most of them have no right for asylum.
[00:03:17.683 --> 00:03:21.945]  They are refugees into our social system.
[00:03:21.985 --> 00:03:23.246]  They want to have a better life.
[00:03:23.986 --> 00:03:27.929]  And our politicians say, oh, all welcome.
[00:03:28.249 --> 00:03:29.890]  They want to be good Germans.
[00:03:30.631 --> 00:03:31.831]  Welcome to everybody.
[00:03:32.992 --> 00:03:34.453]  And it's not so good.
[00:03:35.214 --> 00:03:38.496]  So I was reading on the internet about a project you were working on.
[00:03:38.516 --> 00:03:42.758]  Basically, Saudi Arabia wanted to fund one of the largest mosques here in Munich.
[00:03:42.919 --> 00:03:44.540]  And tell us about your efforts to fight that.
[00:03:45.320 --> 00:03:47.722]  So we collected signatures for three years.
[00:03:48.383 --> 00:03:52.286]  We had 65,000 people who subscribed.
[00:03:52.666 --> 00:03:57.710]  But the city of Munich, the politicians, don't want that referendum.
[00:03:57.850 --> 00:04:02.073]  So they put us to court to fight against that referendum.
[00:04:02.113 --> 00:04:02.914]  So we have to fight.
[00:04:03.574 --> 00:04:26.117]  For the right of the people to decide it's so crazy now we had to start a new referendum and we want definitely to stop this project because Somebody from Saudi Arabia Saudi Arabia financing this huge mosque would be a big problem because Saudi Arabia is putting a
[00:04:27.168 --> 00:04:35.930]  Millions and millions of dollars in building mosques all over Europe, in Bosnia and Germany and everywhere.
[00:04:36.210 --> 00:04:38.071]  They want to Islamize Europe.
[00:04:39.011 --> 00:04:40.912]  And they are financing terror.
[00:04:41.132 --> 00:04:42.832]  They are financing Al-Qaeda.
[00:04:42.992 --> 00:04:44.933]  They are financing Islamic State.
[00:04:46.293 --> 00:04:48.035]  It's so crazy what's going on there.
[00:04:48.095 --> 00:04:48.855]  We have to stop it.
[00:04:49.036 --> 00:04:56.021]  But the politicians close their eyes because the money from the Arabic world is very important for Munich.
[00:04:56.402 --> 00:05:06.150]  They are coming rich Arabians here in the hospitals and they are buying here in the luxury shops millions of euros for the city.
[00:05:06.410 --> 00:05:08.352]  So they let all them in.
[00:05:10.746 --> 00:05:11.747]  BrainForce is here.
[00:05:12.287 --> 00:05:14.549]  Ladies and gentlemen, I've been on this the last few months.
[00:05:14.829 --> 00:05:22.676]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of BrainForce.
[00:05:23.436 --> 00:05:27.019]  One of the worst things with most energy products is it's not sustainable, right?
[00:05:27.039 --> 00:05:29.381]  You're gonna crash and gonna feel really bad afterwards.
[00:05:29.741 --> 00:05:33.264]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:05:33.304 --> 00:05:36.427]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:05:36.927 --> 00:05:41.714]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:05:42.275 --> 00:05:44.118]  For example, the L-Theanine inside of it.
[00:05:44.458 --> 00:05:48.885]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:05:49.045 --> 00:05:51.068]  This just increases the compounds you already have.
[00:05:51.689 --> 00:05:53.131]  This is what you're actually designed to run on.
[00:05:53.291 --> 00:05:53.531]  Exactly.
[00:05:53.551 --> 00:05:57.356]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:05:57.856 --> 00:06:05.866]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:06:10.578 --> 00:06:19.587]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:06:19.667 --> 00:06:27.775]  For more than a decade, my favorite coffee has come from the high mountains of Southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:06:28.055 --> 00:06:32.757]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:06:32.937 --> 00:06:39.640]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:06:39.720 --> 00:06:46.802]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:06:46.902 --> 00:06:53.745]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:06:53.925 --> 00:06:58.267]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
