[00:00:02.674 --> 00:00:04.155]  You have the power.
[00:00:04.155 --> 00:00:06.156]  Humanity has the power.
[00:00:06.156 --> 00:00:07.296]  We have the power.
[00:00:07.296 --> 00:00:08.577]  Do you want to fight?
[00:00:08.577 --> 00:00:12.998]  You better believe you got one!
[00:00:12.998 --> 00:00:18.021]  Rallying patriots worldwide in defense of human liberty.
[00:00:18.021 --> 00:00:23.183]  It's Alex Jones.
[00:00:23.183 --> 00:00:30.106]  Ladies and gentlemen, I am back in the saddle, back in the Central Texas Command Center, back in the crow's nest, in the cockpit.
[00:00:31.710 --> 00:00:33.791]  And I am ready.
[00:00:33.791 --> 00:00:36.713]  Wow.
[00:00:36.713 --> 00:00:43.257]  The Supreme Court ruled that Obama can't keep bringing illegals in and violating the law, so he came out and said, I don't care what they say, I'm going to continue it.
[00:00:43.257 --> 00:00:44.398]  But it gets worse.
[00:00:44.398 --> 00:00:48.421]  It's mainstream news that the UN is actually running the program.
[00:00:48.421 --> 00:00:51.343]  We already told you that, but it's now in mainstream news.
[00:00:51.343 --> 00:00:52.664]  Mainstream TV is reporting it.
[00:00:53.524 --> 00:00:58.228]  Let's go to this report, though, on the British exit and how big this really is for everybody out there.
[00:00:58.228 --> 00:01:00.710]  This is a devastating victory for humanity.
[00:01:00.710 --> 00:01:02.472]  I'm telling you, we are turning the tide.
[00:01:02.472 --> 00:01:05.675]  We've not completely won yet, but this is a massive event.
[00:01:05.675 --> 00:01:06.816]  Here's John Bowne reporting.
[00:01:06.816 --> 00:01:10.079]  The New World Order is getting its butt kicked at high noon.
[00:01:10.419 --> 00:01:27.410]  Thankfully, the highly suspicious demise of Supreme Court Justice Antonin Scalia has, for the time being, not been a factor in the Supreme Court's decision on Obama's dangerously lawless immigration policy, as Obama pushes the country to the brink of anarchy.
[00:01:27.410 --> 00:01:35.816]  Of course, it didn't take long for the Obama administration to thumb its nose at the deadlocked judicial branch and the will of the American people.
[00:01:35.816 --> 00:01:40.179]  Deferred action policy that has been in place for the last four years is not affected by this rule.
[00:01:40.920 --> 00:01:40.960]  No.
[00:02:02.398 --> 00:02:15.144]  Like a castle made of sand, the fragile globalist secret world government has been dealt a strong blow by the waves of consciousness, inevitably finding a way to the shore of a free world.
[00:02:15.144 --> 00:02:29.510]  Adan Salazar writes, Nigel Farage, the leader of the UK's Independence Party, which played a huge part in mobilizing UK citizens behind the Brexit, speculated the momentum behind the results could usher in a Trump presidency.
[00:02:29.730 --> 00:02:40.472]  With the Brexit debacle landing in the laps of the self-serving arrogant Bilderberg scum, a propulsion of liberty is accelerating, and the globalists know it.
[00:02:40.472 --> 00:02:43.353]  Brace yourself for planetary turbulence.
[00:02:43.353 --> 00:02:55.255]  The New World Order will either go quietly in the night, as they wisely should, or their maniacal desperation to rule the world will result in more false flags and order out of chaos.
[00:02:55.715 --> 00:03:00.739]  Ultimately winding its way down the path toward a very public downfall.
[00:03:00.739 --> 00:03:04.603]  People have been asking, how will the Brexit affect the United States?
[00:03:04.603 --> 00:03:06.404]  Will it impact the stock market?
[00:03:06.404 --> 00:03:08.586]  The Federal Reserve's interest rate?
[00:03:08.586 --> 00:03:10.848]  Global diplomatic relations?
[00:03:10.848 --> 00:03:17.474]  These questions are all based on a ruinous stagnant counterfeit system devouring the sovereignty of nations
[00:03:17.714 --> 00:03:21.059]  That must be finally recognized and dismantled.
[00:03:21.059 --> 00:03:32.917]  Presidential candidate Donald Trump congratulated the UK for voting to assert its independence from the EU and encouraged the American people in November to also assert their independence from the global elite.
[00:03:33.157 --> 00:03:41.724]  You know, I said this was going to happen, and I think that it's a great thing, and we will see, but I think it's going to be a great thing.
[00:03:41.724 --> 00:03:43.906]  Basically, they took back their country.
[00:03:43.906 --> 00:03:44.947]  That's a great thing.
[00:03:44.947 --> 00:03:52.273]  Following the British vote to exit the EU, Trump said the election results marked a shift toward more nationalistic tendencies.
[00:03:52.273 --> 00:03:58.919]  The Trump campaign said in a statement, Come November, the American people will have the chance to re-declare their independence.
[00:03:59.219 --> 00:04:06.341]  Americans will have a chance to vote for trade, immigration, and foreign policies that put our citizens first.
[00:04:06.341 --> 00:04:14.983]  They will have the chance to reject today's rule by the global elite and to embrace real change that delivers a government of, by, and for the people.
[00:04:14.983 --> 00:04:17.744]  Trump continued, I hope America is watching.
[00:04:17.744 --> 00:04:21.285]  It will soon be time to believe in America again.
[00:04:21.285 --> 00:04:27.807]  As InfoWars has reported countless times, the idea for the European Union globalist super state
[00:04:27.987 --> 00:04:41.595]  came directly out of discussions held at the secretive Bilderberg Group Conference in 1955 at which European politicians considered the necessity to bring German people into a common European market as quickly as possible.
[00:04:41.595 --> 00:04:48.619]  The lunacy of the global elite can't survive once their dark secrets are completely exposed.
[00:04:48.619 --> 00:04:56.344]  Thomas Jefferson once said, nothing can stop the man with the right mental attitude from achieving his goals and nothing on earth
[00:04:56.764 --> 00:04:58.906]  Not a group.
[00:04:58.906 --> 00:05:00.788]  You developed Living Defense for us.
[00:05:00.788 --> 00:05:02.109]  It took you over a year to do it.
[00:05:02.109 --> 00:05:03.310]  Why is this so good?
[00:05:03.310 --> 00:05:08.594]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:05:08.594 --> 00:05:22.145]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:05:22.145 --> 00:05:23.507]  Right now with all the refugees,
[00:05:24.287 --> 00:05:25.928]  Uh, spreading disease around.
[00:05:25.928 --> 00:05:28.489]  We have biological warfare going on everywhere.
[00:05:28.489 --> 00:05:29.789]  These are all parasites.
[00:05:29.789 --> 00:05:30.910]  Tell us about all the stuff that's in it.
[00:05:30.910 --> 00:05:32.250]  There's so many things that are in it.
[00:05:32.250 --> 00:05:36.752]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:05:36.752 --> 00:05:40.014]  I recommend doing a parasite cleanse at least twice a year.
[00:05:40.014 --> 00:05:43.095]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[00:05:43.095 --> 00:05:44.135]  It just came back in yesterday.
[00:05:44.135 --> 00:05:46.056]  LivingDefense, InfoWarsLife.com.
