[00:00:03.132 --> 00:00:08.237]  Well, InfoWars fans are going to be in for a real treat with the return of The X-Files.
[00:00:08.578 --> 00:00:15.985]  Now, the six-episode series is going to be airing on Netflix, and they're basing one of their main characters off of Alex Jones and InfoWars.
[00:00:16.566 --> 00:00:20.470]  Now, here is what the creator, Chris Carter, has to say.
[00:00:23.132 --> 00:00:31.079]  Eventually going to sway Mulder and Scully to adopt a new conspiracy that lays a framework for the whole entire series.
[00:00:31.339 --> 00:00:49.995]  The theories are going to evolve around global warming, war in the Middle East, NSA spying, chemtrails, which they're calling aerial contaminants, police militarization, supposed FEMA prison camps, and the eventual military takeover of America by a UN-like group of multinational elites.
[00:00:51.036 --> 00:00:58.506]  So, I mean, does that not sound exactly like they probably wrote this entire series based off of just watching InfoWars and listening to Alex Jones?
[00:00:58.926 --> 00:01:08.418]  He says this conspiracy theory plays a little bit like Oliver Stone during his JFK fever pitch, only if the source material was InfoWars instead of UFO lore.
[00:01:08.999 --> 00:01:12.803]  But the creator, he says, we live in a citizen for world now.
[00:01:12.863 --> 00:01:17.748]  We've given up certain rights and freedoms because we want the government to protect us after 9-11.
[00:01:18.168 --> 00:01:20.110]  We see the admitted spying by the government.
[00:01:20.430 --> 00:01:22.292]  These are not things we're making up.
[00:01:22.652 --> 00:01:25.235]  And it informs everything Mulder and Scully are doing.
[00:01:25.695 --> 00:01:32.842]  So this is pretty interesting, and also he admits that he thinks the UN takeover threat is actually quite plausible.
[00:01:33.583 --> 00:01:41.391]  He says the idea of a New World Order is relevant, and when we suggest the show is embracing right-wing theories, he counters that.
[00:01:41.631 --> 00:01:45.575]  And he says, I don't see Alex Jones as right-wing, I see him as a libertarian.
[00:01:46.056 --> 00:01:47.357]  So this is going to be a
[00:01:47.757 --> 00:01:50.280]  Sounds like it's going to be a pretty good series, and I'm looking forward to it.
[00:01:50.320 --> 00:01:52.722]  It's actually going to return January 21st.
[00:01:53.202 --> 00:02:03.872]  We'll see if it ends up being a little bit more thought control, but coming up later in the show, Alex Jones is going to give his take on, you know, what he sees as sort of this revival happening in Hollywood.
[00:02:04.833 --> 00:02:09.037]  As well, we're going to air an interview that Alex Jones did with Dean Haglund
[00:02:10.057 --> 00:02:22.325]  He is obviously an actor there with the X-Files, but they spoke about 9-11 and an eerily similar lone gunman plot, which took place about nine months before 9-11 actually happened.
[00:02:22.385 --> 00:02:23.465]  So that'll be coming up.
[00:02:23.826 --> 00:02:29.289]  The third and final hour of this December 15, 2005 Thursday edition.
[00:02:29.309 --> 00:02:39.135]  You know, I got a surprise, I don't know, six, eight months ago, a year ago, I don't remember now, Dean, when Dean Hagman, who I've watched on the X-Files and who I've also seen on The Lone Gunman, I talked about that
[00:02:42.680 --> 00:02:42.980]  Right.
[00:02:43.000 --> 00:02:49.402]  Well, Alex, great to see you again, by the way.
[00:02:49.442 --> 00:02:51.803]  Good to see you.
[00:02:52.903 --> 00:02:58.765]  For those who don't know, I was an actor on the X-Files for nine seasons, ten years, plus our own spin-off, The Lone Gunman.
[00:02:59.238 --> 00:03:01.221]  I'm the one that looked like Garth from Wayne's World.
[00:03:01.742 --> 00:03:03.925]  Thank you very much for what you said.
[00:03:04.245 --> 00:03:10.334]  Yeah, I had a lot of blonde hair and the armory glasses and the rock t-shirts with the Ramones and all that sort of thing.
[00:03:10.715 --> 00:03:12.357]  You were my favorite character, I have to say.
[00:03:12.417 --> 00:03:12.978]  I was always glad
[00:03:16.698 --> 00:03:25.825]  You know, the writers, like Chris Carter and Vince, they were listening to shows like yours and Art Bell and stuff to get a sense of how to write for us and how to do that.
[00:03:25.845 --> 00:03:28.727]  So you were major, major influences.
[00:03:28.828 --> 00:03:29.728]  Wow, I'm flattered.
[00:03:29.788 --> 00:03:30.369]  I didn't know that.
