[00:00:11.803 --> 00:00:13.144]  ...is a complete idiot.
[00:00:13.444 --> 00:00:16.845]  Her recount campaign has nothing to do with electoral integrity.
[00:00:17.085 --> 00:00:20.886]  It's a vicious assault on the very bedrock of democracy itself.
[00:00:21.106 --> 00:00:24.787]  This is not being done to benefit one candidate at the expense of the other.
[00:00:24.967 --> 00:00:25.428]  Really?
[00:00:25.688 --> 00:00:29.889]  Is that why all the recounts are taking place only in states that Trump
[00:00:30.489 --> 00:00:34.631]  Why not a single recount in a blue state that Hillary narrowly won?
[00:00:34.791 --> 00:00:38.872]  Jill Trump won Pennsylvania by 78,000 votes.
[00:00:39.032 --> 00:00:42.714]  While Clinton won New Hampshire by less than 3,000 votes.
[00:00:42.754 --> 00:00:44.934]  She won Minnesota by less than 44,000 votes.
[00:00:44.975 --> 00:00:45.835]  And Nevada by around 26,000 votes.
[00:00:49.056 --> 00:00:52.899]  Smaller margins than Trump won Pennsylvania in every case.
[00:00:53.179 --> 00:00:55.721]  Why no recount in any of those states?
[00:00:55.921 --> 00:01:00.285]  Why a recount in Michigan, which doesn't even use electronic voting machines?
[00:01:00.525 --> 00:01:03.467]  None of their systems are even connected to the internet.
[00:01:03.547 --> 00:01:08.671]  Both Stein and Hillary Clinton's campaign admit they have no proof whatsoever of any fraud.
[00:01:08.911 --> 00:01:13.518]  But Jill's only doing this because she really cares about democracy.
[00:01:13.618 --> 00:01:23.773]  In fact, Jill cares so much about democracy that she spent the last few days fawning over someone who spent his entire life sending democracy activists to gulags.
[00:01:23.973 --> 00:01:30.739]  Fidel Castro was a symbol of the struggle for justice in the shadow of empire.
[00:01:31.099 --> 00:01:32.120]  Presente.
[00:01:32.280 --> 00:01:39.766]  So you're calling for electoral integrity while praising a dictator who ruled for half a century without a proper election?
[00:01:40.006 --> 00:01:44.307]  Americans deserve fair, transparent elections.
[00:01:44.547 --> 00:01:52.850]  You're saying Americans deserve fair, transparent elections while genuflecting over someone who presided over a one-party state for 50 years?
[00:01:52.970 --> 00:01:54.130]  Give me a break.
[00:01:54.270 --> 00:01:57.971]  Hey Jill, Cuba's last election seemed a little bit fishy.
[00:01:58.231 --> 00:01:59.812]  How about a recount there?
[00:01:59.952 --> 00:02:05.654]  And while you're at it, why don't you audit California and find out how many illegal aliens voted for Hillary?
[00:02:05.734 --> 00:02:07.715]  That's not going to happen, is it, Jill?
[00:02:07.815 --> 00:02:11.176]  Because this has nothing to do with electoral integrity.
[00:02:11.276 --> 00:02:16.298]  It's about you remaining relevant, having failed to get barely 1% of the vote.
[00:02:16.459 --> 00:02:21.621]  It's about you fooling people into giving you a ton of money for something disguised as a recount.
[00:02:21.661 --> 00:02:27.343]  Which, when you read the fine print, actually says the surplus money is going straight into the Green Party's back pocket.
[00:02:28.023 --> 00:02:33.065]  It's about you trying to regain lefty street cred by doing Hillary's dirty work for her.
[00:02:33.185 --> 00:02:44.248]  It's about the left trying to delegitimize Trump's presidency before it even begins by stripping him of his Electoral College margin of victory, forcing Congress to directly select Trump.
[00:02:44.528 --> 00:02:45.528]  So all the butthurt
[00:02:45.808 --> 00:02:47.549]  Hillary won the popular vote!
[00:02:47.789 --> 00:02:52.551]  Morons can go out and riot again, full of contrived righteous indignation.
[00:02:52.651 --> 00:02:54.552]  Unless they engage in brazen fraud.
[00:02:54.712 --> 00:03:04.776]  Trump is still going to be president, but given that the recounts probably won't even be done in time, they're going to use this to disrupt the Electoral College vote before December 19th.
[00:03:04.996 --> 00:03:14.880]  Oh, and isn't it just rich that the raised corpse of Hillary, only people who hate democracy challenge election results, Clinton, is now hovering in the background of all this.
[00:03:15.100 --> 00:03:19.243]  Maybe November Hillary should have listened to October Hillary.
[00:03:19.383 --> 00:03:26.068]  To say you won't respect the results of the election, that is a direct threat to our democracy.
