[00:00:15.544 --> 00:00:20.526]  If you are receiving this transmission, you are the resistance.
[00:00:20.526 --> 00:00:28.469]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:28.469 --> 00:00:30.970]  Welcome to the Alex Jones Show on the Sunday, February 14th, 2016.
[00:00:33.542 --> 00:00:50.531]  Yesterday was a big news day, of course, the death of Antonin Scalia, the intellectual heart of the Supreme Court, I would say, one of the key intellectuals of the conservative movement, and I would say not even conservative movement, the constitutional movement.
[00:00:50.531 --> 00:00:59.837]  This is somebody who cared very deeply that we interpret the Constitution as it is written, an originalist, and he will be sorely missed, but of course,
[00:01:00.797 --> 00:01:03.978]  There are questions surrounding the circumstances of his death.
[00:01:03.978 --> 00:01:08.681]  We're going to have a special report from Alex Jones coming up in the next segment.
[00:01:08.681 --> 00:01:11.202]  And then we also had the GOP debate last night.
[00:01:11.202 --> 00:01:19.145]  We're going to be talking about that, as well as analyzing what will happen now with the Supreme Court in the absence of Antonin Scalia.
[00:01:19.145 --> 00:01:25.148]  You know, when we look at this televised debate last night, I think one of the key things that stuck out to me, of course, is this back and forth booing.
[00:01:25.768 --> 00:01:28.449]  We knew the RNC was going to stack the audience.
[00:01:28.449 --> 00:01:35.751]  There's an article from Salon Trump and Drudge for the win, however, Matt Drudge's army is bigger than the RNC.
[00:01:35.751 --> 00:01:42.954]  We have seen poll after poll on the internet, not just Drudge's, but many other polls that show this tactic didn't work.
[00:01:42.954 --> 00:01:43.874]  What it really was
[00:01:44.474 --> 00:01:47.196]  Was a televised push poll.
[00:01:47.196 --> 00:01:56.804]  That's where you call up somebody at the very last minute, put out some negative information, do it in the form of a question, so that you can character assassinate someone at the very last minute.
[00:01:56.804 --> 00:02:02.209]  That's what that was last night with a live audience with the laugh track, I should say, with the boo track.
[00:02:02.209 --> 00:02:02.829]  But before we...
[00:02:03.710 --> 00:02:08.871]  Get off on that, and we're going to talk about Antonin Scalia, and that's going to be coming up next in the next segment.
[00:02:08.871 --> 00:02:18.553]  I want to play for you, for many of those of you who say, well, let's not ever question that our government be capable of doing something like assassinating somebody for political purposes.
[00:02:18.553 --> 00:02:23.494]  Let's go back 41 years to the church committee hearings, and this is what they had to say then.
[00:02:23.494 --> 00:02:27.095]  So I had to find, one time they wanted me to find
[00:02:28.439 --> 00:02:33.023]  To find out if there was such a thing as a poison that was undetectable.
[00:02:33.023 --> 00:02:36.606]  Especially one that seemed to mimic a heart attack.
[00:02:37.643 --> 00:02:41.365]  That would kill someone, but it would appear that they had a heart attack.
[00:02:41.365 --> 00:02:42.946]  I did find such a thing.
[00:02:42.946 --> 00:02:46.827]  Does this pistol fire the dart?
[00:02:46.827 --> 00:02:56.432]  Yes, it does, Mr. Chairman, and a special one was developed which potentially would be able to enter the target without perception.
[00:02:56.432 --> 00:03:01.054]  The poison was frozen into some sort of dart, and then it was shot.
[00:03:02.094 --> 00:03:14.318]  Uh, very high speed into the person so when it reached the person it would melt inside them and the only thing would be like one little tiny red dot on their body which is hard to detect.
[00:03:14.318 --> 00:03:17.820]  There wouldn't be a needle left or anything like that in the person.
[00:03:17.820 --> 00:03:21.761]  But also the toxin itself would not appear in the autopsy?
[00:03:21.761 --> 00:03:27.663]  Yes, so that there was no way of perceiving that the target was him.
[00:03:27.663 --> 00:03:28.744]  Have you brought with you
[00:03:30.718 --> 00:03:42.481]  Some of those devices which would have enabled the CIA to use this poison for, we have indeed, for killing people.
[00:03:42.481 --> 00:03:45.322]  The round thing at the top is obviously the sight.
[00:03:45.322 --> 00:03:46.582]  It works by electricity.
[00:03:46.582 --> 00:03:51.444]  There's a battery in the handle and it fires a small dart.
[00:03:51.444 --> 00:03:54.044]  And the dart itself, when it strikes the target,
[00:03:58.361 --> 00:04:02.644]  Does the target know that he's been hit and about to die?
[00:04:02.644 --> 00:04:10.310]  A special one was developed which potentially would be able to enter the target without perception.
[00:04:10.310 --> 00:04:15.013]  As a murder instrument, that's about as efficient as you can get, isn't it?
[00:04:15.013 --> 00:04:16.935]  It is a weapon, a very serious weapon.
[00:04:18.277 --> 00:04:23.724]  So that's William Colby, the then-director of the CIA, talking to the Church Committee hearings.
[00:04:23.724 --> 00:04:26.807]  There also were House Committee hearings by Pike.
[00:04:26.807 --> 00:04:30.191]  He said they had a heart attack gun 41 years ago.
[00:04:30.191 --> 00:04:33.495]  They could use it to take out political enemies, but of course...
[00:04:34.136 --> 00:04:36.098]  The CIA was very embarrassed about that.
[00:04:36.098 --> 00:04:41.043]  They're not even embarrassed about their disposition matrix, about the policies of assassination.
[00:04:41.043 --> 00:04:42.805]  So it's a legitimate question.
[00:04:42.805 --> 00:04:46.009]  Ask what happened to Supreme Court Justice Scalia.
[00:04:46.009 --> 00:04:48.932]  Alex Jones will be with us coming up to break that down farther.
[00:04:59.295 --> 00:05:03.658]  I am proud to say that Henry Kissinger is not my friend.
[00:05:03.658 --> 00:05:05.459]  Ooh, feel the burn.
[00:05:05.459 --> 00:05:10.622]  Again, Hillary Clinton's face went as green as her chartreuse Chairman Mao pantsuit.
[00:05:10.622 --> 00:05:16.506]  When Bernie Sanders isn't talking about raising taxes and giving away free stuff, he sometimes makes some good points.
[00:05:16.826 --> 00:05:22.729]  Sanders noted that Kissinger paved the way for one of the worst instances of genocide in modern history.
[00:05:22.729 --> 00:05:29.972]  Last week, Clinton declared that she was very flattered when Henry Kissinger said, Clinton has admitted that she is working toward Kissinger's envisioned global architecture.
[00:05:36.175 --> 00:05:40.219]  But actually, we do know who earns Bernie Sanders' foreign policy praise.
[00:05:40.219 --> 00:05:43.782]  The Castro regime and Nicaragua's Sandinista government.
[00:05:43.782 --> 00:05:46.464]  Sanders gets kudos for disavowing the establishment.
[00:05:46.464 --> 00:05:54.292]  But in the next breath, he vowed to subvert the Constitution by ignoring Congress and going even further than Obama has in using executive action.
[00:05:54.292 --> 00:05:56.634]  Leanne McAdoo reporting for InfoWars.com
[00:06:16.667 --> 00:06:23.193]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
