[00:00:00.009 --> 00:00:02.198]  You're listening to The Alex Jones Show!
[00:00:14.793 --> 00:00:18.977]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.618 --> 00:00:20.419]  You want answers?
[00:00:21.199 --> 00:00:22.120]  Well, so does he.
[00:00:22.761 --> 00:00:26.365]  He's Alex Jones on the GCN Radio Network.
[00:00:26.945 --> 00:00:31.009]  And now, live from Austin, Texas, Alex Jones.
[00:00:38.510 --> 00:00:50.726]  The arctic blast of Jonas now hitting the east coast of the United States in what's being dubbed... Our story's been up on Drudge since yesterday afternoon.
[00:00:50.766 --> 00:00:53.750]  It's still there in the top left-hand corner at DrudgeReport.com.
[00:00:54.451 --> 00:00:56.412]  It's also on Infowars.com, obviously.
[00:00:56.852 --> 00:00:57.713]  Snowmageddon.
[00:00:57.893 --> 00:01:02.375]  Empty store shelves as panicked shoppers ransack grocery stores.
[00:01:02.896 --> 00:01:10.640]  And we can punch up behind us on screen of your TV viewer, NOAA, the National Oceanic and Atmospheric Administration.
[00:01:11.260 --> 00:01:13.782]  And you can see what is hitting the East Coast.
[00:01:14.622 --> 00:01:15.322]  Right now.
[00:01:16.003 --> 00:01:21.606]  Leanne McAdoo is in Flint, Michigan looking at the collapsing infrastructure of this country.
[00:01:21.646 --> 00:01:24.948]  She'll be popping in at the bottom of the third hour.
[00:01:26.229 --> 00:01:29.971]  Wow, it is another absolutely jam-packed broadcast today.
[00:01:30.371 --> 00:01:31.152]  Michael Schneider.
[00:01:32.056 --> 00:01:39.019]  We'll be joining us to look at the accelerated economic collapse that is barely even getting any media coverage.
[00:01:39.039 --> 00:01:43.362]  I mean, they're admitting it's happening, but they're just kind of calmly, we've hit an iceberg, ladies and gentlemen.
[00:01:43.402 --> 00:01:46.143]  The ship will be going under momentarily.
[00:01:46.443 --> 00:01:48.664]  May take a few hours, but just enjoy yourselves.
[00:01:49.104 --> 00:01:52.246]  We're going to be looking at that with Michael Scheiner today and opening the phones up.
[00:01:53.927 --> 00:01:59.950]  National Review has been uninvited from being one of the moderators at the next Republican debate.
[00:02:01.175 --> 00:02:03.076]  Because they put out this manifesto.
[00:02:03.776 --> 00:02:13.602]  I wish they put out a manifesto against communism, or against crony capitalism, or against globalism, or against the New World Order, or against the attack on the Second Amendment.
[00:02:14.514 --> 00:02:21.841]  But no, the National Review, Buckley did a lot of good things, but he was basically CIA, that's come out.
[00:02:22.742 --> 00:02:29.048]  William F. Buckley, and I'm not attacking him, my cousin's named after him, that's how much my family likes him.
[00:02:29.448 --> 00:02:37.516]  But the point is, is that they've been controlling the conservative movement forever, since the 60s, when they really got worried about Barry Goldwater.
[00:02:39.171 --> 00:02:47.413]  And they're here trying to basically deep six a conservative, libertarian, populist movement led by Donald Trump.
[00:02:48.093 --> 00:02:52.874]  And regardless of what you want to say about Donald Trump, we keep getting screwed over by establishment Republicans.
[00:02:53.854 --> 00:03:01.256]  And I respect a lot of people that listed themselves like it was a Declaration of Independence on the front of the magazine.
[00:03:02.637 --> 00:03:04.418]  But a lot of them I don't as well.
[00:03:05.019 --> 00:03:11.483]  I mean, I've heard absolutely tyrannical things come out of some of these people's mouths, like William Crystal and Glenn Beck.
[00:03:12.504 --> 00:03:14.225]  And I'm just calling a spade a spade here.
[00:03:14.305 --> 00:03:16.147]  I don't want to sit here and get in fights with these people.
[00:03:16.187 --> 00:03:17.428]  I really respect Thomas Sowell.
[00:03:18.088 --> 00:03:20.730]  Had him on a few times with some of these other folks.
[00:03:21.651 --> 00:03:23.712]  But this is disgusting behavior.
