[00:00:00.009 --> 00:00:01.731]  Brain Force is here.
[00:00:01.751 --> 00:00:04.933]  Ladies and gentlemen, I've been on this the last few months.
[00:00:04.973 --> 00:00:07.115]  You probably noticed I've been more crazed.
[00:00:24.790 --> 00:00:29.531]  That was an abrupt outro there for the commercial.
[00:00:29.631 --> 00:00:30.452]  Welcome back!
[00:00:30.532 --> 00:00:32.472]  We are still right here with you.
[00:00:32.492 --> 00:00:34.713]  Talking Trump in colors!
[00:00:34.733 --> 00:00:37.954]  How many hours into this epic broadcast!
[00:00:37.994 --> 00:00:42.375]  We're rounding the end of it and I can just tell you we're coming off of this with a high.
[00:00:42.395 --> 00:00:44.556]  It's a high on life, frankly.
[00:00:45.156 --> 00:00:47.397]  I'm gonna go home and sleep really well tonight.
[00:00:47.417 --> 00:00:51.098]  The culmination of months and months of hard work.
[00:00:51.138 --> 00:00:52.979]  Yes, it was almost like unbelievable when the
[00:00:54.719 --> 00:00:57.921]  The balloons descended from the ceiling and all of the confetti.
[00:00:58.282 --> 00:01:06.708]  Now I know Darren McBreen and Joe Biggs and Owen Schroer are going to be coming up next, probably at the bottom of the hour here, so they'll be in studio.
[00:01:07.228 --> 00:01:12.632]  Joe Biggs, fresh off of a little protest here in Austin, Texas, triggering the social justice warriors.
[00:01:12.652 --> 00:01:16.335]  He goes into maniac crowds like nobody I have ever seen.
[00:01:16.435 --> 00:01:20.698]  He is the master of going into these social justice warrior crowds.
[00:01:22.139 --> 00:01:23.880]  He's got the personality for it.
[00:01:23.920 --> 00:01:24.940]  He's just awesome.
[00:01:24.960 --> 00:01:31.143]  Well, you want to know what's maniacal is the smile on his face when he's in those crowds.
[00:01:31.863 --> 00:01:37.805]  The camera pans over and he's like... Josh is like, I was just assaulted!
[00:01:37.905 --> 00:01:39.986]  And Biggs is like, yeah.
[00:01:40.146 --> 00:01:41.727]  Owen does too for that matter.
[00:01:41.747 --> 00:01:43.887]  Owen is in our control room listening to this.
[00:01:44.428 --> 00:01:47.049]  He's coming up next with Biggs and Darabin.
[00:01:47.309 --> 00:01:48.249]  He's got the same thing.
[00:01:48.289 --> 00:01:49.850]  They look really good at this.
[00:01:50.750 --> 00:01:52.011]  Sadistic, I think.
[00:01:52.551 --> 00:02:03.416]  Well, I know one of the callers here, it looks like we might have cleared the callers, but I saw that he wanted to talk about World War III being averted last night, and so I know you've got a few articles on that.
[00:02:03.476 --> 00:02:05.877]  A lot of people think, wow, what happened?
[00:02:05.917 --> 00:02:06.938]  I mean, they were really trying to...
[00:02:08.135 --> 00:02:09.136]  We're good to go.
[00:02:28.564 --> 00:02:29.765]  Of world peace, frankly.
[00:02:29.785 --> 00:02:33.928]  Not to sound too naive, but that's where we're headed, folks.
[00:02:34.068 --> 00:02:41.332]  Also, this exclusive Trump beats Clinton in Israeli absentee voter exit poll numbers.
[00:02:41.412 --> 00:02:44.754]  Apparently, the Israelis prefer Trump to Clinton.
[00:02:44.874 --> 00:02:45.715]  No surprise there.
[00:02:45.735 --> 00:02:50.058]  And then this one, I am such a huge fan of this lady, Maureen Le Pen.
[00:02:50.638 --> 00:03:05.605]  She is the head of the Front National Party in France, and she has been censored, slapped around, you name it, reputation destroyed, all because she wants a secure border, she wants a handle on the immigration issue in France, and she congratulated Trump.
[00:03:06.265 --> 00:03:11.548]  And her hope is that, you know, what happens here, happens there.
[00:03:11.848 --> 00:03:13.068]  And so it's inspiring.
