[00:00:00.009 --> 00:00:01.532]  The Alex Jones Show.
[00:00:15.154 --> 00:00:15.794]  Big Brother.
[00:00:16.455 --> 00:00:17.475]  Mainstream media.
[00:00:18.215 --> 00:00:19.336]  Government cover-ups.
[00:00:19.976 --> 00:00:20.797]  You want answers?
[00:00:21.577 --> 00:00:22.477]  Well, so does he.
[00:00:23.118 --> 00:00:26.740]  He's Alex Jones on the GCN Radio Network.
[00:00:27.300 --> 00:00:31.362]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.202 --> 00:00:34.083]  Alex Jones here on the road.
[00:00:34.103 --> 00:00:41.365]  I'll be coming up live in the second hour today and also filing key breaking video news reports.
[00:00:42.146 --> 00:00:45.687]  And of course my co-host will be coming up at the bottom of the hour.
[00:00:46.267 --> 00:00:48.068]  But wow, huge developments.
[00:00:48.448 --> 00:00:53.130]  I'd like to be able to just come up here and say, wonderful news ladies and gentlemen, Donald Trump
[00:00:54.111 --> 00:01:01.698]  Uh, you know, dominated in Super Tuesday Part 2 in a big way, panicking the system.
[00:01:02.199 --> 00:01:05.442]  Rubio is clearly sinking the establishment candidate.
[00:01:06.043 --> 00:01:11.228]  We have seen a cruise surge overall, clearly into second place.
[00:01:12.762 --> 00:01:19.405]  The really big issue here is the Infowars.com posted article from the Daily Caller.
[00:01:20.145 --> 00:01:23.046]  It's also obviously in the Russian and British newspapers.
[00:01:23.726 --> 00:01:24.647]  Check it out for yourself.
[00:01:24.707 --> 00:01:25.687]  This is no joke.
[00:01:26.388 --> 00:01:40.733]  The Russian foreign ministry has sent a direct letter to Kim Jong-un and then publicly published it, saying it is unpermissible to threaten preemptive nuclear strikes on South Korea or anybody else.
[00:01:41.153 --> 00:01:42.054]  For those that don't know,
[00:01:43.579 --> 00:01:52.062]  Russia, for a small area, borders North Korea, and also on a large border, China.
[00:01:53.142 --> 00:02:06.427]  And even China, the Chinese Communist government, came out last week and had the strongest threats ever towards North Korea, who they've kind of controlled since the 1950s Korean War as a set piece.
[00:02:07.627 --> 00:02:09.148]  There is a nuclear trigger in the region.
[00:02:09.848 --> 00:02:12.349]  Obviously, we need to get Joel Skousen
[00:02:13.487 --> 00:02:21.151]  A World Affairs Brief on it continues to warn that this will be the real trigger that the Middle East is important but distractionary overall.
[00:02:22.031 --> 00:02:24.612]  But look, you could have Syria as a trigger now, you could have North Korea.
[00:02:25.173 --> 00:02:31.536]  Unprecedented to have that demonic, fat little, soft vampire rat.
[00:02:32.216 --> 00:02:35.658]  And look, I don't usually use names for people, but he deserves it.
[00:02:36.218 --> 00:02:38.659]  He is the ultimate example of trash.
[00:02:39.219 --> 00:02:40.240]  A third generation
[00:02:41.408 --> 00:02:53.098]  Hereditary dictator who grew up at a beyond five star boarding school in Switzerland who is so disconnected from reality he thinks Dennis Rodman is cool.
[00:02:55.039 --> 00:03:02.765]  Who has most of his family executed and has people killed with mortars and artillery for his entertainment.
