[00:00:02.040 --> 00:00:03.181]  All right, folks, we're live.
[00:00:03.181 --> 00:00:05.802]  It's Thursday, the 28th day of January.
[00:00:05.802 --> 00:00:08.203]  I'm cutting into the intro transmission.
[00:00:08.203 --> 00:00:09.424]  It's so important.
[00:00:09.424 --> 00:00:10.545]  Alex Jones here.
[00:00:10.545 --> 00:00:19.229]  We've got Ron Paul, the former congressman on the Marshall Law War Powers Act, that even a Democratic senator has said it is, coming on in about two hours.
[00:00:19.229 --> 00:00:23.772]  We're behind the scenes talking to the Trump people right now about things that are happening with the debates tonight.
[00:00:23.772 --> 00:00:25.973]  I'll give you the inside baseball after the break.
[00:00:25.973 --> 00:00:28.334]  But first, here is John Bowne's report.
[00:00:28.334 --> 00:00:30.876]  And our reporters are in Oregon right now with huge developments as well.
[00:00:30.876 --> 00:00:31.296]  Stay with us.
[00:00:32.495 --> 00:00:44.459]  Now that the Bill of Rights have been largely destroyed by our corporatized government, President Obama has decided to go for the meat of the American Constitution, the War Powers of the Constitution.
[00:00:44.459 --> 00:00:59.984]  Article 1, Section 8, Clause 11 of the United States Constitution, sometimes referred to as the War Powers Clause, vests in the Congress the power to declare war.
[00:00:59.984 --> 00:01:01.044]  This resolution
[00:01:02.080 --> 00:01:08.109]  Is a total rewrite of the War Powers Clause of the United States Constitution.
[00:01:08.109 --> 00:01:09.952]  Let's be clear about that.
[00:01:09.952 --> 00:01:15.540]  It is essentially a declaration of international martial law.
[00:01:15.540 --> 00:01:16.922]  A sweeping transfer
[00:01:17.674 --> 00:01:23.617]  So while the East Coast was buried under record snowfall, Obama's faux-Republican minions Lindsey Graham and Mitch McConnell
[00:01:39.844 --> 00:01:46.607]  Scuttled another dangerous fast-track bill into the halls of the most hated Congress in U.S.
[00:01:46.607 --> 00:01:47.507]  history.
[00:01:47.507 --> 00:01:54.270]  The legislation makes the unconstitutional Iraq war authorization of 2002 look like a walk in the park.
[00:01:54.270 --> 00:02:03.054]  It will allow this president and future presidents to wage war against ISIS without restrictions on time, geographic scope, or the use of ground troops.
[00:02:03.514 --> 00:02:11.825]  It is a completely open-ended authorization for the President to use the military as he wishes for as long as he or she wishes.
[00:02:11.825 --> 00:02:19.234]  Even President Obama has expressed concern over how willing Congress is to hand him unlimited power to wage war.
[00:02:19.614 --> 00:02:34.000]  The Foreign Relations Committee, whose chair is Senator Bob Corker, suggested that a new authorization for use of military force was unlikely to happen, and that President Obama currently has the legal authority he needs.
[00:02:34.000 --> 00:02:42.544]  Corker's authority was bypassed by McConnell's treasonous fast track, and Senator Lindsey Graham bleated out to reporters
[00:02:42.884 --> 00:02:47.991]  If the Democrats don't want to give this to Obama, then stand up and tell me why.
[00:02:47.991 --> 00:02:52.357]  There may be some people running for President as Republicans who don't want this.
[00:02:52.357 --> 00:02:58.105]  I would be astonished that anybody seeking to be Commander-in-Chief wouldn't want this power.
[00:02:58.365 --> 00:03:05.450]  It would allow the administration to fight the terror group ISIS wherever, whenever, and however.
[00:03:05.450 --> 00:03:09.713]  As if the real threat of ISIS was a mystery to the American people.
