[00:00:08.377 --> 00:00:10.218]  You want answers?
[00:00:10.218 --> 00:00:12.878]  Well, so does we.
[00:00:12.878 --> 00:00:16.779]  It's Alex Jones.
[00:00:16.779 --> 00:00:18.480]  My friends, thank you for joining us.
[00:00:18.480 --> 00:00:22.621]  It is May 15th on this Sunday Global Transmission.
[00:00:22.621 --> 00:00:25.602]  David Knight is going to be co-hosting from the studio.
[00:00:25.602 --> 00:00:28.543]  I am here on the road.
[00:00:28.543 --> 00:00:36.045]  If we attempt to decipher and expose the lies that the establishment media puts out,
[00:00:37.947 --> 00:00:41.669]  Big corporations, the government puts out every day.
[00:00:41.669 --> 00:00:42.810]  Our job would be impossible.
[00:00:42.810 --> 00:00:45.151]  There's not enough hours.
[00:00:45.151 --> 00:01:00.720]  There's not enough reporters in the world to be able to actually chronicle and track the full spectrum of disinformation and fraud that has disputed the people of the United States and the world.
[00:01:00.720 --> 00:01:06.403]  Now, the good news is the Associated Press talked a lot about this, did a big poll last month.
[00:01:07.463 --> 00:01:13.606]  I found that only 6% of people that follow mainstream media trust it.
[00:01:13.606 --> 00:01:24.310]  But still, people don't trust it, but because there is no real news in many cases now, nothing but spin, they don't know what's going on.
[00:01:24.310 --> 00:01:29.573]  I don't believe the earth is flat, but if the mainstream media started saying it was round, I might question them.
[00:01:29.573 --> 00:01:35.075]  I mean, that's how deceptive these people are, that you really can't believe anything they say.
[00:01:35.075 --> 00:01:36.716]  They taint, they twist, they spin.
[00:01:38.427 --> 00:01:47.634]  So the first 30 minutes today, I want to go over a few examples of this in context of the news, just to show the hypocrisy, the fraud, the disinformation.
[00:01:47.634 --> 00:01:50.296]  So here's some of what's coming up after the break.
[00:01:50.296 --> 00:01:52.918]  Look at this, the New York Times.
[00:01:52.918 --> 00:01:55.020]  Crossing the line, how Donald Trump.
[00:01:56.058 --> 00:01:56.959]  We're good to go.
[00:02:15.475 --> 00:02:21.780]  That sacred bond between men and women, the human species, cuddling together in the dark for eons.
[00:02:21.780 --> 00:02:23.422]  And it's now just horrible.
[00:02:23.422 --> 00:02:24.703]  No one ever said sexual harassment.
