[00:00:20.168 --> 00:00:21.950]  Welcome to the InfoWars Nightly News.
[00:00:22.050 --> 00:00:22.711]  I'm David Knight.
[00:00:22.791 --> 00:00:23.852]  It's Wednesday, April 16, 2016.
[00:00:23.912 --> 00:00:24.732]  Here are our top stories.
[00:00:30.421 --> 00:00:44.289]  Tonight, the GOP election machine manufactures a big win for Ted Cruz in Wisconsin as the Washington cartel maneuvers to steal the nomination from Donald Trump.
[00:00:44.409 --> 00:00:50.193]  Now we're in a phase of the campaign where organization matters.
[00:00:50.533 --> 00:00:57.517]  Where knowledge of the arcane rules that surround delegate selection matters.
[00:00:57.677 --> 00:01:02.701]  Meanwhile, Trump still remains way ahead of the pack in the battle for delegates.
[00:01:03.262 --> 00:01:07.406]  And he is heavily favored to win the big primary in New York.
[00:01:07.886 --> 00:01:11.469]  Plus, Obama sends out a warning to landlords.
[00:01:12.050 --> 00:01:16.894]  If you refuse to rent property to criminals, you are a racist.
[00:01:17.354 --> 00:01:20.017]  This is a message from the Fair Housing Act.
[00:01:20.457 --> 00:01:24.401]  All that plus much more up next on the InfoWars Nightly News.
[00:02:00.816 --> 00:02:15.001]  My fellow InfoWarriors, I am very excited to be able to announce to you the introduction at InfoWarsLife.com of a new way to save time and money when you stock up on InfoWarsLife formulations like Survival Shield X2 and Super Mel Vitality.
[00:02:15.181 --> 00:02:24.684]  Just go to InfoWarsLife.com today, select your favorite product, click on auto ship before adding to cart, and choose how often you want us to send you another one.
[00:02:24.984 --> 00:02:33.749]  Every time you choose AutoShip at InfoWarsLife.com, you get 10% off and you won't have to worry about running out and having to reorder next time.
[00:02:34.009 --> 00:02:36.410]  And of course, you can cancel with one click anytime.
[00:02:36.811 --> 00:02:44.635]  As you know, I'm all about the idea of a 360 win, and the new AutoShip feature at InfoWarsLife.com is a sure win for everybody.
[00:02:44.895 --> 00:02:48.579]  A win for liberty, a win for health, and a win when it comes to big savings.
[00:02:48.899 --> 00:02:55.046]  Visit InfoWarsLife.com today and save 10% on your next InfoWarsLife order by selecting AutoShip at checkout.
[00:02:55.166 --> 00:02:57.168]  That's InfoWarsLife.com or call 888-253-3139.
[00:03:03.157 --> 00:03:05.820]  Of course we had the Wisconsin GOP primary last night.
[00:03:05.840 --> 00:03:07.422]  We're going to talk about the results of that.
[00:03:08.183 --> 00:03:13.610]  But before we do, I want to address why we spend so much time on this election with everything else that's going on.
[00:03:13.630 --> 00:03:19.297]  You need to understand that this election is about the path to global governance.
[00:03:19.898 --> 00:03:24.399]  We've had elections in the past that have turned on things like Obamacare and other issues that are very important.
[00:03:24.979 --> 00:03:29.920]  But this election truly does turn on the path to global governance.
[00:03:29.980 --> 00:03:35.541]  It also is an election about whether or not we're going to have a calcified and corrupt political system.
[00:03:35.601 --> 00:03:46.963]  For the very first time in my life, we've seen a real movement that would move away from this centralization and at the same time do a real challenge to those in power.
[00:03:47.483 --> 00:03:51.088]  Even more serious, I believe, than the Ross Perot movement of the Reform Party.
[00:03:51.909 --> 00:04:00.860]  Now, when we question whether or not these results are honest or not, I've had people contact me on Twitter and say, well, I think it's just sour grapes.
[00:04:00.940 --> 00:04:03.323]  I think you're being paranoid or conspiracy theorists.
[00:04:03.784 --> 00:04:05.966]  We're going to talk about that as well, but let's first take a look
[00:04:06.707 --> 00:04:08.228]  At the election last night.
[00:04:08.268 --> 00:04:14.550]  Now Politico reports this and says Cruz is still facing a daunting delegate math after the win in Wisconsin.
[00:04:15.210 --> 00:04:16.571]  Yeah, definitely.
[00:04:16.731 --> 00:04:20.792]  It was interesting that in another headline they said Cruz is surging into second place.
[00:04:20.832 --> 00:04:22.453]  Yeah, he's surging into second place alright.
[00:04:23.253 --> 00:04:27.495]  He's been in second place and he is firmly entrenched in second place.
[00:04:27.515 --> 00:04:28.375]  Let's just put it that way.
[00:04:28.815 --> 00:04:32.338]  They say he needs four-fifths of the delegates remaining.
[00:04:33.038 --> 00:04:34.179]  It's a little bit more than that.
[00:04:34.219 --> 00:04:35.380]  Let's be precise about that.
[00:04:35.420 --> 00:04:36.521]  Take a look at this graphic.
[00:04:37.282 --> 00:04:43.787]  Of the 1,237 delegates needed to get the 50% plus one vote, there are 882 remaining.
[00:04:43.807 --> 00:04:51.372]  Now if you look at this chart, we've got Trump with 743, we've got Cruz with 517, and Kasich with 143.
[00:04:51.433 --> 00:04:58.118]  Now if we break that down in percentage of the remaining delegates, the 882 that are remaining, to get to that magic number,
[00:04:59.911 --> 00:05:02.392]  Trump needs 65% of the remaining delegates.
[00:05:02.792 --> 00:05:06.453]  Ted Cruz needs 82% of the remaining delegates.
[00:05:06.714 --> 00:05:11.555]  And, of course, John Kasich needs a ridiculous 124% of the remaining delegates.
[00:05:12.576 --> 00:05:12.796]  Okay?
[00:05:12.976 --> 00:05:15.377]  That's the reality of this situation.
[00:05:15.777 --> 00:05:21.819]  Now, what Ted Cruz was saying with his acceptance speech last night, he said, tonight is a turning point.
[00:05:22.339 --> 00:05:23.299]  It's a rallying cry.
[00:05:23.339 --> 00:05:27.581]  It's a call from the hard-working people of Wisconsin to the people of America.
[00:05:27.861 --> 00:05:36.569]  Of course, there would be many more hard-working people there if Paul Ryan and others of the GOP establishment hadn't shipped their jobs abroad and imported workers.
[00:05:36.949 --> 00:05:42.794]  But, they say, as a result of tonight, I am more and more convinced that our campaign is going to earn the 1,237 delegates needed to win the Republican nomination.
[00:05:45.897 --> 00:05:46.638]  No, I don't think so.
[00:05:47.019 --> 00:05:53.447]  He needs 82% of the remaining delegates, and about two-thirds of the states remaining are winner-take-all.
[00:05:53.487 --> 00:05:54.929]  The rest of them are winner-take-most.
[00:05:55.009 --> 00:05:55.550]  Let's go on.
[00:05:56.031 --> 00:05:59.615]  He says, either before Cleveland or at the convention in Cleveland.
[00:06:00.016 --> 00:06:01.257]  He's not going to win it before Cleveland.
[00:06:01.277 --> 00:06:02.639]  That's pretty certain, folks.
[00:06:03.379 --> 00:06:05.421]  But he's hoping that he's going to get this at Cleveland.
[00:06:05.461 --> 00:06:06.942]  We will win a majority of the delegates.
[00:06:07.142 --> 00:06:10.665]  He's going to try to steal them at the convention in Cleveland.
[00:06:10.906 --> 00:06:13.508]  And he says, and we will beat Hillary Clinton in November.
[00:06:13.848 --> 00:06:20.034]  Except he can't even win a majority of the GOP delegates, let alone even a plurality.
[00:06:20.374 --> 00:06:21.655]  He can't even get a plurality.
[00:06:21.995 --> 00:06:22.976]  He's way behind.
[00:06:23.016 --> 00:06:26.699]  If you look at the number of delegates right now, Donald Trump has 60%.
[00:06:26.740 --> 00:06:27.881]  He's got about 40% of the delegates.
[00:06:30.492 --> 00:06:31.353]  How is he going to do this?
[00:06:31.393 --> 00:06:33.536]  Well, he's going to be the establishment's tool.
[00:06:34.597 --> 00:06:48.776]  And understand, when we look at the results of Wisconsin, and when they try to tell you for the next two weeks, because it'll be two weeks before we have another primary, the next two weeks are going to be filled with constant reports about the momentum of Ted Cruz surging into second place.
[00:06:49.957 --> 00:06:53.380]  The reality of this is that he just won the D.C.
[00:06:53.420 --> 00:06:53.900]  primary.
[00:06:54.701 --> 00:06:56.843]  Remember when you had Rubio win the D.C.
[00:06:56.883 --> 00:06:57.323]  caucus?
[00:06:58.024 --> 00:06:59.345]  Nobody paid any attention to it.
[00:07:00.145 --> 00:07:01.206]  It wasn't a lot of delegates.
[00:07:01.246 --> 00:07:02.427]  This is not a lot of delegates.
[00:07:02.928 --> 00:07:04.949]  It was all Washington insiders.
[00:07:05.450 --> 00:07:09.233]  And Wisconsin is the heart of the GOP establishment.
[00:07:10.179 --> 00:07:17.405]  You've got Paul Ryan, you've got Reince Priebus, the chair of the RNC, who's talking about how they're going to steal and select, they're going to select the candidates, not you.
[00:07:17.625 --> 00:07:25.291]  They're going to select it, it's their party, and you can cry if you want to, but they're going to take the, they're going to choose whoever they wish.
[00:07:26.031 --> 00:07:32.234]  Now, as they're talking about Cruz winning the GOP establishment, Politico says he's disparaged his own Republican leader as a liar.
