[00:00:14.375 --> 00:00:17.197]  Hard to believe!
[00:00:18.598 --> 00:00:20.959]  It's already the 29th day of December, 2016.
[00:00:21.479 --> 00:00:23.841]  We've got a key report for you, right now.
[00:00:25.241 --> 00:00:26.222]  Breaking down the NDA.
[00:00:26.242 --> 00:00:41.611]  From the Infowars.com News Center, deep behind enemy lines in occupied Texas, broadcasting worldwide, you're listening to the voice of human resistance against the Technotronic Technocracy takeover.
[00:00:43.004 --> 00:00:44.986]  You're listening to Alex Jones.
[00:00:48.928 --> 00:00:57.174]  If you want a picture of the future, imagine a boot stamping on a human face forever.
[00:00:58.815 --> 00:01:05.380]  The moral to be drawn from this dangerous nightmare situation is a simple one.
[00:01:07.691 --> 00:01:08.572]  Don't let it happen.
[00:01:08.592 --> 00:01:11.134]  It depends on you.
[00:01:11.595 --> 00:01:25.208]  The internet's renaissance of media, living on a revolutionary platform that has exponentially boomed since it was conceived at UCLA on October 29, 1969, is yet again under attack.
[00:01:25.568 --> 00:01:30.173]  This bane to the New World Order and adversely a voice of humanity
[00:01:30.453 --> 00:01:40.863]  Simply disseminating the truth behind the mainstream media's governmental facade must be controlled and centralized if the power structure is to remain.
[00:01:41.043 --> 00:01:42.145]  Merry Christmas everybody!
[00:01:42.505 --> 00:01:52.715]  So while America innocently celebrated the holidays, America's shadow government buried a time bomb in the 2017 National Defense Authorization Act.
[00:01:53.015 --> 00:01:59.781]  Relegating control of the free press to what is being dubbed the State Department's Ministry of Truth.
[00:01:59.801 --> 00:02:07.248]  It's amazing the guy spent $160 million over two years to have the State Department determine what is propaganda and what isn't.
[00:02:07.468 --> 00:02:08.249]  Fake news!
[00:02:08.689 --> 00:02:17.257]  When they didn't like one particular story that was being advanced, when I say they, I think we know who they are, they are either the ruling class or the whoever, they called it a conspiracy theory.
[00:02:17.897 --> 00:02:21.361]  Hey, that warned them because those things kept turning out to be true.
[00:02:21.741 --> 00:02:29.990]  So they said, you know, we need something new or some Orwellian dystopian, you know, vocabulary, some argot.
[00:02:30.010 --> 00:02:30.731]  You know, what can we use?
[00:02:31.131 --> 00:02:32.172]  Ah, fake news.
[00:02:32.593 --> 00:02:33.293]  Rather base.
[00:02:33.954 --> 00:02:34.914]  But rather clear.
[00:02:35.074 --> 00:02:56.819]  Zero Hedge reported on Christmas Day, quote, introduced by Congressman Adam Kinzinger and Ted Lieu, HR 5181 seeks a whole government approach without the bureaucratic restrictions to counter foreign disinformation and manipulation, which they believe threatens the world's security and stability.
[00:02:57.219 --> 00:03:10.952]  Also called the Countering Information Warfare Act of 2016, when introduced in March by Senator Rob Portman, the legislation represents a dramatic return to Cold War-era government propaganda battles.
[00:03:11.092 --> 00:03:14.295]  On the heels of the death of SOPA and PIPA, the U.S.
[00:03:14.355 --> 00:03:19.160]  government's audacious attack on a free press emboldened by the Internet quickened.
[00:03:19.480 --> 00:03:32.886]  With the legalization of propaganda within the United States Interior in 2013 after the death of the long-standing Smith-Munn Act, the creeping UN and EU control of the Internet after the U.S.
[00:03:32.966 --> 00:03:48.572]  Commerce Department released its grasp to ICANN on October 1st of 2016, the rollout of the fake news narrative and its impending censorship by the bullying anti-First Amendment purveyors of news commandeering sites like
[00:03:48.772 --> 00:03:56.378]  Facebook and now the final nail in the coffin after the 2017 NDAA was signed into law on December 23rd.
[00:03:56.558 --> 00:04:02.322]  The Ministry of Truth framework is in place and the game is now completely rigged.
[00:04:02.702 --> 00:04:07.766]  In the words of selfless wonderkind Aaron Swartz, information is power.
[00:04:08.166 --> 00:04:11.950]  But like all power, there are those who want to keep it for themselves.
[00:04:12.331 --> 00:04:27.507]  And as if answering swords from across the expanse of time and space, founding father Thomas Jefferson prophetically said, the basis of our governments being the opinion of the people, the very first object should be to keep that right.
[00:04:28.047 --> 00:04:38.378]  And were it left to me to decide whether we should have a government without newspapers or newspapers without a government, I should not hesitate a moment to prefer the latter.
[00:04:38.659 --> 00:04:44.405]  But I should mean that every man should receive those papers and be capable of reading them.
[00:05:00.294 --> 00:05:06.981]  John Bowne for InfoWars.com Where the priest of power went, said it's all about attacking humanity, attacking God.
[00:05:07.041 --> 00:05:08.122]  We're devil worshippers.
[00:05:11.283 --> 00:05:14.225]  As Americans, this whole country is under attack.
[00:05:14.765 --> 00:05:16.347]  And the reason why is very simple.
[00:05:16.387 --> 00:05:20.070]  If you don't take down the biggest guy on the block, then you don't have anything yet.
[00:05:20.790 --> 00:05:27.676]  And so this new world order, most of the people around the world have no idea what's going on, so they're very easy to knock over.
[00:05:28.196 --> 00:05:34.381]  But America has always been on the forefront of intellectual and education and knowledge.
[00:05:35.021 --> 00:05:59.037]  technology so unless you can destroy this base of resistance to tyranny then you haven't done anything that's why they are continually to attack America because America is the only country left that offers freedom and liberty and justice for all and all of that kind of ideas and thinking that came that came out of the Renaissance and so
[00:05:59.837 --> 00:06:00.658]  Yeah, you're right.
