[00:00:00.769 --> 00:00:04.033]  31 days, folks.
[00:00:04.033 --> 00:00:04.714]  31 days.
[00:00:04.714 --> 00:00:08.198]  This will be a day long in the memory.
[00:00:23.271 --> 00:00:40.206]  From the Infowars.com News Center, deep behind enemy lines in Occupied Texas, broadcasting worldwide, you're listening to the voice of human resistance against the technotronic technocracy takeover.
[00:00:40.206 --> 00:00:43.248]  You're listening to Alex Jones.
[00:00:43.248 --> 00:00:44.049]  You want it?
[00:00:52.432 --> 00:00:56.275]  Ladies and gentlemen, it's Friday, October 7th, 2016.
[00:00:56.275 --> 00:01:05.842]  There is now only 31 days from the gigantic, world-shaking election.
[00:01:05.842 --> 00:01:19.812]  And you can see NATO and the Globalists trying to start wars with Russia, trying to back jihadi armies all over the world, with our own military at almost a schizophrenic level, fighting with itself over America's heart and soul.
[00:01:20.845 --> 00:01:27.615]  We have foreign globalists like George Soros accelerating racial tensions in this nation.
[00:01:27.615 --> 00:01:32.542]  We have the hurricane not slamming into Florida quite as hard as they said it would.
[00:01:33.629 --> 00:01:35.411]  They said it would hit it as a category four.
[00:01:35.411 --> 00:01:43.178]  It's hit as a three only in a few areas and thank God only a few people died and reportedly that's from things like heart attacks and car wrecks.
[00:01:43.178 --> 00:01:44.739]  So no real fatalities yet.
[00:01:44.739 --> 00:01:46.220]  I'm sure there will be some.
[00:01:46.220 --> 00:01:47.962]  Unfortunately, there is a lot of panicking.
[00:01:47.962 --> 00:01:49.483]  We have videos of that.
[00:01:49.483 --> 00:01:56.690]  People ransacking in vicious supermarket brawls as Hurricane Matthew panic hits.
[00:01:57.827 --> 00:02:08.156]  We've got the CDC, this is a quote, said police will eventually arrest the unvaccinated as quote, diseased criminals.
[00:02:08.156 --> 00:02:09.978]  We've got Bill Clinton confronted again.
[00:02:11.388 --> 00:02:26.078]  Last night by a woman and then again last night again Tim Cain the VP candidate and the gentleman got it out on national ABC News when they were carrying it on mainline broadcast TV that actually still hits a big audience.
[00:02:26.078 --> 00:02:27.499]  People ask why am I doing this?
[00:02:27.499 --> 00:02:31.462]  Because it can cause a cresting event, a chain reaction
[00:02:32.222 --> 00:02:37.904]  When the media is forced to talk about why is everybody saying Bill Clinton's settled sexual assault cases.
[00:02:37.904 --> 00:02:44.767]  And Kathleen Willey said that she was raped by him and had a witness that came in minutes after when she was bloody.
[00:02:44.767 --> 00:02:46.187]  And it goes on and on and on.
[00:02:46.187 --> 00:02:47.768]  This is known about the Clintons.
[00:02:47.768 --> 00:02:51.149]  We're going to force this out in the open.
[00:02:51.149 --> 00:02:51.970]  So that's coming up.
[00:02:51.970 --> 00:02:54.571]  I'm not going to just sit here and play games.
[00:02:54.571 --> 00:02:57.152]  We put aircraft in the skies during the
[00:02:59.523 --> 00:03:05.425]  RNC, well actually they had, for the first time ever, for a full week before, they blocked aircraft after we announced it, one day after.
[00:03:05.425 --> 00:03:25.551]  So we flew it three or four days before, and then in outskirts during, and it ended up being in thousands of newspapers, hundreds of TV channels, dozens of national channels carried it, and it became the meme at the RNC, lock her up, lock her up, Hillary for President, General Flynn was asked if he agreed with it, he said absolutely, she's engaged in treason, working with Al Qaeda and ISIS.
[00:03:26.371 --> 00:03:28.031]  That's where Trump gets that.
[00:03:28.031 --> 00:03:31.412]  It's from the former head of Defense Intelligence who was removed two years ago.
[00:03:31.412 --> 00:03:33.952]  They didn't claim he did anything wrong.
[00:03:33.952 --> 00:03:48.875]  They just said, you're removed because he was not going along with the murder of now over 200,000 Christians, another 200,000 or so non-Christians, most of those on the Syrian side with the Western-backed Jihad invasion.
[00:03:48.875 --> 00:03:50.195]  So we're doing the same thing with rape.
[00:03:50.195 --> 00:03:52.676]  And a lot of people go, man, you know, that's pretty dangerous.
[00:03:52.676 --> 00:03:53.476]  The Clintons kill people.
[00:03:54.252 --> 00:03:56.052]  I want to explain something to everybody.
[00:03:56.052 --> 00:03:58.533]  I know that.
[00:03:58.533 --> 00:04:04.714]  So I'm in the arena, and quite frankly, I don't see anybody else in the arena at the level InfoWars is.
