[00:00:20.379 --> 00:00:22.721]  It's December 15th, 2016.
[00:00:22.922 --> 00:00:26.805]  I'm Owen Schroer, and here's what's coming up on the InfoWars Nightly News Tonight.
[00:00:29.848 --> 00:00:30.189]  Tonight.
[00:00:31.383 --> 00:00:34.825]  We covered Sheriff Arpaio's press conference that concluded just hours ago.
[00:00:35.185 --> 00:00:40.548]  They found the source document that reveals the document released by Obama is a forgery.
[00:00:40.828 --> 00:00:41.628]  We'll have the details.
[00:00:42.449 --> 00:00:47.051]  And, as Trump's cabinet is forming, the latest line of attack is that it's racist.
[00:00:47.512 --> 00:00:48.612]  Because it's too white.
[00:00:49.272 --> 00:00:49.733]  Wait a minute.
[00:00:49.913 --> 00:00:51.814]  Obama had a lot of white people in his cabinet.
[00:00:52.134 --> 00:00:56.436]  As usual, it's just division and diversion masquerading as diversity.
[00:00:56.836 --> 00:00:59.158]  Next they'll tell us the white people are Russian agents.
[00:00:59.997 --> 00:01:03.599]  Then we reveal that Alex Jones is a Russian agent.
[00:01:05.720 --> 00:01:09.382]  All that and more on tonight's InfoWars Nightly News.
[00:01:30.347 --> 00:01:36.952]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.052 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.039 --> 00:01:55.747]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:02.520 --> 00:03:07.765]  Well, ladies and gentlemen, we are kicking fake news's butt today.
[00:03:08.145 --> 00:03:12.389]  First, it comes out that Barack Obama's birth certificate appears to be forged.
[00:03:13.109 --> 00:03:15.111]  Shocking conspiracy theorists are right there.
[00:03:15.452 --> 00:03:21.517]  And then, Julian Assange making statements that Russia is not responsible for the WikiLeaks.
[00:03:21.577 --> 00:03:26.682]  And of course, we'll have all that and plenty more for you tonight on the InfoWars Nightly News, but I'd like to start out
[00:03:27.662 --> 00:03:33.587]  With a sad story, and this is real news that the dictator of North Korea, I'm sure, did not want to get out.
[00:03:34.147 --> 00:03:35.368]  This is from a mirror.
[00:03:35.508 --> 00:03:43.353]  Child chain gangs of North Korea exposed as kids as young as five are forced to repair railways.
[00:03:44.054 --> 00:03:45.695]  And you can see some of these images.
[00:03:45.735 --> 00:03:48.297]  They are very sad, very disturbing images.
[00:03:48.457 --> 00:03:50.759]  Kids being forced into hard labor.
[00:03:51.699 --> 00:03:55.967]  And my question is, where are the social justice warriors?
[00:03:56.107 --> 00:03:58.231]  Where is the UN?
[00:03:58.431 --> 00:04:00.134]  Where is the liberal news?
[00:04:00.615 --> 00:04:01.296]  Where is Obama?
[00:04:03.325 --> 00:04:06.607]  You know, I recall North Korea threatening the U.S.
[00:04:06.967 --> 00:04:11.991]  nuclear threats, and Obama said he would, you know, be a tough guy in responding to those.
[00:04:12.831 --> 00:04:21.457]  Nothing from Obama, and now we've got children being forced into hard labor in North Korea repairing these railways.
[00:04:22.258 --> 00:04:24.439]  Very disturbing footage and images coming from them.
[00:04:25.260 --> 00:04:27.261]  And again, I ask, where's the liberal media?
[00:04:27.601 --> 00:04:28.942]  Where are the social justice warriors?
[00:04:29.162 --> 00:04:31.264]  Where is President Obama?
[00:04:31.784 --> 00:04:40.752]  Now, other sad images we are seeing coming out of Aleppo as children are begging to be rescued in a heartbreaking video from a bombed out Syrian city.
[00:04:41.352 --> 00:04:46.157]  Now, let's remember, who was it that called for Assad to step down?
[00:04:46.237 --> 00:04:50.040]  Who was it that called for Assad to be removed from power?
[00:04:50.300 --> 00:04:52.022]  That was the Obama administration.
[00:04:52.082 --> 00:04:53.403]  That was Hillary Clinton.
[00:04:53.703 --> 00:04:55.104]  And now what are we seeing?
[00:04:55.985 --> 00:04:58.946]  Now it looks like Syria is coming back.
[00:04:59.366 --> 00:05:01.667]  The Assad regime is taking ISIS out.
[00:05:02.327 --> 00:05:05.268]  And of course, this is why Assad needs to go apparently.
[00:05:05.348 --> 00:05:08.989]  Assad needs to be removed from power because he's helping get ISIS out of there.
[00:05:09.269 --> 00:05:12.130]  Again, I'm not building up Assad as the good guy or the bad guy.
[00:05:12.230 --> 00:05:13.911]  I'm just trying to report on what we're seeing.
[00:05:15.131 --> 00:05:21.313]  It is sad to see these kids now begging these orphans to be taken out of this city that has been bombed out.
[00:05:21.873 --> 00:05:26.355]  And again, you have to wonder, who is it that's calling for Assad to be removed from power?
[00:05:26.675 --> 00:05:27.755]  Where are those people now?
[00:05:28.215 --> 00:05:36.538]  And what is the Assad regime doing for Syria, for the people of Syria that don't want to be violent rebels like they have in ISIS?
[00:05:36.578 --> 00:05:38.859]  Now, this is a story out of Yahoo.
[00:05:39.059 --> 00:05:42.300]  Artificial intelligence creeps into daily life.
[00:05:42.440 --> 00:05:42.600]  Now,
[00:05:43.976 --> 00:05:48.579]  Most of us already are aware that artificial intelligence is in our daily lives.
[00:05:48.799 --> 00:05:53.222]  If you see personalized ads when you browse the internet, you know that.
