[00:00:20.219 --> 00:00:22.221]  Welcome to the Info Wars Nightly News.
[00:00:22.261 --> 00:00:26.345]  It is Thursday, June 23, 2016, and I'm Leanne McAdoo.
[00:00:26.626 --> 00:00:27.687]  Here's what's coming up tonight.
[00:00:31.731 --> 00:00:40.900]  Tonight, while the sit-ins of the 1960s were to gain rights, the sit-ins of Democrats now are to take rights away.
[00:00:42.000 --> 00:00:47.084]  Then, a tie in the Supreme Court blocks Obama's immigration policy.
[00:00:47.924 --> 00:00:53.028]  After that, should students be admitted or rejected based on their skin color?
[00:00:53.868 --> 00:01:00.853]  And, the media fact checks Hillary's past and comes up with some rather hilarious excuses for her actions.
[00:01:01.393 --> 00:01:02.054]  That's next.
[00:01:02.927 --> 00:01:10.052]  Maybe you're just at work right now and it's casual shirt Friday and one of your hipster buddies walks in with a Hillary Clinton shirt saying, I'm with her.
[00:01:10.492 --> 00:01:10.852]  Negative!
[00:01:10.892 --> 00:01:11.633]  This is what you're going to do.
[00:01:11.793 --> 00:01:14.614]  You're going to stand up and go, Hillary for prison!
[00:01:14.855 --> 00:01:15.495]  Benghazi!
[00:01:51.730 --> 00:01:55.432]  Joe Biggs here with InfoWars.com with an extremely important message.
[00:01:55.933 --> 00:02:00.916]  You're probably asking yourself right now, what's the most important phrase in America right now?
[00:02:01.456 --> 00:02:03.658]  Well, it happens to be Hillary for prison.
[00:02:04.078 --> 00:02:07.420]  Get your Hillary for prison t-shirt today at the InfoWars store for $9.95.
[00:02:08.121 --> 00:02:10.482]  That's half of what it used to be at $19.95.
[00:02:12.083 --> 00:02:12.904]  Why do you want to get this?
[00:02:12.964 --> 00:02:15.485]  Why should you buy this for you and your friends and family?
[00:02:15.826 --> 00:02:18.968]  Because number one, it's a great conversation starter, and number two,
[00:02:19.648 --> 00:02:24.212]  Hell, you get to trigger a whole lot of crazy liberal commie bastards, and that's what I like to do.
[00:02:24.552 --> 00:02:31.778]  And maybe you're just at work right now, and it's casual shirt Friday, and one of your hipster buddies walks in with a Hillary Clinton shirt saying, I'm with her.
[00:02:32.219 --> 00:02:32.599]  Negative!
[00:02:32.619 --> 00:02:33.360]  This is what you're gonna do.
[00:02:33.520 --> 00:02:36.362]  You're gonna stand up and go, ah, Hillary for prison!
[00:02:36.582 --> 00:02:37.303]  Benghazi!
[00:02:37.323 --> 00:02:43.048]  What difference at this point does it make?
[00:02:44.781 --> 00:02:50.447]  Go to Infowarsstore.com and get your Hillary for Prison shirt today for $9.95 and trigger more assholes like him.
[00:02:52.450 --> 00:02:53.270]  Come on, Hillary.
[00:02:53.471 --> 00:02:54.051]  Just a little.
[00:02:54.352 --> 00:02:55.132]  Just a little sip.
[00:02:55.693 --> 00:02:55.993]  Open up.
[00:02:56.314 --> 00:02:57.215]  Come on, take it!
[00:02:57.695 --> 00:02:58.076]  Take it!
[00:03:02.432 --> 00:03:13.942]  Well, there are many important decisions being made at the Supreme Court today, the most important of which is Obama's immigration plan, which has been deadlocked, blocked by a 4-4 tie there at the Supreme Court.
[00:03:14.383 --> 00:03:17.746]  Now, this was President Obama's immigration plan that sought to shield
[00:03:18.326 --> 00:03:20.386]  Millions who are already living in the U.S.
[00:03:20.466 --> 00:03:22.387]  illegally from deportation.
[00:03:22.867 --> 00:03:26.348]  It has effectively been killed for the rest of his presidency.
[00:03:26.788 --> 00:03:37.230]  Now, people who would have benefited from Obama's plan face no imminent threat of deportation because Congress has only provided money to deal with a small percentage of people who live in this country illegally.
[00:03:37.730 --> 00:03:43.651]  But his efforts to expand that protection to many other people is what has been blocked.
[00:03:44.091 --> 00:04:00.341]  Now, Obama responded saying that this takes us further from the country we aspire to be, which if that's if the we he is talking about is the country he and Hillary Clinton are aspiring towards, that is just open borders and bringing in unvetted
[00:04:01.061 --> 00:04:03.704]  Foreigners from regions that are infested with terrorism.
[00:04:04.164 --> 00:04:12.853]  Now, according to a Senate committee report coming out of the offices of Senator Jeff Sessions, there have been 580 terror convictions here in the U.S.
[00:04:12.993 --> 00:04:15.055]  since 9-11, and 380 of those terrorists have been foreign-born.
[00:04:19.039 --> 00:04:21.500]  So this means that they either got to the U.S.
[00:04:21.560 --> 00:04:24.141]  through illegal immigration or via a U.S.
[00:04:24.241 --> 00:04:28.662]  government-allowed legal immigration or a visa program or the refugee program.
[00:04:29.022 --> 00:04:38.005]  So the subcommittee had to conduct this research open source because they struggled with the Obama administration to find out where these people were actually from.
[00:04:39.245 --> 00:04:45.208]  And they found that of the 380 foreign-born, at least 24 were initially admitted to the U.S.
[00:04:45.288 --> 00:04:45.968]  as refugees.
[00:04:46.329 --> 00:04:48.430]  At least 33 overstayed their visas.
[00:04:49.010 --> 00:04:58.395]  They came from Pakistan, Lebanon, some are Palestinian, Somalian, Yemen, Iraq, Jordan, Egypt, and some from Afghanistan.
[00:04:59.508 --> 00:05:15.252]  Now, they talk a lot about how they have been fighting for more than 10 months to get this information from the Obama administration, and they passed it along to the DOJ to provide the information to the subcommittee on where these terrorist convictions, where they were actually from.
[00:05:15.633 --> 00:05:23.735]  They were trying to hide this information, of course, because this could be used against Hillary Clinton, as well as President Obama, while they're trying to get this passed.
[00:05:24.515 --> 00:05:31.262]  And so Jeff Sessions actually wrote just last week directly to the President, pressing him on this very issue.
[00:05:31.822 --> 00:05:32.403]  And he says,
[00:05:44.654 --> 00:05:48.216]  And assimilate those we admit paints a striking picture.
[00:05:48.776 --> 00:06:02.002]  And given that we've already identified at least 40 individuals who were initially admitted to this country as refugees and were subsequently convicted or implicated in terrorism, including an Iraqi refugee who was just admitted to the U.S.
[00:06:02.062 --> 00:06:11.206]  in 2012 and arrested in January of this year, it is clear that ensuring the proper screening of refugees is of the utmost importance.
[00:06:12.206 --> 00:06:19.309]  Indeed, but you know, I think that we're all just going to continue to be called crazy conspiracy theorists until people finally get a clue.
[00:06:20.029 --> 00:06:28.152]  Another big decision that went today in the Supreme Court, they upheld a University of Texas affirmative action admissions.
[00:06:28.732 --> 00:06:33.494]  So they said that the University of Texas may consider the race of a student
[00:06:34.765 --> 00:06:38.707]  of student applicants in a limited way to build a diverse student body.
[00:06:39.087 --> 00:06:58.898]  Now this was a 4-3 decision and it was a surprising win for advocates of affirmative action who say the benefits of diversity at the nation's colleges and universities are worth the intrusion on the Constitution's guarantee of equal protection that generally forbids the government from making decisions based on racial classifications.
[00:06:59.318 --> 00:07:02.320]  So that's why this was very surprising that the Supreme Court upheld
[00:07:02.780 --> 00:07:07.742]  This decision for affirmative action decades ago, I can see where this was a very important thing.
[00:07:08.202 --> 00:07:10.863]  But now, it is absolutely unfair.
[00:07:10.923 --> 00:07:14.004]  It's not in line with the constitutional promise of equal treatment.
[00:07:14.524 --> 00:07:20.966]  And the girl that actually brought this case forward, they're making fun of her on Twitter, calling her Becky with the bad grades.
[00:07:21.286 --> 00:07:23.307]  But it's not about having bad grades.
[00:07:23.347 --> 00:07:28.369]  You can be a spectacular student, have stellar grades, and if you're white, you might not get in.
[00:07:29.249 --> 00:07:31.010]  Due to affirmative action.
[00:07:31.651 --> 00:07:37.815]  And this is also interesting considering that the population of non-whites is continuing to grow.
[00:07:37.895 --> 00:07:44.439]  And here in Austin, Texas, where the university is, less than half of the population here is actually white.
[00:07:45.280 --> 00:07:58.149]  And according to the National Center for Education Statistics, black women have recently emerged as the most educated population of people by race and gender in the United States.
[00:07:58.829 --> 00:08:05.894]  So this means that they are a very powerful force in not only the political realm, but also in the business world.
[00:08:06.274 --> 00:08:12.539]  So no, that does not mean that minorities are taking over the United States, as some people out there are going to probably say in the comments.
[00:08:12.959 --> 00:08:19.104]  This just means it is time to rethink the victim status and maybe rethink this whole affirmative action thing.
[00:08:19.884 --> 00:08:26.087]  And another great decision that came down the high courts are going to limit drunk driving test laws.
[00:08:26.548 --> 00:08:36.393]  So this was the Supreme Court placed new limits on state laws that make it a crime for motorists suspected of drunken driving to refuse alcohol tests.
[00:08:36.833 --> 00:08:47.286]  So the justices ruled that police must obtain a search warrant before requiring drivers to take blood alcohol tests, but not breath tests, which the court considers less intrusive.
[00:08:47.647 --> 00:08:55.776]  And writing for the majority, Justice Alito said that breath tests do not implicate significant privacy concerns, unlike blood tests.
[00:08:56.277 --> 00:09:02.381]  Breathing into a breathalyzer doesn't pierce the skin or leave a biological sample in the government's possession.
[00:09:02.561 --> 00:09:11.168]  So that's going to be very great because here, I know in many other states, but definitely here in Texas, there is a no refusal and they'll just draw your blood right on the spot.
[00:09:11.328 --> 00:09:13.449]  So this might be able to change that.
[00:09:13.509 --> 00:09:16.271]  People can say it is a violation of their civil rights.
[00:09:17.032 --> 00:09:21.015]  Now on Monday, four NYPD officials were arrested
[00:09:21.955 --> 00:09:24.297]  In a cops-on-call corruption probe.
[00:09:24.577 --> 00:09:26.398]  So these were four NYPD officials.
[00:09:26.458 --> 00:09:37.685]  They were arrested for accepting trips, lavish gifts, and prostitutes from two Brooklyn businesses in exchange for police escorts, access, and gun licenses.
[00:09:38.105 --> 00:09:43.629]  And that's very interesting because gun licenses are extremely hard to get in New York.
[00:09:44.029 --> 00:09:47.471]  And as Jakari Jackson always points out, gun regulations
[00:09:47.831 --> 00:09:48.292]  I think so.
[00:10:04.955 --> 00:10:21.448]  Now, a New York Democratic rep, Charlie Rangel, was actually asked about this and about the gun-permitting bribery scandal, and he actually said, you know, members of Congress deserve and need people with firearms protecting them, but not the law-abiding citizens.
[00:10:21.568 --> 00:10:22.029]  Take a listen.
[00:10:23.567 --> 00:10:31.269]  Why should, say, the uber-wealthy, who have protection, have that protection, but individuals who are law-abiding citizens in your district should not?
[00:10:31.289 --> 00:10:32.809]  Let's talk about that.
[00:10:33.149 --> 00:10:39.571]  Well, law-abiding citizens just shouldn't have to carry a gun, you know that, so you're not going to push me in that direction.
[00:10:39.591 --> 00:10:42.232]  But you're protected by guns all over the place here in the Capitol.
[00:10:45.633 --> 00:10:46.953]  Well, that's a little different.
[00:10:47.013 --> 00:10:50.954]  I think we deserve, I think we need to be protected down here.
[00:10:52.244 --> 00:10:59.189]  See, you do not deserve or need to be able to protect yourself and your family, only the very important people who we put in office.
[00:10:59.530 --> 00:11:02.952]  Now, Rangel was one of the people who were on the House floor yesterday.
[00:11:03.012 --> 00:11:08.937]  He was actually periscoping this sit-in spectacle, and they call it a spectacle.
[00:11:09.857 --> 00:11:17.763]  Representative Mark Walker, who was there, tweeted out that it was actually a disgrace to Woolworths to call this a sit-in because
[00:11:18.764 --> 00:11:25.771]  Those people back then were asking for rights while the House Democrats are protesting to have people's rights taken away.
[00:11:26.571 --> 00:11:32.157]  And so now obviously they're using their new social justice warrior tactics saying, are they going to shut us down?
[00:11:32.177 --> 00:11:33.738]  Because they turned off the cameras.
[00:11:33.978 --> 00:11:37.902]  So then they start live streaming this, just trying to get as much attention as they can.
[00:11:38.663 --> 00:11:42.006]  And Washington Free Weekend's editor in chief pointed out
[00:11:42.526 --> 00:11:50.368]  That the sit-in isn't going to matter much because the Democrats have been very quick to reframe the gun control fights as anti-terror fights.
[00:11:50.748 --> 00:11:53.629]  And that's been going on since the Orlando attack.
[00:11:54.009 --> 00:11:56.469]  And things got very heated on the floor there yesterday.
[00:11:57.009 --> 00:11:57.250]  Rep.
[00:11:57.350 --> 00:12:06.472]  Louie Gohmert was actually taking them to task on that, saying all the things that they're asking for would not have stopped the Orlando terror attack.
[00:12:06.512 --> 00:12:07.012]  Take a listen.
[00:12:21.400 --> 00:12:23.982]  And as you can see, a lot of people were very passionate about this.
[00:12:24.022 --> 00:12:29.486]  This is radical Islamic extremism, and that is the real thing that we need to be dealing with in this country.
[00:12:29.826 --> 00:12:36.851]  Now, Gohmert went on to say that they are using the instruments that helped gain civil rights to try to take away civil rights.
[00:12:37.731 --> 00:12:45.134]  He said, I'm telling you, this was incredible to see real American folk heroes like John Lewis, who was brutalized and stood up for civil rights.
[00:12:45.554 --> 00:12:50.416]  Folks were there using the instruments that helped gain civil rights to try to take away our civil rights.
[00:12:50.756 --> 00:12:52.157]  Now we pointed this out yesterday.
[00:12:52.517 --> 00:12:58.199]  John Lewis was actually on a secret government list there with LBJ during the civil rights.
[00:12:58.480 --> 00:13:04.222]  So he knows what it's like to be on a secret government list and some government agency can just arbitrarily put you on it.
[00:13:04.702 --> 00:13:07.164]  But he was also on the no-fly list.
[00:13:07.224 --> 00:13:14.409]  He had been stopped some 30, 45 times, asked about this, and he had to deal with this for more than a year to try to get taken off that list.
[00:13:14.849 --> 00:13:15.670]  But that's not all.
[00:13:16.030 --> 00:13:21.114]  He was actually also someone who signed a letter to the Department of Homeland Security in 2014.
[00:13:23.155 --> 00:13:26.217]  Expressing some concern over this program.
[00:13:26.517 --> 00:13:32.901]  They say watch lists are an important tool to guard against terrorism, but they must strike the right balance with the U.S.
[00:13:33.042 --> 00:13:34.322]  civil rights and liberties.
[00:13:34.683 --> 00:13:41.067]  And they were concerned at the program that was put in place to give people steps to redress being put on this list.
[00:13:41.587 --> 00:13:47.349]  They were concerned that it provides no effective means of redress or unfair or incorrect designations.
[00:13:47.790 --> 00:13:55.733]  So they know that this is something that people can put on this list arbitrarily and it's very difficult to get yourself off of this list.
[00:13:56.113 --> 00:14:01.235]  Paul Ryan came out and said that this Democratic stunt is not a proud moment for democracy.
[00:14:01.716 --> 00:14:07.318]  He said this isn't very proud for democracy or for the people who staged these stunts.
[00:14:07.758 --> 00:14:09.399]  He said this is the people's house.
[00:14:09.599 --> 00:14:16.142]  This is Congress, the House of Representatives, the oldest democracy in the world, and they're descending it into chaos.
[00:14:16.542 --> 00:14:17.883]  Why do I call this a stunt?
[00:14:18.223 --> 00:14:19.644]  Well, because it is one.
[00:14:20.024 --> 00:14:25.226]  There was a vote, it was in the committee, through regular order, and the vote failed.
[00:14:25.506 --> 00:14:27.687]  And that's something that they're not wanting to talk about.
[00:14:27.747 --> 00:14:28.367]  That's a fact.
[00:14:28.407 --> 00:14:29.708]  There was a vote and it failed.
[00:14:30.048 --> 00:14:31.629]  He said if Democrats want to vote,
[00:14:31.949 --> 00:14:34.031]  For a bill on the floor, there's a way to get one.
[00:14:34.372 --> 00:14:38.957]  It just takes 218 signatures on a petition and they can have a vote.
[00:14:39.017 --> 00:14:39.778]  It's that simple.
[00:14:40.699 --> 00:14:42.180]  But what they're doing, that's not it.
[00:14:42.320 --> 00:14:45.744]  And they're actually trying to get this done through a different order.
[00:14:45.944 --> 00:14:48.127]  Staging protests, trying to get it on TV.
[00:14:48.687 --> 00:14:49.188]  I don't know.
