[00:00:09.994 --> 00:00:11.735]  Really important for us to remember our history.
[00:00:14.136 --> 00:00:19.238]  Unless you're one of the first Americans, a Native American, you came from someplace else.
[00:00:20.159 --> 00:00:20.979]  Somebody brought you.
[00:00:21.780 --> 00:00:38.748]  The value of that reservation and the value of its people, the value of its air, the value of its carbon emissions are traded on Wall Street.
[00:00:40.067 --> 00:00:41.168]  Through Dun and Bradstreet.
[00:00:41.768 --> 00:00:42.349]  It's listed.
[00:00:43.490 --> 00:00:52.817]  So we haven't even hit on all the swindles that Wall Street is visiting upon the people of America.
[00:00:53.218 --> 00:01:02.706]  You're nothing but a bunch of coupons for the United States government and the people who run it.
[00:01:04.207 --> 00:01:04.607]  That's it.
[00:01:05.728 --> 00:01:07.610]  American people, you're a commodity.
[00:01:08.784 --> 00:01:11.320]  And you don't deserve anything else.
[00:01:12.830 --> 00:01:17.232]  And they want to make sure you continue to be a commodity as long as the empire exists.
[00:01:18.012 --> 00:01:22.194]  As long as you allow the Constitution to be raped.
[00:01:22.975 --> 00:01:29.798]  As the flood of illegals surges over the southern border, President Obama is going for broke, literally.
[00:01:30.018 --> 00:01:40.483]  CNS News reports that since the budget deal was signed in November of 2015, in just six months, Obama has added another trillion to our national debt.
[00:01:40.703 --> 00:01:43.645]  Bringing it to a monstrous $19 trillion.
[00:01:43.866 --> 00:01:53.393]  While more taxpayer money is thrown at the Immigrations and Customs Enforcement deportation budget, deportations themselves have decreased by nearly 43%.
[00:01:53.534 --> 00:02:01.200]  Breitbart reports, according to a recent chart from the Senate Subcommittee on Immigration and National Interest,
[00:02:01.520 --> 00:02:10.031]  Ice removed nearly 43% fewer total aliens from the United States in the fiscal year of 2015 than it did in the fiscal year of 2012.
[00:02:11.033 --> 00:02:16.600]  And nearly 62% fewer aliens from the interior of the United States.
[00:02:17.261 --> 00:02:17.341]  Yes.
[00:02:32.811 --> 00:02:33.031]  Yeah.
[00:02:50.655 --> 00:02:57.760]  As compared with 139,368 in fiscal year 2015, meaning that it deported nearly 41% fewer criminal aliens last year, with 25% more resources than it had in fiscal year 2012.
[00:03:07.868 --> 00:03:09.869]  As illegal immigrant crimes in the U.S.
[00:03:09.909 --> 00:03:19.753]  go largely unreported, even mentioning the unwarranted murders of American citizens by illegal immigrants is deemed racist by New World Order brainwashed dupes.
[00:03:20.153 --> 00:03:26.716]  And if you think the perpetual raping going on by ungrateful Islamic hordes is only occurring in Europe, think again.
[00:03:27.239 --> 00:03:34.821]  New documents say the man accused of kidnapping and sexually assaulting a gas station worker uttered Allah Akbar during the assault.
[00:03:35.101 --> 00:03:41.683]  Four illegal aliens from Guatemala are charged in the rape of a Massachusetts woman and the vicious beating of her boyfriend.
[00:03:42.003 --> 00:03:45.604]  And one of the suspects was arrested less than a month before the attack.
[00:03:46.184 --> 00:03:49.347]  The Quartet has been saddled with a slew of charges.
[00:03:49.787 --> 00:04:01.198]  It's been two years since Fusion reported that a staggering 80% of Central American girls and women crossing Mexico en route to the United States are raped along the way.
[00:04:01.538 --> 00:04:09.145]  Meanwhile, Panama announced they are transferring 3,000 U.S.-bound Cuban migrants to Mexico as Cuban migration spikes.
[00:04:09.465 --> 00:04:16.528]  And in 2016, immigrant families crossing the border is 40% higher than the previous record in 2014.
[00:04:17.408 --> 00:04:37.115]  When the history books are written, the flood of a great unknown and unchecked exodus of chaos in the face of all reason, civility, and legality revolving around the enforcement of immigration laws that have dictated the policy for immigration for centuries will go down as one of the most reckless acts instigated by a U.S.
[00:04:37.195 --> 00:04:38.736]  president in modern history.
[00:04:39.175 --> 00:04:41.937]  But every time you try to get away from the government, they'll kill you.
[00:04:44.579 --> 00:04:45.559]  I'll put you in prison.
[00:04:50.623 --> 00:04:52.104]  Or I'll let you become an American.
[00:04:57.307 --> 00:04:58.568]  If you catch my drift.
[00:05:00.329 --> 00:05:01.350]  Because you're the new Indian.
[00:05:02.836 --> 00:05:04.281]  You're the new American Indian.
[00:05:04.341 --> 00:05:05.284]  Congratulations.
[00:05:06.167 --> 00:05:07.089]  Welcome to the club.
[00:05:10.356 --> 00:05:19.365]  During a campaign stop in Philadelphia, a Hillary Clinton supporter stood up and urged Hillary to take on the NRA.
[00:05:19.425 --> 00:05:25.091]  We need you to be able to use your executive powers to legislate that you can't carry guns in cars.
[00:05:25.191 --> 00:05:29.876]  In Hillary's response to using executive orders to take our guns, amen.
[00:05:29.896 --> 00:05:32.598]  Let the congregation say amen.
[00:05:33.519 --> 00:05:40.687]  Meanwhile, Chelsea Clinton says that gun control can finally be implemented now that Justice Scalia is dead.
[00:05:40.707 --> 00:05:44.971]  They believe the next time the court rules on gun control, it will make it definitive.
[00:05:45.976 --> 00:05:48.518]  Well, here's a newsflash for the Clintons.
[00:05:48.819 --> 00:05:51.521]  America doesn't have a gun problem.
[00:05:51.782 --> 00:05:54.424]  America has a gang problem.
[00:05:54.664 --> 00:06:00.310]  And in gun-free zones like Chicago, there's already been over a thousand shootings this year.
[00:06:00.510 --> 00:06:01.130]  And guess what?
[00:06:01.331 --> 00:06:05.394]  Not one of the shooters was a member of the NRA.
[00:06:05.695 --> 00:06:06.455]  Come and take it.
[00:06:06.656 --> 00:06:09.018]  And you can learn more right now at Infowars.com.
[00:06:10.359 --> 00:06:12.401]  Joe Biggs here with InfoWars.com.
[00:06:12.461 --> 00:06:14.482]  Today I want to talk to you about guns.
[00:06:14.782 --> 00:06:15.643]  Why we have them.
[00:06:15.823 --> 00:06:19.106]  Why the Bill of Rights guarantees that we can have them.
[00:06:19.206 --> 00:06:24.510]  And why my right to have a gun is more important than your right to rail against it in the press.
[00:06:24.710 --> 00:06:31.655]  I believe every good journalist needs to know why the Second Amendment must be considered more essential than the First Amendment.
[00:06:31.755 --> 00:06:42.201]  This may be a bitter pill to swallow, but the right to keep and bear arms is not an outdated, dusty idea some old dead white guys dreamed up in fear of the redcoats.
[00:06:42.481 --> 00:06:45.923]  No, it is just as essential to liberty today as it was in 1776.
[00:06:48.024 --> 00:06:54.968]  The original amendments we refer to as the Bill of Rights contained ten of what the constitutional framers termed unalienable rights.
[00:06:55.188 --> 00:06:57.730]  The Bill of Rights came to us with blinders on.
[00:06:57.850 --> 00:07:00.572]  It doesn't recognize color, or class, or wealth.
[00:07:00.692 --> 00:07:07.196]  It protects not just the rights of actors, or editors, or reporters, but extends even to those we love to hate.
[00:07:07.296 --> 00:07:09.838]  This is a small excerpt from Charlton Heston.
[00:07:10.278 --> 00:07:11.258]  Brain Force is here.
[00:07:11.779 --> 00:07:14.080]  Ladies and gentlemen, I've been on this the last few months.
[00:07:14.340 --> 00:07:16.722]  You probably noticed I've been more crazed, more focused.
[00:07:17.163 --> 00:07:22.140]  Less brain fog, more energy, more special reports, and it's because of BrainForce.
[00:07:22.915 --> 00:07:26.496]  One of the worst things with most energy products is it's not sustainable, right?
[00:07:26.516 --> 00:07:28.856]  You're gonna crash and gonna feel really bad afterwards.
[00:07:29.216 --> 00:07:32.737]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:07:32.777 --> 00:07:35.918]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:07:36.418 --> 00:07:41.219]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:07:41.759 --> 00:07:43.580]  For example, the L-Theanine inside of it.
[00:07:43.940 --> 00:07:48.361]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:07:48.521 --> 00:07:50.541]  This just increases the compounds you already have.
[00:07:51.142 --> 00:07:52.622]  This is what you're actually designed to run on.
[00:07:52.782 --> 00:07:53.022]  Exactly.
[00:07:53.042 --> 00:07:57.027]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:07:57.348 --> 00:08:05.337]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:08:27.466 --> 00:08:33.871]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:08:33.951 --> 00:08:39.516]  It's Alex Jones.
[00:08:39.536 --> 00:08:43.379]  It had not been announced until about an hour ago.
[00:08:46.302 --> 00:08:53.348]  On this Thursday, May 5th, 2016, officially at the Donald Trump website, Donald J. Trump for President,
[00:08:54.346 --> 00:09:00.530]  We're going to link to this in our story that is red linked or should be up on Infowars.com.
[00:09:01.491 --> 00:09:08.016]  I pledge to you that we're going to keep Donald Trump honest or die trying.
[00:09:10.557 --> 00:09:11.358]  Metaphorically.
[00:09:13.373 --> 00:09:14.494]  But things are complex.
[00:09:14.554 --> 00:09:16.875]  Trump needs watchdogs in what he's doing.
[00:09:16.935 --> 00:09:19.737]  When he came out and said, hey, you know, they're murdering Christians.
[00:09:19.757 --> 00:09:21.278]  We got to bring them here from Syria.
[00:09:21.738 --> 00:09:25.220]  Our own government tried to overthrow Syria.
[00:09:25.880 --> 00:09:29.162]  Obama was horrible to do it, but now they're murdering hundreds of thousands of Christians.
[00:09:29.503 --> 00:09:30.283]  We got to bring them here.
[00:09:31.644 --> 00:09:38.548]  And then when he found out it was jihadis they were bringing in, unvetted, he went, whoa, until we vet these people, stop them all.
[00:09:40.816 --> 00:09:47.699]  So he went from a radical Muslim coddler to someone that hates all Muslims in the media spin machine.
[00:09:48.539 --> 00:09:54.462]  But when Trump got criticized on that and appraised the info, he said, whoa, I didn't know we were bringing unvetted people.
[00:09:54.902 --> 00:09:56.443]  Shut it down until they're checking.
[00:09:56.463 --> 00:09:57.984]  That's common sense.
[00:09:59.024 --> 00:10:00.805]  It's like there's a gas leak in your house.
[00:10:02.226 --> 00:10:05.027]  And until you find it, you go out to the side of the house, you turn it off.
[00:10:06.878 --> 00:10:15.303]  Or if there's a broken pipe in your house, you go out to the front of the house to the water main, you open up the little manhole, and you turn it off.
[00:10:18.105 --> 00:10:20.527]  Japan doesn't let any Muslims immigrate there, period.
[00:10:21.047 --> 00:10:23.389]  They have the lowest crime rate, by the way, in much of the world.
[00:10:25.850 --> 00:10:28.692]  That's because their government has deemed that it's incompatible with their culture.
[00:10:29.172 --> 00:10:33.375]  I don't think all Muslims are bad or out to get everybody, but at the same time,
[00:10:35.011 --> 00:10:43.620]  When they're jihadis and they're saying they're going to come here and make us go under their rule, their law, and want to conquer us, and that that's the whole attitude, absolutely not.
[00:10:44.401 --> 00:10:45.902]  But see, that's how the spin machine works.
[00:10:47.044 --> 00:10:56.594]  I'm digressing, though, on a rabbit trail of my example of many times when Trump finds out he's wrong about something, he will then come out and say, I was wrong, and explain why he did it.
[00:10:58.134 --> 00:11:11.442]  Hillary, along with Obama, for about 10 years has been saying they want to shut down all coal power plants, and then of course that means shut down coal mines, both surface, lignite, and also deep mines like they have in Kentucky and West Virginia.
[00:11:14.924 --> 00:11:23.490]  She came out, of course, last year and again this year, just a month ago, and said on the campaign trail, we're going to bankrupt coal, we're going to shut down the coal miners.
[00:11:24.577 --> 00:11:26.299]  Obama has said we're going to bankrupt coal.
[00:11:26.859 --> 00:11:29.242]  You can build a coal power plant, but we will bankrupt you.
[00:11:29.943 --> 00:11:33.146]  She now says she means that that meant to save everyone.
[00:11:33.166 --> 00:11:36.369]  So see, that's a total twisted lie, flip-flop.
[00:11:39.473 --> 00:11:43.617]  When Trump is wrong about something, he goes, I was wrong when I got more info, I changed my mind.
[00:11:43.897 --> 00:11:44.678]  That's the opposite.
[00:11:44.838 --> 00:11:46.380]  That's doing the right thing.
[00:11:46.400 --> 00:11:47.161]  That's not a flip-flop.
[00:11:48.709 --> 00:11:53.771]  So, I have talked about the way this campaign works and that most people in the power structure are establishment.
[00:11:54.572 --> 00:12:00.715]  Most people in the power structure are attached to Goldman Sachs, JP Morgan, and or the Council on Foreign Relations or both.
[00:12:03.256 --> 00:12:09.799]  And so, Trump's going to have problems being able to run a campaign against Hillary without getting some insiders.
[00:12:12.073 --> 00:12:15.156]  That's why I wasn't against him meeting with Richard Haass, the head of the CFR, a month ago.
[00:12:15.456 --> 00:12:20.860]  But I said, watch if Trump changes his foreign policy statements, and watch if Haass says he likes him.
[00:12:21.081 --> 00:12:29.988]  Haass came on a week later and said Trump is horrible, he's the worst possible choice ever, and you notice Trump's gotten more nationalistic in his speeches.
[00:12:31.950 --> 00:12:33.751]  That said, our story isn't exclusive.
[00:12:33.791 --> 00:12:35.433]  It's up on InfoWars.com.
[00:12:35.493 --> 00:12:39.316]  I talked to multiple people in and around the Trump campaign at the highest levels.
[00:12:41.397 --> 00:12:51.803]  I've talked to Roger Stone, who has even delayed his trip to New York today to research this, but he is researching right now and will be popping in today or tomorrow to get his take on it.
[00:12:51.843 --> 00:12:58.287]  But I have other sources as well that first alerted me to this last night and then this morning.
[00:12:59.148 --> 00:13:05.792]  And then Paul Watson had finished his report
[00:13:08.609 --> 00:13:10.530]  Will you guys bring me the Trump press release again?
[00:13:11.231 --> 00:13:13.893]  I know you brought it to me, but I've moved it around on my stack and I can't find it.
[00:13:13.933 --> 00:13:14.233]  Thank you.
[00:13:15.234 --> 00:13:15.994]  Someone bring it to me again.
[00:13:16.034 --> 00:13:16.335]  Thank you.
[00:13:17.415 --> 00:13:17.836]  Oh, here it is.
[00:13:17.856 --> 00:13:18.336]  It's on the back.
[00:13:18.356 --> 00:13:19.117]  It was stuck inside here.
[00:13:19.817 --> 00:13:20.798]  Teleprompter-free, folks.
[00:13:20.818 --> 00:13:21.538]  This is unscripted.
[00:13:21.819 --> 00:13:26.542]  We actually operate with our intellects and history and understanding and our will and our love of truth.
[00:13:29.924 --> 00:13:33.147]  And so Paul Watson and I began researching this, and this was nowhere.
[00:13:35.026 --> 00:13:45.853]  But on one site that had noticed that this guy's name had been mentioned in the Wall Street Journal yesterday, in the headlined article, Donald Trump won't self-fund general election campaign.
[00:13:46.413 --> 00:13:52.036]  Presumptive Republican nominee plans to create world-class finance organization to back campaign.
[00:13:53.537 --> 00:13:56.079]  And then he sent out Corey Lewandowski and others.
[00:13:56.779 --> 00:14:00.241]  This is outside of Paul Manford and Roger Stone.
[00:14:00.401 --> 00:14:00.822]  I know that.
[00:14:00.882 --> 00:14:02.122]  They're not involved in this.
[00:14:02.182 --> 00:14:04.364]  They can't speak to it yet, but they weren't aware of this.
[00:14:06.257 --> 00:14:08.358]  And we went and checked the Trump website early this morning.
[00:14:08.938 --> 00:14:10.338]  Nothing about this guy's name.
[00:14:10.738 --> 00:14:11.419]  No statements.
[00:14:11.559 --> 00:14:11.939]  Nowhere.
[00:14:12.419 --> 00:14:12.779]  Boom!
[00:14:13.459 --> 00:14:19.821]  As I went live on air, Roger Stone sent me an email saying it's official.
[00:14:20.661 --> 00:14:21.862]  He's going to find out who put it out.
[00:14:23.782 --> 00:14:26.463]  Donald J. Trump announces National Finance Chairman.
[00:14:29.364 --> 00:14:30.864]  Steve Mnuchin.
[00:14:31.364 --> 00:14:32.825]  M-N-C-H.
[00:14:34.412 --> 00:14:37.254]  M-U-M-N-U-C-H-I-N.
[00:14:38.495 --> 00:14:41.696]  Steven M-U... That's really hard to pronounce.
[00:14:41.716 --> 00:14:43.437]  That'll give anybody with dyslexia a headache.
[00:14:43.818 --> 00:14:45.519]  Steven Munchin.
[00:14:46.219 --> 00:14:48.280]  M-N-U-C-H-I-N.
[00:14:49.521 --> 00:14:56.165]  To serve critical role as Trump campaign gears up for general election.
[00:14:57.586 --> 00:15:00.488]  To be the head finance chair to run
[00:15:01.857 --> 00:15:04.099]  The gathering of donations, both small and large.
[00:15:04.139 --> 00:15:17.849]  And what Trump has always said is, he's not going to take lobbyist money, he's not going to take big PAC money, and he's the only person I've ever seen in modern history who ran the last 16-month campaign without big corporate money and without PACs.
[00:15:18.569 --> 00:15:25.675]  Now his lawyers have gone after PACs that have been set up by Jesse Benton and others, claiming that they're working for Trump when they're not.
[00:15:26.580 --> 00:15:28.361]  And that's official from the Trump campaign.
[00:15:28.561 --> 00:15:30.803]  Not attacking Jesse Benton, the former head of the Ron Paul campaign.
[00:15:31.083 --> 00:15:31.903]  It's just the reality.
[00:15:35.365 --> 00:15:41.009]  But Stone is running unofficial PACs that just promote open elections and voter rights.
[00:15:41.789 --> 00:15:51.095]  And that's why I've been supportive of those moves on air, as the Listerts have, and the integrity of our election system in this country under the Bill of Rights, the Constitution.
[00:15:53.456 --> 00:15:55.658]  But this new development is very, very troubling.
[00:15:56.789 --> 00:16:01.250]  And we have an article detailing it all from the inside sources the best we know.
[00:16:02.411 --> 00:16:03.051]  Exclusive!
[00:16:04.251 --> 00:16:08.553]  Koch-Soros insiders attempt to take over Trump campaign.
[00:16:09.533 --> 00:16:13.754]  Establishment in last-ditch effort to co-opt New York billionaire.
[00:16:14.955 --> 00:16:21.917]  A major effort is underway to co-opt the Donald Trump campaign by infiltrating it with Koch brothers, George Soros-like operatives,
[00:16:23.101 --> 00:16:26.722]  Inside sources have exclusively told Infowars.com.
[00:16:28.282 --> 00:16:38.644]  Yesterday it was revealed that Steven Munchkin would become the Trump campaign's national finance chair.
[00:16:41.145 --> 00:16:51.707]  Munchin was an investment professional with Soros Fund Management LLC and spent 17 years at Goldman Sachs, so he's a Spectre alumni.
[00:16:52.745 --> 00:16:59.828]  He also has innumerable other affiliations with establishment financial institutions and corporations.
[00:16:59.868 --> 00:17:06.150]  However, the appointment was engineered by Trump campaign manager Corey Lewandowski, it appears.
[00:17:08.268 --> 00:17:21.343]  I mean, that's who reportedly is making these decisions, who himself has close ties with and has worked for the Koch brothers, having overseen the New Hampshire chapter of the Americans for Prosperity.
[00:17:21.923 --> 00:17:23.865]  And they've come out and said they'd rather have Hillary than Trump.
[00:17:25.387 --> 00:17:28.531]  The advocacy group founded by Koch brothers
[00:17:30.495 --> 00:17:45.989]  Although Lewandowski is not directly responsible for the infiltration, he is being used as a dupe by Munchkin and others as part of a move to either take control of the Trump campaign or contrive a media narrative that Trump has sold out to the establishment.
[00:17:46.850 --> 00:17:48.171]  And I'll be quite honest with you.
[00:17:48.711 --> 00:17:52.655]  If Trump comes out and uses big establishment financial organizers
[00:17:54.215 --> 00:17:55.857]  It's pretty much all you can do sometimes.
[00:17:55.897 --> 00:18:01.281]  If he's making the shots and calling the shots and he thinks he can control these people, you know, that's just how it works.
[00:18:01.321 --> 00:18:08.968]  I mean, it's pretty clear that American Airlines was working with the globalists to cover up what really happened on 9-11.
[00:18:09.308 --> 00:18:17.656]  I still get on American Airlines aircraft because the pilots, the flight crew, the people in the control towers, you know, are good people.
[00:18:20.680 --> 00:18:22.161]  The flight attendants are good people.
[00:18:22.261 --> 00:18:24.322]  The stewardesses, to be politically incorrect.
[00:18:25.182 --> 00:18:29.565]  It's criminal executives at the top that are compromised.
[00:18:32.455 --> 00:18:38.417]  This is still a dangerous direction to be going in because Trump has done so well not hiring any of these people.
[00:18:39.057 --> 00:18:59.822]  And we've seen Hillary and Ted Cruz being excoriated by the media, the alternative media, by the people, and really being discredited for their close alliances with the corruptor elements of Wall Street, the globalist elements, the crony elements, the banker bailout elements, the anti-gun Goldman Sachs elements, the Soros elements,
[00:19:01.809 --> 00:19:04.910]  And so, I have an issue with this.
[00:19:06.431 --> 00:19:08.252]  And the article goes on to break it all down.
[00:19:09.712 --> 00:19:16.155]  Trump campaign, it goes on, or contrive a media narrative that Trump has sold out to the establishment.
[00:19:18.296 --> 00:19:22.478]  A sign that Trump is... Well, it just goes on from there.
[00:19:25.119 --> 00:19:26.620]  I'm going to be breaking more of this down.
[00:19:29.656 --> 00:19:30.877]  When we come back from break.
[00:19:31.297 --> 00:19:33.298]  Guys, I think I'm missing a page of this article.
[00:19:33.318 --> 00:19:35.159]  This is kind of in the day of that.
[00:19:36.760 --> 00:19:40.361]  Now continuing, ladies and gentlemen, we have the press release right here.
[00:19:40.621 --> 00:19:42.702]  This is not really the top story of the day.
[00:19:43.083 --> 00:19:53.568]  I just wanted to go ahead and get it out of the way up front and continue to move forward and also give you our pledge to analyze every facet of the Trump campaign and vet what's real and what's not.
[00:19:54.288 --> 00:19:56.829]  You know, last week it was that he's basically
