[00:00:20.245 --> 00:00:21.486]  It's November 22nd, 2016.
[00:00:22.247 --> 00:00:23.568]  I'm Owen Schroer.
[00:00:23.628 --> 00:00:25.970]  Here's what's on the InfoWars Nightly News tonight.
[00:00:29.232 --> 00:00:29.613]  Tonight!
[00:00:30.814 --> 00:00:44.742]  The New York Post says that President-elect Donald Trump's media summit was an effing firing squad as the mainstream media's top executives and television anchors get scolded by the new president.
[00:00:45.022 --> 00:00:56.709]  Meanwhile, the establishment continues to push the new narrative that it was the alt-right fake news on the internet that was responsible for the election of Donald Trump.
[00:00:57.591 --> 00:01:00.193]  Then, more threats from North Korea.
[00:01:00.833 --> 00:01:01.594]  As the U.S.
[00:01:01.734 --> 00:01:14.202]  and South Korea conduct joint military drills, North Korean forces say they are ready to launch a pre-emptive nuclear strike and turn the provocation into a heap of ashes.
[00:01:14.642 --> 00:01:20.866]  CNN reports that North Korea is close to having the ability to launch nukes at the U.S.
[00:01:21.346 --> 00:01:25.269]  All that plus much more, up next on the American Wars Nightly News.
[00:01:30.776 --> 00:01:33.157]  I want to thank the listeners and viewers of InfoWars.
[00:01:33.217 --> 00:01:34.437]  We've changed the world.
[00:01:34.937 --> 00:01:41.339]  Even MainStreetMedia admits that we're bigger than CNN, we're as big as Fox, we're bigger than the BBC, on Quantcast, you name it.
[00:01:42.319 --> 00:01:52.282]  I want to thank you all for your support, and on this Thanksgiving and this Black Friday that's coming up, we're going to extend free shipping, store-wide, to people specifically that have the promo code FREE.
[00:01:52.762 --> 00:01:59.106]  Some of the specials are as high as 50% on incredibly high quality products like Silver Bullet Colloidal Silver.
[00:01:59.126 --> 00:02:01.507]  That's 50% off and free shipping.
[00:02:01.547 --> 00:02:04.469]  That is a lost leader at InfoWarsStore.com.
[00:02:04.749 --> 00:02:07.030]  Trump Is My President shirt is about to sell out.
[00:02:07.050 --> 00:02:07.730]  It's limited edition.
[00:02:08.171 --> 00:02:11.993]  It is for sale at cost $9.95, shipping included.
[00:02:12.433 --> 00:02:18.356]  All you have to do is put in promo code FREEATCHECKOUT to get free shipping on top of discounts up to 50% off.
[00:02:19.477 --> 00:02:22.059]  Storewide at InfoWarsStore.com.
[00:02:22.259 --> 00:02:26.282]  You can also call toll-free, 888-253-3139.
[00:02:26.482 --> 00:02:32.127]  But for myself, the InfoWars family, and everybody else in this fight, I want to salute and thank all of you for your support.
[00:02:32.167 --> 00:02:35.769]  Whatever you do, keep spreading the articles, the videos, to everybody you know.
[00:02:36.170 --> 00:02:41.514]  It is absolutely devastating to the globalists, because we're on the march, and the frickin' empire is on the run.
