[00:00:21.325 --> 00:00:23.451]  Waging war on corruption.
[00:00:23.972 --> 00:00:28.925]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:32.552 --> 00:00:35.775]  Well, it's official, Donald Trump is President 45.
[00:00:36.575 --> 00:00:42.500]  And he'll be seated, if he's not assassinated, or if there isn't a World War III, in 30 days.
[00:00:43.381 --> 00:00:56.071]  We're now just 30 days out from the historic inauguration, but we're still going to keep counting down because we saw the Russian ambassador to Turkey gunned down in an art exhibit by a Turkish police officer, screaming, Allah Akbar!
[00:00:56.651 --> 00:00:59.253]  But of course, this has nothing to do with Islam, as usual.
[00:01:00.054 --> 00:01:08.522]  Just like the 89 dead in Nice and the 400 plus wounded, that attack in July, and now of course we have the new attack in Berlin.
[00:01:08.542 --> 00:01:14.447]  12 dead, more than 70 people injured, many of them in critical condition.
[00:01:16.448 --> 00:01:20.012]  And first we heard it was a self-driving truck, but they don't make one for that company.
[00:01:20.052 --> 00:01:26.297]  And then we heard it was a young Pakistani illegal immigrant, or what's the term they use for them?
[00:01:26.377 --> 00:01:26.858]  Migrants.
[00:01:27.910 --> 00:01:29.911]  And now they're saying they don't know who.
[00:01:30.912 --> 00:01:32.873]  So the media is calling it a truck attack.
[00:01:33.613 --> 00:01:47.222]  Of course, a month or so ago in Ohio, we were told that the Somali stabbing nine people trying to run folks over was not Islamic, even though he pledged allegiance to ISIS and Al Qaeda and was here illegally as usual.
[00:01:48.632 --> 00:01:51.913]  Obama came out and lectured everyone that we should not criticize Islam.
[00:01:52.473 --> 00:01:56.874]  There aren't many Muslim countries where they let Christians or Jews or anybody else live in peace.
[00:01:57.354 --> 00:02:00.255]  There aren't many Muslim countries where women don't have to wear bags over their heads.
[00:02:00.695 --> 00:02:06.197]  There aren't many Muslim countries where the Muslims live in peace with each other.
[00:02:06.277 --> 00:02:06.897]  My God!
[00:02:07.017 --> 00:02:08.258]  I don't want to be at war with the Muslims.
[00:02:08.298 --> 00:02:09.458]  I was against the Iraq War!
[00:02:11.087 --> 00:02:15.330]  I was against toppling Saddam, who was one of the only secular people in the region.
[00:02:15.651 --> 00:02:26.599]  And our government, as usual, is trying to overthrow Assad, who is secular, and where Jews and Christians and people could live, and non-radical Muslims, Alawites, some of the Shiites.
[00:02:26.619 --> 00:02:27.680]  That's not the case now.
[00:02:28.260 --> 00:02:35.146]  Our government, as usual, is allied with radical orthodox Islam, orthodox Wahhabist Islam.
[00:02:35.486 --> 00:02:36.407]  And why is that?
[00:02:37.557 --> 00:02:40.159]  Because Saudi Arabia sits on top of Mecca.
[00:02:40.480 --> 00:02:48.087]  Saudi Arabia, the modern country carved out of the Bedouin lands, is what British intelligence put in charge of the region.
[00:02:48.487 --> 00:02:49.789]  You know, Lawrence of Arabia.
[00:02:50.329 --> 00:02:55.314]  And it's the most radical, oppressive form of it, and it's taking over all of Islam.
