[00:00:00.089 --> 00:00:01.450]  We fight the Globals!
[00:00:02.290 --> 00:00:03.231]  We fight the New World Order!
[00:00:11.670 --> 00:00:19.115]  The bottom line on nuclear weapons is that when the president gives the order, it must be followed.
[00:00:19.555 --> 00:00:27.200]  There's about four minutes between the order being given and the people responsible for launching nuclear weapons to do so.
[00:00:27.480 --> 00:00:29.562]  As president, I will make it clear.
[00:00:30.442 --> 00:00:35.186]  That the United States will treat cyber attacks just like any other attack.
[00:00:35.747 --> 00:00:41.132]  We will be ready with serious political, economic, and military responses.
[00:00:41.172 --> 00:00:44.495]  They're voting for peace on planet Earth if they vote for Trump.
[00:00:44.735 --> 00:00:47.517]  But if they vote for Hillary, it's war.
[00:00:47.597 --> 00:00:50.160]  We came, we saw, he died.
[00:00:52.552 --> 00:00:54.555]  With her, you'll end up in World War III.
[00:00:54.935 --> 00:00:58.160]  I want the Iranians to know that if I'm the president, we will attack Iran.
[00:00:58.200 --> 00:01:06.492]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[00:01:08.402 --> 00:01:08.882]  The U.S.
[00:01:08.922 --> 00:01:12.525]  military has just raised the threat level to DEFCON 2.
[00:01:12.885 --> 00:01:20.510]  Meanwhile, Hillary Clinton is still threatening Russia with military action, following unconfirmed reports of further hacking.
[00:01:20.871 --> 00:01:23.192]  It's like she's not even concerned about the repercussions.
[00:01:23.212 --> 00:01:27.335]  Of course not, because she's... Hang on guys, look, there's a really loud noise.
[00:01:27.915 --> 00:01:31.958]  Alright, looks like we're having a little bit of technical difficulties.
[00:01:31.998 --> 00:01:34.200]  We'll try to get Leanne back on in a few minutes.
[00:01:38.058 --> 00:01:42.456]  When the President gives the order, it must be followed.
[00:02:12.097 --> 00:02:14.138]  Electrify your day with Secret 12.
[00:02:14.378 --> 00:02:15.718]  It's like lightning in a bottle.
[00:02:15.958 --> 00:02:19.499]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:02:19.839 --> 00:02:27.581]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:02:27.781 --> 00:02:32.582]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:02:32.743 --> 00:02:38.224]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:02:38.564 --> 00:02:46.108]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:02:46.348 --> 00:02:50.791]  It pairs two forms of vitamin B12 into one explosive formula.
[00:02:51.071 --> 00:02:59.916]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:03:00.096 --> 00:03:03.338]  Electrify your mind and body and take your health to the next level.
[00:03:03.638 --> 00:03:07.322]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:03:07.542 --> 00:03:08.863]  That's InfoWarsLife.com.
[00:03:12.854 --> 00:03:16.256]  Thousands of years ago, there was a basic form of chivalry.
[00:03:16.617 --> 00:03:23.741]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:03:24.362 --> 00:03:32.727]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:03:32.988 --> 00:03:37.070]  But in the 21st century, there are silent weapons for quiet war.
