[00:00:00.009 --> 00:00:00.225]  Thank you.
[00:00:22.677 --> 00:00:23.418]  Big Brother.
[00:00:23.819 --> 00:00:25.041]  Mainstream media.
[00:00:25.602 --> 00:00:26.684]  Government cover-ups.
[00:00:27.545 --> 00:00:28.948]  You want to stop tyranny?
[00:00:29.228 --> 00:00:30.350]  Well, so does he.
[00:00:30.871 --> 00:00:35.418]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:40.094 --> 00:00:42.816]  He is now the nominee, ladies and gentlemen.
[00:00:43.397 --> 00:00:45.939]  He is now officially the nominee.
[00:00:46.159 --> 00:00:50.043]  I'm going to be inside the convention center this evening and of course tomorrow.
[00:00:51.083 --> 00:00:55.647]  One of the big international news stories is the fact that some communists ran over to me and...
[00:00:56.568 --> 00:00:57.109]  I don't know.
[00:01:19.352 --> 00:01:26.237]  Bikes to basically one cop that I saw video of was holding back six of the communist protesters himself.
[00:01:27.239 --> 00:01:33.824]  And Gawker and others, just to illustrate, not that Gawker matters, you know, they're going under according to reports of the whole Hulk Hogan thing.
[00:01:34.264 --> 00:01:36.106]  Gawker just loves to distort reality.
[00:01:36.546 --> 00:01:43.211]  I was reading this piece this morning and it said that it was classic that I'm this anti-government person and here I am with the police helping.
[00:01:44.572 --> 00:01:46.733]  And there I was battling real anarchists.
[00:01:46.834 --> 00:01:49.756]  No, people with red flags want total government.
[00:01:50.697 --> 00:01:53.660]  And I'm sick and tired of communists calling themselves anarchists, okay?
[00:01:54.080 --> 00:02:01.706]  Just because I don't want a big, giant government and I want lower taxes doesn't mean I hate the local police or I want to shoot them in the back of the head.
[00:02:02.347 --> 00:02:07.732]  That's the globalist run-left that's destabilizing the nation, not us.
[00:02:09.533 --> 00:02:13.837]  So they're always trying to act like we're not genuine, we're not real.
[00:02:14.037 --> 00:02:15.658]  No, no, we're genuine Americana.
[00:02:15.678 --> 00:02:16.659]  You wanna know what we stand for?
[00:02:16.739 --> 00:02:17.260]  Americana.
[00:02:18.755 --> 00:02:19.096]  Freedom.
[00:02:19.356 --> 00:02:20.117]  Lower taxes.
[00:02:20.457 --> 00:02:21.238]  Being left alone.
[00:02:21.939 --> 00:02:23.041]  Being able to defend yourself.
[00:02:23.081 --> 00:02:26.686]  Being able to practice the religion or not practice the religion of your choice.
[00:02:27.187 --> 00:02:28.629]  Not having to go under Sharia law.
[00:02:29.009 --> 00:02:29.810]  That's who we are.
[00:02:29.870 --> 00:02:32.334]  We're called the Renaissance Promoters.
[00:02:33.889 --> 00:02:37.232]  All right, ladies and gentlemen, there is so much coming up today that it makes my head spin.
[00:02:38.113 --> 00:02:41.216]  We have Ted Nugent coming on the broadcast.
[00:02:42.197 --> 00:02:45.920]  We have Roger Stone set to be in studio.
[00:02:46.581 --> 00:02:49.884]  We have a bunch of other special guests, but I was walking out of
[00:02:52.239 --> 00:03:16.779]  a business this morning buying another toothbrush as I lost my other one somehow and my travel toothbrush and there just about 45 minutes ago was Tucker Carlson who I had dinner with on Sunday evening and some of the Daily Caller folks and a whole bunch of other press people and he goes oh I'm glad you're coming and I said coming to what he was Nigel Farage
[00:03:17.585 --> 00:03:19.186]  And I said, whose event is it?
[00:03:19.206 --> 00:03:20.106]  He goes, it's mine.
[00:03:20.286 --> 00:03:24.207]  But no one's... I said, well, is it going to be on Fox?
[00:03:24.827 --> 00:03:28.468]  If Fox had half a brain, they'd have Nigel Farage on for a long talk.
[00:03:29.329 --> 00:03:30.229]  And he goes, no, no.
[00:03:30.249 --> 00:03:31.469]  He goes, no one's covering it, really.
[00:03:31.489 --> 00:03:32.510]  I said, really?
[00:03:32.570 --> 00:03:36.411]  Well, I just sent like three reporters or four reporters over there.
[00:03:36.931 --> 00:03:42.733]  And so we're going to get the Farage speech that I guess starts about now.
[00:03:43.273 --> 00:03:44.734]  And then that talk and hopefully an interview.
[00:03:45.994 --> 00:03:47.976]  We should have that maybe by the fourth hour today.
[00:03:50.017 --> 00:03:52.539]  Well, the one problem we've got is we need more crew members.
[00:03:53.500 --> 00:03:55.341]  We don't have enough people to upload all the videos we've got.
[00:03:55.381 --> 00:03:56.782]  We've got so many big interviews.
[00:03:57.583 --> 00:04:00.385]  A lot of them aren't time sensitive, but some of them are that are going to be going out today.
[00:04:00.405 --> 00:04:01.706]  We're going to push these all out today.
[00:04:01.726 --> 00:04:10.893]  So I literally ran in here two minutes before they randomly search every eighth vehicle that comes into the containment zone.
[00:04:11.770 --> 00:04:14.091]  And the Secret Service searched our vehicle.
[00:04:14.111 --> 00:04:22.176]  I mean, they searched them all for bombs, with the bomb dog and the mirror underneath the car, but they searched the inside of the car.
[00:04:22.896 --> 00:04:29.240]  And I don't want to give them any trouble, but let's just say that... Well, I'll just add another checkpoint yesterday.
[00:04:29.800 --> 00:04:31.001]  Rob, do come tell folks what happened.
[00:04:31.722 --> 00:04:35.584]  We literally... Rob's running the switcher right now, News Director, but he's also going to come tell you.
[00:04:35.604 --> 00:04:36.965]  I mean, we're talking Secret Service going,
[00:04:39.049 --> 00:04:40.970]  This happened this morning, actually, coming in.
[00:04:40.991 --> 00:04:42.371]  Well, it happened two years ago.
[00:04:42.411 --> 00:04:44.493]  Oh yeah, they're definitely fans, and I've been talking with them.
[00:04:44.573 --> 00:04:50.257]  In fact, the security guard who lets us in at night, her name, her brother's a big fan.
