[00:00:20.165 --> 00:00:22.086]  Welcome to the Info Wars Nightly News.
[00:00:22.126 --> 00:00:26.009]  It is Tuesday, March 22, 2016 and I'm Leigh-Anne McAdoo.
[00:00:26.329 --> 00:00:27.390]  Here's what's coming up tonight.
[00:00:31.107 --> 00:00:41.618]  Tonight, ISIS claims responsibility for the Brussels attack, and the global elite respond by calling for an all-out invasion of Syria.
[00:00:42.098 --> 00:00:48.484]  Meanwhile, the Democrats want to utilize the tragedy for an excuse to expand the police state.
[00:00:48.504 --> 00:00:50.807]  You never want a serious crisis to go to waste.
[00:00:51.167 --> 00:00:56.069]  And you can't say there was no warning of an impending terrorist attack in Brussels.
[00:00:56.509 --> 00:01:00.171]  Flashback to an interview with Donald Trump on Fox News.
[00:01:00.611 --> 00:01:02.212]  There's something going on, Maria.
[00:01:02.492 --> 00:01:03.312]  Go to Brussels.
[00:01:03.653 --> 00:01:04.473]  Go to Paris.
[00:01:04.633 --> 00:01:07.354]  And it's not good where they want Sharia law.
[00:01:07.514 --> 00:01:08.355]  You go to Brussels.
[00:01:08.455 --> 00:01:10.816]  I was in Brussels a long time ago, 20 years ago.
[00:01:11.176 --> 00:01:13.757]  So beautiful, everything's so beautiful.
[00:01:13.777 --> 00:01:15.818]  It's like living in a hellhole right now.
[00:01:16.038 --> 00:01:20.160]  All that plus much more up next on the InfoWars Nightly News.
[00:02:00.816 --> 00:02:15.001]  My fellow InfoWarriors, I am very excited to be able to announce to you the introduction at InfoWarsLife.com of a new way to save time and money when you stock up on InfoWarsLife formulations like Survival Shield X2 and Super Mel Vitality.
[00:02:15.181 --> 00:02:24.684]  Just go to InfoWarsLife.com today, select your favorite product, click on auto ship before adding to cart, and choose how often you want us to send you another one.
[00:02:24.984 --> 00:02:33.749]  Every time you choose AutoShip at InfoWarsLife.com, you get 10% off and you won't have to worry about running out and having to reorder next time.
[00:02:34.009 --> 00:02:36.410]  And of course, you can cancel with one click anytime.
[00:02:36.811 --> 00:02:44.635]  As you know, I'm all about the idea of a 360 win, and the new AutoShip feature at InfoWarsLife.com is a sure win for everybody.
[00:02:44.895 --> 00:02:48.577]  A win for liberty, a win for health, and a win when it comes to big savings.
[00:02:48.897 --> 00:02:55.020]  Visit InfoWarsLife.com today and save 10% on your next InfoWarsLife order by selecting AutoShip at checkout.
[00:02:55.160 --> 00:02:57.162]  That's InfoWarsLife.com or call 888-253-3139.
[00:03:02.611 --> 00:03:05.615]  A terror attack rocked Brussels, Belgium today.
[00:03:05.635 --> 00:03:10.681]  34 people have died so far and nearly 200 others have been injured.
[00:03:11.201 --> 00:03:19.071]  Now, there were two bombs that went off at the Brussels airport and another went off on the metro train, injuring all of those people.
[00:03:19.491 --> 00:03:24.074]  The foreign ministry there says some terrorists involved in the deadly plot are still at large.
[00:03:24.734 --> 00:03:29.757]  The armed police had a dramatic standoff and they arrested two men in the city center.
[00:03:30.398 --> 00:03:32.619]  They also have conducted dozens of raids.
[00:03:33.200 --> 00:03:40.104]  They swooped on a number of suspects as the Belgian foreign ministry said that many of those behind this terror plot are still at large.
[00:03:40.464 --> 00:03:45.047]  So, due to some CCTV footage, they've revealed a picture of three of the suspects.
[00:03:45.207 --> 00:03:51.451]  Two of those were reportedly killed in suicide attacks, and another man is now believed to be on the run.
[00:03:52.512 --> 00:04:03.900]  It emerged that this afternoon police, during one of these raids, discovered nail bombs, a number of chemical products, and an ISIS flag at a house in the area in connection with this morning's attacks.
[00:04:04.760 --> 00:04:10.845]  And of course, you know, ISIS has already come out claiming responsibility for these attacks in Brussels.
[00:04:11.245 --> 00:04:14.188]  They released a statement through one of their propaganda channels.
