[00:00:20.199 --> 00:00:21.040]  Good evening, everyone.
[00:00:21.080 --> 00:00:22.881]  Welcome to the Infowars Nightly News.
[00:00:23.021 --> 00:00:23.941]  I'm Darren McBreen.
[00:00:23.981 --> 00:00:29.885]  Today is Thursday, August 18, 2016, and here's a quick look at what's coming up.
[00:00:33.787 --> 00:00:36.389]  Tonight, report the U.S.
[00:00:36.469 --> 00:00:38.950]  is moving nukes closer to Ukraine.
[00:00:40.411 --> 00:00:44.414]  Then, how Saudi Arabia has been funding the Clinton campaign.
[00:00:45.773 --> 00:00:55.834]  And on the heels of some suggesting that Trump should be given fake intelligence, the Republican nominee has stated that he does not trust intelligence agencies.
[00:00:56.783 --> 00:00:59.585]  It's obvious he can't control his mind or his tongue.
[00:01:00.466 --> 00:01:11.714]  And what I've suggested, if now, because he's the nominee for the party, and he's entitled to briefings from the CIA, for example, I said publicly, give him fake briefings.
[00:01:12.134 --> 00:01:13.075]  Pretend you're briefing him.
[00:01:13.115 --> 00:01:15.257]  Don't tell him anything that you don't want to get out.
[00:01:15.297 --> 00:01:16.958]  And that's how I feel about it.
[00:01:17.478 --> 00:01:19.500]  I think the man is a loose cannon.
[00:01:20.281 --> 00:01:22.462]  I think he's done so much to hurt our country.
[00:01:22.963 --> 00:01:23.563]  That's next.
[00:01:30.158 --> 00:01:36.304]  Let's talk about Amerigeddon which is available at Infowarsstore.com exclusively right now for the next week or so.
[00:01:36.604 --> 00:01:39.086]  You get two copies and you get two free films with it.
[00:01:39.166 --> 00:01:41.728]  Yeah, this is an important movie because it's fact-based.
[00:01:42.609 --> 00:01:48.994]  We tell a story about an EMP attack, an electromagnetic pulse attack on America, that shuts down the grid.
[00:01:49.535 --> 00:01:55.920]  And our Congress has warned that if this were to happen, 90% of the American population would die in 12 months.
[00:01:57.389 --> 00:02:03.754]  People are getting the director's cut that is even bigger than what you see in theaters, and so this is the first look director's cut.
[00:02:03.854 --> 00:02:13.361]  You know, Hollywood has tried to diminish the final edit on this thing, but what Alex has available here at his website this week is everything.
[00:02:13.501 --> 00:02:14.782]  The most hardcore version.
[00:02:14.822 --> 00:02:26.611]  Two copies for $39.90 and get my first film, America Destroyed by Design, and then one of my latest, most powerful films, Fall of the Republic, that breaks down everything currently happening.
[00:02:27.155 --> 00:02:27.360]  Free!
[00:03:02.438 --> 00:03:07.560]  Donald Trump says he doesn't trust the American intelligence agencies.
[00:03:08.060 --> 00:03:14.702]  Just hours before Trump was due to receive a classified briefing from members of U.S.
[00:03:15.262 --> 00:03:23.925]  intelligence, he said he will not employ the standard intelligence community figureheads because he doesn't trust them.
[00:03:24.425 --> 00:03:29.767]  When asked by Fox News if he trusts intelligence, he said, not so much.
[00:03:30.848 --> 00:03:31.868]  Do you trust intelligence?
[00:03:33.324 --> 00:03:37.047]  Uh, not so much from the people that have been doing it for our country.
[00:03:37.067 --> 00:03:39.148]  I mean, look what's happened over the last 10 years.
[00:03:39.188 --> 00:03:40.529]  Look what's happened over the years.
[00:03:40.549 --> 00:03:42.731]  I mean, it's been catastrophic.
[00:03:42.891 --> 00:03:46.113]  And in fact, I won't use some of the people that are sort of your standards.
[00:03:46.133 --> 00:03:47.734]  You know, just use them, use them, use them.
[00:03:47.774 --> 00:03:48.515]  Very easy to use them.
[00:03:49.346 --> 00:03:51.669]  But I won't use them because they've made such bad decisions.
[00:04:05.248 --> 00:04:19.474]  Recent declassified, yet still heavily redacted, 28 pages that says the government of Saudi Arabia and members of the Saudi royal family helped finance and train the 9-11 hijackers.
[00:04:19.954 --> 00:04:22.835]  And that, my friends, is an act of war.
[00:04:23.475 --> 00:04:27.837]  Yet we went to war with Iraq and Afghanistan, but not Saudi Arabia.
[00:04:28.357 --> 00:04:29.438]  Yeah, explain that one to me.
[00:04:29.938 --> 00:04:31.419]  I mean, just think about that for a minute.
[00:04:32.159 --> 00:04:35.300]  The government of Saudi Arabia helped carry out 9-11.
[00:04:36.440 --> 00:04:41.342]  They funded the hijackers and now they are funding Hillary Clinton's presidential campaign.
[00:04:41.762 --> 00:04:45.423]  So you can't really blame Donald Trump for not trusting U.S.
[00:04:45.463 --> 00:05:00.088]  intelligence reports, especially after Harry Reid, the Democratic Senate minority leader, said the CIA and other intelligence communities should give Donald Trump fake intelligence.
[00:05:00.928 --> 00:05:12.058]  What I've suggested, if now, because he's the nominee for the party, and he gets, he's entitled to briefings from the CIA, for example, I told, I said publicly, give him fake briefings.
[00:05:12.498 --> 00:05:15.561]  Pretend you're briefing him, don't tell him anything that you don't want to get out.
[00:05:15.581 --> 00:05:18.963]  But as a Republican nominee, isn't he entitled to get those briefings?
[00:05:19.104 --> 00:05:20.084]  Give him fake briefings.
[00:05:20.645 --> 00:05:21.426]  What does that even mean?
[00:05:21.766 --> 00:05:23.928]  It means he'll tell him stuff, he won't know the difference.
[00:05:23.988 --> 00:05:26.290]  You're basically telling the intelligence community to lie to him.
[00:05:27.437 --> 00:05:30.998]  No, I'm not going to lie to you, but I still have to tell you everything.
[00:05:46.264 --> 00:05:52.348]  And by the way, he's already got his own intelligence network put together from people that he can trust.
[00:05:52.849 --> 00:05:55.070]  And these are good people on the inside.
[00:05:55.170 --> 00:05:58.873]  Plus, he's got military officials, you know, guys like General Michael Flynn.
[00:05:59.313 --> 00:06:05.017]  And these are people that are not only standing up for Trump, but they are standing up for America.
[00:06:05.317 --> 00:06:14.523]  And they are fully aware of the catastrophic situation in the White House right now and the attempted globalist takeover of our country.
[00:06:14.883 --> 00:06:15.684]  And that's why
[00:06:16.404 --> 00:06:24.732]  The latest battle cry from the Trump campaign is Americanism, not globalism.
[00:06:28.015 --> 00:06:32.018]  Americanism, not globalism will be our credo!
[00:06:32.038 --> 00:06:34.300]  Americanism, not globalism!
[00:06:35.081 --> 00:06:37.203]  Americanism, not globalism!
[00:06:40.351 --> 00:06:44.393]  The era of economic surrender will finally be over.
[00:06:44.713 --> 00:06:50.835]  We will no longer surrender this country or its people to the false song of globalism.
[00:06:51.175 --> 00:06:58.718]  They have gotten the political establishment and the media establishment to become pure, wanton henchmen of totalitarianism.
[00:06:59.058 --> 00:07:03.820]  If you were a foreign power looking to weaken America, you couldn't do better.
[00:07:04.400 --> 00:07:07.545]  I think what the Chinese have done is really smart.
[00:07:19.844 --> 00:07:21.726]  Right here in Detroit.
[00:07:22.106 --> 00:07:23.868]  It's all training us to accept less.
[00:07:24.208 --> 00:07:25.349]  Lowering expectations.
[00:07:25.589 --> 00:07:26.730]  A post-industrial world.
[00:07:26.930 --> 00:07:27.731]  A new dark age.
