[00:00:00.029 --> 00:00:00.529]  Tip of the week.
[00:00:15.963 --> 00:00:21.027]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:00:21.388 --> 00:00:23.670]  Because there's a war on for your mind.
[00:00:34.131 --> 00:00:36.873]  Here we are, Tuesday, July 5th, 2016.
[00:00:37.013 --> 00:00:38.535]  I'm your host, Alex Jones.
[00:00:38.995 --> 00:00:50.684]  Dr. Jerome Corsi, bestselling author and researcher, will be joining us to discuss the shocking developments, which really aren't too shocking when you realize how corrupt this out-of-control bureaucracy and government is, and foreign interests that have hijacked the nation.
[00:00:51.365 --> 00:00:54.987]  He'll be discussing with us what just happened about 45 minutes ago or less.
[00:00:55.007 --> 00:01:01.190]  So that is the FBI director, Mr. Comey, coming out and saying there will not be any indictment.
[00:01:01.330 --> 00:01:06.793]  We're also going to have Roger Stone joining us with huge breaking news and Trump information.
[00:01:07.373 --> 00:01:16.358]  And we are also going to have a roundtable discussion with Jakari Jackson, Leanne McAdoo and David Knight and myself from two of our studios here in Central Texas.
[00:01:16.398 --> 00:01:20.100]  But make no mistake, what you've seen happen is another signpost
[00:01:20.720 --> 00:01:30.562]  Showing how deep we've gone down the rat hole, and this is really an arrogant declaration of independence against the rule of law.
[00:01:31.442 --> 00:01:42.245]  Although there is evidence of potential violations of the statutes regarding the handling of classified information, our judgment is that no reasonable prosecutor would bring such a case.
[00:01:43.809 --> 00:01:48.031]  Prosecutors necessarily weigh a number of factors before deciding whether to bring charges.
[00:01:48.051 --> 00:01:52.634]  There are obvious considerations like the strength of the evidence, especially regarding intent.
[00:01:53.494 --> 00:02:00.578]  Responsible decisions also consider the context of a person's actions and how similar situations have been handled in the past.
[00:02:02.145 --> 00:02:12.855]  In looking back at our investigations, into the mishandling or removal of classified information, we cannot find a case that would support bringing criminal charges on these factors.
[00:02:12.875 --> 00:02:13.615]  General Petraeus?
[00:02:15.697 --> 00:02:16.838]  And countless other cases?
[00:02:17.819 --> 00:02:18.520]  Here's the difference.
[00:02:19.981 --> 00:02:24.805]  When Colin Powell, in 1991, 1992, right up until about 93 or so, when they
[00:02:30.171 --> 00:02:31.632]  Left office, was doing this.
[00:02:32.032 --> 00:02:35.774]  Email was brand new even in the executive branch of the government.
[00:02:36.114 --> 00:02:37.935]  Been around for decades in scientific circles.
[00:02:38.956 --> 00:02:39.676]  But it was a new thing.
[00:02:40.917 --> 00:02:49.481]  The rules and laws were developed after that, and by the 2008-9-10s, they knew exactly what they were doing.
[00:02:49.802 --> 00:02:53.864]  That's why she was ordering them to cut the headers off of classified material.
[00:02:55.151 --> 00:02:56.752]  And she knew her servers were compromised.
[00:02:57.112 --> 00:02:59.634]  I guarantee you, what this is, is them selling data.
[00:03:00.094 --> 00:03:00.914]  It's a drop box.
[00:03:02.595 --> 00:03:05.637]  And then she could just plausibly say, oh, I didn't know anybody was getting in there.
[00:03:05.997 --> 00:03:15.243]  It's better than going to the park and putting the briefcase, you know, under the park bench, as countless spies have been caught doing, or leaving it in their trash.
[00:03:15.643 --> 00:03:16.964]  And then the spies come by and get it.
[00:03:17.284 --> 00:03:18.965]  She can try to deny what's happened.
[00:03:20.246 --> 00:03:23.668]  And it's Lynch meeting in secret with Clinton on the plane last week.
[00:03:24.932 --> 00:03:27.074]  And things like that that really show the criminal intent.
[00:03:27.434 --> 00:03:29.757]  And there's clear charges that she's lied to federal officers.
[00:03:29.777 --> 00:03:33.540]  There's clear evidence that she has tried to deceive Congress.
[00:03:36.283 --> 00:03:46.052]  And that FBI director is clearly compromised and he is clearly moving this country towards lightspeed dictatorship because the sky's the limit.
[00:03:46.372 --> 00:03:49.555]  Imagine if you're Hillary Clinton right now, what's going through your mind?
[00:03:49.735 --> 00:03:50.496]  You can get away with anything.
[00:03:51.653 --> 00:03:56.435]  Now, in an earlier part of the press conference, he built up the criminal negligence.
[00:03:56.455 --> 00:03:58.136]  He built up how horrible it was.
[00:03:59.436 --> 00:04:02.518]  And a quote, strong slap on the wrist is what CNN said.
[00:04:03.458 --> 00:04:07.940]  A strong slap on the wrist, maybe if her constituents cared.
[00:04:08.660 --> 00:04:10.641]  But they love criminality by their own party.
[00:04:10.681 --> 00:04:16.444]  They love foreign interest in the Saudis giving her 100 million and Gulf states.
[00:04:16.464 --> 00:04:18.985]  They don't care they're throwing gays off buildings and chopping their heads off.
[00:04:19.325 --> 00:04:20.246]  It's not about that.
[00:04:20.346 --> 00:04:20.866]  It's about
[00:04:22.768 --> 00:04:26.511]  Virtue signaling to each other that they're trendy and they're good and they care.
[00:04:26.791 --> 00:04:31.175]  The truth is they're a bunch of pirates that want to loot the middle class further and want more free goodies.
[00:04:32.536 --> 00:04:34.758]  And Hillary is promising her minions she will do that.
[00:04:35.198 --> 00:04:49.990]  Now, if the way Barack Obama treated black Americans, less visits to inner-city areas, funding to actual programs that were helping inner-city people being cut, black unemployment roughly doubling,
[00:04:52.645 --> 00:04:57.406]  And more than doubling the average unemployment growth that we saw here in the United States.
[00:04:59.507 --> 00:05:00.807]  So, it's clearly sickening.
[00:05:00.867 --> 00:05:02.567]  We've got that clip coming up and a lot more.
[00:05:02.587 --> 00:05:03.928]  It's a big broadcast today.
[00:05:03.948 --> 00:05:08.469]  We're also going to open the phones up so you can sound off and give us your take on the situation.
[00:05:08.849 --> 00:05:11.189]  I'm Alex Jones, InfoWars.com.
[00:05:11.249 --> 00:05:13.110]  Brooke and Hillary above the law.
[00:05:15.734 --> 00:05:20.578]  The demand for pain-ray weapons grows over fears of civil unrest.
[00:05:20.798 --> 00:05:32.487]  According to a new research study, the market for directed-energy weapons is expected to grow at the highest rate during the forecast period thanks for their use in controlling riots and cross-border trespassing.
[00:05:32.667 --> 00:05:37.230]  The global riot control system market is estimated to grow from $9 billion in 2016 to $11.78 billion by 2021.
[00:05:42.074 --> 00:05:55.685]  As a result of increasing political disputes and civil unrest, militarization of law enforcement agencies, stringent environmental and governmental regulations, and declining defense budgets of developed economies, states the report.
[00:05:56.025 --> 00:06:06.934]  So-called pain rays or active denial systems work by blasting controlled microwaves into a crowd of people, creating an unbearably hot sensation that forces them to flee the scene.
[00:06:07.154 --> 00:06:10.877]  You can find more reports on InfoWars.com.
[00:06:15.444 --> 00:06:17.225]  I'm gonna lay it out short and sweet.
[00:06:18.906 --> 00:06:24.590]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[00:06:25.270 --> 00:06:29.153]  I was a total fitness nut 20 years ago.
[00:06:30.046 --> 00:06:32.348]  But about 15 years ago, I just stopped working out.
[00:06:32.428 --> 00:06:33.608]  I gained close to 100 pounds.
