[00:00:03.110 --> 00:00:04.051]  We're live.
[00:00:04.051 --> 00:00:05.612]  It's Friday, the 26th day of August 2016.
[00:00:05.612 --> 00:00:08.074]  We'll be here for the next four hours.
[00:00:08.074 --> 00:00:09.855]  I am your host, Alex Jones.
[00:00:09.855 --> 00:00:13.097]  Our websites are InfoWars.com and PrisonPlanet.com.
[00:00:13.097 --> 00:00:15.179]  But if you're a TV viewer, you can see this right now.
[00:00:15.179 --> 00:00:17.140]  Radio listeners, go to DrudgeReport.com.
[00:00:17.140 --> 00:00:23.505]  The entire top left-hand corner of DrudgeReport.com is Clinton targets Alex Jones.
[00:00:23.505 --> 00:00:25.587]  He responds, I'm not scared of you, bully.
[00:00:26.127 --> 00:00:28.128]  Kimmel's pickle caper.
[00:00:28.128 --> 00:00:31.330]  Now it's the vast alternative right-wing conspiracy.
[00:00:31.330 --> 00:00:36.773]  And Paul Joseph Watson blows it out of the water with this report he just filed minutes ago.
[00:00:39.620 --> 00:00:46.184]  Hillary Clinton interrupted her coughing fits, seizures, and three-day naps to attack the alt-right.
[00:00:46.184 --> 00:00:50.546]  Clinton savaged Trump for weaving dark conspiracy theories.
[00:00:50.546 --> 00:00:56.150]  Oh, you mean dark conspiracy theories like a YouTube video being responsible for Benghazi?
[00:00:56.150 --> 00:00:58.831]  What difference at this point does it make?
[00:00:58.831 --> 00:01:08.597]  She then proceeded to weave her own gigantic dark conspiracy theory, namely that Vladimir Putin controls Infowars, Breitbart, and the entire alt-right.
[00:01:08.837 --> 00:01:18.044]  And the grand godfather of this global brand of extreme nationalism is Russian President Vladimir Putin!
[00:01:21.823 --> 00:01:26.287]  That's funny because I don't recall receiving my paycheck in the mail from the Kremlin.
[00:01:26.287 --> 00:01:30.830]  It's also what happens when you listen to the radio host Alex Jones.
[00:01:30.830 --> 00:01:44.281]  Right, so Trump is the conspiracy theorist for listening to Alex Jones, yet you just asserted that a former KGB officer under the communist government of the Soviet Union is now the leader of conservatives in America.
[00:01:44.281 --> 00:01:45.242]  What does that mean?
[00:01:45.242 --> 00:01:49.646]  Of course, Hillary failed to identify the real leader of the alt-right.
[00:01:51.423 --> 00:01:58.665]  Oh yeah, and according to another one of Hillary's dark conspiracy theories, Trump is responsible for bullying in schools.
[00:01:58.665 --> 00:01:59.965]  The Trump effect.
[00:01:59.965 --> 00:02:03.086]  Bullying and harassment are on the rise in our schools.
[00:02:03.086 --> 00:02:10.548]  Right, because it's not like Trump supporters have been viciously attacked and harassed by leftists for the last six months solid.
[00:02:10.548 --> 00:02:12.729]  But wait, it gets even funnier.
[00:02:12.729 --> 00:02:17.090]  Hillary began reading out headlines written by Milo Yiannopoulos.
[00:02:20.219 --> 00:02:23.345]  Birth control makes women unattractive and crazy.
[00:02:23.345 --> 00:02:24.527]  Nobody wants to fuck you.
[00:02:24.527 --> 00:02:27.974]  Would you rather your child had feminism or cancer?
[00:02:31.737 --> 00:02:38.805]  He is taking hate groups mainstream and helping a radical fringe take over.
[00:02:38.805 --> 00:02:52.039]  Oh, you mean like you and Obama have been doing for the last two years by mainstreaming Black Lives Matter, a group that has inspired cop killers and whose ideological inspiration is on the FBI's most wanted terrorist list.
[00:02:52.159 --> 00:03:05.622]  These are racist ideas, race-baiting ideas, anti-Muslim, anti-immigrant, anti-women, all key tenants making up the emerging racist ideology known as the alt-right.
[00:03:05.622 --> 00:03:19.685]  So posting dank memes makes you an evil racist, but openly praising and describing as your mentor a man who founded a KKK chapter, called black people mongrels, and campaigned against the Civil Rights Act?
[00:03:19.685 --> 00:03:21.785]  My friend and mentor, Robert Seabird,
[00:03:22.025 --> 00:03:23.046]  That's just fine.
[00:03:23.046 --> 00:03:26.669]  Hillary also said that the alt-right is anti-women.
[00:03:26.669 --> 00:03:34.696]  This from the so-called feminist who takes hundreds of millions of dollars from a country that treats women little better than cattle.
[00:03:34.696 --> 00:03:44.584]  Nigel Farage, who stoked anti-immigrant sentiments to win the referendum, to have Britain leave the European Union, campaigned with Donald Trump in Mississippi.
[00:03:44.684 --> 00:03:47.326]  Yeah, the key word there, Hillary, is win.
[00:03:47.326 --> 00:03:52.008]  He won because the tactic of constantly calling him a racist failed.
[00:03:52.008 --> 00:03:55.330]  Just like your speech.
[00:03:55.330 --> 00:04:06.657]  But seriously, if the alt-right are trolls, who inside Hillary's campaign thought it was a bright idea to do the one thing you're not supposed to do with trolls?
[00:04:06.657 --> 00:04:08.098]  Witches feed the trolls.
[00:04:08.098 --> 00:04:11.640]  The alt-right only succeeds if you respond.
[00:04:11.640 --> 00:04:13.922]  You just walked straight into a trap.
[00:04:14.742 --> 00:04:15.803]  It's a trap!
[00:04:15.803 --> 00:04:22.726]  The people running your campaign are complete f***ing idiots who don't understand how the internet works.
[00:04:22.726 --> 00:04:26.687]  This has backfired more than any of us could ever dream of.
[00:04:26.687 --> 00:04:38.912]  Hundreds of thousands of new people are now coming to our websites, where we'll continue to educate them about your failing health, rampant corruption, and sneering, arrogant elitism.
[00:04:38.912 --> 00:04:39.953]  Thanks, Hillary.
[00:04:39.953 --> 00:04:40.393]  Racist.
[00:04:48.083 --> 00:04:52.992]  Ladies and gentlemen, start your engines, because this is The Info War.
[00:04:52.992 --> 00:04:53.834]  It's Friday.
[00:04:53.834 --> 00:04:56.179]  I'm your host, Alex Jones.
[00:04:56.179 --> 00:04:59.425]  Get ready, because we're taking the fight to the next level.
[00:05:02.279 --> 00:05:04.420]  Joe Biggs here with InfoWars.com.
[00:05:04.420 --> 00:05:08.481]  Paranoid Hillary smears Alex Jones during conspiracy obsessed rant.
[00:05:08.481 --> 00:05:11.862]  Claims Vladimir Putin is godfather of the alt-right.
[00:05:11.862 --> 00:05:13.663]  Article up by Paul Joseph Watson.
[00:05:13.663 --> 00:05:20.786]  Now the speech in Reno was billed as Hillary's moment to demonize Trump by equating him with racist white supremacist conspiracy theorists.
[00:05:20.786 --> 00:05:24.067]  But she ended up weaving a giant fairy tale of her own.
[00:05:24.067 --> 00:05:27.148]  And what she also did was swat a hornet's nest.
[00:05:27.948 --> 00:05:29.870]  Everybody is looking at Infowars.
[00:05:29.870 --> 00:05:32.492]  Now everybody is going to be fact-checking.
