[00:00:07.557 --> 00:00:09.478]  Leanne McAdoo for InfoWars.com.
[00:00:09.538 --> 00:00:10.839]  I'm here in Austin, Texas.
[00:00:10.879 --> 00:00:14.301]  Now we are four days into the official passing of Open Carry.
[00:00:14.661 --> 00:00:21.485]  Wanted to see what people's opinion are of now they're going to be actually able to view people's guns in their holster.
[00:00:21.565 --> 00:00:22.525]  Are they afraid of that?
[00:00:22.565 --> 00:00:23.466]  Are they okay with that?
[00:00:23.826 --> 00:00:26.387]  And we also wanted to get people's take on what's happening in Oregon.
[00:00:26.407 --> 00:00:31.650]  Do they think this is a good move or is this going to bolster Obama's push for gun control?
[00:00:31.790 --> 00:00:35.012]  Well, we just passed Open Carry here January 1st.
[00:00:35.212 --> 00:00:35.613]  Oh, great.
[00:00:35.673 --> 00:00:36.373]  I'm all for it.
[00:00:36.573 --> 00:00:36.813]  Yeah.
[00:00:37.014 --> 00:00:37.935]  I'm all against it.
[00:00:38.476 --> 00:00:39.117]  Really?
[00:00:39.157 --> 00:00:39.517]  Yes.
[00:00:39.718 --> 00:00:40.679]  And we're still married.
[00:00:42.181 --> 00:00:47.849]  I am for gun regulations and open carry is weird.
[00:00:47.909 --> 00:00:52.636]  I'm not going to go to any business where I see people waltzing in there with their guns.
[00:00:52.756 --> 00:00:53.276]  It's just
[00:00:55.052 --> 00:00:55.972]  It just turns me off.
[00:00:56.273 --> 00:00:59.755]  What do you guys think about the open carry that just passed here in Austin?
[00:01:00.276 --> 00:01:00.896]  We're not from here.
[00:01:01.317 --> 00:01:01.497]  Sorry.
[00:01:01.777 --> 00:01:07.062]  Does that frighten you to think that people will have guns on their holster or are you okay with it?
[00:01:08.102 --> 00:01:08.843]  I'm okay with it.
[00:01:09.644 --> 00:01:12.506]  As long as they're responsible, I'm fine with it.
[00:01:12.686 --> 00:01:15.649]  Would you be frightened to see people with their guns on their holster?
[00:01:17.783 --> 00:01:19.345]  I don't think so, because it is Texas.
[00:01:19.365 --> 00:01:24.429]  Probably in some places I would, and probably in some places I wouldn't.
[00:01:25.310 --> 00:01:26.390]  It just depends on the setting?
[00:01:26.711 --> 00:01:27.712]  Yeah, yeah.
[00:01:28.752 --> 00:01:31.215]  I think if you're responsible, it can be done well.
[00:01:31.435 --> 00:01:35.718]  But if you're not, and people aren't paying attention, bad things happen.
[00:01:36.039 --> 00:01:36.539]  I'm a fan.
[00:01:38.741 --> 00:01:39.602]  What's your opinion on it?
[00:01:41.917 --> 00:01:52.724]  Well, I don't think everyone should just be walking around with them, but mainly when it's really hot and you want to carry and it's too hard to wear eight pounds of clothes when it's 100 degrees out, then it's nice to be able to.
[00:01:53.284 --> 00:01:55.285]  Well, I'm all for Second Amendment.
[00:01:55.425 --> 00:01:58.047]  I think people should have the right to do what they wish to do.
[00:01:59.188 --> 00:02:05.512]  However, like my wife said, I think that it's better to have it concealed than to be shown.
[00:02:06.652 --> 00:02:09.174]  But if somebody wants to have it shown, that's up to them.
[00:02:09.354 --> 00:02:10.815]  But if you're allowed to have a gun,
