[00:00:19.713 --> 00:00:21.656]  Welcome to the Info Wars Nightly News.
[00:00:21.736 --> 00:00:23.058]  I'm your host, Jakari Jackson.
[00:00:23.499 --> 00:00:27.766]  It is Friday, February 5th, 2016, and here's a look at our top stories.
[00:00:31.397 --> 00:00:44.560]  Tonight, a major victory for gun rights advocates as a federal appeals court says that semi-automatic firearms deserve the highest level of protection that the Constitution allows.
[00:00:45.040 --> 00:00:55.382]  Then, police in Utah have been advised to be on the lookout for anyone traveling to the state with a Gadsden flag or other dangerous symbols.
[00:00:55.522 --> 00:00:57.462]  Are you some kind of a constitutionalist?
[00:00:57.742 --> 00:01:04.665]  And Ron Paul says that Ted Cruz is not a libertarian, and he's owned by Goldman Sachs.
[00:01:05.305 --> 00:01:09.787]  All that plus Sean Stone, up next on the InfoWars Nightly News.
[00:01:10.067 --> 00:01:15.670]  There could be a rallying cry because we see the disintegration of media's control through the studio system.
[00:01:15.770 --> 00:01:18.211]  We see now more online programming, right?
[00:01:18.231 --> 00:01:22.192]  We can release films online, we can have shows like yours that are uncensored.
[00:01:22.513 --> 00:01:25.074]  So that's how the system will break down its power.
[00:02:00.503 --> 00:02:01.624]  Clean, pure drinking water.
[00:02:01.925 --> 00:02:03.206]  You can't survive without it.
[00:02:03.406 --> 00:02:04.308]  But where do you get it?
[00:02:04.608 --> 00:02:10.375]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:02:10.595 --> 00:02:16.302]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:02:16.502 --> 00:02:33.360]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:02:33.760 --> 00:02:35.880]  Filter capacity up to 5,000 gallons.
[00:02:36.241 --> 00:02:37.441]  Stainless steel construction.
[00:02:37.721 --> 00:02:38.501]  Easy assembly.
[00:02:38.741 --> 00:02:39.361]  Low maintenance.
[00:02:39.661 --> 00:02:41.482]  Replacement filters are simple to install.
[00:02:41.762 --> 00:02:48.863]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:02:49.043 --> 00:02:54.024]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:02:54.224 --> 00:02:56.805]  Go to InfowarsStore.com or call 888-253-3139.
[00:03:03.590 --> 00:03:10.793]  Interesting you talk about how you feel like the American president has way too much power that any one individual should have on the planet.
[00:03:11.493 --> 00:03:20.417]  Now recently, I think it was Mitch McConnell who wanted to, I think it was last week, he wanted to rush in the War Powers authorization.
[00:03:21.317 --> 00:03:21.517]  Or budget.
[00:03:21.557 --> 00:03:21.638]  Sure.
[00:03:34.810 --> 00:03:43.975]  Well, that's what they want, and I've always thought that one of the things that happened after 9-11, I won't say it was entirely a military coup, but it had aspects of a military coup, no question.
[00:03:44.275 --> 00:03:56.062]  The military took on far more power than it ought to have, and I would argue probably it shouldn't have any power, but certainly it was massively increased, very, very unfortunately.
[00:03:56.642 --> 00:03:58.603]  So, we know this is what they'd like.
[00:03:59.203 --> 00:04:03.886]  They'd like to, if some, just like in Paris, if some city is giving them trouble,
[00:04:05.182 --> 00:04:09.586]  You know, maybe not paying the property taxes in a future depression.
[00:04:10.387 --> 00:04:11.027]  Send in the troops.
[00:04:11.047 --> 00:04:12.108]  Interesting point.
[00:04:12.268 --> 00:04:18.534]  I mean, the IMF, World Bank, they could ask Obama to deploy troops to this terrible country that's behind on their debts.
[00:04:18.634 --> 00:04:20.856]  Even though their debts are designed for them not to get out of.
[00:04:22.197 --> 00:04:29.864]  So, you could literally have American troops maybe going in and occupying countries and taking their natural resources and assets to settle these so-called debts.
[00:04:30.225 --> 00:04:31.366]  Or confiscating our guns.
[00:04:32.782 --> 00:04:33.903]  Occupying Minneapolis.
[00:04:35.604 --> 00:04:37.206]  They love this kind of stuff.
[00:04:37.726 --> 00:04:40.288]  People who are in government, they love doing this to people.
[00:04:40.769 --> 00:04:42.130]  This is what they get a charge out of.
[00:04:42.170 --> 00:04:43.191]  That's why they love wars.
[00:04:43.211 --> 00:04:43.891]  They love killing.
[00:04:43.911 --> 00:04:45.893]  They love ordering people to be killed.
[00:04:45.913 --> 00:04:46.814]  Drone strikes.
[00:04:46.834 --> 00:04:52.499]  I always think of Obama when he's signing the death orders over his scrambled legs in the morning and enjoying it.
[00:04:53.760 --> 00:04:54.621]  This is not good.
[00:04:54.741 --> 00:04:56.903]  People who like that kind of stuff, who crave it,
[00:04:59.204 --> 00:04:59.564]  Not good.
[00:04:59.604 --> 00:05:08.948]  I remember reading about an interview that Roy Medvedev had of Khrushchev after he'd been kicked out of power, he's in exile, and he was going to do a book about him.
[00:05:09.668 --> 00:05:24.114]  And to me one of the most interesting things was Khrushchev talked about how it really just was tough for him to hold on to power in one sense because he just was getting old, he felt that he was getting tired of everything,
[00:05:25.214 --> 00:05:25.694]  We're good to go.
[00:05:47.279 --> 00:05:48.201]  Crushing other people.
[00:05:48.842 --> 00:05:49.804]  Ordering them what to do.
[00:05:52.228 --> 00:05:56.876]  If there's going to be a hurricane, they love ordering people out of their homes, ordering them to go here or there.
[00:05:57.357 --> 00:05:58.539]  They just live for that kind of stuff.
[00:05:58.559 --> 00:05:59.581]  These are bad people.
[00:06:01.229 --> 00:06:03.010]  That was an excellent report from Kit Daniels.
[00:06:03.430 --> 00:06:05.751]  Now, let's talk a little bit about this election coming up.
[00:06:05.791 --> 00:06:13.055]  I'm sure you haven't heard enough about it already, but I hear these talks about the vast right-wing conspiracy against Madam Clinton.
[00:06:13.456 --> 00:06:17.718]  Now, is it true that Republicans don't like Hillary for the mere fact that she is a Democrat?
[00:06:17.818 --> 00:06:18.678]  Yes, that is true.
[00:06:19.039 --> 00:06:23.301]  It's also true that Democrats don't like Republicans for the simple fact that they are Republicans.
