[00:00:00.189 --> 00:00:01.250]  It's Alex Jones!
[00:00:22.079 --> 00:00:24.280]  Welcome to the InfoWars Nightly News.
[00:00:24.360 --> 00:00:27.082]  It's Thursday, April 27th, 2017.
[00:00:27.222 --> 00:00:28.402]  I'm your host, Owen Schroer.
[00:00:28.642 --> 00:00:29.723]  Here's what's coming up tonight.
[00:00:32.606 --> 00:00:32.915]  Tonight!
[00:00:34.298 --> 00:00:38.862]  The left pushes dystopian fiction about the oppression of women like The Handmaid's Tale.
[00:00:39.042 --> 00:00:42.885]  But the real threat is coming from an alliance between the left and Islam.
[00:00:43.385 --> 00:00:50.591]  Austria's far-left president says that one day, all women must wear headscarves because of Islamophobia.
[00:00:51.051 --> 00:01:03.241]  And, once upon a time, about 50 years ago, the left started a free speech movement at University of California, Berkeley to lift the ban on campus political activities and to defend free speech and academic freedom.
[00:01:03.841 --> 00:01:13.427]  But then the left and Janet Napolitano took control of the university, and they shut down free speech, academic freedom, and political activities they didn't like.
[00:01:13.867 --> 00:01:18.230]  We talked to Stephanie Hamel and Jack Pasoviuk about the political censorship of the left.
[00:01:20.971 --> 00:01:23.733]  All that and more on tonight's InfoWars Nightly News.
[00:01:34.943 --> 00:01:40.248]  The reason InfoWarsLive has five-star ratings on major third-party sites is because I want products I'm gonna use for my family.
[00:01:40.428 --> 00:01:40.988]  I take this.
[00:01:41.268 --> 00:01:42.289]  My family takes this.
[00:01:42.389 --> 00:01:46.633]  And then it funds the operation with the most hardcore, truthful information you're gonna find anywhere.
[00:01:46.673 --> 00:01:51.117]  So what you find in our news is the same thing you find in our products at InfoWarsLive.com.
[00:01:51.277 --> 00:01:55.840]  If I ever forget to take them, I have a noticeable difference.
[00:01:55.920 --> 00:01:56.960]  I don't feel good.
[00:01:56.980 --> 00:02:00.562]  The nascent iodine is one of the ones that was life-changing for me.
[00:02:00.803 --> 00:02:03.444]  Yeah, I actually have just run out of my Super Female.
[00:02:03.484 --> 00:02:08.827]  I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[00:02:09.288 --> 00:02:11.669]  Very exciting, feeling great, looking good.
[00:02:12.249 --> 00:02:15.671]  And I know my hair is luxurious once again.
[00:02:15.791 --> 00:02:17.973]  So, obviously, the Super Female is amazing.
[00:02:18.033 --> 00:02:18.393]  I love it.
[00:02:18.553 --> 00:02:21.134]  Nascent Iodine is essential.
[00:02:21.354 --> 00:02:22.314]  Survival Shield X2.
[00:02:22.354 --> 00:02:27.976]  If there's one product that I would say is life-changing that I would suggest, it's Nascent Iodine Survival Shield X2.
[00:02:27.996 --> 00:02:29.937]  It's got a five-star rating.
[00:02:30.177 --> 00:02:30.937]  It's a win-win.
[00:02:31.417 --> 00:02:32.218]  Infowarslife.com.
[00:03:07.588 --> 00:03:10.290]  Welcome to the Infowars Nightly News, ladies and gentlemen.
[00:03:10.330 --> 00:03:12.052]  Thank you for joining us.
[00:03:12.112 --> 00:03:16.216]  We've got a ton to cover, as you already know, so let's get right into it.
[00:03:16.296 --> 00:03:24.763]  Well, we all know that North Korea right now is saber-rattling, and the United States has finally decided to do something about it.
[00:03:25.504 --> 00:03:30.329]  Now North Korea turns to Southeast Asian nations for support in battle with U.S.
[00:03:30.689 --> 00:03:33.032]  to stop nuclear holocaust.
[00:03:33.092 --> 00:03:38.658]  This is another sign to me that Kim Jong-un is freaking out right now.
[00:03:39.758 --> 00:03:47.182]  He doesn't really know what to do, so he's lining up tanks all along the Sea of Japan and having them live fire.
[00:03:48.022 --> 00:03:56.027]  And now he's reaching out to other nations, most of which are probably actually working with the United States and not North Korea, for help.
[00:03:56.923 --> 00:03:59.927]  As he says, the Korean Peninsula is on the brink of war.
[00:03:59.967 --> 00:04:14.286]  This is actually in a letter from the Association of Southeast Asian Nations Security General, North Korean Foreign Minister Ri Yong-ho is warning that people in the Korean Peninsula need to know that they are on a brink of war right now.
[00:04:14.887 --> 00:04:15.968]  So they're trying to reach out.
[00:04:16.088 --> 00:04:17.990]  Oh, and they're blaming Washington's actions.
[00:04:18.070 --> 00:04:22.594]  So they're blaming the United States, saying that the Korean Peninsula is at the brink of war.
[00:04:23.395 --> 00:04:28.340]  And the reason they're doing that is they highlight, at least in this story, all the U.S.
[00:04:28.420 --> 00:04:29.901]  presence that's in the area.
[00:04:29.941 --> 00:04:35.647]  You've got over 39,000 personnel in Japan, over 23,000 in South Korea.
[00:04:36.067 --> 00:04:38.449]  Drills happening in both of those countries.
[00:04:40.211 --> 00:04:47.976]  They're saying that we're on the brink of war, you need to be aware of this, you need to come and back us up to try to stop Washington from starting a war.
[00:04:49.257 --> 00:04:57.543]  Now folks, this is very serious stuff, but this is actually serious.
[00:04:57.583 --> 00:05:06.568]  This sounds like a joke, but if you ask what is Kim Jong-un working with, you can say, no dong.
[00:05:08.439 --> 00:05:11.300]  North Korea is currently working with Nodong.
[00:05:11.700 --> 00:05:12.581]  That is not a joke.
[00:05:13.901 --> 00:05:16.403]  That is the name of North Korea's missiles.
[00:05:17.343 --> 00:05:19.424]  Nodong-1 and Nodong-2.
[00:05:20.624 --> 00:05:21.625]  I'm not making this up.
[00:05:21.685 --> 00:05:23.826]  When I first saw this, I thought it was a joke.
[00:05:24.966 --> 00:05:26.207]  And I'm beginning to think,
[00:05:27.435 --> 00:05:39.318]  That there's somebody inside the North Korean, I guess, missile defense team or whoever is naming these things is perhaps sabotaging North Korea, naming it Nodong.
[00:05:40.438 --> 00:05:44.979]  So Kim Jong-un can proudly brag that he is working with Nodong.
[00:05:46.800 --> 00:05:50.361]  I don't know if you've heard, folks, but there's big, big news out of North Korea.
[00:05:51.281 --> 00:05:54.222]  The news is that Kim Jong-un has Nodong.
[00:05:55.876 --> 00:05:57.937]  No dong, that's the news we've got right now.
[00:05:57.977 --> 00:06:00.398]  Kim Jong-un, no dong.
[00:06:01.359 --> 00:06:12.964]  Okay, but for real, while Kim Jong-un has no dong, he must have some dong because now he's putting out videos showing the White House in crosshairs and then exploding.
[00:06:14.645 --> 00:06:21.448]  Of course, this is on the heels of previous videos they put out in demonstrations of missiles hitting the United States.
[00:06:22.169 --> 00:06:23.830]  Now they're just going to blow up the White House.
[00:06:27.196 --> 00:06:29.797]  North Korea has no dong.
[00:06:30.777 --> 00:06:32.438]  And then they put out this video.
[00:06:32.518 --> 00:06:33.838]  I mean, look at this video, guys.
[00:06:34.038 --> 00:06:36.199]  I've got graphics guys that are back here right now.
[00:06:36.219 --> 00:06:37.679]  Go ahead, pull this video back up.
[00:06:37.719 --> 00:06:39.220]  Look at this.
[00:06:39.300 --> 00:06:41.781]  This is the best that North Korea can put out.
[00:06:41.861 --> 00:06:42.481]  Not that one.
[00:06:43.401 --> 00:06:46.902]  Although that one, I mean, it's basically the same thing.
[00:06:48.883 --> 00:06:49.363]  Wow.
[00:06:50.024 --> 00:06:51.824]  Wow, what an amazing graphic.
[00:06:51.844 --> 00:06:52.684]  They're so good.
[00:06:52.744 --> 00:06:53.925]  Look at how advanced they are.
[00:06:54.833 --> 00:06:58.274]  At graphics and creating movies and CGI.
[00:06:59.635 --> 00:07:02.296]  Guys, pull up the Washington Post one.
[00:07:02.416 --> 00:07:03.277]  Yeah, look at it.
[00:07:04.877 --> 00:07:06.138]  Is that the one where they blow up the White House?
[00:07:06.538 --> 00:07:12.440]  The point is, I just don't know how seriously we should be taking North Korea, I suppose.
[00:07:13.861 --> 00:07:15.982]  I don't know what kind of missiles they really have.
[00:07:16.042 --> 00:07:18.003]  I know they have no DONG, but...
[00:07:19.045 --> 00:07:42.549]  I mean, come on, they're doing these war displays with probably fake missiles, the point is not even pointed straight, it's pointed up, okay, that would never pass an inspection, you would never put that missile past inspection, yet somehow it's out on their big military display, and then they just have cardboard-like painted cutouts with flecked graphics on it that they use during their displays.
[00:07:42.589 --> 00:07:47.650]  This nation is nowhere near us as far as their technology is concerned, folks, okay?
[00:07:49.836 --> 00:07:54.318]  However, they do have a very oppressive leader in Kim Jong-un.
[00:07:54.378 --> 00:08:04.443]  It is strange that all of a sudden there seems to be this build-up of war between our two nations, but that is what we're dealing with right now, and Kim Jong-un has no dong.
[00:08:04.603 --> 00:08:05.364]  That is just a fact.
[00:08:07.064 --> 00:08:09.986]  And Maxine Waters might not have a brain.
[00:08:11.426 --> 00:08:16.929]  Now, this is a woman who apparently is going to run for office again!
[00:08:19.761 --> 00:08:25.025]  And if she really wanted to win in 2018, you'd think that she would just shut up.
[00:08:25.766 --> 00:08:28.328]  Because she's been made to look like such a fool.
[00:08:29.209 --> 00:08:32.432]  But, here's Maxine Waters again.
[00:08:33.613 --> 00:08:36.775]  Guys, she's trying to let you know what's up in North Korea.
[00:08:37.216 --> 00:08:39.618]  Let's go to Maxine Waters to update us on the situation.
[00:08:40.546 --> 00:08:42.607]  Yeah, they're in a war now, a trade war.
[00:08:42.627 --> 00:08:43.648]  She doesn't know where she is.
[00:09:07.438 --> 00:09:08.618]  She could have been in North Korea.
[00:09:09.018 --> 00:09:10.879]  She could have been in North Crimea.
[00:09:11.459 --> 00:09:13.400]  She could have been in Northern California.
[00:09:14.380 --> 00:09:15.560]  She really doesn't know.
[00:09:16.641 --> 00:09:25.363]  It must be tough to be Maxine Waters, 78 years old, wearing the same James Brown wig that she's been wearing since O'Reilly called her out on it.
[00:09:27.464 --> 00:09:30.764]  Well, you think someone, a member of her staff, would at least put a different wig on her?
[00:09:32.785 --> 00:09:35.846]  You think a member of her staff would say, Maxine,
[00:09:38.478 --> 00:09:39.419]  Time's getting short.
[00:09:41.261 --> 00:09:43.723]  Maybe just right off into the sunset.
[00:09:45.245 --> 00:09:45.465]  Nope.
[00:09:46.066 --> 00:09:57.098]  She's gonna keep going on TV, she's gonna keep opening her mouth, and she's gonna keep exposing herself as, quite frankly, a demented old woman.
[00:09:58.459 --> 00:09:59.600]  I don't mean that in disrespect.
[00:10:00.381 --> 00:10:01.582]  I'm just calling it as I is.
