[00:00:00.171 --> 00:00:01.552]  Mm hmm.
[00:00:01.572 --> 00:00:01.872]  Agreed.
[00:00:01.892 --> 00:00:06.273]  All right, we got to shut this down in a minute because the crew's been here for 18 hours.
[00:00:06.313 --> 00:00:07.894]  You guys, we'll shut this down and take five more calls.
[00:00:07.934 --> 00:00:08.314]  We're going to go.
[00:00:08.934 --> 00:00:13.496]  Um, well, I'm ready to, but I think we'll, we can clear.
[00:00:13.616 --> 00:00:13.836]  Okay.
[00:00:13.876 --> 00:00:14.096]  Okay.
[00:00:14.136 --> 00:00:14.516]  Go to who?
[00:00:14.756 --> 00:00:16.257]  Andrew and Terry, and then we're good.
[00:00:16.537 --> 00:00:17.517]  Who's up next?
[00:00:20.058 --> 00:00:20.358]  All right.
[00:00:20.478 --> 00:00:22.099]  Jerry in Texas.
[00:00:22.119 --> 00:00:23.239]  That was my granddaddy's name.
[00:00:23.760 --> 00:00:24.080]  Go ahead.
[00:00:24.100 --> 00:00:24.560]  You're on the air.
[00:00:25.543 --> 00:00:29.244]  Hey, I know you don't like to be this story, so just 30 seconds here.
[00:00:29.344 --> 00:00:31.605]  I had a website against Clintons about 20 years ago.
[00:00:31.685 --> 00:00:33.366]  I worked on HHO, free energy.
[00:00:33.806 --> 00:00:37.287]  I've seen the pressures that are brought to bear against individuals firsthand.
[00:00:38.127 --> 00:00:43.129]  When I was sold on you is when you were talking about punching that guy in a supermarket that was threatening you.
[00:00:43.669 --> 00:00:44.749]  I didn't know you could do that.
[00:00:45.230 --> 00:00:46.770]  I actually saw that firsthand.
[00:00:47.230 --> 00:00:52.132]  So the only thing I'd like to say is I don't buy your products because of what the products are.
[00:00:52.708 --> 00:00:53.529]  I buy the products.
[00:00:53.609 --> 00:00:54.770]  I bought it before the election.
[00:00:54.790 --> 00:00:56.611]  I just spent another $120 today.
[00:00:57.112 --> 00:00:58.873]  I buy it to fund the operation.
[00:00:59.354 --> 00:01:03.718]  What I want to see you do is sue the shit out of these people.
[00:01:04.178 --> 00:01:05.019]  Sue them for nothing.
[00:01:05.039 --> 00:01:05.259]  I know.
[00:01:05.319 --> 00:01:07.281]  It just takes so much money that I can hire them.
[00:01:07.361 --> 00:01:07.781]  I get it.
[00:01:07.821 --> 00:01:09.282]  I mean, they're discriminating.
[00:01:09.302 --> 00:01:10.023]  They're shutting us down.
[00:01:10.063 --> 00:01:11.164]  I want to do it.
[00:01:11.444 --> 00:01:13.766]  You're so justified.
[00:01:13.906 --> 00:01:15.928]  I will stick another $100 in the pool.
[00:01:16.288 --> 00:01:20.452]  But I'm telling you, and I speak for a lot of people, if you're not taking that fight,
[00:01:20.999 --> 00:01:21.300]  I'm out.
[00:01:21.420 --> 00:01:22.642]  I'll go back to my own website.
[00:01:23.223 --> 00:01:24.205]  We fight.
[00:01:24.225 --> 00:01:27.750]  I want to sue him for saying we're not allowed to exist.
