[00:00:22.406 --> 00:00:24.127]  Welcome to the NFOR's Nightly News.
[00:00:24.247 --> 00:00:24.987]  I'm David Knight.
[00:00:25.127 --> 00:00:26.667]  It's Wednesday, April the 5th, 2017.
[00:00:26.868 --> 00:00:29.128]  Here are our top stories.
[00:00:32.269 --> 00:00:47.915]  Tonight, Newsweek is calling for the federal arrest of Alex Jones because of what they say was an explicitly anti-gay threat to beat up Congressman Adam Schiff.
[00:00:49.833 --> 00:00:52.496]  Fill your head, you son of a bitch!
[00:00:52.697 --> 00:01:07.736]  Meanwhile, the numerous real threats to President Donald Trump go unpunished as mainstream media talking heads and the Hollywood elite get away with assassination threats to the President of the United States.
[00:01:10.472 --> 00:01:17.100]  Then, guess who's behind the big push to have Google censor the alternative media?
[00:01:17.200 --> 00:01:21.505]  You guessed it, George Soros, public enemy number one.
[00:01:21.726 --> 00:01:25.450]  That's coming up next on the InfoWars Nightly News.
[00:01:35.100 --> 00:01:40.427]  The reason InfoWarsLive has five-star ratings on major third-party sites is because I want products I'm gonna use for my family.
[00:01:40.587 --> 00:01:41.168]  I take this.
[00:01:41.429 --> 00:01:42.470]  My family takes this.
[00:01:42.570 --> 00:01:46.796]  And then it funds the operation with the most hardcore, truthful information you're gonna find anywhere.
[00:01:46.856 --> 00:01:51.061]  So what you find in our news is the same thing you find in our products at InfoWarsLive.com.
[00:01:51.442 --> 00:01:56.004]  If I ever forget to take them, I have a noticeable difference.
[00:01:56.084 --> 00:01:57.144]  I don't feel good.
[00:01:57.224 --> 00:02:00.725]  The nascent iodine is one of the ones that was life-changing for me.
[00:02:00.965 --> 00:02:03.606]  Yeah, I actually have just run out of my Super Female.
[00:02:03.666 --> 00:02:08.968]  I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[00:02:09.449 --> 00:02:11.869]  Very exciting, feeling great, looking good.
[00:02:12.430 --> 00:02:15.831]  And I know my hair is luxurious once again.
[00:02:15.951 --> 00:02:18.132]  So, obviously, the Super Female is amazing.
[00:02:18.192 --> 00:02:18.552]  I love it.
[00:02:18.712 --> 00:02:21.316]  Nascent Iodine is essential.
[00:02:21.517 --> 00:02:22.498]  Survival Shield X2.
[00:02:22.538 --> 00:02:28.167]  If there's one product that I would say is life-changing that I would suggest, it's Nascent Iodine Survival Shield X2.
[00:02:28.187 --> 00:02:30.110]  It's got a five-star rating.
[00:02:30.371 --> 00:02:32.394]  It's a win-win in fullwarslife.com.
[00:03:09.346 --> 00:03:14.372]  Today, Steve Bannon is out and Rick Perry is in at the National Security Council.
[00:03:15.033 --> 00:03:30.010]  Now, in and of itself, this would not be that much of a big deal because, of course, Steve Bannon said that he came in to change things the way they were being run under the Obama and Clinton administration, the State Department, the way they were operating things there.
[00:03:30.851 --> 00:03:35.778]  But this is part, I believe, of a move within the administration.
[00:03:35.918 --> 00:03:38.041]  Donald Trump has tweeted out, says there is no civil war.
[00:03:38.061 --> 00:03:41.205]  We're going to take a look at this and see if you think there's a civil war.
[00:03:41.285 --> 00:03:46.372]  I think that there is a civil war that is going on between the forces that represent
[00:03:47.253 --> 00:03:52.578]  Nationalism and the fight against globalism and those who would like to see the status quo, the neocons, the globalists.
[00:03:52.818 --> 00:04:01.186]  And I think it's very significant that this is happening on a day that we now have people calling for Syrian involvement by the U.S.
[00:04:01.846 --> 00:04:03.127]  using the same M.O.
[00:04:03.147 --> 00:04:04.168]  that we saw four years ago.
[00:04:05.169 --> 00:04:09.053]  Absolutely amazing that they keep recycling these same types of attacks.
[00:04:09.073 --> 00:04:13.116]  So we're going to talk about the fallout with that, but let's take a look first at what's going on here.
[00:04:13.617 --> 00:04:19.782]  Of course, they say that they're adding Rick Perry because of his credentials at the Department of Energy.
[00:04:19.842 --> 00:04:26.808]  They say that the lion's share of the Department of Energy's budget goes towards the National Nuclear Security Administration.
[00:04:27.248 --> 00:04:28.730]  That right there would be scary enough.
[00:04:29.290 --> 00:04:31.111]  We've got Rick Perry in charge of that.
[00:04:31.452 --> 00:04:41.818]  But then the Austin Statesman also adds that Perry will become the first former Dancing with the Stars contestant to have a high-level seat at the table to decide national security matters for the United States.
[00:04:42.439 --> 00:04:50.404]  I think it is more interesting what they failed to mention, was that he will be the first one who is dancing with the Bilderberg Globalists.
[00:04:51.004 --> 00:04:51.444]  We're good to go.
[00:05:14.105 --> 00:05:19.769]  Bannon became a member of the National Security Council, as Kit Daniels pointed out.
[00:05:20.269 --> 00:05:28.435]  He said that he had gone there, that Susan Rice had operationalized the council, and he was going to the NSC to undo that.
[00:05:28.655 --> 00:05:31.818]  He said, I was put on to ensure that it was de-operationalized.
[00:05:31.858 --> 00:05:36.221]  General McMaster has returned the NSC to its proper function.
[00:05:37.401 --> 00:05:39.203]  But there's some other things that are going on here.
[00:05:39.503 --> 00:05:52.013]  And of course yesterday we had Roger Stone talking about the back and forth with Jared Kushner and Joe Scarborough at MSNBC and the types of alliances that are going to be happening there.
[00:05:52.033 --> 00:05:52.754]  And I've got a lot of
[00:05:54.434 --> 00:05:58.636]  Files where we've been talking about this going back for about two months.
[00:05:58.816 --> 00:06:01.798]  This has been going on all the way back to the beginning of February.
[00:06:02.478 --> 00:06:05.920]  CNN says, well, what does his demotion tell us about the Trump White House?
[00:06:05.940 --> 00:06:11.643]  I mean, is this just somebody normally moving out of this or are there power plays that are going on?
[00:06:11.703 --> 00:06:18.667]  They say this suggests a potentially significant change in the power balance with the four top White House advisors.
[00:06:19.227 --> 00:06:28.555]  And of course they say those advisors are Ivanka and Jared Kushner and Reince Priebus and Kellyanne Conway and Brannon.
[00:06:28.655 --> 00:06:31.497]  I wouldn't necessarily put Kellyanne Conway in that mix.
[00:06:32.018 --> 00:06:34.500]  I think the other person that goes in there is Gary Cohen.
[00:06:35.160 --> 00:06:38.503]  Former Chief Executive at Goldman Sachs.
[00:06:38.563 --> 00:06:44.267]  He seems to be allying with Kushner and reviewing the people that came in that got Donald Trump elected.
[00:06:44.788 --> 00:06:50.192]  As they point out, they say that he would sit on this committee typically reserved only for the upper echelon of the military.
[00:06:50.232 --> 00:06:53.294]  They thought that that was a very unusual move at the time.
[00:06:53.314 --> 00:06:55.216]  A lot of people were concerned about that.
[00:06:56.077 --> 00:06:57.217]  Ivanka said that
[00:06:59.047 --> 00:07:05.513]  That he was an ideologue, that Trump has to take a look at what is happening with Bannon.
[00:07:05.833 --> 00:07:22.087]  And of course Politico says that as we look back in recent weeks, Kushner's son-in-law of Donald Trump and senior adviser has been asking searching questions of inside and outside advisers at the White House performance and complained about Bannon in particular.
[00:07:22.147 --> 00:07:24.549]  So when we had Roger Stone talking yesterday,
[00:07:25.269 --> 00:07:35.260]  About Joe Scarborough being contacted multiple times with texts by Jared Kushner and that is perhaps what was being talked about.
[00:07:36.243 --> 00:07:50.728]  I think one of the things that is most telling is that there was a text between them and the next day that we had Joe Scarborough talking about what was happening with the White House.
[00:07:50.808 --> 00:07:53.829]  As we say, they were talking about Bannon flying close to the sun.
[00:07:54.249 --> 00:07:55.609]  This is back two months ago.
[00:07:55.649 --> 00:07:58.190]  And this is something that has been happening from the very beginning.
