[00:00:09.233 --> 00:00:10.074]  You found it.
[00:00:10.414 --> 00:00:11.935]  The tip of the spear.
[00:00:12.455 --> 00:00:17.018]  It is the Alex Jones Show with Owen Troyer.
[00:00:18.399 --> 00:00:20.060]  Welcome into the Alex Jones Show.
[00:00:21.100 --> 00:00:23.602]  Live for you this June 13th, 2017.
[00:00:23.682 --> 00:00:27.584]  The Thought Criminal, Alex Jones.
[00:00:28.605 --> 00:00:31.687]  How dare Megyn Kelly interview Alex Jones?
[00:00:32.267 --> 00:00:33.008]  The Thought Criminal.
[00:00:34.301 --> 00:00:40.006]  It's not like the mainstream media reported on weapons of mass destruction that didn't exist, that we went to war over.
[00:00:40.506 --> 00:00:47.772]  It's not like Charles Jaco from CNN was pretending to broadcast from Saudi Arabia when he was in a CNN studio in Atlanta.
[00:00:48.513 --> 00:00:49.293]  No, it's not like...
[00:00:50.154 --> 00:00:54.216]  Women crying over babies in incubators, a fake news story.
[00:00:54.497 --> 00:00:59.419]  It's not like the entire mainstream media falling for the Aleppo boy, which it's now come out.
[00:00:59.960 --> 00:01:04.062]  His father has told the story how basically the White Hats came and took him and took him for pictures.
[00:01:04.522 --> 00:01:08.285]  And his father actually supports the Assad regime.
[00:01:08.365 --> 00:01:09.825]  No, it's not like the media reporting on that.
[00:01:10.126 --> 00:01:14.088]  It's not like Barack Obama telling you you can keep your doctor, you can keep your health care plan.
[00:01:14.388 --> 00:01:17.290]  Jonathan Gruber calling the American public a bunch of idiots.
[00:01:17.830 --> 00:01:18.531]  It's not like that.
[00:01:18.611 --> 00:01:22.273]  It's not like the Gulf of Tonkin, a made-up story to send us to war.
[00:01:22.754 --> 00:01:26.817]  It's not like the 28 secret pages of the 9-11 investigation that doesn't exist.
[00:01:27.317 --> 00:01:32.821]  It wasn't Alex Jones, the thought criminal, that told you those lies, was it?
[00:01:34.522 --> 00:01:34.762]  No.
[00:01:35.043 --> 00:01:37.084]  It was the mainstream media.
[00:01:38.265 --> 00:01:43.229]  So now Alex Jones is demonized because he has original thought
[00:01:44.127 --> 00:01:50.195]  He doesn't go with the official story and he goes with his gut and with his own historical research and analysis.
[00:01:50.716 --> 00:01:51.296]  So now...
[00:01:53.069 --> 00:01:55.930]  There is backlash for Megyn Kelly interviewing him.
[00:01:55.990 --> 00:01:57.850]  I'm sure you've heard about all of this.
[00:01:58.331 --> 00:02:04.833]  And the craziest part about this is, to me, which really shows you the nature of who's actually impacting America.
[00:02:05.253 --> 00:02:07.674]  They want to say that the Russians hacked the election.
[00:02:07.714 --> 00:02:08.774]  The Russians hacked here.
[00:02:09.114 --> 00:02:10.394]  We've got news stories today.
[00:02:10.414 --> 00:02:13.675]  38 new accounts where the Russians hacked.
[00:02:13.695 --> 00:02:14.296]  40 new accounts.
[00:02:14.336 --> 00:02:15.016]  All these new things.
[00:02:15.036 --> 00:02:16.296]  The Russians, the Russians, the Russians.
[00:02:17.637 --> 00:02:18.117]  Meanwhile,
[00:02:19.048 --> 00:02:26.698]  So we're led to believe that the Russians are acting in hostility against this nation, led by Vladimir Putin.
[00:02:27.178 --> 00:02:29.661]  Meanwhile, Megyn Kelly interviews Vladimir Putin.
[00:02:30.042 --> 00:02:31.564]  Nobody even cares!
[00:02:32.845 --> 00:02:34.267]  Nobody even knows!
[00:02:34.708 --> 00:02:36.109]  Nobody even notices!
[00:02:37.418 --> 00:02:42.721]  That Vladimir Putin gets interviewed by Megyn Kelly, this guy who's running all the elections.
[00:02:42.901 --> 00:02:44.863]  He's affecting the elections in the United States.
[00:02:45.063 --> 00:02:47.044]  He's affecting elections in Europe.
[00:02:47.084 --> 00:02:48.185]  He's affecting all these elections.
[00:02:48.405 --> 00:02:49.365]  Not George Soros.
[00:02:49.766 --> 00:02:50.826]  It's Vladimir Putin.
[00:02:51.107 --> 00:02:52.968]  Then Megyn Kelly interviews Vladimir Putin.
[00:02:53.208 --> 00:02:55.349]  Doesn't even get a blip on the radar screen.
[00:02:55.829 --> 00:03:00.592]  What does that tell you about what Americans think about this Russian scandal that doesn't exist?
[00:03:00.913 --> 00:03:02.894]  But then Megyn Kelly dares
[00:03:03.194 --> 00:03:09.616]  To interview the thought criminal Alex Jones, and you've got all the stories now condemning Megyn Kelly.
[00:03:10.656 --> 00:03:12.436]  As an advertiser, I'm repulsed.
[00:03:12.856 --> 00:03:19.578]  JPMorgan Chase marketing boss pulls ads from Megyn Kelly's show in wake of uproar over upcoming Alex Jones.
[00:03:19.838 --> 00:03:20.758]  The uproar!
[00:03:20.778 --> 00:03:22.799]  There's an uproar!
[00:03:23.973 --> 00:03:25.415]  Dangerous, hateful goon!
[00:03:25.475 --> 00:03:29.601]  Twitter unloads on NBC for upcoming Alex Jones, Megyn Kelly interview.
[00:03:30.082 --> 00:03:31.544]  It wasn't even an interview!
[00:03:32.445 --> 00:03:34.428]  She came here to stage a hit piece!
[00:03:36.826 --> 00:03:41.848]  So here, all of these people are freaking out that Megyn Kelly would even dare sit down with Alex Jones.
[00:03:42.208 --> 00:03:46.270]  Meanwhile, they're in the process of putting together the ultimate hit piece on him.
[00:03:47.310 --> 00:03:51.451]  They should be glad that Megyn Kelly came here to do a hit piece on Alex Jones.
[00:03:51.752 --> 00:03:58.814]  They should be glad that Megyn Kelly came here for an entire day, for an 11 minute segment, featuring the thought criminal Alex Jones.
[00:03:59.274 --> 00:04:00.055]  But no!
[00:04:00.975 --> 00:04:04.176]  No, how dare, how dare Megyn Kelly!
[00:04:04.416 --> 00:04:05.877]  I'll pull my ads!
[00:04:07.688 --> 00:04:17.953]  No, no, no, don't worry about the New York Public Theater that's depicting the assassination of Donald Trump that now has people pulling ads and then American Express allegedly is not pulling their advertisements.
[00:04:17.973 --> 00:04:20.735]  That was something I thought was going to happen, didn't happen.
[00:04:21.175 --> 00:04:22.676]  It gets a standing ovation!
[00:04:22.696 --> 00:04:25.777]  Oh, you depicted the assassination of the president!
[00:04:28.338 --> 00:04:29.739]  Meanwhile, Russia's hacking everything.
[00:04:29.759 --> 00:04:31.800]  Nobody cares that Megyn Kelly interviews Vladimir Putin.
[00:04:32.661 --> 00:04:37.183]  And the mainstream media interviews former Obama, Democrat,
[00:04:38.447 --> 00:04:42.671]  Campaign directors, and they act like they're just random people on the streets!
[00:04:43.812 --> 00:04:45.233]  They've done this before, they do it again!
[00:04:45.273 --> 00:04:45.734]  Fake news!
[00:04:46.074 --> 00:04:49.257]  MSNBC pretends Obama campaign director is random woman on the street!
[00:04:50.798 --> 00:04:54.722]  They rig everything in the fake news, that's why they hate Alex Jones, because he's real!
[00:04:55.082 --> 00:04:58.926]  We'll hear from Alex Jones on the other side, he'll be back, live in this seat in just about an hour.
[00:05:02.040 --> 00:05:13.987]  Over the weekend, Act for America held human rights marches across the United States, marching against Sharia law, which prohibits certain human rights to women, and countries where Sharia law is in practice oppress women.
[00:05:14.067 --> 00:05:18.149]  So leave it to Antifa to show up and disrupt these Americans' First Amendment right.
[00:05:18.169 --> 00:05:19.169]  But it didn't stop there.
[00:05:19.290 --> 00:05:23.492]  Journalists like myself got assaulted and cursed at just for documenting the event.
[00:05:23.592 --> 00:05:29.275]  Lauren Southern even had animal urine thrown at him while filming in the New York City march against
[00:05:29.575 --> 00:05:32.037]  If it wasn't obvious before, it is now.
[00:05:32.278 --> 00:05:34.540]  CNN and Antifa are ISIS.
[00:05:34.760 --> 00:05:41.546]  Leftists freaked out when a burqa was put on Fearless Girl in New York City, faced with the imagery of the oppression they were supporting.
[00:05:41.666 --> 00:05:50.173]  The same people that are now supporting Sharia law in America were the same people who were so helplessly offended by Donald Trump's grab-her-by-the-private comment.
[00:05:50.293 --> 00:05:56.819]  So Trump's inappropriate private conversation is unacceptable, but forced female genital mutilation is okay.
[00:05:56.919 --> 00:05:59.121]  The left has literally lost their minds.
[00:05:59.261 --> 00:06:01.543]  For InfoWars.com, this is Owen Schroer.
[00:06:13.413 --> 00:06:23.757]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:06:24.077 --> 00:06:31.640]  In the history of Infowarslife, we've brought out a lot of amazing products like Survival Shield X2, Super Mill Vitality, and so many others.
[00:06:31.920 --> 00:06:37.342]  With its unique delivery system and proprietary manufacturing process designed for maximized effects.
[00:06:37.662 --> 00:06:41.866]  This formula is the platinum standard of multivitamin mineral products.
[00:06:42.106 --> 00:06:44.028]  And this part is most important.
[00:06:44.168 --> 00:06:50.955]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest quality lab standard.
[00:06:50.995 --> 00:06:52.056]  That means it's clean.
[00:06:52.436 --> 00:06:53.417]  That means it's pure.
[00:06:53.557 --> 00:06:56.340]  And rest secured, you're finding the tip of the spear in the Infowar.
[00:06:56.460 --> 00:06:59.023]  That's Infowarslife.com and Vitamin Mineral Fusion.
[00:06:59.263 --> 00:07:00.884]  Take action now before we sell out.
[00:07:01.585 --> 00:07:05.951]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[00:07:06.071 --> 00:07:17.005]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[00:07:17.165 --> 00:07:22.087]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:07:22.207 --> 00:07:24.729]  It helps balance the thyroid gland.
[00:07:24.789 --> 00:07:26.269]  It helps detoxify.
[00:07:26.489 --> 00:07:29.331]  Selenium is another one of those absolute must-haves.
[00:07:29.371 --> 00:07:34.133]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:07:34.153 --> 00:07:38.275]  As a matter of fact, there's 25 genes in the body that are directly
[00:07:38.715 --> 00:07:45.721]  Dependent upon selenium, so it really is a all-around nutrient that everybody really needs.
[00:07:45.841 --> 00:07:47.263]  I'm taking it now, every day.
[00:07:47.463 --> 00:07:48.204]  This is so key.
[00:07:48.444 --> 00:07:52.748]  BioTrue Selenium is the product, the best selenium that we could bring you.
[00:07:52.768 --> 00:07:54.870]  We believe it's the best out there at a very, very low price.
[00:07:54.990 --> 00:07:58.453]  Exclusively available at InfowarsLive.com or by calling toll-free 888-253-3139.
[00:08:07.039 --> 00:08:08.620]  The answer to 1984 is 1776.
[00:08:08.941 --> 00:08:15.267]  You're listening to The Alex Jones Show.
[00:08:25.196 --> 00:08:26.777]  This is the heart of 1776.
[00:08:46.783 --> 00:08:59.451]  Ladies and gentlemen, in the last 24 hours, according to Twitter, according to Google, according to Facebook, the number one trending story in the United States, one of the top stories in the world, has been Megyn Kelly, Alex Jones.
[00:09:00.331 --> 00:09:01.712]  Those two names, together.
[00:09:02.733 --> 00:09:07.216]  Now you would think that having this huge firestorm controversy taking place,
[00:09:08.550 --> 00:09:16.593]  MSM would actually interview me, or would actually go to the live feeds and videos that I've put out concerning the controversy.
[00:09:17.253 --> 00:09:17.993]  But they won't do it.
[00:09:18.654 --> 00:09:36.440]  Only a handful, USA Today, New York Daily News, and others have actually run with the fact that I have said, to end this controversy, that I think the Megyn Kelly interview coming up on Father's Day, this Sunday, that she did with me last week here in Austin, should be shelved.
