[00:00:05.194 --> 00:00:05.734]  We've got it.
[00:00:05.774 --> 00:00:12.219]  This transmission is coming to you.
[00:00:12.279 --> 00:00:14.381]  Waging war on corruption.
[00:00:16.662 --> 00:00:22.327]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:37.975 --> 00:00:39.155]  It's 7-11!
[00:00:41.516 --> 00:00:48.679]  Already the 11th day of July 2017 on this worldwide broadcast.
[00:00:50.359 --> 00:00:52.220]  On this Tuesday edition.
[00:00:53.940 --> 00:00:58.542]  I want to be very very clear with the listeners and viewers right now.
[00:01:00.231 --> 00:01:04.072]  We're witnessing the greatest witch hunt in U.S.
[00:01:04.152 --> 00:01:04.592]  history.
[00:01:05.653 --> 00:01:19.097]  The most transparent, the most fraudulent, the most upside down, the most twisted compendium of fraud that I have ever seen in modern history.
[00:01:21.181 --> 00:01:33.131]  Ladies and gentlemen, we have seen the entire Russia narrative shot down with each new piece of disinformation, each new red herring, each new hoax.
[00:01:34.733 --> 00:01:47.704]  But I get up this morning and I learned from Ellen L. Weintraub, Commissioner on the Federal Election Commission, what I already knew from four months ago.
[00:01:50.425 --> 00:02:05.708]  I am under criminal espionage investigation by the FBI for taking money from Russians or Russian-owned companies.
[00:02:06.741 --> 00:02:15.968]  Ladies and gentlemen, we are almost exclusively funded by private sales of books, videos, t-shirts, supplements, water filters, storable foods.
[00:02:16.108 --> 00:02:16.728]  Everybody knows that.
[00:02:17.109 --> 00:02:25.395]  The rest is totally transparent, third-party Google and AdBlade and all these other sites.
[00:02:29.138 --> 00:02:32.560]  We have third parties that handle our comments on InfoWars.
[00:02:32.580 --> 00:02:33.361]  That's called DISCUS.
[00:02:33.761 --> 00:02:35.983]  We do everything third-party so it's all completely transparent.
[00:02:37.119 --> 00:02:41.781]  I've never gotten one scintilla of money from Russia.
[00:02:42.201 --> 00:02:44.202]  I've never gotten any directives from Russia.
[00:02:45.202 --> 00:02:56.867]  Hillary finally got it right when she said that Russia didn't come up with a way to beat her, that Infowars did, and the Russians picked it up.
[00:02:57.167 --> 00:03:02.749]  Now that's not true, but at least she gets that I wag the dog, not the other way around.
[00:03:04.741 --> 00:03:06.182]  My listeners defeated you, which?
[00:03:06.962 --> 00:03:08.363]  America defeated you, which?
[00:03:10.565 --> 00:03:30.538]  And they say in the letter that InfoWars, Drudge and Breitbart, because before they just said in the Armed Services Committee in the House months ago, we'll play the clip coming up, that Russia, RT, Ruppley, those are both Russian, and InfoWars are under FBI investigation.
[00:03:31.639 --> 00:03:33.400]  And then it was confirmed by McClatchy.
[00:03:35.202 --> 00:03:52.877]  This is a member, a commissioner, Ellen L. Weintraub, on the Federal Elections Commission, saying, in the letter, calling for congressional hearings, that we're under investigation for espionage.
[00:03:53.297 --> 00:03:55.499]  Now, let me tell you something right now.
[00:03:57.441 --> 00:04:02.004]  Like I told Congressman Schiff in a flowerly way, I meant metaphysically in the info war, that we will
[00:04:02.918 --> 00:04:10.265]  defeat them with the truth and beat them up one side and down the other with logic peacefully in the market of ideas.
[00:04:14.469 --> 00:04:18.472]  I welcome being called to Congress and I will only testify in public.
[00:04:19.286 --> 00:04:34.232]  And I'm begging you scum that put this type of garbage out to put me in Congress because I'm going to bring up all your Russian connections and your communist Chinese connections and I'm going to politically give you your Waterloo.
[00:04:34.772 --> 00:04:36.893]  I'm going to destroy you politically.
[00:04:37.233 --> 00:04:40.654]  I love this un-American desperation by you.
[00:04:40.794 --> 00:04:42.835]  This is outrageous!
[00:04:45.116 --> 00:04:46.016]  But here's the best part.
[00:04:46.056 --> 00:04:47.337]  They want us shut down.
[00:04:48.743 --> 00:04:49.204]  Oh yes!
[00:04:50.607 --> 00:04:53.252]  I mean, if they couldn't make us more of superstars now.
[00:04:53.272 --> 00:04:56.758]  I mean, I fully embrace these false charges.
[00:04:57.319 --> 00:04:58.361]  I love this.
[00:04:58.742 --> 00:05:01.246]  You just jumped a Megalodon shark.
[00:05:04.071 --> 00:05:07.035]  This is a public service announcement from InfoWars.com.
[00:05:07.956 --> 00:05:09.418]  Are you aware of political fraud?
[00:05:09.718 --> 00:05:10.739]  It is rampant out there.
[00:05:11.059 --> 00:05:12.621]  Here are some of its main exhibitors.
[00:05:13.582 --> 00:05:14.423]  Barack Obama.
[00:05:15.044 --> 00:05:21.712]  After running for president for the little guy, campaigning against big money, he got out of office and immediately became that which he campaigned against.
[00:05:22.053 --> 00:05:23.074]  Washington fat cats.
[00:05:23.294 --> 00:05:24.676]  Multi-million dollar book deals.
[00:05:24.856 --> 00:05:26.097]  Multi-million dollar mansions.
[00:05:26.358 --> 00:05:31.784]  Meanwhile, the little guy is looking for a new doctor or insurance plan they can afford because of the healthcare bill he lied about.
[00:05:32.024 --> 00:05:33.205]  Leonardo DiCaprio.
[00:05:33.406 --> 00:05:35.988]  A man committed to warning you about the perils of global warming.
