[00:00:18.697 --> 00:00:20.398]  Welcome to the Infowars Nightly News.
[00:00:20.598 --> 00:00:21.238]  I'm David Knight.
[00:00:21.298 --> 00:00:22.659]  It's Thursday, July 6th, 2017.
[00:00:22.959 --> 00:00:25.241]  Here are our top stories.
[00:00:28.262 --> 00:00:42.010]  Tonight, the lie perpetuated by the mainstream media that 17 intelligence agencies agreed Russia had hacked our infrastructure is called into question as the original fake news reporters have had to retract their stories.
[00:00:43.419 --> 00:00:51.403]  Also, protesters at the G20 Summit get out of control, as riot police are called to the scene, while thousands march in the streets.
[00:00:55.485 --> 00:01:03.710]  Meanwhile, Emmanuel Macron goes on a record power trip, saying he will govern like a god, force vaccinations to the public.
[00:01:05.720 --> 00:01:10.844]  And then, Chris Galbitz infiltrated the Center for American-Islamic Relations to high levels.
[00:01:11.364 --> 00:01:13.505]  What he discovered was shocking and revealing.
[00:01:13.686 --> 00:01:16.027]  He joins InfoWars to discuss what he learned.
[00:01:16.227 --> 00:01:19.930]  All that and more tonight on the InfoWars Nightly News.
[00:01:30.595 --> 00:01:33.936]  The globalist social engineers are not just targeting us with propaganda.
[00:01:34.056 --> 00:01:36.317]  They are manipulating our genetics.
[00:01:36.497 --> 00:01:44.880]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:01:45.120 --> 00:01:48.461]  The key is to be aware of this attack and to fight back against it.
[00:01:48.621 --> 00:01:58.945]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO, organic, super male vitality formula.
[00:01:59.265 --> 00:02:00.206]  We're good to go.
[00:02:16.921 --> 00:02:23.103]  Super Mel Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:02:23.403 --> 00:02:30.326]  Visit InfoWarsLife.com today to secure your Super Mel Vitality and other powerful products from InfoWars Life.
[00:02:30.578 --> 00:02:34.379]  Check out these amazing deals at InfoWarsStore.com.
[00:02:34.839 --> 00:02:43.501]  25% off BioTrue Selenium, a powerful antioxidant and back-in-stock super blue fluoride-free toothpaste.
[00:02:43.681 --> 00:02:45.581]  Now 33% off.
[00:02:45.721 --> 00:02:54.503]  And while you're there, check out the Total Oral Care Pack, which combines our organic mouthwash with the amazing super blue toothpaste.
[00:02:54.723 --> 00:02:56.663]  Now 37% off.
[00:02:56.923 --> 00:03:00.084]  All available right now at InfoWarsStore.com.
[00:03:11.308 --> 00:03:23.740]  Today Donald Trump was in Poland, very friendly to his ideas, nationalistic, control of the border, control of their people there, but then of course CNN's Jim Acosta followed him, the White House correspondent from CNN.
[00:03:24.201 --> 00:03:34.611]  And one of the things that he said today, and we're going to talk about Donald Trump's speech, gave a great speech talking about does the West have the will to survive, and he used Poland
[00:03:35.111 --> 00:03:39.013]  As a great example of a country that does have the will to survive.
[00:03:39.033 --> 00:03:42.375]  But I want to go first to CNN's Jim Acosta.
[00:03:42.555 --> 00:03:45.797]  Absolutely amazing how out of touch this guy is.
[00:03:46.317 --> 00:03:58.584]  He went on Thursday morning's edition of New Day, a CNN program, and he questioned the president's claim that it was, quote, three or four intelligence agencies that determined Russia was attempting to influence the 2016 election.
[00:03:59.245 --> 00:04:00.685]  Not 17 agencies.
[00:04:01.306 --> 00:04:02.867]  Now remember, this broke
[00:04:03.647 --> 00:04:07.993]  Over the weekend, actually the retractions I think came out on Friday or Saturday.
[00:04:08.033 --> 00:04:12.099]  I covered this in detail on the Sunday show, July 2nd.
[00:04:12.539 --> 00:04:19.168]  If you want to find the article there, even the New York Times retraction on the 17 intelligence agencies is a lie.
[00:04:20.236 --> 00:04:21.397]  But it was a retraction.
[00:04:21.838 --> 00:04:24.700]  The New York Times and the Associated Press have both pulled out.
[00:04:24.740 --> 00:04:27.043]  But apparently, Jim Acosta is clueless.
[00:04:27.063 --> 00:04:33.389]  And as I tweeted out today, I said Acosta and CNN continue to push this 17 intelligence agencies lie.
[00:04:33.910 --> 00:04:41.777]  It started with Hillary's October debate, and they parroted that, just as James Clapper, the Director of National Intelligence did.
[00:04:41.998 --> 00:04:42.979]  But it's been debunked.
[00:04:43.539 --> 00:04:51.049]  It was denied by Clapper and testimony that he gave to Congress, and it was retracted last week by the New York Times, by the Associated Press.
[00:04:51.350 --> 00:04:52.692]  But he is apparently clueless.
[00:04:52.752 --> 00:04:55.375]  Acosta said, where does that number come from?
[00:04:55.615 --> 00:04:57.798]  Well, it comes from the New York Times and Associated Press.
[00:04:58.079 --> 00:04:59.240]  You're very selective, aren't you, Jim?
[00:04:59.781 --> 00:05:09.369]  We've had 3,500 stories, as Wikileaks pointed out, as of May, talking about 17 intelligence agencies that show that there's collusion with the Russians and Trump.
[00:05:09.909 --> 00:05:10.890]  Not true at all.
[00:05:11.250 --> 00:05:18.937]  It was patently absurd when Hillary Clinton said it, but we had people in the intelligence agencies that chimed in on that, and as we pointed out over the weekend,
[00:05:19.898 --> 00:05:23.442]  The New York Times came back and said, no, it was only four intelligence agencies.
[00:05:24.022 --> 00:05:26.385]  No, actually, as the AP pointed out, it was only three.
[00:05:26.425 --> 00:05:27.826]  That's where Trump got the three or four.
[00:05:28.487 --> 00:05:30.549]  And both of those are actually not true as well.
[00:05:30.589 --> 00:05:35.734]  If you look at the analysis that WND did, if you go back and you look at the testimony of James Clapper, guess what?
[00:05:35.915 --> 00:05:36.735]  It was zero.
[00:05:37.476 --> 00:05:37.817]  Zero.
[00:05:38.919 --> 00:05:48.125]  We had the FBI, the NSA, and the CIA meet with DNI Director of National Intelligence Clapper, and they were presented with a CrowdStrike report.
