[00:00:08.004 --> 00:00:08.665]  Well here we are.
[00:00:08.725 --> 00:00:09.525]  It's Tuesday.
[00:00:10.927 --> 00:00:12.828]  Already the 18th day of April 2017.
[00:00:13.429 --> 00:00:17.712]  I'm Alex Jones here in studio.
[00:00:17.772 --> 00:00:23.918]  David Knight and many others are coming up with breaking news as well as guests with us here in studio today.
[00:00:25.520 --> 00:00:26.321]  Look at the headlines.
[00:00:27.241 --> 00:00:28.022]  All out war.
[00:00:28.082 --> 00:00:37.129]  North Korea warns nuclear war could break out at any moment as country vows to test more missiles this week after one failed last Sunday.
[00:00:37.950 --> 00:00:43.675]  North Korea will test missiles weekly, senior official tells the British broadcasting company.
[00:00:44.896 --> 00:00:45.116]  U.S.
[00:00:45.136 --> 00:00:48.378]  deploys two more aircraft carriers towards Korean Peninsula.
[00:00:48.419 --> 00:00:49.399]  That from Zero Hedge.
[00:00:49.740 --> 00:00:51.481]  We have the article posted on InfoWars.com.
[00:00:53.427 --> 00:00:55.548]  That is a huge, massive movement.
[00:00:56.768 --> 00:00:59.689]  Pentagon starts review of nuclear posture.
[00:01:00.230 --> 00:01:01.350]  Ordered by Trump.
[00:01:04.771 --> 00:01:06.872]  North Korea all-out war if U.S.
[00:01:07.392 --> 00:01:08.873]  uses military action.
[00:01:09.273 --> 00:01:09.993]  High nuke threat.
[00:01:10.013 --> 00:01:11.694]  North Korea threatens missile launch.
[00:01:13.455 --> 00:01:16.156]  And now we have Russian state-run media
[00:01:17.256 --> 00:01:23.383]  Coming out, that means officially from the government, saying Donald Trump is more dangerous than North Korea.
[00:01:23.403 --> 00:01:27.248]  Well, technically, that's absolutely true.
[00:01:28.869 --> 00:01:32.474]  Now, the media is going to say, Jones agrees Trump is worse than North Korea.
[00:01:32.534 --> 00:01:32.754]  No.
[00:01:33.635 --> 00:01:35.317]  I mean, scientific about this.
[00:01:35.877 --> 00:01:37.720]  Who has 50,000 nuclear weapons?
[00:01:39.127 --> 00:01:40.909]  Who has 15 aircraft carriers?
[00:01:41.469 --> 00:01:44.052]  Who has over 1,000 Predator drones alone?
[00:01:44.252 --> 00:01:44.913]  On and on and on.
[00:01:44.933 --> 00:01:45.954]  The biggest military in the world.
[00:01:47.135 --> 00:01:48.437]  55% of military budget globally.
[00:01:48.917 --> 00:01:53.562]  Of course, technically, an elephant is more dangerous than a rat.
[00:01:56.616 --> 00:02:15.370]  The difference is North Korea is the one firing missiles off the coast of Japan, constantly grabbing fishing boats, constantly shooting artillery over at islands, constantly going after people, constantly threatening to nuke Tokyo, Japan, and constantly threatening to nuke South Korea's capital, Seoul.
[00:02:16.671 --> 00:02:19.793]  So technically, Trump is more dangerous.
[00:02:19.913 --> 00:02:23.536]  America has bigger teeth, but America is not starting it.
[00:02:23.576 --> 00:02:25.718]  But I also understand Russia's statement here.
[00:02:30.288 --> 00:02:44.566]  It is scary overall to have North Korea in this position and to have Trump call their bluff because we've had this strategy of appeasement, the strategy of giving them nuclear reactors, the strategy of going along with them for decades.
[00:02:45.660 --> 00:02:49.021]  Really since 1953, and it's a joke!
[00:02:49.501 --> 00:02:54.302]  And now China has bought into that posture and has grabbed 90% of the South China Sea.
[00:02:54.322 --> 00:03:04.804]  In fact, we could probably play over this clip right now, the CNN layout, where they actually show you accurately that 90% has been grabbed by China from Japan all the way down to the Philippines.
[00:03:04.884 --> 00:03:06.344]  Thousands and thousands of square miles.
[00:03:07.424 --> 00:03:08.785]  More than they ever had.
[00:03:08.845 --> 00:03:10.445]  It's a very belligerent posture.
[00:03:10.925 --> 00:03:14.686]  So bottom line, Trump is letting China know we're not going to be pushed around.
[00:03:16.817 --> 00:03:28.305]  But North Korea is so psychotic that they didn't launch a missile or detonate an atomic weapon like they promised to do on their Founders Day from the grandpa, you know, first dictator of North Korea.
[00:03:28.985 --> 00:03:29.986]  So they didn't detonate that on the 15th.
[00:03:30.026 --> 00:03:32.327]  I thought, oh, wow, North Korea blinked.
[00:03:32.367 --> 00:03:33.508]  Maybe they're going to be sane.
[00:03:33.828 --> 00:03:36.470]  Maybe they can open up the free trade like East Germany did.
[00:03:36.510 --> 00:03:37.611]  Maybe we can end all this.
[00:03:38.151 --> 00:03:46.597]  And then as I'm shooting the video, Saturday night, it was already the 16th in North Korea, already halfway to the 16th, I saw the text coming in.
[00:03:47.137 --> 00:03:48.959]  Alex, they just tested a missile.
[00:03:48.999 --> 00:03:49.600]  You're wrong.
[00:03:49.680 --> 00:03:50.200]  Fake news.
[00:03:50.481 --> 00:03:51.501]  How am I supposed to know?
[00:03:51.562 --> 00:03:52.863]  They don't fire it on the 15th.
[00:03:53.143 --> 00:03:53.984]  It's on the 16th.
[00:03:54.204 --> 00:03:56.346]  I say, wow, they blinked, which they did.
[00:03:57.047 --> 00:03:59.649]  And then they supposedly test one and it blows up on the launch pad.
[00:03:59.990 --> 00:04:00.931]  That was happening live.
[00:04:01.271 --> 00:04:02.012]  So I was correct.
[00:04:02.052 --> 00:04:03.113]  They did blink on the 15th.
[00:04:03.453 --> 00:04:04.394]  They didn't test the nuke.
